	feature	tfidf
0	,	0.04125959659133721
1	я	0.03141957725302452
2	ты	0.02683000655373587
3	!	0.02315947430974871
4	мы	0.013669247786810692
5	вы	0.012519869540664476
6	мой	0.01219570267553427
7	это	0.01188181325568431
8	не	0.011337632453305529
9	он	0.011300953698314483
10	она	0.010842051437493649
11	твой	0.010430059667945999
12	они	0.010375341594444977
13	и	0.010271261399186533
14	быть	0.010019024752723232
15	что	0.009445279172276194
16	человек	0.008917907775019449
17	то	0.008836489341570719
18	кто	0.00867063282315544
19	себя	0.008569147241927678
20	друг	0.008540550498237385
21	бы	0.008348419136783273
22	о	0.008245732011542538
23	который	0.0075997697976613685
24	любовь	0.007514669291867357
25	в	0.007476444167762687
26	так	0.0074154256154205424
27	когда	0.007297885932895657
28	хотеть	0.007114578377637001
29	жизнь	0.007022041144154062
30	свой	0.0068561777954946265
31	от	0.006844486580442466
32	этот	0.006774422374935742
33	с	0.006569870798836354
34	любить	0.006549985503976564
35	мочь	0.006515605393517871
36	все	0.006508851680509128
37	боль	0.006418256483584334
38	жить	0.006389933773219134
39	тот	0.006380159168070822
40	как	0.006349534620406854
41	если	0.006193528651189614
42	лишь	0.006186835907111102
43	душа	0.0061020600489996865
44	говорить	0.006078080422835448
45	просто	0.005979483375249318
46	ни	0.0059754163796528325
47	мысль	0.005973355008431272
48	но	0.005971022440564717
49	вот	0.005971012299462887
50	смотреть	0.0059022579548568925
51	же	0.005871395641593
52	год	0.005813215680445406
53	за	0.0057608993019955795
54	еще	0.005656724603977291
55	каждый	0.0056379048266319235
56	на	0.0055806685430966575
57	понимать	0.005578352110687216
58	здесь	0.005570226971574563
59	уходить	0.00551971601545445
60	ничто	0.005504446628301858
61	день	0.005484452646709573
62	или	0.0054763153842951546
63	никто	0.005442789321101915
64	у	0.005431667686088789
65	да	0.005417215767445621
66	новый	0.005406910581534357
67	*	0.0053432349873989765
68	знать	0.0053298938323392666
69	всегда	0.0053256746694202
70	где	0.005316156131707079
71	небо	0.005306096601471292
72	мир	0.005241437107870656
73	для	0.005227797781024375
74	рука	0.005169010761473227
75	счастье	0.005159238042501635
76	без	0.005141133637617096
77	голова	0.005120169876890278
78	мама	0.005106997726466744
79	чтобы	0.005094307194204007
80	весь	0.00507111764128697
81	а	0.005044901413800751
82	там	0.005008067311023746
83	по	0.004982866399952068
84	такой	0.004964984740294979
85	ветер	0.00495578304002537
86	слово	0.004954995868780265
87	самый	0.004932985045535666
88	нет	0.004845492684591988
89	пытаться	0.004836672064131841
90	из	0.004793075099821672
91	время	0.0047733792648036455
92	прекрасный	0.004764676271919968
93	до	0.004755781092496779
94	приходить	0.004750477849770888
95	глаз	0.0047280510478827685
96	ночь	0.004708370204104657
97	писать	0.004694288341017932
98	снова	0.004693067130546804
99	к	0.004677475599766712
100	наш	0.0046381880510771405
101	земля	0.004576136867421867
102	видеть	0.0045566714582072
103	сердце	0.004550558639923083
104	только	0.004549000682759528
105	смерть	0.004505220976003895
106	делать	0.004473976488342569
107	ли	0.0044551713316196935
108	много	0.0044011873710217385
109	какой	0.0043774876845113974
110	сам	0.004349018627300299
111	сегодня	0.004263355052798849
112	один	0.004255300676412908
113	помнить	0.004239915803567788
114	радость	0.004237750890860024
115	хороший	0.0042181020610299064
116	ведь	0.0042162317466107905
117	свет	0.004203352221838975
118	уже	0.004198112610818352
119	хотеться	0.004186177413184631
120	судьба	0.004184011626206288
121	умирать	0.0041259915177980526
122	брать	0.004120185973299419
123	даже	0.004104839116066836
124	очень	0.0040698229058439605
125	надо	0.004036065678713117
126	раз	0.004031789840927201
127	дверь	0.003982992924953672
128	думать	0.003961290333482087
129	дом	0.003947930505981562
130	забывать	0.003947247889814843
131	казаться	0.003944780508656818
132	становиться	0.0038711068931165976
133	верить	0.003868052491516243
134	пусть	0.003854721394460596
135	почему	0.003828861630114004
136	другой	0.0038032862085047407
137	под	0.003798415140636655
138	закрывать	0.003790340652084425
139	начинать	0.003757438575290916
140	ребенок	0.003742681024766148
141	проходить	0.00374235318992096
142	оставаться	0.0037413468585532853
143	мгновение	0.0037246211592034985
144	нужный	0.0037212019698636177
145	идти	0.003710451625747241
146	можно	0.003706632333455167
147	тело	0.003703025080198642
148	мое	0.003700306584957146
