	feature	tfidf
0	ты	0.038411171346349846
1	Припевать	0.038337009622506385
2	я	0.03813465628370029
3	,	0.03683342349051623
4	!	0.02848161288497172
5	мы	0.026444301120041654
6	Припев	0.018528160885189403
7	мой	0.01778094592089473
8	любовь	0.0166742520622885
9	1	0.015769181521241203
10	2	0.012748467491953522
11	твой	0.012747570523368522
12	песня	0.010495865280292858
13	он	0.01020526323011702
14	она	0.010130757478242235
15	не	0.010079396371835091
16	друг	0.009764080903889458
17	любить	0.009567991240445764
18	где	0.009267361151126871
19	быть	0.009000124117756136
20	год	0.008846006575295717
21	сердце	0.008652768590419375
22	наш	0.008529832943082587
23	вы	0.008516063084895912
24	небо	0.008459884133777561
25	пусть	0.008452978795287691
26	с	0.008341421846506323
27	за	0.0080310853734645
28	кто	0.00798157658375161
29	этот	0.007915159209199435
30	жизнь	0.00788477802662807
31	душа	0.007717206868564449
32	счастье	0.007536576802563316
33	ночь	0.007391388505095227
34	по	0.00737712626475595
35	мочь	0.007266347946706927
36	что	0.007219160339678553
37	новый	0.007208163860089986
38	то	0.007164640059580409
39	снег	0.00710091671354394
40	хотеть	0.007079838788970287
41	о	0.007069443423827253
42	судьба	0.007045938210565893
43	это	0.007010296798491966
44	так	0.006896378906569366
45	белый	0.006828662526656786
46	дождь	0.006770755539601642
47	снова	0.006763144043164199
48	они	0.006751331124003401
49	все	0.006726303558501836
50	день	0.006673890424419762
51	ни	0.006659271258839277
52	знать	0.0066584674833736306
53	без	0.006612037878800839
54	как	0.006586784023134077
55	и	0.006497912710888564
56	только	0.006488612277907851
57	там	0.006431780145082881
58	а	0.006416553938079046
59	глаз	0.006400714960288294
60	уходить	0.006390974268278558
61	пр	0.006375728465831226
62	*	0.006364630186715966
63	давать	0.006354258231840205
64	земля	0.0063057119516454615
65	от	0.006287923955827513
66	вновь	0.006240987145334382
67	на	0.006230263341615817
68	у	0.006216340011378243
69	бы	0.006200495085265616
70	же	0.006153225616934719
71	для	0.00613890436800721
72	нет	0.006129477573349291
73	свой	0.006108177252767261
74	но	0.006081804332350737
75	сон	0.006056404203907884
76	ветер	0.006036667607355259
77	к	0.005988103811967685
78	до	0.005980709877912318
79	один	0.0059796778264805455
80	приходить	0.005956734369420091
81	под	0.005938601886908499
82	свет	0.005900304330348443
83	да	0.005831866418530437
84	мечта	0.0058284977269515035
85	тот	0.0058055176318914225
86	огонь	0.005751255513376041
87	в	0.005750902137198409
88	дорога	0.005736887163957777
89	музыка	0.00570815125886219
90	3	0.005682796697464513
91	весь	0.005668696867469578
92	ждать	0.005664519665652693
93	окно	0.005629840970165717
