	feature	tfidf
0	,	0.07232334136406995
1	!	0.0397823936903647
2	я	0.02018847027027469
3	он	0.018030224811677573
4	ты	0.017455385948214143
5	а	0.017056719512157776
6	е	0.017055447154836773
7	н	0.01662007050234942
8	о	0.01594572923589059
9	мы	0.015094806385515601
10	снег	0.014130349162076911
11	О	0.013626727805221499
12	й	0.013595104517970342
13	она	0.01326661644414775
14	А	0.012709936803564997
15	в	0.011860670173975308
16	Р	0.011509606789232399
17	год	0.011364199528867375
18	Е	0.011332294188481603
19	р	0.011108412336297236
20	И	0.010894389485174688
21	Н	0.01084607413693431
22	бы	0.010690762523047393
23	*	0.010641176573821758
24	и	0.01052612121392122
25	еще	0.010238494637708517
26	любовь	0.010014212605840001
27	К	0.009976371145992846
28	вы	0.00993463386538856
29	к	0.009632557210214845
30	душа	0.009517055096450587
31	12	0.009455572168931833
32	с	0.009265380276651516
33	ветер	0.00915799791209377
34	если	0.009123096326398081
35	мороз	0.009108007222876231
36	декабрь	0.00900356083743026
37	быть	0.008998261807054134
38	мой	0.008907584137452646
39	на	0.008798853986866745
40	друг	0.008763950271450842
41	у	0.008565905398319511
42	жизнь	0.008479384870298267
43	зима	0.008418426197317471
44	то	0.008410439583134224
45	не	0.008246524035499782
46	ах	0.00814119048576747
47	свет	0.008025033674525577
48	для	0.00800330742243113
49	твой	0.007956417845185377
50	новый	0.007926642430808137
51	белый	0.007903099910513184
52	они	0.0077696929919467824
53	небо	0.007732012098270141
54	сердце	0.007699008535469504
55	день	0.007655974907601908
56	2017	0.007519287158821616
57	лес	0.0074853127334522295
58	любить	0.007481039484757885
59	з	0.007403370815370393
60	ь	0.007342024832533188
61	ночь	0.007334366140826534
62	очень	0.00732005915536561
63	счастье	0.0070448436695623945
64	окно	0.0070292364080028836
65	за	0.0069854651067758206
66	радость	0.006976447328568519
67	лишь	0.006854004700975523
68	праздник	0.00683884952514597
69	ть	0.00675962092876624
70	мир	0.006602609706141986
71	далее	0.006599916242286575
72	как	0.006596004137881079
73	наш	0.006594636228437856
74	все	0.006565226679822759
75	метель	0.006467191281251019
76	так	0.006405440107287832
77	же	0.006355440838853299
78	ли	0.006327138868979007
79	чудо	0.00630137997882184
80	это	0.006257820789498109
81	М	0.0062248812776660705
82	Т	0.006217949124761759
83	от	0.006101957680427988
84	едва	0.006038888426111958
85	из	0.006030185318933687
86	Д	0.005985156356773966
87	кто	0.005941683619194358
88	вать	0.005908890484741084
89	сон	0.005867285890948275
90	всегда	0.005848249498085222
91	без	0.005812004994862313
92	чувство	0.0057967022879737125
93	жить	0.005786648529606937
94	л	0.005751239408542556
95	давать	0.00573079108409716
96	мочь	0.005727471245703301
97	осень	0.0056901373379086495
98	такой	0.005676898380468853
99	время	0.005665992237251154
100	дом	0.0056568744358653205
101	бог	0.005613894184534084
102	слово	0.005613777487218621
103	по	0.0056135047654413016
104	становиться	0.005604114688465556
105	нет	0.005553914414468921
106	ангел	0.0055023959216609075
107	добро	0.005486966064324133
108	нежный	0.005418068744697561
109	мысль	0.005416044548158383
110	где	0.005372610655681789
111	утро	0.005367639314028691
112	под	0.005352259102171928
113	один	0.005347454686209504
114	дорога	0.005293128897732356
115	прекрасный	0.005272811322741154
116	словно	0.005258143850673926
117	тот	0.00525630629364784
118	ангать	0.005241971752724377
119	яркий	0.005204986418786635
120	раз	0.005192075299954342
121	этот	0.0051919917653671386
122	свой	0.005174177096219442
123	встречать	0.005166723064089807
124	весь	0.005126960002676828
125	снова	0.0051189969405566575
126	солнце	0.005104220456280685
127	стих	0.005053282662410118
128	до	0.005035173329875003
129	вокруг	0.005012745670187435
130	дарить	0.004993940662633616
131	Л	0.004979158398170218
132	путь	0.004939544388782583
133	лететь	0.0049352318178000065
134	поле	0.0049236061479802935
135	идти	0.004875979718955311
136	сказка	0.004858665912193515
137	хороший	0.004832418726235138
138	д	0.004818496093528629
139	взгляд	0.004816867177312942
140	себя	0.004810132511631592
141	глаз	0.004794024996165735
142	гореть	0.004789734358822527
143	над	0.004782470123745495
144	река	0.004757024798894054
145	вновь	0.0047288961328378265
146	надежда	0.004708360826587558
147	ждать	0.004701732977767546
148	В	0.004615654776938952
149	уходить	0.00458607789194137
150	уж	0.004568249450573072
151	дело	0.004565392910687447
152	только	0.004557029598325194
153	ее	0.004526621377078775
154	пусть	0.004520128436656244
155	ель	0.0045180258201648425
156	надо	0.0045145541929844275
157	рука	0.00449247902244783
158	снежный	0.004491969317843463
159	знать	0.0044886405853953055
160	верить	0.0044462624951205525
161	судьба	0.004436407252436091
162	светлый	0.004430538725202056
