	feature	tfidf
0	,	0.047648158326404906
1	!	0.03221111197084097
2	не	0.03065585394194117
3	это	0.020995972357953047
4	человек	0.020949968898852818
5	что	0.017325783811548024
6	если	0.01696238093865196
7	то	0.016200348298307264
8	в	0.016005385476970585
9	быть	0.01572159466313031
10	и	0.015581548889393155
11	12	0.015102258037487153
12	*	0.014100544991556756
13	кто	0.013317810890894564
14	жизнь	0.013039796056371816
15	он	0.013039162933510224
16	на	0.012612312091596457
17	а	0.012570015246496272
18	2017	0.012176964107647686
19	когда	0.011826726507384136
20	себя	0.01173422865731039
21	мы	0.011225639375414433
22	у	0.011117055596536913
23	свой	0.01098191113239441
24	с	0.010924090513586898
25	только	0.010590766929872618
26	от	0.010347784351241927
27	чем	0.010171977786262809
28	все	0.0100904729269502
29	к	0.009530139447885154
30	тот	0.009496812002634908
31	но	0.009469704224477184
32	как	0.00933736224095811
33	из	0.009225122927049067
34	они	0.009213797966498962
35	ты	0.008957581371779835
36	она	0.00887812658786368
37	вы	0.008753163928785267
38	для	0.00861689942480278
39	который	0.008588567123092167
40	любовь	0.008553192164200729
41	о	0.008417964323449458
42	мочь	0.008376076888703596
43	чтобы	0.008185283974335985
44	хороший	0.008076352380500529
45	год	0.007950811738320714
46	по	0.007845441736477894
47	я	0.007828265901086174
48	женщина	0.007597772421608042
49	бог	0.007359595585332899
50	всегда	0.007358547295630993
51	за	0.007297088361322023
52	один	0.0072881517057462215
53	весь	0.007052315934833966
54	бы	0.006858289431684267
55	другой	0.006776717342241534
56	делать	0.006742694389576118
57	2015	0.006677207743336237
58	каждый	0.006416058036546448
59	время	0.006374759241653096
60	самый	0.006352675914533976
61	сам	0.0063499057719882
62	можно	0.0063239591162218825
63	нет	0.006291604110738117
64	мир	0.006154663834844215
65	душа	0.006105224791343944
66	ru	0.006089181936254712
67	жить	0.005975852639574939
68	мысль	0.005812777282245705
69	без	0.005797295616990967
70	наш	0.005486854456159549
71	www	0.0054024357988228825
72	http	0.005371708361423616
73	ничто	0.005312306781376826
74	становиться	0.0052746912575699885
75	так	0.005245936373054296
76	деньги	0.005204062070401616
77	или	0.005126403034833361
78	ум	0.005051709161525278
79	слово	0.005013891939278011
80	нужный	0.004993101052177982
81	иметь	0.004991025841204052
82	надо	0.004975466161966175
83	даже	0.004960884355525092
84	stihi	0.004909385669464324
85	давать	0.0048562316782514645
86	любить	0.004806225174164845
87	ни	0.004726768592222954
88	много	0.004704951945835451
89	тем	0.004666653583030395
