	feature	tfidf
0	,	0.04470995089274301
1	!	0.0377570652320804
2	он	0.036190770545804
3	мораль	0.019395606014380947
4	она	0.016453144743237783
5	волк	0.015744930149979547
6	тут	0.013638584163384386
7	*	0.012770780486591235
8	лес	0.012748872819264765
9	они	0.012603853490781011
10	вы	0.01221069329317252
11	ты	0.012116729795855315
12	однажды	0.011618526175905702
13	медведь	0.011082850596015882
14	вот	0.010973547800203185
15	зверь	0.010865503045987485
16	то	0.010855273829559349
17	решать	0.010642719290268485
18	да	0.010005901011395741
19	хвост	0.009819978807686477
20	а	0.009658313601638227
21	быть	0.009341860820192774
22	кто	0.009239619133955601
23	петух	0.009155702433712052
24	тот	0.009126944969667187
25	не	0.008976327293195866
26	и	0.008858300611406586
27	у	0.008851874936405164
28	бы	0.008670033788281867
29	ни	0.008384601012511862
30	кот	0.008222928155331252
31	что	0.008212116916059648
32	хозяин	0.00819647085551086
33	сказать	0.00809636504597705
34	уж	0.008048788786488806
35	стать	0.0079994947093754
36	дело	0.007928046647505085
37	же	0.007911931287332868
38	я	0.007897812301118917
39	один	0.007894918616649517
40	такой	0.007726089244845809
41	раз	0.007571873061207211
42	на	0.007547761133715437
43	двор	0.007477307846214562
44	ну	0.007443968237617599
45	вдруг	0.007351636636449404
46	все	0.007280940837958849
47	так	0.007240511834750321
48	свинья	0.007097659201760522
49	но	0.007094236997920422
50	к	0.006947983899180028
51	таков	0.006945133862394756
52	с	0.006887028909924443
53	свой	0.0066625868240685025
54	жить	0.006659775202184729
55	за	0.006649297115414111
56	ведь	0.006643754090536136
57	сидеть	0.006584563393730314
58	волка	0.0065702074698127475
59	чтобы	0.006468572896164239
60	друг	0.006378068364042646
61	брать	0.00627237074369739
62	лев	0.006240018715611282
63	козел	0.006228973408868642
64	сей	0.00619583743416653
65	там	0.0061946769123399055
66	весь	0.006163806118222239
67	становиться	0.006093438144124345
68	голова	0.0060656686207322405
69	два	0.006013496182948847
70	себя	0.0059190105640625984
71	от	0.005835725914864075
72	как	0.005785557506218527
73	надо	0.005740497964141497
74	совет	0.00572146867330301
75	простой	0.005710787352310083
76	мы	0.005708399729041129
77	заяц	0.005607483776525002
78	по	0.005571520687134837
79	говорить	0.0055278599409221635
80	сосед	0.005505745857799098
81	хотеть	0.005449749563119813
82	здесь	0.005441957115069288
83	коль	0.0051284387997160615
84	лис	0.00511905511791201
85	большой	0.005113020270506058
86	человек	0.005083179357932257
87	давать	0.005074720289237123
88	царь	0.005069179287646554
89	лишь	0.0050583754075721726
90	делать	0.005038457496683755
91	ка	0.005022715803980393
92	нужный	0.005007747357393229
93	мужик	0.0050038539595042494
94	в	0.004971450846254147
95	для	0.004954222336566985
96	год	0.004948619947304306
97	слон	0.004921051578136059
98	кричать	0.004917650469468303
99	о	0.004903477056984946
100	народ	0.004901894808243661
101	без	0.00489982492362383
102	видеть	0.0048984806130879955
103	лесной	0.004887293300644031
104	другой	0.004851194158020137
105	нос	0.004850221255406919
106	под	0.004843353132048881
107	до	0.004786642100143909
108	нет	0.004786583859742684
109	ворона	0.004783699436757176
110	про	0.004781864191677766
111	вода	0.00477489095853163
112	беда	0.0047744558738709985
113	очень	0.004769290019554598
114	зуб	0.004761801801163213
115	наш	0.004754128948495517
116	жизнь	0.004640689765048724
117	теперь	0.004576203993873268
118	какой	0.004573545814619667
119	хоть	0.0045501336892646
120	из	0.0045304410622480145
121	бывать	0.004505650995458426
122	глядеть	0.004466693272387232
123	ум	0.004465516920146864
124	сам	0.004457702569833702
125	шкура	0.004411412843551323
126	12	0.004406985523628266
127	есть	0.004388682299966169
128	труд	0.004349565745688874
129	лапа	0.004347473185678965
130	даже	0.004342283281400661
131	мол	0.004306356283945698
132	куст	0.00430255457132847
133	мочь	0.004296422353135373
134	курица	0.004289204013096498
135	ходить	0.00428461964318296
136	совсем	0.00427938590489019
137	спор	0.004236838951721907
138	съедать	0.004230607109513285
139	отвечать	0.00420438827739073
140	чуть	0.004192827824132074
141	дурак	0.004164682533036646
142	толк	0.004161846941310388
143	быстро	0.004153680852458074
144	мышь	0.004136352939764969
145	собака	0.0041324445282235845
146	кошка	0.004125276230005133
147	выходить	0.004115877772528873
148	собираться	0.004098343186143214
149	2015	0.004073591507895869
150	еда	0.0040730177280075604
151	конечно	0.004065916792654286
152	обед	0.004060043633593416
153	баран	0.004047821231301134
154	сила	0.004026558175731422
155	хорошо	0.004001504984867554
156	только	0.003997858699040758
157	находить	0.003989762194688414
158	ли	0.003983171126274033
159	искать	0.003974144946402411
160	попадать	0.003956972798944204
161	где	0.003929231632298554
162	дом	0.00392858324721798
163	помогать	0.003912625047638876
164	думать	0.003911225321662686
165	мало	0.0039000576987298394
166	***	0.0038773323539617924
167	пора	0.0038732130525809838
168	сыр	0.003815267486622526
