	feature	tfidf
0	,	0.06139190873218331
1	я	0.03090016377533813
2	!	0.02465378462893876
3	ты	0.022209367812684837
4	мы	0.016463194805658075
5	не	0.016273875530584663
6	и	0.01565470296556766
7	он	0.013978667474020767
8	что	0.011988992483954086
9	вы	0.011799972524844349
10	в	0.011565504476077857
11	быть	0.011547950384654043
12	то	0.011437835556792545
13	год	0.010871289860968586
14	она	0.010842576226747173
15	мой	0.01078675656709754
16	*	0.010207666780001996
17	они	0.010161441626838725
18	кто	0.009772080930730112
19	как	0.009704993352711048
20	все	0.009632084746886933
21	на	0.009339781704940878
22	с	0.009173103636268451
23	жизнь	0.009047039935487616
24	а	0.008933126895700595
25	за	0.008551794203598632
26	новый	0.008545456330426386
27	бы	0.008411716696698417
28	ни	0.00840786794904706
29	пусть	0.008322698100052942
30	по	0.008162584707186702
31	это	0.007937803294609073
32	друг	0.007908938132219113
33	о	0.007876946869633236
34	весь	0.007668896591064664
35	где	0.007668476923132584
36	душа	0.00766663422581575
37	твой	0.007574359132545348
38	чтобы	0.007547539564945547
39	так	0.007536954427203281
40	от	0.00752814793510144
41	12	0.007524733931513987
42	день	0.007380440836044311
43	когда	0.007360174795744571
44	у	0.00735670702575813
45	снег	0.007323553597815577
46	мир	0.007277556297737643
47	человек	0.007243726316712844
48	но	0.00724080213715817
49	себя	0.0072400032408685925
50	нет	0.007210588458647014
51	к	0.007123163590132152
52	из	0.007123068219591851
53	без	0.007021818459560118
54	тот	0.006990360596359347
55	мочь	0.006946092888439743
56	свой	0.006929277737230056
57	же	0.006737834358455751
58	этот	0.006726605581447376
59	слово	0.006447782460147203
60	жить	0.006415025910061384
61	знать	0.006343242970031418
62	ночь	0.006287847513199844
63	свет	0.006284568137569336
64	там	0.006279279445618626
65	небо	0.006256332503580877
66	для	0.0062502373272685105
67	вот	0.00623767343477172
68	да	0.006220037639909868
69	любовь	0.006144310922416357
70	хотеть	0.006119481727518636
71	если	0.006084458393604073
72	любить	0.005995277475341676
73	до	0.005984998541673535
74	под	0.00598248801331721
75	только	0.005921661581743171
76	один	0.005836697399008417
77	время	0.005824348891796246
