	feature	tfidf
0	,	0.048189012300124325
1	я	0.03377464445912464
2	ты	0.0301160635872988
3	!	0.02351669588255051
4	мой	0.01512941899050573
5	мы	0.015055435047629191
6	*	0.014533676081131321
7	он	0.014131532444788904
8	не	0.013938997530573554
9	что	0.012933218268148068
10	вы	0.012721145462709985
11	она	0.012644933805123215
12	и	0.012178964427856941
13	быть	0.011595825594921986
14	они	0.01109143298440773
15	это	0.010763725395982332
16	то	0.010509829360492167
17	твой	0.010420171369608485
18	человек	0.009957441248752573
19	все	0.009669712909179246
20	в	0.009444543551210268
21	кто	0.009157985404516676
22	как	0.009039740756237096
23	весь	0.00868738899171492
24	к	0.008682451682465675
25	бы	0.008579200063826595
26	так	0.008477726016369728
27	о	0.008428081537615439
28	когда	0.008133784604524838
29	друг	0.008118841855594264
30	свой	0.008018072730315452
31	себя	0.007971325624063101
32	мир	0.007888726314151101
33	жизнь	0.00788030215516897
34	мочь	0.007774270293265292
35	на	0.007772805143944952
36	а	0.007628562191931684
37	любить	0.007594193807115367
38	который	0.00741672684556156
39	день	0.007383196908351774
40	у	0.00736338107449334
41	с	0.007356894074405858
42	хотеть	0.00727961932042178
43	за	0.007257946606008001
44	любовь	0.007232367969684863
45	этот	0.007141700706942832
46	жить	0.007118419766136241
47	нет	0.007116525801939154
48	тот	0.006894837949246492
49	же	0.006803746107733728
50	ведь	0.0067991849462981846
51	год	0.006791657112979092
52	душа	0.0067620932290116354
53	по	0.006718729295279089
54	глаз	0.006596115368159825
55	но	0.006552664062979332
56	от	0.006542588775941255
57	знать	0.006522388353396208
58	каждый	0.006463744271463781
59	один	0.006437405285530688
60	новый	0.0063952214654267705
61	нужный	0.006329428337891796
62	сердце	0.006311009465364435
63	где	0.006263904217760885
64	рука	0.006251648863738657
65	чтобы	0.006225123699105576
66	видеть	0.006184186015153307
67	просто	0.006094764003673418
68	без	0.006047402899719045
69	лишь	0.0060422277672132685
70	если	0.006028144515353551
71	или	0.005948875127984751
72	вот	0.005946514790820871
73	только	0.005934132197550466
74	свет	0.005879030579263404
75	слово	0.005793274362226513
76	уже	0.005702801013866358
77	смотреть	0.005670442281462942
78	никто	0.005655147477707789
79	счастье	0.005612546431321105
80	говорить	0.0055964402021641884
81	там	0.005492261639185895
82	сегодня	0.005467837564521387
83	ни	0.005466360455220034
84	небо	0.005441221875058336
85	такой	0.005426639382175075
86	из	0.005420479914870163
87	для	0.0053378040982609495
88	время	0.005327577661112388
89	да	0.005310751951682993
90	ночь	0.005303769211704768
91	всегда	0.0052919847584555375
92	наш	0.005261675681817239
93	снова	0.005251379044208529
94	до	0.005196091500607702
95	идти	0.005085629987621413
96	сказать	0.005004019994900005
97	уходить	0.004999248520891938
98	мысль	0.004997584969552757
99	оставаться	0.004952393035403444
100	радость	0.004951669536380515
101	много	0.004948915328841656
102	понимать	0.004907976976994168
103	снег	0.0048944857568159455
104	россия	0.0048854472379959366
105	сам	0.004826096400548736
106	давать	0.004816979112340131
107	чувство	0.004784799221072393
108	земля	0.004777341600895796
109	еще	0.004743760554527868
110	солнце	0.004738193560080961
111	ничто	0.004737055174158039
112	становиться	0.004720755312159298
113	какой	0.004695051923209103
114	писать	0.0046747506681644275
115	хотеться	0.004656344096463452
116	думать	0.0046377029760510426
117	окно	0.004622589465132544
118	ребенок	0.004615585186737789
119	вновь	0.004607396846491854
120	ну	0.004597488009624159
121	сон	0.00457462054620896
122	белый	0.004555544336354367
123	прекрасный	0.004550143717714204
124	очень	0.004530232954814453
125	путь	0.0045257345712919695
126	больше	0.004477116331179025
127	ветер	0.0044406745966099215
128	лицо	0.004422371663113565
129	надо	0.0044055313128926145
130	забывать	0.004393297245452634
131	сейчас	0.0043881982673260505
132	голова	0.004371797521101617
133	17	0.004366094482950088
134	словно	0.004361113515027774
135	пусть	0.004351071444246018
136	зима	0.00434142657348138
137	находить	0.004333905702584934
138	делать	0.004264127759030432
139	проходить	0.004257525420184481
140	ли	0.004235723309530098
141	другой	0.004227530908076736
142	приходить	0.004217756571459212
143	ждать	0.004213907861245771
144	можно	0.004112245388835736
145	чувствовать	0.004101754677299468
146	боль	0.004081824434225044
147	даже	0.004000570919494706
148	утро	0.00399050046387247
149	под	0.00393804548471557
150	раз	0.003929686678137471
151	ваш	0.003929167158853508
152	хороший	0.003927174781632216
153	никогда	0.0038799191962791703
154	страна	0.0038688494735414376
155	бог	0.0038623088539872963
156	рядом	0.003825791809639252
157	народ	0.0038151846345033926
158	вода	0.003804227694752553
159	сидеть	0.0037735083971046405
160	здесь	0.0037726375572457575
161	сила	0.0037591998975928663
162	теперь	0.0037415626770149015
163	взгляд	0.0037117128113116535
164	мечта	0.003704594484152368
165	звезда	0.003684028685102367
166	будто	0.0036822054649980093
167	дом	0.0036711924393978287
168	бежать	0.003625223950513087
169	верить	0.0036248210837902077
170	судьба	0.0035989683436610832
171	самый	0.003580014353688521
172	опять	0.0035239833752024386
173	12	0.003507239914975902
174	море	0.0034737769961306654
175	птица	0.003423224012317129
176	холодный	0.0034220274094493
177	вокруг	0.003380029801308645
178	внутри	0.0033725513114277097
179	скоро	0.0033665256593303767
180	стоять	0.0033569365579479015
181	тело	0.003352772241710065
182	тогда	0.0033523485637315443
183	искать	0.0033511397521962826
184	слышать	0.0033357969370557683
185	улыбка	0.003310252327760084
186	тихо	0.0033024258157027956
187	казаться	0.0032813104879712454
188	над	0.0032786970090692984
189	про	0.0032745615464225926
190	дождь	0.0032642064545947485
191	родной	0.0032425769397649473
192	падать	0.0032417971813833582
193	прощать	0.003236167870368241
194	куда	0.003233919007627898
195	счастливый	0.003225012724195078
196	пока	0.0032081279998221997
197	дорога	0.0032037255892750395
198	зачем	0.0032017190690383245
199	бывать	0.003195282698007924
200	два	0.003184049092756659
201	уж	0.003177672258492453
202	надежда	0.003176374801751265
203	тут	0.0031749413315425726
204	стать	0.0031668833926220734
205	луна	0.0031482468657571
206	брать	0.003132034129815111
207	давно	0.003130751997664943
208	мама	0.003126963280072692
209	добрый	0.003114002574141864
210	почему	0.003085151735956728
211	тишина	0.0030754788139459883
212	память	0.003069247929390741
213	ответ	0.0030649945380324278
214	нога	0.003047885746892653
215	желать	0.003041709599074048
216	во	0.00303487590151675
217	теплый	0.003033098682597254
218	последний	0.003028662868125837
219	оставлять	0.003028433907809906
220	умирать	0.003008713229566688
221	бояться	0.003007040828150463
222	голос	0.002982158654202854
223	спать	0.0029578872206325563
224	сквозь	0.0029520126046295656
225	пора	0.0029307320774879793
226	помнить	0.00292931614011961
227	место	0.0029271511015486673
228	стена	0.0029160667300323555
229	хоть	0.0029038409508053706
230	война	0.0029029846672472505
231	чуть	0.002868181142599257
232	тепло	0.0028679007910784055
233	плакать	0.0028663855957314003
234	деньги	0.0028662188197336735
235	стих	0.0028644800188612498
236	вдруг	0.0028603499021126037
237	терять	0.0028542392271122714
238	чай	0.002838738201467427
239	правда	0.0028302388101573714
240	ум	0.0028297117588695557
241	кровь	0.0028247853725925634
242	оно	0.0028222915079907777
243	сколько	0.002818831632524824
244	женщина	0.002813864859666104
245	город	0.002812555368087757
246	потом	0.0028075284643534464
247	играть	0.002806343696196374
248	улица	0.0027784912218250836
249	просить	0.0027702134497041213
250	вспоминать	0.0027611699477790874
251	хорошо	0.0027594411356165246
252	живой	0.0027497325403500732
253	осень	0.0027486157898244388
254	конец	0.002738886743121845
255	потому	0.0027341110225939927
256	быстро	0.0027340090814496703
257	желание	0.0027238243425318793
258	смерть	0.0027223212751450506
259	огонь	0.002699593628082428
260	смысл	0.002685406941443462
261	завтра	0.002679048518200912
262	вместе	0.0026774500760622486
263	маленький	0.0026767931769641215
264	тень	0.002673610869720443
265	красивый	0.0026625888728092134
266	чудо	0.0026595997981765625
267	кричать	0.002654450225116569
268	лес	0.0026508101107573373
269	совсем	0.0026417012844446933
