	feature	tfidf
0	,	0.03917781601463118
1	я	0.026043325134866575
2	ты	0.020202631272686074
3	и	0.015108608087179004
4	в	0.014786022410639617
5	!	0.013217469293024312
6	на	0.0129217275678634
7	он	0.012874250422313153
8	2017	0.012643532561208638
9	мы	0.0116203210232814
10	мой	0.011199557374653793
11	не	0.010901212110296203
12	что	0.010342526389973619
13	то	0.010154467790573761
14	о	0.009764477494079033
15	12	0.009721253858585759
16	она	0.0094761298384006
17	это	0.009436491583598832
18	твой	0.009421742146921487
19	как	0.00920164748312104
20	из	0.00890566190886847
21	с	0.008891940602854824
22	слово	0.00880325567421289
23	*	0.008742937233680949
24	по	0.008615131495083313
25	человек	0.008592159337650392
26	который	0.008570052526764313
27	они	0.008487151724382736
28	у	0.008284507280479745
29	время	0.00820729526870454
30	или	0.008135719245021152
31	свой	0.00812024902954855
32	когда	0.008013439824518449
33	себя	0.007979012174410154
34	этот	0.007934165782023059
35	быть	0.007748978389288993
36	вы	0.007734303165245161
37	глаз	0.007619066140275379
38	небо	0.007441490645133512
39	так	0.0073994774674715595
40	а	0.007308163893246114
41	кто	0.007305056760769467
42	к	0.0070888538455578225
43	жизнь	0.007033822267528406
44	нет	0.00693689965271212
45	все	0.006916612998273111
46	бы	0.006872359532329667
47	каждый	0.006807050353058732
48	от	0.006744558518006078
49	рука	0.006725031715934355
50	день	0.006637500189427602
51	где	0.006616765444685288
52	друг	0.006558880578388565
53	душа	0.006503626065418586
54	один	0.006474368719516272
55	за	0.006418601048389414
56	смотреть	0.006298752029616542
57	ли	0.006217193600193896
58	дождь	0.0061727535387422145
59	мир	0.006151553359760019
60	мысль	0.006010338939497859
61	но	0.005987750029710182
62	2015	0.0059034576448101055
63	сердце	0.005826703316777609
64	под	0.005773093618136527
65	если	0.005752292723765618
66	ветер	0.005747192861152732
67	видеть	0.005703718881850136
68	мочь	0.005635232923023392
69	любить	0.005536931392171535
70	ни	0.005413046752500743
71	тишина	0.0054063324124480885
72	знать	0.005382515988534598
73	хотеть	0.005344769192795539
74	становиться	0.005343265644623805
75	просто	0.0052040023118874994
76	чтобы	0.005159094926903585
77	для	0.005141832802179661
78	сон	0.005115251362666795
79	тот	0.005005541764667623
80	только	0.0049829771179762195
81	говорить	0.00497067753001759
82	писать	0.004969983993273058
83	весь	0.004947266428150006
84	голова	0.004919351765406588
85	солнце	0.0048629328566109084
86	снег	0.004860292145657604
87	да	0.004788342804174709
88	до	0.0047651252442128655
89	же	0.004732210469420928
90	свет	0.004730216836053097
91	лицо	0.004718190434704969
92	уже	0.004715641933158701
93	еще	0.00470705572861901
94	город	0.004651626285917655
95	ночь	0.004644493716996461
96	утро	0.004615461973649045
97	там	0.004607905634262578
98	умирать	0.0045633555738077555
99	белый	0.004560279480242507
100	жить	0.00453350856231268
101	падать	0.004494141696502425
102	дом	0.0044935837779149935
103	холодный	0.004482867086745436
104	год	0.004464076542555805
105	декабрь	0.00444206542121967
106	уходить	0.004424596679286068
107	вот	0.004420886833966105
108	сам	0.004384734166674801
109	оставаться	0.00437548343318639
110	больше	0.004356492358358226
111	смерть	0.0043491644315483465
112	идти	0.004349067572014464
113	такой	0.00430832105392743
114	сквозь	0.004305587045212719
115	хотеться	0.004283229867604765
116	думать	0.004272186732864386
117	новый	0.0042715247197410025
118	море	0.004266498121635937
119	любовь	0.004256132349225161
120	окно	0.0042367195157597005
121	буква	0.004197907960735199
122	музыка	0.004178695340678274
123	вода	0.004172585782503501
124	другой	0.004155863982190812
125	забывать	0.004098685147640109
126	лишь	0.004087199554360844
127	тело	0.004087177685823728
128	чувство	0.004082416071947866
129	земля	0.004072452207347439
130	нужный	0.0040714663885590965
131	давать	0.004057942802607184
132	дерево	0.004011202978822368
133	ничто	0.003981906499639337
134	без	0.00395413831368101
135	можно	0.003917550208001838
136	пока	0.003852321252805607
137	какой	0.003849555845220689
138	теперь	0.0038363650045699946
139	лист	0.003829895738863032
140	приходить	0.0038199987875593634
141	взгляд	0.0037941416524603397
142	делать	0.003774485457794474
143	берег	0.003760963444208421
144	самый	0.003729211151327692
145	цвет	0.0037225707822239064
146	даже	0.003704392478478948
147	наш	0.003661823883300654
148	похожий	0.0036438852769509664
149	никогда	0.0036433975309947035
150	имя	0.0036311345373445437
151	тень	0.003610645400959498
152	птица	0.003602303670174052
153	старый	0.003539773190368389
154	улица	0.0035117131935411784
155	раз	0.0034995256867822863
156	первый	0.003498702081899026
157	понимать	0.003491927516649778
158	чем	0.003483783079643054
159	желание	0.003480503715847325
160	вечер	0.0034703313531383047
161	ведь	0.0034685194565614672
162	всегда	0.003457158408676985
163	осень	0.003457106490639097
164	над	0.0034241565616567105
165	вспоминать	0.0034240541314229764
166	звук	0.003423460232171139
167	улыбка	0.0034161326816688816
168	стоять	0.0034077246454466076
169	два	0.0034012063084395334
170	кровь	0.003389000343823545
171	счастье	0.0033841691651306507
172	маленький	0.003365747085143905
173	смысл	0.0033651844864871733
174	будто	0.0033638985397504754
175	много	0.003363325242045884
176	вокруг	0.0033414768621945696
177	сегодня	0.0033372289981514784
178	место	0.003334525977943482
179	тут	0.0033319107489574603
180	стена	0.0033267493551864345
181	пространство	0.003321299306094304
182	помнить	0.003306914041059537
183	**	0.0032962715039217693
184	07	0.003280940870633748
185	бог	0.003273410506157389
186	ваш	0.003258496692002404
187	вечность	0.003252485413374844
188	сейчас	0.003238973516192674
189	оно	0.0032381219703296674
190	хороший	0.0032364194007580387
191	внутри	0.0032350906301087403
192	голос	0.003226962374785431
193	давно	0.003224546377106636
194	воздух	0.0032072666629025773
195	снова	0.0032030820294450687
196	никто	0.003200139775259998
197	словно	0.0031893108037522083
198	й	0.003147084820146248
199	здесь	0.0031468733026569352
200	терять	0.0031445121639898173
201	боль	0.0031394549572166274
202	последний	0.003130551887882304
203	нога	0.003127274773040629
204	надежда	0.0031183275086737335
205	палец	0.0031173226045704836
206	тоже	0.0030994047557130647
207	черный	0.0030965622565579374
208	зима	0.0030938569109315484
209	находить	0.003088672019819513
210	огонь	0.0030605501089750273
211	дорога	0.0030562060928402838
212	слышать	0.0030524234149714104
213	память	0.003047292978526355
214	оставлять	0.0030456991925392196
215	прошлое	0.003039847972081378
216	путь	0.002977145976279385
217	2016	0.002956756058757078
