	feature	tfidf
0	,	0.0430835149787029
1	*	0.029713843280856873
2	иллюстрация	0.026209295155393515
3	12	0.02190823881934069
4	в	0.02020356154054204
5	!	0.017722401552662272
6	на	0.01684449548055918
7	не	0.014664746837190646
8	снег	0.013619602406228226
9	ты	0.01327469541450947
10	я	0.013242543986687201
11	и	0.013036523508987059
12	жизнь	0.011360096737713227
13	с	0.010643021543941042
14	мы	0.00968127359503685
15	над	0.00967999657574892
16	17	0.009574900392194415
17	ветер	0.00947623557719784
18	ночь	0.009360633578566079
19	как	0.009304090089415873
20	16	0.009267957235822097
21	что	0.009254455370842211
22	мысль	0.009214009003814914
23	он	0.008747467063650592
24	к	0.008537047053755142
25	о	0.00846960019796042
26	**	0.008358874034659921
27	за	0.008339463455414494
28	мой	0.008313342431693332
29	http	0.008213822093895706
30	небо	0.008078398542028855
31	все	0.007900013222232716
32	ru	0.007843428543943876
33	день	0.007797872705672973
34	читать	0.007784031578762145
35	но	0.007780045867229857
36	stihi	0.007773920874688516
37	у	0.007762318790565775
38	www	0.007755711109225637
39	то	0.007741706130992426
40	солнце	0.007618969208896404
41	быть	0.007569784519934215
42	по	0.007478824811394333
43	мир	0.007478116630178462
44	а	0.007407423026344215
45	душа	0.007331240043439958
46	2017	0.0072772992769778696
47	из	0.007215521279462291
48	любовь	0.0071485035027954915
49	от	0.007125463894506707
50	кто	0.007060202530240325
51	15	0.007030192871492025
52	год	0.006959976941113059
53	она	0.006894935806132667
54	зима	0.006754694513982953
55	декабрь	0.006642255147180699
56	21	0.00663932115045242
57	сердце	0.006611777647173254
58	они	0.006553986513055777
59	под	0.006529161671228083
60	свет	0.006460477863738129
61	белый	0.006449751805011696
62	дождь	0.006406289755967645
63	свой	0.006371582328171857
64	весь	0.006158625190145147
65	твой	0.00604666737834162
66	человек	0.0059525941406536565
67	зимний	0.005719499883695376
68	так	0.005718819955792932
69	елена	0.005680461754245852
70	осень	0.0056351191546099265
71	это	0.005595946476617343
72	нет	0.005572301598316874
73	себя	0.005533737343476889
