	feature	tfidf
0	,	0.059906956678390334
1	!	0.02412796779922791
2	я	0.02402051877940419
3	город	0.0212353742430223
4	мы	0.01624570336909424
5	ты	0.014285776713394498
6	и	0.014108597949390332
7	снег	0.013492199442993427
8	год	0.01346262480034411
9	он	0.013131552084606759
10	новый	0.011926382854859962
11	в	0.011866401479483228
12	на	0.010892012981278813
13	не	0.010689654576954078
14	вы	0.010126927445335514
15	то	0.010061198810893622
16	по	0.010014540683876257
17	зима	0.009804898761584486
18	окно	0.009707523010626292
19	*	0.009632030879392437
20	улица	0.009388087579461536
21	она	0.0091884442903099
22	с	0.009008689874292897
23	дом	0.008934260096758653
24	они	0.008824092602836401
25	день	0.00870150837661332
26	ночь	0.008686144874146139
27	что	0.008588917701808734
28	как	0.008587375046260892
29	быть	0.008414213947234461
30	под	0.008304966945062858
31	кто	0.008289700474708747
32	мой	0.0082597493491569
33	где	0.008222120035979419
34	за	0.008088267924792954
35	все	0.008000449033560194
36	а	0.007967050441411055
37	здесь	0.007794654982255997
38	утро	0.00773599709929605
39	пусть	0.007563519769037674
40	белый	0.007516144325420495
41	друг	0.00742649644992199
42	декабрь	0.007361225014461251
43	ни	0.007217574520697473
44	у	0.007105410993472882
45	из	0.007054531016012175
46	ветер	0.007046337496858339
47	бы	0.007037130589945752
48	мороз	0.006986386744404174
49	дождь	0.006972662123886244
50	небо	0.006928978207444556
51	о	0.0069070660602189955
52	этот	0.006796696563824675
53	вот	0.006568843637524629
54	весь	0.006561760534628644
55	человек	0.006526295953706799
56	там	0.006478857063159092
57	от	0.0064466903273902995
58	так	0.006326540429606112
59	12	0.006236399047859022
60	нет	0.006222438467812642
61	к	0.006211588925031959
62	чтобы	0.006130382488627688
63	без	0.006125596403497507
64	словно	0.006025462930740593
65	это	0.005987051386693045
66	наш	0.005973993243129914
67	вечер	0.005942636961970269
68	снова	0.005941298807651414
69	же	0.0058871902921834056
70	до	0.005883513442686269
71	идти	0.005853598908256162
72	будто	0.005847492599084635
73	над	0.005846237907274389
74	старый	0.005838730001908379
75	праздник	0.0057787292679300625
76	свет	0.00570923143154845
77	да	0.005663326083042802
78	осень	0.005655495952595286
79	фонарь	0.005576886312100332
80	тот	0.0055477451556126415
81	когда	0.00550664565202564
82	двор	0.005470142767366655
83	но	0.0054593653648603215
84	жизнь	0.005437530997859413
85	солнце	0.005390215854101211
86	еще	0.0052657072404972
87	твой	0.005258533488254218
88	мочь	0.0051305276694210275
89	дорога	0.005125391894110821
90	свой	0.005114622952834365
91	для	0.005081716601589378
92	уже	0.005080456070376026
93	москва	0.005068149698891501
94	сегодня	0.005034910589652619
95	каждый	0.005013513163171872
96	себя	0.0050018063967079
97	опять	0.00498981779117994
98	приходить	0.00496134968683929
99	серый	0.00493498471771725
100	мир	0.004909365394398569
101	2017	0.0048898901564019374
102	смотреть	0.004882359902533776
103	жить	0.00485971258746519
104	время	0.004821957960669467
105	лицо	0.004780845745844035
106	уходить	0.004741248867336031
107	глаз	0.004740681468968617
108	сон	0.004734107902867625
109	ну	0.004713008345293059
110	ли	0.004710037919208855
111	душа	0.004696631648162113
112	просто	0.004665796965935977
113	один	0.004591196620076147
114	спать	0.004574093744082939
115	скоро	0.004561557013409792
116	рука	0.0045437552015487395
117	вновь	0.004539254274121147
118	любить	0.004532389396225811
119	счастье	0.004522377071339581
120	такой	0.004476395914282462
121	становиться	0.004468256474359407
122	всегда	0.00446670607340186
123	много	0.004452562945958429
124	нога	0.004444494192019325
125	ждать	0.004442523385021677
126	чуть	0.004438715007421951
127	радость	0.004435272025689413
128	или	0.004432811963888097
129	давно	0.004428565569177529
130	детство	0.004405516328309879
131	надо	0.004405133412062584
132	хотеть	0.004345351249225962
133	хороший	0.004333765230198357
134	только	0.004324861566029347
135	видеть	0.00430787651838699
136	лишь	0.004271164409178775
137	стена	0.004242106214011276
138	который	0.00421550025466056
139	очень	0.004204449275493229
140	тут	0.004185508616991452
141	час	0.004179705705394762
142	если	0.004174514242176066
143	лето	0.004156919268306048
144	какой	0.004148952337973808
145	играть	0.004122007837139328
146	крыша	0.004115718835962669
147	два	0.0041143935486933425
148	дверь	0.004089783944823241
149	огонь	0.004073859378589527
150	земля	0.0040624754935698355
151	вода	0.004046689150465896
152	знать	0.004026305547646779
153	уж	0.004011790581982957
154	2016	0.004010596651116519
155	оставаться	0.004005237425656645
156	забывать	0.004003854564651866
157	пора	0.003986261282870256
158	хотеться	0.003973838634353002
159	ведь	0.003963955441166778
160	холодный	0.003952980858218569
161	дело	0.003930772595832362
162	тень	0.003930205694903752
163	лист	0.003895567920815543
164	зимний	0.0038803569540895276
165	давать	0.003876807591598877
166	куда	0.003874562091147301
167	вдруг	0.0038742370561473892
168	машина	0.0038664212519712296
169	проходить	0.0038473051957628023
170	народ	0.0038307470413232905
171	тишина	0.00382283538266845
172	нужный	0.0038180960046742484
173	про	0.00381738406245224
174	дед	0.0038098475811560164
175	стол	0.00380783796492746
176	стоять	0.003792078477450548
177	спешить	0.0037744339951756123
178	среди	0.003761384990118068
179	никто	0.0037600287181024337
180	ребенок	0.0037581471825062023
181	сам	0.003722475166131377
182	мысль	0.003714821413282751
183	сквозь	0.003707941729882009
184	лететь	0.003703886709082699
185	2015	0.0036973046012979535
186	путь	0.0036914519342779663
187	слово	0.0036832259481307554
188	раз	0.0036776808975926747
189	сказка	0.003672549407880029
190	сидеть	0.0036503697117110934
191	даже	0.003649291397246969
192	холод	0.0036469723297663475
193	метель	0.0036467898063356667
194	писать	0.0036410809607279244
195	хоть	0.003611958626106579
196	сказать	0.0036113673387202483
197	песня	0.0036102821867659025
198	весна	0.003604609528428882
199	встречать	0.003601439330050428
