	feature	tfidf
0	,	0.05582919127262074
1	!	0.03424659754693837
2	мы	0.024364166847612095
3	я	0.0177056602588544
4	вы	0.016854760699495458
5	он	0.01583000929937891
6	они	0.015514976331470953
7	россия	0.015260271277042216
8	ты	0.014029257434901621
9	не	0.013381706843903746
10	год	0.013357270419629483
11	страна	0.013014297722007807
12	кто	0.012688148795225477
13	народ	0.012484738009370824
14	и	0.012187655662672455
15	война	0.011117779632102264
16	быть	0.010562469121019805
17	наш	0.010334439303255125
18	человек	0.010249792332281897
19	за	0.010034630457310024
20	что	0.009711710405612556
21	*	0.009402145040792854
22	все	0.009124582225982595
23	то	0.009034818516018808
24	жизнь	0.008963746842640603
25	она	0.008962302972490606
26	в	0.008867710668583854
27	пусть	0.00885234093419809
28	чтобы	0.008502761468823424
29	новый	0.00836807175606689
30	друг	0.008327271436418416
31	мир	0.00832630137462192
32	весь	0.008288885106392661
33	жить	0.008148377939775728
34	с	0.008098681164550044
35	у	0.00804055396483349
36	а	0.007984141196596073
37	на	0.007892721307483315
38	бы	0.007764678686985537
39	тот	0.007726518365876961
40	как	0.007463402366946299
41	ни	0.007428705728811377
42	свой	0.007403353012642699
43	от	0.007370987663583845
44	о	0.00719379345052932
45	земля	0.00711797038844534
46	русский	0.007054436201490359
47	мой	0.007051867321983376
48	где	0.007050911751681707
49	это	0.006928726122749927
50	для	0.006806211808833952
51	по	0.006792624806923857
52	же	0.006717866836105917
53	нет	0.006688037841131815
54	12	0.006669043688968827
55	ребенок	0.0066095665914100345
56	власть	0.006432388507819999
57	без	0.0064257198612771484
58	да	0.006284427168141152
59	к	0.006204484913775817
60	здесь	0.006163375668090135
61	когда	0.006096013090502553
62	там	0.00609346569854407
63	душа	0.005988947880888296
64	из	0.005919775204784795
65	но	0.005848085252507942
66	бог	0.0058284185566086855
67	враг	0.00575653308577294
68	мочь	0.005740156610209126
69	каждый	0.0057199277657138834
70	родина	0.005641405137080068
71	так	0.005641004268494811
72	родной	0.005612450359370262
73	давать	0.005611106612206335
74	мать	0.005578553093862873
75	день	0.0055199112003590555
76	вот	0.005519460043206122
77	ведь	0.0055007294789896485
78	всегда	0.00542139748036998
79	много	0.005384130341303894
80	себя	0.0053421480224566525
81	этот	0.005323467875970196
82	надо	0.005250848886314499
83	такой	0.0052171881043186884
84	ваш	0.005193358400414856
85	дом	0.005181321600585514
86	под	0.005173562729916262
87	знать	0.00512471241515715
88	век	0.005093358137408774
89	если	0.005087144334775485
90	над	0.005083001755121249
91	русь	0.005066642886929449
92	до	0.005021199050167551
93	идти	0.0049980322164460585
94	слово	0.0049800550579826176
95	один	0.004976164218467152
96	память	0.004917562396326834
97	становиться	0.004866151449726729
98	дело	0.004843687550194015
99	твой	0.004823687421877959
100	кровь	0.004797999418902487
101	уходить	0.0047775161341821245
102	только	0.004741454819686741
103	любить	0.0047340209451184135
104	нужный	0.004732621401612292
105	счастье	0.004688859936985059
106	еще	0.004682891225588505
107	бой	0.004584386284651222
108	хотеть	0.004571096019732243
109	время	0.004567553405457037
110	уже	0.004540189763507032
111	2017	0.0045368339236350474
112	уж	0.004508778484234797
113	сила	0.004503868288204716
114	сегодня	0.004502531993177954
115	беда	0.0044999937977847956
116	судьба	0.004433191406138443
117	лишь	0.004419439638948108
118	теперь	0.004415098514644374
119	путь	0.004392537449130315
120	ну	0.004387172680926135
121	радость	0.004339406875775843
122	дорога	0.004325803204100024
123	желать	0.00426661796477305
124	свет	0.004266578793611897
125	солдат	0.004247064753029283
126	поэт	0.0042411140746809895
127	2016	0.004205956077589452
128	2015	0.004187075151232825
129	смерть	0.004181785024849582
130	ли	0.004178554495951529
131	писать	0.004169718042291992
132	другой	0.004155912116260234
133	верить	0.004130714585922405
134	мама	0.0041256960848136326
135	приходить	0.0041170785124225884
136	оставаться	0.004115075241504686
137	снова	0.004099548372973795
138	сердце	0.0040986357277530494
139	вновь	0.004094873986405741
140	честь	0.004092243513670388
141	победа	0.004080552249592344
142	правда	0.004051079974597194
143	боль	0.004047686832428855
144	сказать	0.004028690875976149
145	какой	0.00401538216895704
146	который	0.003989074574080795
147	хороший	0.0039780742553491835
148	город	0.003972943530368285
149	поле	0.003966793738293355
150	любовь	0.0039620515373409845
151	про	0.003955847062973286
152	сам	0.003953049997632694
153	просто	0.003941729506689661
154	декабрь	0.003917897320238966
155	видеть	0.00391185942190361
156	деньги	0.003898836375414594
157	забывать	0.003898041081694674
158	говорить	0.0038962203098842777
159	стих	0.003888800254694158
160	небо	0.003873508762011119
161	живой	0.0038525189863194667
162	понимать	0.0038383705829196308
163	пока	0.0038199263045675556
164	добро	0.0038088556243182047
165	брать	0.003787608010412454
166	мысль	0.00376453353407936
167	очень	0.0037525410772286496
168	опять	0.0037365022667357637
169	никто	0.003696442664142517
170	отец	0.0036813299737626076
171	рука	0.003675648930625072
172	сколько	0.0036739073060943323
173	давно	0.003669871121745682
174	или	0.003658495153157291
175	ждать	0.0036380925184006773
176	свобода	0.003637084632819982
177	брат	0.0036345260429593417
178	лицо	0.003617450970887853
179	край	0.0035780241157284563
180	дед	0.0035751869834010582
181	большой	0.0035391486336948615
182	детство	0.003527728020331248
183	смотреть	0.003514284080649223
184	песня	0.003507178589095335
185	даже	0.0035002568909244416
186	делать	0.0034963289803930826
187	проходить	0.003489947794238689
188	тут	0.0034871317642016903
189	стоять	0.0034829268941866985
190	пора	0.0034440440897959205
191	великий	0.003442264176185855
192	герой	0.0033986499245096274
193	хоть	0.003380356856311201
194	раз	0.0033756062990907623
195	вера	0.0033701336251366117
196	семья	0.0033634363894745494
197	среди	0.0033627243438963373
198	сын	0.003360492924480624
199	помнить	0.0033583045235053392
200	погибать	0.003355295424967744
201	сейчас	0.003349316853497771
202	труд	0.003345783222231403
203	помогать	0.003336734448938731
204	праздник	0.0033358880814648726
205	добрый	0.0033241788810598545
206	прощать	0.0033010971582204396
207	глаз	0.0032887738154551197
208	простой	0.0032718138442439783
209	зло	0.0032709221225423915
210	дух	0.0032520425916156854
211	убивать	0.0032433014608578043
212	тогда	0.0032405240017637357
213	должен	0.0032370713004760774
214	голова	0.0032205183893586134
215	иль	0.003217631086871666
216	украина	0.003188781423015884
217	надежда	0.0031833036404144734
218	закон	0.0031800686257298033
219	часто	0.003173213988464718
220	белый	0.0031600226618056435
221	снег	0.0031597154240390834
222	словно	0.003129322110373546
223	слава	0.0031124728240337876
224	ум	0.0031087607945174864
225	бывать	0.003099413450163518
226	будто	0.003083044506122962
227	последний	0.003080031777714456
228	старый	0.0030754223469284126
229	перед	0.003068451111120687
230	море	0.0030640689919142943
231	два	0.0030611718372318656
232	совесть	0.0030369741232293287
233	конец	0.0030285001340750817
234	первый	0.0030224795204495565
235	находить	0.0030201481345622275
236	вдруг	0.0030129070817663008
237	мало	0.003005040396519433
238	куда	0.0029961883888623563
239	чужой	0.0029917778067287382
240	никогда	0.0029911124120746966
241	ложь	0.0029861820333336253
242	президент	0.0029849605850042565
243	вспоминать	0.002984032771591864
244	российский	0.0029836409444201533
245	во	0.0029737869171450365
246	планета	0.00297011363881149
247	ночь	0.002970050014272202
248	горе	0.0029589091579346033
249	место	0.0029330955403938587
250	ответ	0.002922247079816319
251	скоро	0.002921773215828508
252	хотеться	0.0029093504074856353
253	можно	0.002901429066384881
254	час	0.002898911022466375
255	нельзя	0.002893223845570858
256	встречать	0.0028925026278924996
257	солнце	0.00286871139175888
258	работа	0.002863322083118778
259	при	0.0028524505781906393
260	хватать	0.0028494729618303576
261	чем	0.002840428176468507
262	огонь	0.002840102209040992
263	лес	0.002840091014016819
264	готовый	0.0028300802306017933
265	страшный	0.0028220810988885993
266	стать	0.0028200197876139515
267	просить	0.0028151877120256024
268	любой	0.00281487691116181
269	мороз	0.002814179241739314
270	совсем	0.002813575118482687
271	думать	0.0028076198447204636
272	лучший	0.002807190842024657
273	отдавать	0.002793538881663377
274	чуть	0.002773227817418769
275	зачем	0.0027691286743274546
276	ветер	0.0027517951083718155
277	больше	0.0027335283152621313
278	Все	0.002726079278405371
279	вместе	0.00272042782214189
280	порой	0.0027071873949371375
281	самый	0.002705701089979541
282	флаг	0.0027039364411456175
283	утро	0.0026989322203405048
284	история	0.002697441276258856
285	вставать	0.0026970869917387844
286	оставлять	0.002685614431186643
287	москва	0.002684172633122702
288	здоровье	0.002681604217342301
289	ничто	0.002678142706527934
290	стоить	0.0026773644274749493
291	хлеб	0.0026703571424296223
292	вокруг	0.0026702853318577623
293	умирать	0.0026677462602396275
294	искать	0.002659489318926539
295	счастливый	0.0026587143136156174
296	окно	0.0026548652050301354
297	считать	0.002649258974297787
298	плакать	0.002631703550604407
299	путин	0.0026304886875122804
300	ходить	0.002626242079243396
301	покой	0.002617957457039169
302	вернуться	0.0026135212461924355
303	дорогой	0.0026089948088114886
304	река	0.0026059105729633915
305	имя	0.002598129337836611
306	страх	0.0025813513581947668
307	хорошо	0.002578117230097302
308	мечта	0.0025730734603485288
309	светлый	0.0025711614172523357
310	спасать	0.002568908939695859
311	европа	0.0025591385386662603
312	петь	0.0025580245418014118
313	лететь	0.00255528417547702
314	вода	0.0025497915976401063
315	вечный	0.0025424257871988925
316	трудный	0.002536170343387368
317	прекрасный	0.0025171613218917754
318	право	0.002516973618823627
319	почему	0.002512961877725694
320	конечно	0.0025123957031259
321	тоже	0.002495611734800707
322	в1	0.0024937602154536647
323	гора	0.0024869052186866324
324	читать	0.0024856644069536625
325	важный	0.002478473827232751
326	потом	0.0024725410417471786
327	нога	0.0024711530069501933
328	слышать	0.002466566430612373
329	рядом	0.002465548982221356
330	сильный	0.002460205970935821
331	стол	0.0024567969216038985
332	вопрос	0.0024370914868242473
333	11	0.0024359864984667533
334	зима	0.0024352586719088927
335	гореть	0.0024294107464055076
336	сидеть	0.002426877251249058
337	вперед	0.0024268404289917193
338	***	0.0024259463741305907
339	дарить	0.002423156648828378
340	святой	0.0024197805452441353
341	сон	0.0024133893857882817
342	птица	0.002410501389001698
343	дверь	0.002405972293692292
344	поздравлять	0.0024014831833666654
345	принимать	0.002392429238417393
346	многие	0.002390485044404357
347	милый	0.002387896969325429
348	решать	0.0023811217022168324
349	терять	0.002373999495190171
350	потому	0.0023686766598961214
351	голос	0.002368154960928079
352	спать	0.0023640335005101405
353	природа	0.002360889394452944
