	feature	tfidf
0	,	0.04545329977122199
1	!	0.0376038687254319
2	я	0.02747287373350891
3	он	0.02254398408358548
4	год	0.020063867313802025
5	мы	0.019929114804787765
6	мама	0.016892526696735778
7	ты	0.016224623234732272
8	она	0.01597303825401769
9	и	0.012857348835634554
10	у	0.012849383980132502
11	папа	0.01238003853939448
12	снег	0.012296325647643344
13	очень	0.011976045592478633
14	они	0.011858774665716427
15	спать	0.01177013555287055
16	новый	0.011525464760216998
17	мой	0.011296870266754008
18	играть	0.010945469830161777
19	писать	0.010568885514851961
20	любить	0.010319273661761476
21	дед	0.010153609816058068
22	дом	0.009881017924026236
23	мороз	0.00964469666476616
24	весь	0.009618536661737658
25	все	0.009533481954857443
26	вы	0.009527655322377626
27	вот	0.008978127501798518
28	лес	0.008968961028596727
29	красивый	0.008865870965605243
30	друг	0.008689277427118721
31	это	0.008615572785586516
32	бабушка	0.008476991205794825
33	хотеть	0.00828550838922995
34	этот	0.008191933042849753
35	наш	0.008143074379486649
36	сказать	0.008130763587059817
37	ребенок	0.008126744867615993
38	а	0.008114200545968116
39	под	0.008066113448747372
40	как	0.007942784153366732
41	с	0.007917165448139576
42	не	0.00791085168328684
43	школа	0.007905120776542875
44	зима	0.007834158185165621
45	день	0.007801468938508614
46	быть	0.007738150652820675
47	к	0.007521429283684947
48	дедушка	0.007485477192180754
49	ёлка	0.00743853750562838
50	*	0.007385141617591325
51	человек	0.007364731947068186
52	хороший	0.007340406238103254
53	приходить	0.007292430685086086
54	12	0.00728697754306513
55	сидеть	0.007232825052485954
56	кот	0.007190463361578077
57	первый	0.0070752619220626955
58	скоро	0.0070632534363356285
59	маленький	0.00700815054888022
60	в	0.0069546407766354545
61	10	0.006871291847252686
62	кто	0.006816287655358772
63	то	0.006810497613869195
64	много	0.006709012892329237
65	стих	0.0067046747529692675
66	да	0.0066268307024861875
67	белый	0.006620004493611849
68	окно	0.006568702251527093
69	мир	0.006544762663475886
70	подарок	0.00652814251653853
71	на	0.006369412889288677
72	смотреть	0.006191697621831475
73	ждать	0.00606494621007793
74	по	0.006008312784344468
75	что	0.005957556078296469
76	терять	0.005832661637949304
77	гулять	0.005822038231514181
78	всегда	0.005754491972323128
79	понимать	0.005703346294884166
80	ребята	0.005598486422629852
81	идти	0.005598117170636591
82	пусть	0.005557969449490573
83	надо	0.005550570712575812
84	тут	0.005543224509969066
85	из	0.005527816794852178
86	детский	0.005456951849738607
87	такой	0.005444075789629079
88	же	0.005405815747488336
89	говорить	0.005403675919766221
90	большой	0.005398382625853867
91	домой	0.005397854176077252
92	сказка	0.005394931768943222
93	знать	0.005377724243461925
94	делать	0.005358962913850591
95	свой	0.005348671301125976
96	солнце	0.00532259952117841
97	самый	0.00528408784490103
98	ведь	0.00525534270728247
99	семья	0.005246277813307444
100	помогать	0.005242023911966772
101	за	0.005230474443466302
102	для	0.005206126092806575
103	рассказывать	0.005184178708220159
104	чтобы	0.005175345986060725
105	сегодня	0.005152662737906229
106	2017	0.005139684288085648
107	двор	0.005137049896501229
108	там	0.005101720335820749
109	почему	0.005097591314094527
110	о	0.005061614609085771
111	даже	0.005047952650692331
112	внучка	0.005036322910623015
113	брать	0.005021817991692211
114	добрый	0.0049902445839292075
115	без	0.004988858275196223
116	от	0.004969802347665789
117	свет	0.004944238764120443
118	веселый	0.004903055963166669
119	жизнь	0.004883288734394467
120	только	0.004875793448907207
121	родной	0.004832054906954954
122	потом	0.004823430149628199
123	ну	0.004820226738232085
124	небо	0.004802781094710589
125	наступать	0.00478557864544964
126	бы	0.004757920869753074
127	жить	0.004727525776141406
128	никто	0.004727372032055612
129	строить	0.004720265489446344
130	какой	0.00471014700178209
131	бежать	0.0046984495737779
132	становиться	0.0046748681198913586
133	девочка	0.004642222408754726
134	гость	0.004633429726283765
135	ночь	0.004622524149424703
136	класс	0.00461470065337473
137	снежинка	0.004606637841906144
138	нос	0.004567318113559867
139	вместе	0.004560879495310398
140	когда	0.0045571574666994335
141	рождение	0.004540970419457376
142	звать	0.0045320724607405055
143	земля	0.004527583916241487
144	каждый	0.004500891579667645
145	здесь	0.004484491643102008
146	пойти	0.004475428371729286
147	нет	0.004445869796745109
148	мочь	0.004444338645747415
149	поле	0.004437617192431489
150	http	0.004434739174159043
151	где	0.004431611701930963
152	падать	0.004422932975612924
153	ru	0.004419503299804781
154	рисовать	0.004305758606017858
155	река	0.004304777633094279
156	нужный	0.004291581656617323
157	утро	0.004272062871908202
158	песенка	0.004269753921475826
159	если	0.0042665961072988106
160	птица	0.004266258728544537
161	красный	0.004257060530671328
162	приносить	0.004253073836683433
163	видеть	0.004247719744531474
164	собака	0.004216223164955788
165	так	0.0042022960694787035
166	просто	0.004190782280679168
167	верить	0.004144230401383348
168	месяц	0.004142927508883772
169	конечно	0.004124600675436815
170	ничто	0.004112599346636441
171	целый	0.0040968769624222
172	лучший	0.004086411160744677
173	но	0.004059522543712152
174	радость	0.004049196436548867
175	час	0.004038468864573747
176	3	0.004038428571896979
177	быстро	0.004003140412328521
178	Ёлка	0.003998137459904495
179	сон	0.003984848437697318
