	feature	tfidf
0	,	0.07128762754766982
1	я	0.033438015453276654
2	ты	0.022958854051855004
3	!	0.01941504568171385
4	не	0.016909261787566948
5	мы	0.016704104978537925
6	2016	0.015410650363461615
7	2017	0.015292329445030008
8	соновиться	0.014047575845733526
9	он	0.012943447517977026
10	*	0.012385587908433407
11	что	0.01204114521759558
12	как	0.01201637525391732
13	12	0.011669492272635567
14	в	0.011665542567798993
15	и	0.011405145967159863
16	то	0.011146328978625037
17	твой	0.010865509143318876
18	любовь	0.010761940372651104
19	мой	0.0106149559789026
20	бог	0.010428392817721517
21	поэт	0.009977427997475944
22	она	0.009955757534950292
23	быть	0.009920312266910413
24	кто	0.009704487676549502
25	вы	0.009577545647602069
26	ни	0.009571054366336334
27	о	0.009253089168142674
28	бы	0.009079612073027765
29	они	0.008986467646373321
30	к	0.008893429557796819
31	тот	0.008817918989941618
32	но	0.008720109844827772
33	слово	0.008673267127318666
34	лишь	0.008670315375717465
35	стих	0.00846723610651753
36	душа	0.00846109265968631
37	себя	0.008283515038603334
38	когда	0.008169308469718162
39	для	0.008001880661683112
40	ночь	0.007876155815793323
41	свой	0.00786301635453049
42	ли	0.007802272159857847
43	пусть	0.007680588881236919
44	с	0.0076248497967377074
45	на	0.0075913555985426305
46	сон	0.007545766145651124
47	без	0.007477719327152244
48	мир	0.007411382476338063
49	сердце	0.007361106490361315
50	судьба	0.007353981635714908
51	нет	0.007334075643358874
52	путь	0.007314993784775724
53	а	0.00724189601516113
54	все	0.007189389592959519
55	время	0.007166702904903092
56	свет	0.00703452359989613
57	11	0.006947150064910772
58	любить	0.006885106670314169
59	жить	0.0068736962205693634
60	каждый	0.006861506740230723
61	друг	0.0068597365066529
62	среди	0.006855079695711128
63	же	0.006698311542553975
64	мысль	0.006652067294656573
65	день	0.0066362199132999
66	жизнь	0.0066067159599503406
67	будто	0.006546438582955229
68	знать	0.006530277674633554
69	чувство	0.006475448673168777
70	09	0.0063533066722507164
71	сам	0.006348396713705612
72	год	0.006342457215965179
73	видеть	0.006342451133553502
74	давать	0.006277069677055256
75	всегда	0.006266511430894067
76	лист	0.006262095328511942
77	который	0.006257650359407891
78	из	0.006220965143893907
79	перед	0.0061312902419932815
80	счастье	0.006052058939003309
81	вновь	0.005936588873519481
82	еще	0.00593191580935325
83	над	0.005895982806875403
84	глаз	0.005855289822611747
85	снег	0.005837165261494065
86	декабрь	0.005813088396458932
87	вот	0.005795437119596652
88	писать	0.005775580559499125
89	взгляд	0.00574037447950467
90	10	0.005702714272146447
91	наш	0.005684051125000875
92	век	0.005659701399032321
93	от	0.005654440678700254
94	словно	0.005622905124624916
95	теперь	0.005622785763362863
96	так	0.005605774206903674
97	мочь	0.0056034183781213205
98	давно	0.005537145208830762
99	забывать	0.005497018351411001
100	иль	0.005455596052552031
101	уже	0.005404094378028862
102	даже	0.005396241291155903
103	становиться	0.005389608650633444
104	пора	0.005381799241092077
105	идти	0.005362731782368964
106	дорога	0.005342729857250177
107	сонет	0.005320761439937322
108	вдруг	0.005315057503845881
109	строка	0.005310093520064285
110	сила	0.005306049475661533
111	пока	0.005304410478161763
112	за	0.005303809544849883
113	верить	0.005294059653410089
114	2017г	0.00526107671152471
115	надо	0.005247758065492461
