	feature	tfidf
0	,	0.06380000864936747
1	!	0.04732021602775504
2	я	0.0311306629121492
3	он	0.019082255514991913
4	не	0.018943817587474997
5	вы	0.015706927099701305
6	а	0.01565117848699822
7	ты	0.015325687052025446
8	что	0.01482004328550015
9	то	0.014466916568725343
10	*	0.014384349286021206
11	и	0.01384035506364996
12	мы	0.013597675159643318
13	в	0.01279191220405797
14	они	0.01236150744370678
15	быть	0.012049625784973232
16	вот	0.012031917093407236
17	она	0.011994978772759627
18	на	0.01197063703462632
19	кто	0.011555606897087992
20	бы	0.01155197019284862
21	у	0.011230935625494442
22	с	0.011122515992933324
23	ну	0.011031895652803957
24	же	0.010772659037339958
25	все	0.01057414050723731
26	как	0.010370179595943652
27	да	0.009855617910611595
28	так	0.009479002819438483
29	ни	0.009158515728423742
30	если	0.00908846068350033
31	по	0.009005784055705505
32	но	0.00898453403642414
33	это	0.008977946966060173
34	год	0.00884019911600108
35	нет	0.008783016435102235
36	из	0.008696876588334164
37	весь	0.00851610604476771
38	к	0.008291834849062745
39	за	0.008244150053014246
40	такой	0.008227973117824925
41	12	0.008136997700976908
42	мочь	0.007995289077471714
43	от	0.007977390772726807
44	без	0.007973065874996734
45	утро	0.007801066768233717
46	о	0.007515754351836909
47	мой	0.007291115600885567
48	тот	0.007285413499562042
49	когда	0.007207260728041729
50	чтобы	0.007029946597428919
51	себя	0.006970949101095957
52	там	0.00691709875533776
53	для	0.006850402534020901
54	до	0.0068494613041991505
55	сказать	0.006796797981135103
56	ведь	0.006705419467265619
57	жизнь	0.006502648360453274
58	свой	0.006437454332822536
59	один	0.006403818104538827
60	человек	0.006279841360143625
61	надо	0.006200661419529667
62	знать	0.006048554533082735
63	только	0.006044736316272692
64	тут	0.006039871708599361
65	новый	0.005967878718181767
66	где	0.005878145965710849
67	хотеть	0.00581989572608794
68	даже	0.005735516495956518
69	писать	0.00572666060807405
70	давать	0.005690486994539101
71	говорить	0.005671775744131979
72	какой	0.005667763724862325
73	друг	0.005665478109227427
74	уж	0.00563958666952259
75	поэт	0.005628425524907077
76	сам	0.005579650024246106
77	под	0.005566562104755259
78	еще	0.005507775617198302
79	жить	0.005499875028585619
80	этот	0.005491443200703737
81	любить	0.005473210314117793
82	ли	0.005467813385257978
83	просто	0.005448269248924612
84	или	0.00537441205708102
85	наш	0.005347040603780141
86	народ	0.005320765614480966
87	всегда	0.005286711255695344
88	очень	0.005235514338972687
89	про	0.005231599813697303
90	уже	0.005199728875065224
91	лишь	0.0051597639982147656
92	хоть	0.005123058274680444
93	становиться	0.00507770180679075
94	женщина	0.005043461624897876
95	дело	0.005000273081158129
96	брать	0.004998390790444262
97	хороший	0.004986999003652539
98	конечно	0.004976707198643377
99	теперь	0.004896278805994251
100	стих	0.004861024916389656
101	жена	0.004843853629934612
102	деньги	0.004813307383307867
103	раз	0.004793418287469844
104	2017	0.004788160362943704
105	два	0.004752511352479539
106	нужный	0.0045823473667776626
107	день	0.004548349424911209
108	делать	0.004542277847627083
109	другой	0.004513800114128228
110	слово	0.004451680458418148
111	здесь	0.00443092607226263
112	опять	0.004412600875987802
113	видеть	0.004399283250511817
114	россия	0.004360122024579064
115	много	0.004354572795748106
116	пить	0.004353957729383887
117	пусть	0.004350354278079908
118	***	0.004297990161186878
119	бог	0.004290855492194742
120	вдруг	0.004264674913226731
121	пока	0.004243718461200723
122	мир	0.004220661061861926
123	ru	0.004216328870055263
