	feature	tfidf
0	!	0.07014779857329903
1	2015	0.03108329398846191
2	декабрь	0.0284857579933194
3	,	0.027702330181429424
4	я	0.02664475354986444
5	романс	0.025996775934015618
6	твой	0.022769362406774567
7	ты	0.018644633802755408
8	куплет	0.01513610364959754
9	глаз	0.014956846466354616
10	под	0.013845002068569999
11	http	0.013410346289116097
12	ru	0.013364274052827961
13	страсть	0.013038065044437226
14	душа	0.012430981379153775
15	но	0.012334714584250499
16	он	0.012146709393749367
17	мой	0.011841686085976143
18	год	0.011796810217475253
19	мы	0.011588415794505728
20	или	0.011026563579433612
21	короткий	0.01094734889983057
22	театр	0.01094513688802966
23	й	0.010892719021070236
24	Припевать	0.010864112544235471
25	смешный	0.01069974696050118
26	тобый	0.010595543462565839
27	2014	0.010457809838667079
28	пронзать	0.010349248162533128
29	пролетать	0.010223117903050414
30	ну	0.010109363424594661
31	раз	0.010039402521042571
32	луна	0.009952646129158164
33	любить	0.009932577560261939
34	очень	0.009887568827932002
35	18	0.00976704504804015
36	чуть	0.009742956300852586
37	20	0.009702324884751045
38	марина	0.009700122317687987
39	взгляд	0.009633458520103357
40	кто	0.0096052736921817
41	она	0.00953450643944337
42	этот	0.009526263409613996
43	красота	0.009486867853097658
44	вы	0.009440978578385365
45	i	0.009259259259259259
46	миг	0.009213255059402932
47	быть	0.00921069385241955
48	облако	0.008958532360873758
49	мечта	0.008952212622414059
50	страна	0.0088646349024606
51	лишь	0.008863366389429864
52	даже	0.008853672800773614
53	1	0.008766538343436374
54	Марина	0.008619937789250453
55	восхищать	0.008600504085602173
56	сердце	0.008526669120940335
57	09	0.0085098843853226
58	мама	0.008508041169185394
59	у	0.008501698771444032
60	пленять	0.008407029481110691
61	солнце	0.008294374286945938
62	свобода	0.008275295645095488
63	как	0.008252077093748715
64	теперь	0.008188361491906656
65	по	0.00811594362927576
66	далее	0.008086246767793718
67	не	0.008069138815345043
68	зоть	0.007941118903001705
69	нто	0.007886599973659847
70	нежность	0.007878514228808956
71	давать	0.00783624710866588
72	22	0.007785169250730139
73	12	0.007761617416710862
74	где	0.007671328300981798
75	на	0.007667754667979733
76	наш	0.007660905107754762
77	идти	0.007659823746658415
78	видеть	0.007644425310511832
79	Судьба	0.007628793826552408
80	влекать	0.007594440689975441
81	бы	0.007558860552178592
82	во	0.007527812597723516
83	возвращаться	0.007523674286428988
84	слушать	0.007479221406507197
85	милый	0.007373990638824031
86	тень	0.007344418741752142
87	вкусный	0.007301973086569459
88	без	0.0072448805562098425
89	нет	0.007230918778799027
90	за	0.007213511546844846
91	к	0.007205124605055118
92	день	0.007204775900150663
93	самый	0.007114738607388831
94	ни	0.007110650472363765
95	это	0.0070879803525371815
96	хороший	0.007069389303723479
97	царство	0.006982813497594505
98	крыло	0.006964268770588932
99	мое	0.0069408844815846285
100	нужный	0.006910596590934028
101	вот	0.006851708343637057
102	смотреть	0.006829560921527349
103	скоро	0.0068133963626667345
104	черт	0.006755739040864772
105	неземный	0.006582899394603669
106	здравствовать	0.006546731774152649
107	высокий	0.006528727846212152
108	11	0.006509216087259346
109	эй	0.006508113035645747
110	вечер	0.0064107640952771675
111	кидать	0.006389948404831208
112	с	0.006378679887824662
113	для	0.00635699744960276
114	лучший	0.006355334786462465
115	девушка	0.006346971682012364
116	родной	0.0063424068287229445
117	брать	0.006335776920786324
118	тать	0.006331353128614318
119	что	0.006317815321597237
120	=	0.006306321290480777
121	of	0.006296707888669727
122	чёрт	0.006246781368407177
123	stihi	0.0062260153914602805
124	жизнь	0.0062012875219576435
125	сон	0.006181031946473796
