	feature	tfidf
0	,	0.06546620414658265
1	ты	0.05733690598070822
2	я	0.05695711600629016
3	!	0.02533239940294506
4	твой	0.021837791152959248
5	любовь	0.02178078080550629
6	не	0.019896817594248314
7	мой	0.019482150551518244
8	мы	0.01842093281502322
9	любить	0.01630205098775627
10	и	0.015025532291327187
11	она	0.014790930382291925
12	быть	0.014348601611119406
13	что	0.013619921782727517
14	сердце	0.012532619607457617
15	как	0.012018523666345543
16	он	0.011364626608226224
17	с	0.01116166414622342
18	в	0.01086589778476499
19	друг	0.010487459070471047
20	хотеть	0.01043828576717659
21	так	0.010335031153354214
22	о	0.010209137771444034
23	глаз	0.01016535775595975
24	душа	0.0101245699982862
25	вы	0.009773338079235142
26	мочь	0.009686941160489227
27	то	0.00966040892514912
28	бы	0.009395988005679345
29	чувство	0.009387484857995143
30	знать	0.009377394968809254
31	без	0.009377312685827841
32	когда	0.0093761532394652
33	ночь	0.009102610727247766
34	но	0.008694167748849353
35	счастье	0.00865903400440751
36	а	0.008598773496915246
37	все	0.008516711112248177
38	лишь	0.008325031019885193
39	это	0.008255106938477388
40	пусть	0.00822366761896573
41	рука	0.008197160108401678
42	от	0.008012444960372579
43	*	0.00799026959940285
44	слово	0.007927163556164256
45	за	0.007914083720260938
46	ни	0.00788803624979467
47	к	0.007879505163990776
48	один	0.007795570332149498
49	вновь	0.007791291347962175
50	тот	0.007767815347311141
51	где	0.007687882570269106
52	этот	0.00763943348624809
53	на	0.007589708107099059
54	уходить	0.0075862298178281645
55	нет	0.0075028697822508575
56	только	0.007485504970772379
57	сон	0.007462073591073051
58	чтобы	0.007416578492984123
59	же	0.007404273090784867
60	день	0.007392357174329009
61	боль	0.007329300815142235
62	забывать	0.007263063518973499
63	взгляд	0.007237056776003068
64	жизнь	0.007220859296986529
65	снова	0.007211701069280136
66	нежный	0.00720538210726128
67	просто	0.007169990741092913
68	весь	0.007153932500661144
69	наш	0.007110853821033052
70	они	0.007043339252106353
71	кто	0.007005856062206205
72	по	0.007001617029303462
73	рядом	0.006925736399632529
74	ведь	0.006777022677201639
75	для	0.006678409162660313
76	сказать	0.006674367392931606
77	год	0.00663242242026922
78	свет	0.006596702342316052
79	ждать	0.006563889674002399
80	себя	0.006559471330468001
81	если	0.006554344424896931
82	теперь	0.006544173579701205
83	милый	0.006541635903576669
84	до	0.006529292969327094
85	губа	0.006522497921272409
86	свой	0.006496997810203
87	судьба	0.0064059492277087566
88	видеть	0.006287958665290796
89	у	0.006247862375251071
90	жить	0.006244540679356255
91	встреча	0.006197768554053147
92	уже	0.00619481195075406
93	небо	0.006109673793479765
94	снег	0.006007577236239243
95	всегда	0.006001480231978977
96	нужный	0.005976926261797114
97	прощать	0.0059581343965930894
98	тобой	0.005940608988633123
99	мечта	0.005871360399540897
100	12	0.005844830724502522
101	словно	0.00584296810322822
102	говорить	0.005811031907900714
103	из	0.005745756540349364
104	окно	0.005739794850454242
105	опять	0.005736229454877262
106	смотреть	0.005711008936592331
107	вместе	0.0056746177635664165
108	такой	0.005638854174771488
109	тобый	0.005611872648849463
110	мир	0.005607056313398717
111	ветер	0.005603158874472686
112	другой	0.0055976260065507
113	давать	0.005593075129279922
114	страсть	0.005574750128397103
115	становиться	0.00556793739852799
116	мысль	0.005556812966744584
117	больше	0.005531551594195356
118	любимый	0.00547364860916049
119	верить	0.005464962015311344
120	оставаться	0.0054448647114373845
121	каждый	0.005442706403937598
122	будто	0.0054297685935556835
123	нежность	0.005390286624813446
124	понимать	0.00538781968158798
125	да	0.005362023648687903
126	приходить	0.005311254626072748
127	очень	0.005304740751222609
128	еще	0.005249528394879196
129	помнить	0.005197652737785651
130	давно	0.005151504399860999
131	огонь	0.005147024672349503
132	хотеться	0.0050858357122228175
133	никогда	0.005073632381580105
134	писать	0.005073485080658035
135	под	0.005068159513943507
136	раз	0.00506143036253811
137	вечер	0.005054801456205044
138	проходить	0.0050533012503704835
139	там	0.005050809458961732
140	время	0.0050461453481646735
141	солнце	0.005033426775565627
142	прекрасный	0.005024873304069885
143	просить	0.0049954661805270886
144	улыбка	0.0049889562459405675
145	утро	0.004968519386991786
146	ну	0.004926916101748078
147	даже	0.004919692470785804
148	вот	0.004896115762226851
149	счастливый	0.004871558451105639
150	находить	0.0048627902693253195
151	слышать	0.004859856442723767
152	звезда	0.004842039645353912
153	ли	0.004833645022109104
154	дождь	0.004830360774943151
155	который	0.004828356381401154
156	сегодня	0.004780859268166627
157	радость	0.004696660617584953
158	родной	0.0046706983512321025
159	зима	0.0046611118818464595
160	сейчас	0.004652628299849043
161	много	0.004648053418797015
162	белый	0.004608349485414351
163	вдруг	0.004599553776300734
164	искать	0.004540564084052334
165	дарить	0.004538834821896491
166	надо	0.004498823944543541
167	декабрь	0.004486432419167237
168	надежда	0.00447513882926011
169	путь	0.004420229019668582
170	тепло	0.004395419993348809
171	твое	0.00438568455626426
172	вспоминать	0.004380332096688433
173	грудь	0.0043678204194819445
174	думать	0.004354718942611001
175	новый	0.004354256254912957
176	два	0.004341224792677118
177	печаль	0.004326096366534039
178	грусть	0.004311166087666374
179	холодный	0.004293417427036075
180	тело	0.0042917953192412525
181	ничто	0.004270293245586451
182	идти	0.004267805385074071
183	навсегда	0.00424989747967044
184	никто	0.0042489872782979195
185	2017	0.0042135192466185465
186	сам	0.004211971932084438
187	память	0.004196242497020909
188	уж	0.004194074553556654
189	самый	0.00415295599114279
190	тихо	0.004152722416724924
191	хороший	0.004101082772027089
192	дверь	0.004088635991268226
193	2016	0.004085763270211656
194	луна	0.004070132053405613
195	или	0.004067460475872975
196	совсем	0.004063048752889417
197	дорога	0.0040385275730957905
198	голос	0.004036008078914542
199	миг	0.004031323693745624
