	feature	tfidf
0	,	0.047132889294890117
1	я	0.027559241459436615
2	!	0.02563475334044509
3	ты	0.017664933829093694
4	он	0.01668100295991646
5	в	0.012869759087289963
6	и	0.012855293543690248
7	мы	0.012781891577226293
8	она	0.011795697031751541
9	мир	0.01162031092956803
10	мой	0.010762879207319899
11	то	0.01046133967077812
12	они	0.010212291550005222
13	сон	0.010046922333149248
14	*	0.01001897257411325
15	не	0.009926615102080387
16	что	0.009638750618447774
17	свет	0.009635952821080606
18	из	0.009454475743237168
19	вы	0.009328088364845073
20	быть	0.008440788667955014
21	земля	0.00843760394231602
22	ночь	0.008374887673335376
23	бог	0.008370528561334151
24	кто	0.008321928854110976
25	где	0.008153544046731569
26	на	0.007912651901137418
27	твой	0.007888333138025371
28	ни	0.0077850948714877095
29	душа	0.007732682817447974
30	там	0.007670855848208771
31	человек	0.007512687192468301
32	12	0.00750487104108988
33	с	0.007332865700731366
34	как	0.007307547811703057
35	небо	0.007276460945334335
36	тот	0.007252316466026395
37	по	0.0071509959570713565
38	это	0.006934968167881749
39	себя	0.006917388158068445
40	жизнь	0.006873050838749432
41	видеть	0.006797336555039043
42	к	0.006795110527359084
43	от	0.006670577087351547
44	за	0.006599094735596263
45	весь	0.006598831645693169
46	свой	0.006512890744984635
47	здесь	0.0065044623121781305
48	путь	0.006452534120716124
49	все	0.006442668261098213
50	тень	0.00638812717501534
51	смерть	0.00630753961259404
52	о	0.006265202546262756
53	нет	0.0062446795946900875
54	тьма	0.00618645418256213
55	когда	0.006082863701445396
56	любовь	0.006034090387555343
57	бы	0.00599463592703386
58	а	0.005994522882494212
59	тело	0.005919119970671404
60	этот	0.005852288824562786
61	над	0.005819702773884097
62	но	0.005779484754904735
63	у	0.005689700177318211
64	год	0.005669844153336767
65	сила	0.005644862967644229
66	каждый	0.005631089153181729
67	да	0.005587788917310299
68	знать	0.0055660222632727616
69	луна	0.005557974707001763
70	огонь	0.005526022906273956
71	мочь	0.005520992397420229
72	2017	0.005481305487251544
73	лишь	0.005454039916098047
