	feature	tfidf
0	,	0.04699920987518091
1	пародия	0.03988743504832704
2	!	0.038991124063450865
3	stihi	0.037655709196478405
4	ru	0.03642642399571486
5	http	0.03631605399190185
6	www	0.034017794030780577
7	я	0.03180037818786927
8	*	0.021265883346163545
9	ты	0.0170157156904729
10	2016	0.01410291111336453
11	он	0.014065271699958623
12	поэт	0.012442668806533554
13	вы	0.012307334625412425
14	на	0.011553147391368377
15	не	0.011507717996578173
16	стих	0.011393462072037945
17	она	0.011349752787905678
18	12	0.011315210006486037
19	из	0.011032401141191245
20	мой	0.010839440183721202
21	бы	0.010697848959318778
22	писать	0.010552099609316308
23	мы	0.010270771307185378
24	2015	0.009889332653340252
25	то	0.00976259053710612
26	а	0.00967004056339881
27	ни	0.009521512300886893
28	они	0.009271335875202992
29	***	0.008854813879134053
30	11	0.008722890593727927
31	с	0.00863090893765384
32	быть	0.008372617529139157
33	автор	0.008175356967792802
34	нет	0.008174885563936347
35	же	0.008098047756537023
36	кто	0.008044171610765607
37	о	0.007781270019111677
38	у	0.007631011744553073
39	да	0.007423163714375195
40	**	0.007157414775965597
41	по	0.007155740836350184
42	без	0.007095407372964229
43	про	0.0070829834241733745
44	и	0.007076037084235791
45	такой	0.007064361740350899
46	ну	0.006977951028491511
47	2017	0.006948911786654023
48	ответ	0.006864673305608301
49	что	0.006831011538985841
50	в	0.006799469549228899
51	там	0.006775503228627571
52	как	0.006764731734338253
53	вот	0.006642846830866753
54	но	0.00657921747736832
55	под	0.0064745026874552785
56	от	0.006446558233772089
57	женщина	0.006386651845855735
58	это	0.006364620999213215
59	тут	0.00630096157879025
60	стихи	0.006110576960161049
61	до	0.006015130641596447
62	теперь	0.0059459419628585366
63	мочь	0.0058981030818665075
64	любовь	0.005825569637064607
65	если	0.005677623235382195
66	ночь	0.005652164673796177
67	когда	0.005602668978910897
68	пить	0.005577622708354561
69	где	0.00556519877253343
70	за	0.005550823145981948
71	к	0.005517801517931114
72	любить	0.005506264126219774
73	жена	0.005441329257259392
74	весь	0.00539212156915966
75	08	0.005295331585115404
76	чтобы	0.0052898753398741335
77	ведь	0.0052629231934659265
78	еще	0.005225638360870387
79	владимир	0.00514441368078504
80	хоть	0.005099344852402346
81	все	0.005055436797878182
82	читать	0.0050520169405599115
83	10	0.005044360490715372
84	друг	0.004960862657199389
85	какой	0.004904242454850162
86	этот	0.004897829527246783
87	02	0.004822354898405037
88	хотеть	0.004805496921920629
89	вдруг	0.004790910127551468
90	два	0.004760417676036228
91	пусть	0.004726231663126883
92	надо	0.004678749111212754
93	2	0.004668071239332154
94	мозг	0.004661140677107494
95	только	0.004651139358996229
96	говорить	0.004647309733628308
97	твой	0.00464331111483377
98	03	0.00464030938143842
99	06	0.004621222509634791
100	утро	0.004608680980792017
101	мужчина	0.004606597270813724
102	чуть	0.004520375602734476
103	давать	0.004497215196584299
104	приходить	0.004472936311468845
105	свой	0.004468593970176175
106	уж	0.004458905259024548
107	глаз	0.004451928154260597
108	стихотворение	0.004450109814672539
109	сказать	0.004434645198460668
110	тот	0.0044327821383988225
111	так	0.004426047321973591
112	хороший	0.004407346901764246
113	просто	0.004385177841344331
114	конкурс	0.004351667571490365
115	для	0.004348750064580214
116	спать	0.004345899815567697
117	один	0.004334202444863482
118	водка	0.004226502142736471
119	потом	0.004196233581419913
120	слово	0.004146104303571388
121	04	0.004082465356598312
122	год	0.0040817845205442455
123	или	0.004026569521904703
124	совсем	0.00400519947698808
125	здесь	0.00399703564803938
126	нога	0.0039651832834140125
127	ухо	0.003901962203034496
128	зачем	0.0038934071643479183
129	себя	0.003887222507436959
130	три	0.003880026005408316
131	вдохновение	0.0038717530112037
132	2014	0.0038663487388049893
133	выходить	0.003862124884413162
134	сам	0.003832288880863023
135	простой	0.0038231403603364634
136	05	0.003816449299445486
137	человек	0.0038034215103728074
138	сергей	0.0038009505005892176
139	жизнь	0.00379031939877209
140	уже	0.003766166112339163
141	тело	0.0037653746470437655
142	баба	0.003757197517293157
143	муж	0.0037289388286313703
144	луна	0.00372566569932543
145	рука	0.003723185273236601
146	понимать	0.0037208053047449114
147	дверь	0.003708326522843004
148	01	0.0036918789433983907
149	дело	0.00368611770777459
150	знать	0.003662306684250954
151	голова	0.0036544566266373227
152	раз	0.0036533155657458636
153	07	0.0036367681576253558
154	тоже	0.0035650484425149725
155	рот	0.003564067167264916
156	уходить	0.0035560006798488605
157	другой	0.0035532771364158284
158	ли	0.0035424843166691764
159	даже	0.0035340813055502562
160	кот	0.003523593229072977
161	2013	0.0035222575129671484
162	дама	0.003497552917586773
163	произведение	0.0034928624156801555
164	мужик	0.0034842024891745265
165	александр	0.00348168464340736
166	пора	0.003453986809387745
167	смотреть	0.0034349155921427933
168	лицо	0.0034083609983105046
169	наш	0.003396400842448128
170	думать	0.0033818014192598675
171	лишь	0.003353867489085058
172	брать	0.0033452415479186376
173	09	0.0033276657224956805
174	Copyright	0.0033225052779749078
175	над	0.003307698451624248
176	жаль	0.003291300446835047
177	каждый	0.0032887056584003497
178	всегда	0.0032839910228863556
179	рифма	0.003273885458307477
180	ходить	0.0032732896924754316
181	россия	0.0032703971220734685
182	ах	0.0032621979312197156
183	видеть	0.003240888937981977
184	небо	0.0032057986681154967
185	милый	0.003195605599216818
186	вчера	0.0031735724968643916
187	2012	0.003170432189502952
188	сидеть	0.003169348430465507
189	при	0.003168754519315696
190	осень	0.0031687328045201225
191	глядеть	0.0031668342817672375
192	идти	0.0031576583157130684
193	душа	0.0031473174386478903
194	очень	0.003144663416119286
195	новый	0.0031426428107261366
196	сегодня	0.003140717972479551
197	постель	0.0031352597808933036
198	день	0.0031269452381033186
199	жить	0.0031253057460726326
200	пока	0.0031223103377040987
201	готовый	0.0030916536721590305
202	евгений	0.003089319026318134
203	народ	0.0030839070983246417
204	любой	0.0030558252617210817
205	снова	0.0030324202109730364
206	страсть	0.003031233054290713
207	русский	0.0030269475886505618
208	мысль	0.0030254973567990636
209	давно	0.0030248849376919283
210	иль	0.0030219243819428637
211	коль	0.003018391231579402
212	С	0.0029972142584047644
213	опять	0.002984193442019218
214	рецензия	0.002980913783636897
215	делать	0.0029728474762817695
216	смысл	0.002971237010658475
217	20	0.002952281869729351
218	обратно	0.0029508558136266652
219	чувство	0.002948871863429846
220	чем	0.002932391000515035
221	хватать	0.002924382439195667
222	есть	0.0029229458661344625
223	ум	0.0029192311599487747
224	строка	0.0029187708183045285
225	мир	0.0029056502028706925
226	лежать	0.0028961574160392117
227	р	0.0028869084307043547
228	ветер	0.0028859080579594644
229	после	0.002874583610555149
230	кровать	0.0028456656018208655
231	пойти	0.0028412404207372394
232	лето	0.0028292130442384724
233	больше	0.002827492244090945
234	становиться	0.002827005120008178
235	стоить	0.0028259488055287323
236	хорошо	0.0028250548210924376
237	публикация	0.002824845546088267
238	P	0.002824727662603791
239	сосед	0.0028205107073259995
240	секс	0.002816018511323431
241	много	0.0027998961365365152
242	мать	0.002789776152050697
243	куда	0.002788972730620232
244	должен	0.0027874019395403237
245	старый	0.002785787305121179
246	15	0.002781262931131221
247	помнить	0.0027775594134610525
248	конечно	0.002773710333153496
249	хотеться	0.0027722636987838026
250	песня	0.0027625568756548683
251	выпивать	0.0027526267847407873
252	мало	0.002750038474721916
253	который	0.0027486399651743885
254	сон	0.0027471190365285516
255	белый	0.002738617083201282
256	ка	0.002735007420646034
257	окно	0.0027308381950644093
258	нужный	0.0027254379823968824
259	можно	0.0027162572415688397
260	час	0.002709784916647274
261	чай	0.0027032747881231673
262	свидетельство	0.002693501362198812
263	забывать	0.002685460193858077
264	нынче	0.0026761065428745163
265	точно	0.0026724404245087176
266	игорь	0.002664211146437547
267	дом	0.002648413441122013
268	свет	0.002638724884826195
269	олег	0.0026344690476194604
270	вода	0.002616719519564306
271	поэзия	0.002609512275626718
272	пять	0.0026088773770820257
273	бывать	0.002608400516526827
274	s	0.002603557123753513
275	вновь	0.0025997210186437395
276	почему	0.0025987314354739346
277	язык	0.002591834326736369
278	конь	0.002589455757900493
279	пара	0.002587729732858725
280	собака	0.002585212497015648
281	будто	0.002574707558042426
282	ваш	0.002574195868104681
283	отвечать	0.00256976712108892
284	й	0.0025627222791476108
285	петь	0.0025585093491931597
286	вечер	0.002558424119134494
287	находить	0.0025574996676872856
288	доставать	0.0025488288056574587
289	место	0.0025484046565453448
290	зато	0.0025446984294657986
291	ее	0.0025315718626850057
292	оставаться	0.0025307218832823866
293	секунда	0.0025242613744679704
294	14	0.0025221637660762914
295	Хоть	0.0025208567692798804
296	стоять	0.0025176434268325706
297	тихо	0.002511852789833202
298	коли	0.0025097534553716596
299	бог	0.0025053833946513037
300	строчка	0.0024987041379310833
301	голос	0.0024867474307368217
302	искать	0.00247999108834053
303	желать	0.0024796057652118155
304	сто	0.002478120991291427
305	лес	0.0024638584319132124
306	мечтать	0.002458662974879356
307	19	0.002449765575053462
308	30	0.002448750987915791
309	открывать	0.002440914178077653
310	16	0.002440500907770563
311	ждать	0.002435876179088055
312	13	0.002433617917885603
313	женский	0.0024315001892982195
314	ль	0.002419303689106788
315	читатель	0.002413580582939989
316	стать	0.002412814176680495
317	грудь	0.0024118007084541985
318	верить	0.0024103880090134587
319	нос	0.0024076511700300155
320	сразу	0.002399392374099935
321	нибудь	0.002398612206373479
322	дед	0.002398281405260005
323	никак	0.0023970250062384495
324	слышать	0.0023951073545882893
325	бежать	0.0023879856469112186
326	мотив	0.002386584872143142
327	падать	0.002383639446858155
328	сейчас	0.002380515530049783
329	полный	0.0023703507190013483
330	зима	0.002369689569194956
331	26	0.0023642621674623745
332	красивый	0.002364163358263856
333	источник	0.0023613349287690735
334	солнце	0.002356044454810998
335	время	0.0023539315729940486
336	путь	0.002344369456660987
337	большой	0.0023403122802882503
338	просить	0.0023402579263377367
339	пол	0.002333766329385482
340	немного	0.0023311506176312623
341	видно	0.0023230429084809554
342	покупать	0.002313666646314031
343	юрий	0.0023130757485307235
344	среди	0.002312306453506335
345	кошка	0.0023121580884822336
346	туман	0.0023057374339231604
347	мат	0.002304148615705338
348	потому	0.002291233570815684
349	фонарь	0.002289343399550513
350	в1	0.0022834165096766402
351	пиво	0.002281707485220481
352	страна	0.002276315444967671
353	плакать	0.002268468991665614
354	эх	0.0022680665239425877
355	3	0.0022658978461612494
356	сколько	0.002259148761160122
357	рай	0.0022580253782319253
358	губа	0.0022571987441292857
359	во	0.0022530431364736828
360	стол	0.0022525317645810694
361	зря	0.002250693683345329
362	михаил	0.002246200217246312
363	птица	0.0022431906563181742
364	вид	0.002237254245237503
365	бред	0.0022330608811947632
366	21	0.002232309095974367
367	хотя	0.0022302253378702758
368	первый	0.002229980420817001
369	легкий	0.002227959398146078
370	прощать	0.002227144658634166
371	деньги	0.0022261494883944813
372	метель	0.00222218367801238
