	feature	tfidf
0	,	0.06077195876798368
1	снег	0.036813359527339135
2	зима	0.03280011393274067
3	!	0.021989289307458408
4	белый	0.021688347071790477
5	осень	0.020113229508908276
6	ветер	0.01881643239916608
7	лес	0.01789795775908746
8	небо	0.017625580868187836
9	мороз	0.01666866090651368
10	солнце	0.01634669130185096
11	я	0.013344895126399043
12	дождь	0.013031118516935121
13	и	0.012894432536585143
14	земля	0.012779558949864635
15	зимний	0.012369875856938143
16	декабрь	0.012230461990824346
17	природа	0.011977126510740052
18	метель	0.011877547012079758
19	снежинка	0.011798965388885689
20	в	0.011698257678995985
21	окно	0.011692977588947424
22	на	0.01156063272840653
23	дерево	0.011340323057261938
24	снежный	0.011238375853460571
25	мы	0.011222731511424128
26	он	0.011140844762484043
27	под	0.0108784885061768
28	поле	0.010818460947551168
29	утро	0.01054889380249501
30	над	0.010489337561809831
31	она	0.010462235849954203
32	ночь	0.010442485273177753
33	лето	0.010362131661560258
34	весна	0.010234507969162934
35	лист	0.010171884208078305
36	день	0.009372071407386147
37	словно	0.00915674367768458
38	*	0.009059900291987876
39	12	0.008993893583022947
40	по	0.00898779073580532
41	вода	0.008912407671973072
42	они	0.008882268148671758
43	река	0.008881927801516464
44	будто	0.00864073263011088
45	красота	0.008549486187640936
46	с	0.008478975963619243
47	как	0.008108114506142485
48	птица	0.008096978853762041
49	облако	0.007905723442820967
50	трава	0.007886925760862355
51	тишина	0.007738898637199028
52	туман	0.007707225679693827
53	то	0.007707153315218704
54	где	0.007588324251946577
55	ветка	0.00753424051212517
56	ты	0.007448288873943236
57	луна	0.0074068881337510835
58	воздух	0.007384098893354137
59	луч	0.00737014363547854
60	сказка	0.007366439120582327
61	дорога	0.0073397217341298745
62	год	0.007281777671854324
63	а	0.007146028411473848
64	цвет	0.007082725283213402
65	приходить	0.0070720181346534934
66	падать	0.007044059738347973
67	свет	0.007040530070204472
68	дом	0.006991992920122747
69	за	0.006899586867108483
70	холодный	0.006779646111611926
71	тихо	0.006775552329508313
72	холод	0.0067561952906157316
73	туча	0.0066618241447394125
74	осенний	0.006635074898275852
75	у	0.006577135718720684
76	из	0.0065688756151988876
77	вокруг	0.006558808744060813
78	сугроб	0.006556450429038304
79	новый	0.006552248595764067
80	к	0.006549861041778963
81	сон	0.006527780357732732
82	море	0.006507198584949938
83	лететь	0.006452733538390386
84	вот	0.006353150975852311
85	весь	0.0062228812134316035
86	иней	0.006209576457799072
87	здесь	0.0061915720781752235
88	все	0.006149147508938033
89	вечер	0.0060626653352931215
90	ель	0.00603234384620993
91	вновь	0.005988702194296325
92	снова	0.005955855761893782
93	там	0.005936862381263983
94	тепло	0.005916010212042399
95	волна	0.005886655726762358
96	город	0.005843509461742617
97	погода	0.005827653073190206
98	яркий	0.005785289862910704
99	закат	0.005743286169874355
100	до	0.005734096624241153
101	от	0.005733884647120696
102	лед	0.005732330051093054
103	сад	0.005694190608639439
104	даль	0.005672928678091275
105	простор	0.005662828478712215
106	стоять	0.0056353332108529325
107	рассвет	0.005620060310323246
108	идти	0.005612120025538301
109	чуть	0.005600338636373492
110	листва	0.005550293454211229
111	скоро	0.005545702016806657
112	первый	0.005544388795551638
113	край	0.0055407909048589615
114	чудо	0.005535621806853573
115	гора	0.00549314182909932
116	спать	0.005473454295802942
117	опять	0.005472622287856406
118	морозный	0.005468415021171545
119	двор	0.005461183193444471
120	след	0.0054282316626208275
121	берег	0.005374848982654309
122	этот	0.005353898189862689
123	не	0.005341043613866531
124	серый	0.005321996752524392
125	2016	0.005321498975537544
126	краска	0.005314481650664605
127	ни	0.005304479292642725
128	свой	0.005286960443264975
129	нога	0.005253453323417437
130	2017	0.005234688482835617
131	мой	0.005222625513537502
132	ложиться	0.005221919294826634
133	уж	0.005214832570708917
134	пора	0.00521233085823091
135	тень	0.005181444323782587
136	нежный	0.005156278450882763
137	куст	0.0051545255940497305
138	вдруг	0.005144257921749903
139	смотреть	0.005135396609070823
140	зимый	0.005116423458453138
141	пушистый	0.005106060426626646
142	снежок	0.005094715327555635
143	прекрасный	0.0050910774870836315
144	узор	0.005086213913988187
145	среди	0.005063807898977555
146	сегодня	0.00500743044366653
147	еще	0.0050019653722780414
148	улица	0.0048971571288019995
149	2015	0.004882162599792119
150	синий	0.004835254459785558
151	чистый	0.0047632869524665555
152	так	0.004750719698700813
153	наряд	0.004749767723849914
154	радость	0.004736485060546731
155	играть	0.004736424031511946
