	feature	tfidf
0	the	0.060370548088283474
1	a	0.03773828150028973
2	you	0.035397654408006074
3	я	0.03509416704710156
4	and	0.03359607263155926
5	ты	0.03173197539063578
6	i	0.03119912323327763
7	of	0.030658774286586022
8	youtube	0.03027318807995735
9	com	0.02974656240218541
10	перевод	0.029533448844631112
11	to	0.026706685648426737
12	in	0.025106613126529648
13	!	0.024074183965866424
14	me	0.023691013787089196
15	,	0.02220083619411176
16	s	0.021699937020751663
17	песня	0.019494352011013048
18	it	0.019453966264947182
19	www	0.018175018982864048
20	http	0.017944085809913506
21	my	0.01712836768830384
22	t	0.016810779930855668
23	on	0.016721219112214806
24	be	0.015960849141083273
25	мой	0.015500211606746694
26	I	0.015253923120609296
27	for	0.015043747440327779
28	is	0.014933787363686817
29	your	0.014449712576359535
30	мы	0.012661517418055332
31	https	0.012502655291414744
32	m	0.011674288637156477
33	твой	0.011052166896263543
34	will	0.010592937451279327
35	all	0.010527738082102216
36	быть	0.010491461972246804
37	любовь	0.010450171596490827
38	so	0.010266661651434326
39	знать	0.01019297535267557
40	no	0.010110968003392125
41	группа	0.010052757161778806
42	он	0.009962989796558127
43	love	0.009893868931653909
44	здесь	0.00970058351069931
45	Припевать	0.00968773167651905
46	ть	0.00956282125653768
47	that	0.009540385706021462
48	о	0.009539637649062774
49	can	0.009511150705722097
50	хотеть	0.009427397340830692
51	ru	0.009287800160889238
52	нет	0.008899867117215451
53	by	0.008858063099988196
54	are	0.00862553045701867
55	это	0.008587416708733711
56	e	0.00851456498153494
57	with	0.008469383717885472
58	лишь	0.0083720222246837
59	мир	0.008351041893675248
60	видеть	0.008280174814657405
61	we	0.008255361058722509
62	what	0.00816641582601635
63	що	0.008036426496268316
64	любить	0.007944931749604527
65	бы	0.007838499291041847
66	la	0.007681636861377188
67	мочь	0.0075487004605653595
68	like	0.007507644351450729
69	сказать	0.007353062965869134
70	ночь	0.007300721325987679
71	но	0.00725332289588295
72	It	0.007221212026689183
73	o	0.007170749476258262
74	путь	0.007164243541884097
75	американский	0.007137797400973731
76	was	0.0071039067595627505
77	так	0.007080527054840341
78	сердце	0.006966003035524878
79	она	0.006925603278567658
80	если	0.006870324496376264
81	вновь	0.006833596773488667
82	кто	0.006822874691528848
83	давать	0.006801168089623186
84	stihi	0.006705042056792462
85	день	0.006623265878803462
86	этот	0.0065488897166085264
87	*	0.0063440119400379755
88	весь	0.00632897650164985
89	чтобы	0.006112020642466492
90	as	0.006034891101106656
91	когда	0.005981868185933538
92	й	0.005965436051630834
93	текст	0.005923891986197776
94	да	0.005910084066770801
95	боль	0.005829995008925719
96	там	0.005819138643288344
97	вы	0.005793547540102592
98	где	0.005760577364692055
99	пусть	0.0057509952113669926
100	один	0.005724395465682637
101	not	0.005710416536395491
102	this	0.005635320848180766
103	We	0.0056101902485686545
104	они	0.00557206398526052
105	мена	0.005537118568717236
106	But	0.005523059468301792
107	за	0.00551361823903978
108	не	0.005488670808890734
109	рука	0.00544342252400899
110	наш	0.005418622307054294
111	з	0.0054102463525570275
112	The	0.00539829388688143
113	час	0.005375717509088085
114	же	0.005346146085584602
115	ли	0.005331836818855809
116	мечта	0.0052428908308834
117	что	0.005226331473662452
118	2	0.0052073840431998974
119	О	0.005172086191459842
120	исполнение	0.005170421997091997
121	1	0.005145266683011901
122	вместе	0.005143860403495728
123	с	0.005119014460173768
124	слышать	0.005107282546333259
125	but	0.0051012415055257205
126	have	0.005066969168134122
127	конец	0.005040828288707991
128	все	0.004998143814879663
129	нужный	0.0049909028240759865
130	солнце	0.004974134665368415
131	3	0.00496100491895279
132	die	0.004948221625953105
133	To	0.00489898733724657
134	сейчас	0.0048770144783023385
135	тот	0.004844218502850655
136	находить	0.0048414806907639074
137	небо	0.00484030549122273
138	ца	0.00483749206498229
139	world	0.004817705670825154
140	всегда	0.0048060538473196175
141	бог	0.0047996295734709
142	идти	0.004795344321900409
143	at	0.004767575205864423
144	My	0.004765673542369926
145	жить	0.00475806603131318
146	вот	0.004701599713494508
147	до	0.004700581922045245
148	ад	0.004627067229600832
149	he	0.004606881633325681
150	как	0.004605884253126704
151	de	0.004600905332268454
