	feature	tfidf
0	Припевать	0.04737858219962871
1	!	0.042515162917295374
2	,	0.03366375861278783
3	мы	0.032457653195445586
4	ты	0.03142380889943706
5	я	0.02943519632731234
6	песня	0.026172546752406857
7	мотив	0.018095268489706686
8	вы	0.016617759757903357
9	пусть	0.015276445634041177
10	год	0.015108238717326526
11	наш	0.014725953723876943
12	мой	0.013270188224687148
13	2	0.013209710602287388
14	Припев	0.011696104504426562
15	новый	0.011140238919639774
16	друг	0.010821777870041283
17	все	0.010126053642074901
18	он	0.010120755950551764
19	группа	0.009723074793778624
20	любовь	0.009680387821619932
21	*	0.009338624569914817
22	с	0.009186998046343502
23	за	0.008784178063761625
24	же	0.008729724058221233
25	быть	0.008721837392194268
26	петь	0.008632411356052281
27	у	0.008628517295519222
28	праздник	0.008496138041311305
29	а	0.008458609526942955
30	не	0.008302868104734205
31	всегда	0.008300741720723799
32	да	0.008278280464373684
33	сердце	0.008230604874095566
34	твой	0.008007713919015216
35	знать	0.007793559711406796
36	ну	0.007728757765270805
37	жить	0.007652377982978523
38	без	0.007595503825953623
39	https	0.007333719429684397
40	раз	0.007333628422491229
41	если	0.007288668877038711
42	3	0.0072818848912911075
43	они	0.007140590177054423
44	под	0.007066763393853542
45	бы	0.0069240242026407635
46	она	0.006907145860598937
47	в	0.006848223881824297
48	этот	0.006782093030499375
49	где	0.006767187122777574
50	свет	0.006612046981554012
51	только	0.0065688931451283235
52	вновь	0.006482327620300603
53	нет	0.0064632395071089165
54	ни	0.006405706086499155
55	вместе	0.006345185694393378
56	**	0.006247461637325647
57	на	0.006242145235066048
58	прекрасный	0.0062119236742368055
59	1	0.006203064271766867
60	день	0.006187089423616025
61	такой	0.0060626781689750555
62	это	0.006000784947031307
63	кто	0.005971368624739938
64	ла	0.005970925268473025
65	хотеть	0.005967637606829715
66	мочь	0.005912706151124678
67	про	0.005909155385938671
68	нежный	0.005895261289639651
69	поздравлять	0.005879548952949794
70	й	0.005878774218434799
71	что	0.005875261803497524
72	от	0.005865203712792555
73	о	0.005864991712126039
74	***	0.005847071028416999
75	как	0.005749649830910612
76	сегодня	0.005730150963151392
77	равный	0.005693303158843241
78	страна	0.00565678083503334
79	к	0.005596321857039393
80	ждать	0.005565996073552654
81	пародия	0.00552299495570501
82	ка	0.005503018723207183
83	чтобы	0.005475931140895713
84	свой	0.005460885664270637
85	ведь	0.00545772424098768
86	там	0.005455943602891742
87	приходить	0.005438897180443511
88	так	0.00537917659514984
89	весь	0.005340997958722118
90	каждый	0.0053345701115440295
91	мир	0.005326010363897655
92	сказать	0.0052830233944204975
93	то	0.0052659256422556205
94	подарок	0.005237026383707697
95	жизнь	0.005225530774716736
96	море	0.005210728266963322
97	но	0.005209801614085006
98	звезда	0.005206385063560069
99	be	0.005146751995291878
100	дом	0.005124763248701343
101	тобой	0.004949884486201795
102	идти	0.004900408060996784
103	ваш	0.004840405970328814
104	музыка	0.004837239278467011
105	любить	0.004821807008957654
106	навсегда	0.004806141721718235
107	народ	0.004804115889178864
108	юрий	0.004803226074477334
109	край	0.004770466680366827
110	час	0.004764401293225901
111	здесь	0.004737178368598593
112	снова	0.004681558467173713
113	ночь	0.0046521080735554025
114	давать	0.004650079965159586
115	счастье	0.00463957319439324
116	ть	0.004634736370643129
117	ф	0.004591530945610704
118	земля	0.004570321734861745
119	мечта	0.004568947266217944
120	никогда	0.004541368305765239
121	два	0.00449661401625022
122	путь	0.004483913399720265
123	тот	0.004443803522034957
124	вот	0.0044179464776932
125	опять	0.004398714759827225
126	лето	0.00439447191644718
127	2015	0.0043869422579577814
128	милый	0.004376041323485598
129	три	0.004368866456181773
130	ёлочка	0.0043607064204889846
131	уходить	0.004359984687618597
132	пора	0.004354816510837468
133	слышать	0.0043526392797918
134	владимир	0.004338315960087836
135	песенка	0.004330216280537668
136	время	0.004317247121736231
137	по	0.004314362788921081
138	когда	0.004307204009592965
139	надо	0.0043028409180744945
140	родной	0.004297779817235978
141	и	0.004283705065482727
142	делать	0.004239558524812185
143	ах	0.004239274780988048
144	хорошо	0.004222224496117351
145	тогда	0.004218685274276839
146	игра	0.004207988331062089
147	беда	0.0041892950882919285
148	человек	0.004186727912756107
149	становиться	0.00415987541155833
150	мелодия	0.004138157201135922
151	первый	0.004134943610613893
152	утро	0.00413443847578118
153	уж	0.004133329884344469
154	судьба	0.004103279107733365
155	счастья	0.004072506968720265
156	нужный	0.00406949998846607
157	из	0.00406563410373559
158	Высоцкий	0.004062266559869419
159	тобый	0.004044551673283152
160	скоро	0.00402847368794166
161	нибудь	0.004026224125326494
162	мороз	0.0039703687022110395
163	лучший	0.003965210533732258
164	даже	0.003963172187291422
165	водка	0.00394109899970041
166	теперь	0.003926948893479039
167	сам	0.003909980991585242
168	com	0.0039092302188061985
169	завтра	0.003902889091813808
170	один	0.003883242608275121
171	находить	0.003848770680206003
172	автор	0.0038482982670635536
173	кот	0.003845792135582037
174	л	0.0038180919573966524
175	текст	0.00380330094439066
176	рядом	0.003796565849934032
177	встречать	0.0037946846140104024
178	глаз	0.0037798053811263542
179	d	0.0037783212439723717
180	готовый	0.003748006855770119
181	конечно	0.003745268984798394
182	очень	0.0037379679538396006
183	писать	0.0037323988437617224
184	девушка	0.003714571358227426
185	ясный	0.0037063415269934785
186	гость	0.003701204283008343
187	русский	0.0036789147882585775
188	з	0.003668124788578078
189	скорее	0.0036662805372049702
190	дорога	0.0036483201200160414
191	успех	0.0036471826497895374
192	для	0.0036455541419148324
193	думать	0.0036349709663313573
194	бояться	0.003633663832145488
195	ёлка	0.00363125830680839
196	хороший	0.0036306884551421436
197	парень	0.0036285743418669318
198	собираться	0.00358549058647981
199	ой	0.0035687697371506524
200	через	0.0035613882885276852
201	Год	0.0035378399428737475
202	зима	0.0035365050676521305
203	бежать	0.0035211995164640035
204	город	0.0035086372513921374
205	слово	0.003506917281367581
206	спасать	0.003490962427972136
207	верить	0.003477591306636866
208	дед	0.003468145275991468
209	война	0.003459351777342929
210	много	0.003458972240086723
211	желать	0.00345742271519758
212	дело	0.0034522504657349606
213	новогодний	0.0034422486518206853
214	самый	0.003439869192706465
215	http	0.0034393356868424947
216	стол	0.0034391971475735833
217	птица	0.003438069315739292
218	последний	0.003437888135378224
219	народный	0.0034254292074759078
220	the	0.003412536660200802
221	бог	0.0034110813948205355
222	страшный	0.003404936533698215
223	пять	0.003400556797254306
224	пока	0.0033932971272169067
225	большой	0.003387533442552042
226	пойти	0.0033754617890317394
227	никто	0.003373206482751634
228	словно	0.0033722213567836485
229	12	0.0033718855389980626
230	уже	0.0033638221859370837
231	мама	0.0033581851323540154
232	просто	0.0033455241727687627
233	назад	0.0033191130738927563
234	метель	0.0033143107669279777
235	солнце	0.003301991511244712
236	разный	0.0032951625280293693
237	мое	0.00328085070511716
238	цветы	0.003277698920640395
239	яркий	0.003277294245564393
240	целый	0.0032583855817505543
241	сад	0.0032567715738641644
242	па	0.0032524071990283794
243	говорить	0.0032520885685185814
244	2017	0.003246994865736918
245	боль	0.003243911964468445
246	значит	0.0032254415174799416
247	зря	0.003222620501171659
248	сейчас	0.003207958967609492
249	какой	0.0032007228102183967
250	Все	0.003199219049483575
251	ответ	0.0031878718887555168
252	хватать	0.0031861555836641057
253	волк	0.0031827958040431753
254	до	0.0031816408777171293
255	окно	0.003170964960595741
256	казак	0.003166759397071235
257	осень	0.003141833505352801
258	начинаться	0.0031384205175009395
259	кровь	0.0031353256936136205
260	ждти	0.0031238020370406663
261	белый	0.0031090440970375044
262	лишь	0.0031083921965231517
263	другой	0.00309851148480022
264	прощать	0.0030980878488965787
265	лес	0.0030919584161773687
266	Как	0.0030882323968980355
267	приносить	0.0030839453625153656
268	бой	0.003083118417883824
269	крыло	0.0030694475528165893
270	радость	0.003055285425706955
271	нести	0.0030496836728516508
272	помнить	0.003045147375004539
273	снег	0.0030425268494446763
274	выпивать	0.0030341858184432463
275	гореть	0.0030302816444803286
276	себя	0.0030245992952277604
277	или	0.003017165580325218
278	можно	0.003015831572499153
279	Ты	0.002986937151719555
280	нравиться	0.002986194033507213
281	весна	0.0029831842993790036
282	пить	0.002976277041477136
283	мужик	0.0029706388671327183
284	серый	0.0029693006921172427
285	you	0.0029560720771286365
286	съедать	0.0029493990198712697
287	конь	0.002944879526140422
288	мечтать	0.0029252253291954062
289	видеть	0.0029141062018898977
290	4	0.002909763063480369
291	собака	0.002906690570441828
292	м	0.0029057741548226567
293	ходить	0.002905447922697936
294	вчера	0.0028994396697599504
295	наступать	0.0028938415755039946
296	урок	0.002890952271197008
297	стоять	0.0028906665907509647
298	юбилей	0.0028852701882625094
299	смотреть	0.002859804720917394
300	вдруг	0.0028596927508769644
301	команда	0.0028580014011915715
302	звать	0.0028573378328990416
303	чуть	0.0028226784364189603
304	отдавать	0.0028209056092362906
305	youtube	0.00281364938416138
306	тысяча	0.002809029229818801
307	бабушка	0.0027943868760026895
308	забывать	0.002791642487990648
309	дверь	0.002790774031655119
310	веселый	0.00278858768281546
311	удача	0.0027768090122224838
312	секунда	0.0027739428958326027
313	чувство	0.002769444376916509
314	ru	0.002744502041298193
315	огонь	0.0027372412362113015
316	конкурс	0.00273041610339516
317	нельзя	0.0027268241977647916
318	пол	0.002719188600250158
319	небо	0.002714661137165893
320	сила	0.00271456858527939
321	стих	0.0027101404130593578
322	улица	0.002708729855751359
323	тут	0.0027021285262823877
324	луна	0.0026980743089451645
325	стена	0.0026955557206352803
326	в1	0.0026844607266032715
327	шаг	0.0026810013438696907
328	проблема	0.0026696514548811
329	покой	0.002669193253280053
330	декабрь	0.002654475141067692
331	шутка	0.002642687287195859
332	брать	0.0026391784122074997
333	помогать	0.002633992696341921
334	спасибо	0.0026336350098656253
335	звучать	0.002628110448951526
336	почему	0.0026239490713082497
337	больше	0.0026195518084170624
338	потому	0.002616941319409793
339	здравствовать	0.002616161090615439
340	крыша	0.0026151836428292617
