	feature	tfidf
0	,	0.057965246922518
1	!	0.04468878558624466
2	*	0.03316940137475305
3	я	0.02750950409917145
4	stihi	0.019435019711887547
5	он	0.019393392666355366
6	ru	0.019077363409866977
7	http	0.01854465358039848
8	www	0.018453672332379583
9	ты	0.017195309930809897
10	нет	0.017093207400452098
11	вы	0.01635647612967297
12	и	0.014847997574629268
13	не	0.013974529911688956
14	а	0.012500513309419375
15	же	0.011405988949391228
16	да	0.01071918674625617
17	мы	0.010393025838821202
18	то	0.010287481157921649
19	у	0.010251177860984041
20	быть	0.010250254156280274
21	бы	0.010175442794183531
22	она	0.01010109977828865
23	с	0.009811449142113618
24	на	0.009808054868707713
25	из	0.009789739695547759
26	12	0.009698416434626534
27	в	0.00949975134925908
28	**	0.009280298365020733
29	2016	0.009047332565171975
30	к	0.008828490876104258
31	ну	0.008800763260672664
32	мой	0.008513735109586813
33	что	0.008268010104802994
34	по	0.007967746781000823
35	это	0.007861828085927586
36	друг	0.007728706072939561
37	если	0.007687351931223446
38	как	0.007574975694096984
39	весь	0.007410144626869238
40	все	0.007346699748372962
41	для	0.007331563161079797
42	от	0.007323621414365328
43	они	0.007311518348874849
44	***	0.007250851142395699
45	за	0.00716535789079204
46	кто	0.006982473688157882
47	мочь	0.006905486259335291
48	тот	0.0069015015496619765
49	под	0.006841395689425187
50	там	0.006668579662810981
51	так	0.006665337672963559
52	о	0.006649465183339899
53	без	0.006615363448619673
54	наш	0.00660865759418052
55	до	0.0065781816676263385
56	поэт	0.0064421202234295274
57	нуть	0.006373797441546663
58	такой	0.006352458748263862
59	вот	0.00614771697683338
60	тут	0.006147172117338498
61	еще	0.006120159407714055
62	какой	0.006088006950852712
63	любовь	0.005849447945365031
64	ведь	0.005845172942653078
65	год	0.0057891794995032575
66	где	0.005733263778816344
67	ни	0.005632927130631854
68	но	0.005581803666621664
69	писать	0.005527895865240973
70	любить	0.005493659996993921
71	про	0.005457473598543218
72	чтобы	0.0054549986605832565
73	2015	0.005448667883784927
74	пить	0.005423955165764169
75	идти	0.0054049215527389805
76	когда	0.005389040711488509
77	2017	0.005362654489155439
78	уж	0.005322205905621151
79	11	0.005320567665413572
80	каждый	0.005258610584415816
81	ли	0.005175925038424413
82	себя	0.005135895429060381
83	А	0.005070097734525401
84	хотеть	0.004982041594660221
85	мир	0.004926492736181521
86	выходить	0.004921503165741254
87	раз	0.004910875561940198
88	ночь	0.004903652570176713
89	твой	0.004897353822840978
90	сказать	0.004821984124831324
91	хоть	0.004818317216802473
92	@	0.004810567299831866
93	слово	0.004794248565922752
94	знать	0.0047931874695382225
95	г	0.004688006402385187
96	песня	0.0045861010831207945
97	чем	0.004558859637614919
98	дом	0.004558498088870572
99	один	0.004551822201072535
100	снег	0.004521808308151539
101	ждать	0.004514434538629612
102	вать	0.004513395675907037
103	лес	0.0045083135141136075
104	пусть	0.004507715050823519
105	день	0.004507576157300792
106	жизнь	0.0045040520436143315
107	человек	0.0045017720550353645
108	стих	0.004436952054878387
109	свет	0.004389488120422883
110	глаз	0.004349489379627474
111	сам	0.0043123060091108875
112	зима	0.004302633421476414
113	опять	0.004230537434972347
114	голова	0.004207509898286305
115	сразу	0.004196949604599195
116	этот	0.004193131072642636
117	теперь	0.004166186193933486
118	нога	0.004154829745066621
119	давать	0.0041483957588558185
120	смотреть	0.004113207999144007
121	два	0.004087378250718009
122	надо	0.004083663317800961
123	всегда	0.004083590375199662
124	дело	0.004068081570924119
125	даже	0.004051882492919462
126	жить	0.004048709562386957
127	просто	0.004026148317750799
128	уже	0.004021596233381125
129	кот	0.0040046257630006405
130	ходить	0.003999869207910758
131	пора	0.003986333943549152
132	утро	0.003974798921113169
133	другой	0.003938000070583405
134	сердце	0.003917296448558524
135	очень	0.003868758000489915
