	feature	tfidf
0	он	0.021888979300455125
1	,	0.018964412940370278
2	!	0.01311835015954564
3	она	0.011761054112706469
4	они	0.010355551455753231
5	я	0.009057677407865448
6	вы	0.007728975012080914
7	ты	0.006979243222262174
8	глава	0.006834395162334061
9	*	0.006747942119961829
10	мы	0.0063993930310117025
11	тут	0.005928783129718882
12	тот	0.005844635653364232
13	запись	0.005386246915698444
14	алексей	0.005332574283352929
15	человек	0.005314112780215563
16	государственный	0.0050465753699174935
17	имя	0.004761802871402774
18	здесь	0.004728559516157401
19	из	0.004638801557249846
20	быть	0.004630218098251102
21	вот	0.00460962118326255
22	там	0.004600942632635911
23	и	0.004424774086909247
24	поэма	0.004240026005585072
25	князь	0.004208846270202885
26	3	0.004193210894005216
27	о	0.004167994941948267
28	друг	0.0040661312532939125
29	сказать	0.004060093904080356
30	отец	0.003963797346618013
31	в	0.0039564798416447606
32	бог	0.003929193306577517
33	за	0.003871955030570737
34	где	0.0038172296842008476
35	бы	0.0035717287045401555
36	что	0.0035621259185695956
37	вода	0.003533176633016181
38	да	0.003528290904488347
39	море	0.0035182730916970112
40	же	0.003497913939761642
41	2	0.0034807628298536494
42	герой	0.003458394844474585
43	себя	0.0034399532933906945
44	к	0.0033981951176208025
45	сын	0.003396808596845319
46	вдруг	0.0033788669646554973
47	кто	0.0033700765096459735
48	теперь	0.0033024548067066796
49	то	0.0032992028054339693
50	царь	0.0032926704895296192
51	ведь	0.0032903321678194163
52	брат	0.0032459610337257877
53	мир	0.003200577342090927
54	не	0.0031933681669362147
55	бой	0.003182055941676815
56	лес	0.0031619940041810292
57	ваш	0.0031293820642781696
58	земля	0.0031233357503623314
59	видеть	0.0031126846846007456
60	мочь	0.0030635305507054835
61	капитан	0.0030628465480541617
62	это	0.00306106421151305
63	с	0.0030259872407240964
64	путь	0.003016114329752078
65	у	0.002985875216924014
66	этот	0.0029500705152788907
67	поэт	0.0029477190431490335
68	мой	0.0029339462066492188
69	камень	0.0029310004309163
70	мать	0.0029287709530963057
71	старик	0.0029271593198875664
72	берег	0.0029220017701633155
73	www	0.002921835309338014
74	который	0.002905336708667878
75	но	0.0029046173199297506
76	продолжение	0.002882338242803555
77	любовь	0.0028696943292363516
78	уж	0.002846231484201583
79	свой	0.0028455483620333875
80	ru	0.0028066491890108803
81	народ	0.0028027531884000745
82	чтобы	0.0027977035192629455
83	чуть	0.0027866675847232633
84	твой	0.0027844682915898196
85	россия	0.002772774224830743
86	stihi	0.00276128675610194
87	война	0.0027495408087771065
88	как	0.0027455595842269293
89	весь	0.0027341927021428966
90	мама	0.0027239990547478104
91	http	0.002722643026481631
92	брать	0.002720494118889353
93	наш	0.0027103253978648448
94	лишь	0.002704159718403627
95	дед	0.0026977791494857462
96	дом	0.0026969546370058327
97	когда	0.0026902803446213932
98	для	0.002689107683127885
99	идти	0.002663500928949047
100	дочь	0.0026575961235398658
101	уже	0.002642191808786419
102	жизнь	0.002640109798500459
103	ни	0.0026051907185326755
104	семья	0.0025972513381342997
105	на	0.002586147395244727
106	уходить	0.00258041627290821
107	конь	0.0025719861570396942
108	сила	0.002561262543836372
109	слово	0.002558292611594234
110	один	0.0025320118962109278
111	очень	0.002521690136828865
112	хотеть	0.0025210162683628294
113	еще	0.0025166315669827295
114	любить	0.0025122743291107474
115	день	0.0025086338096672748
116	тогда	0.0024791699958936326
117	смерть	0.002469810397097695
118	время	0.0024677088198083244
119	три	0.0024642494318481336
120	два	0.00246278021172146
121	з	0.002453214818009613
122	становиться	0.00245241316870487
123	свет	0.0024459414128956774
124	ее	0.0024242829139131026
125	рука	0.0024200243296075676
126	король	0.0024176899420907494
127	ребенок	0.0024088355454642287
128	жена	0.0024069939223674585
129	такой	0.0024027670258470126
130	враг	0.002400717147752124
131	власть	0.0023991016388936874
132	душа	0.0023926523104703537
133	сам	0.0023731463165769804
134	над	0.002368526290892575
135	так	0.002347423055799224
136	ть	0.0023437336983076437
137	сердце	0.002343024476240413
138	какой	0.002334799264532904
139	знать	0.0023311661992384217
140	от	0.0023177547618951464
141	сейчас	0.002308601334728944
142	город	0.002306244833720634
143	все	0.002301189691997994
144	понимать	0.0022877200526614113
145	стена	0.002286006484160786
146	гора	0.0022700317251487055
147	без	0.0022692471715812512
148	много	0.0022679415448751163
149	год	0.002267731106333637
150	стоять	0.002264466540164394
151	приходить	0.0022458281247507866
152	жить	0.002238372417569008
153	большой	0.002230278680726851
154	всегда	0.0022272716246272578
155	пока	0.0022253045701451503
156	страна	0.0022221695088820133
157	по	0.002218040114146353
158	делать	0.0022122563396219683
159	1	0.0021981977983620868
160	писать	0.002194582914967713
161	находить	0.0021851993090165663
162	москва	0.0021784720144299363
163	выходить	0.0021775764971783693
164	смотреть	0.0021396865916094533
165	про	0.002137991850638346
166	звать	0.002136084435768152
167	тело	0.002125951850992794
168	тень	0.002123959348975618
169	при	0.002117860888869764
170	просто	0.002098062870611017
171	говорить	0.0020979742641922127
172	сон	0.0020948635621568976
173	корабль	0.0020826505039216814
174	стать	0.0020811980234699524
175	гость	0.002077526661604008
176	волна	0.0020578785441804615
177	век	0.0020574419087006184
178	доставать	0.0020532246324835705
179	лежать	0.0020452401763494292
180	только	0.0020441022807077542
181	спать	0.0020407078082923208
182	каждый	0.0020397043198593736
183	нет	0.002039522628745001
184	Продолжение	0.0020350187569712417
185	под	0.0020326703959231453
186	место	0.0020296836316942334
187	долго	0.0020171476266091426
188	русь	0.0020102240906055935
189	родной	0.002009256980626947
190	волшебный	0.002004989382891398
191	машина	0.001999717789795681
192	даже	0.0019928127476272466
193	цвет	0.0019883565214647084
194	давать	0.0019878388033507705
195	дело	0.001985110198228561
196	снова	0.001984953349759455
197	рассказывать	0.001981934296893163
198	первый	0.0019788956347832625
199	пусть	0.001974908260634973
200	пойти	0.001962065667614475
201	меч	0.001959219071176374
202	подниматься	0.0019548483961517
203	вновь	0.0019493280935734508
204	роман	0.001933490440507774
205	живой	0.0019019686365187444
206	сюда	0.0018999466762834806
207	ответ	0.0018928774056768383
208	белый	0.0018886726788283682
209	раз	0.0018836809033369293
210	иль	0.0018827106005883038
211	юноша	0.0018798138423453679
212	ну	0.001879328965786775
213	думать	0.0018783448825443702
214	вставать	0.0018773969161744496
215	огромный	0.0018510345034411359
216	если	0.0018460548796431408
217	слава	0.0018451405839951102
218	прекрасный	0.0018400812354138654
219	будто	0.0018395905065512056
220	однако	0.001838960620134081
221	русский	0.0018372203992963322
222	перед	0.001835037464289092
223	просить	0.0018279039354172607
224	ночь	0.001826118411238813
225	а	0.0018209201406136695
226	остров	0.0018186366805940741
227	почему	0.0018179254216311943
228	письмо	0.001815491164594132
229	дорога	0.0018118952589854295
230	пещера	0.0017936828513965579
231	владимир	0.0017914170671262516
232	стол	0.0017900659455293735
233	река	0.0017886710310632294
234	небо	0.0017873078322589967
235	конец	0.001775551073050044
236	надо	0.0017730712099804683
237	помнить	0.0017663449424762693
238	женщина	0.0017585438491039304
239	потом	0.0017574415264177102
240	роль	0.0017559383525286942
241	**	0.0017513168849797355
242	зима	0.0017483549966647335
243	огонь	0.0017477190456397867
244	дух	0.0017463196144153223
245	игра	0.0017442072582507801
246	никогда	0.0017376856220110495
247	девушка	0.0017358511407281063
248	сразу	0.0017328602062342347
249	спасать	0.0017301313211160138
250	звезда	0.0017219898676659171
251	парень	0.0017217563364414522
252	дворец	0.00171945621220185
253	третий	0.00171655049046139
254	помощь	0.0017152439457439636
255	казаться	0.0017129436114286139
256	до	0.0017102063891110623
257	хоть	0.0017085478846242423
258	приходиться	0.0017079854661561718
259	новый	0.0017070743960550688
260	дверь	0.001706651347776624
261	ветер	0.0017058622802851588
262	ли	0.0017014160589376693
263	нога	0.0016969791265096666
264	нужный	0.0016953086325943668
265	должен	0.0016940659073484072
266	поле	0.0016890436702100915
267	сестра	0.0016884666705323968
268	муж	0.0016850440559105669
269	главный	0.0016842141065044926
270	окно	0.0016831344425515113
271	утро	0.0016749779912961194
272	падать	0.001670685733894659
273	вернуться	0.0016683468465334861
274	убивать	0.0016668233383284443
275	лето	0.0016558433583844698
276	кровь	0.0016508108647915341
277	часть	0.0016501501830309476
278	оставаться	0.001641030331199264
279	оставлять	0.0016393075565446016
280	никто	0.0016336761701913323
281	открывать	0.0016238739059150579
282	хороший	0.0016209715373656397
283	сквозь	0.0016207113992144835
284	старый	0.0016147757103853254
285	проходить	0.001611648070073675
286	прежде	0.00161063178159788
287	великий	0.0016088657379673633
288	й	0.0016072431433676185
289	ад	0.0016061999021437085
290	вопрос	0.0016050390105390813
291	видно	0.0016037368343575999
292	час	0.0016014847167317916
293	олег	0.001589567580407758
294	возможно	0.0015870478032864975
295	сильно	0.001583919744423465
296	мысль	0.001581156211856666
297	волк	0.0015808287921086474
298	нежный	0.001576787804005066
299	сей	0.0015751807383468635
300	тишина	0.0015733106985939655
301	4	0.0015728806578948543
302	граф	0.0015690972488813153
303	лодка	0.001568293819367276
304	глаз	0.0015629184154686928
305	язык	0.0015594135094948018
306	Ваня	0.0015585484131391827
307	ладонь	0.0015583494664750627
308	последний	0.0015580533232978338
309	чей	0.0015527090163551676
310	быстро	0.0015522673063286367
311	работа	0.0015488437741918233
312	золотой	0.0015465020944582832
313	пора	0.0015442831981549799
314	домой	0.0015410333879448833
315	тьма	0.0015409608036080415
316	снег	0.001538376398742394
317	ждать	0.0015376099929366987
318	рай	0.0015316913814805953
319	страшный	0.0015315183819749922
320	голова	0.001515114272039174
321	другой	0.001513364092783097
322	яйцо	0.001507858381527966
323	зал	0.0015035200949941128
324	врач	0.0015024623023151967
325	край	0.0015024399933385073
326	Царь	0.0015019938640723333
327	можно	0.0015013727686454751
328	среди	0.0015001339082520292
329	спрашивать	0.0014982146726351562
330	играть	0.0014972459417059902
331	далеко	0.001497239684498451
332	иллюстрация	0.001497014992512285
333	ходить	0.0014933954013561608
334	рождаться	0.0014904180146275237
335	страх	0.0014879042589094726
336	ленин	0.0014865489682273855
337	весна	0.0014825033804057094
338	осень	0.0014813455061958587
339	секрет	0.0014806917917316168
340	или	0.0014805781035466788
341	речь	0.0014805623414153191
342	войска	0.0014787075878936848
343	круг	0.0014780925803314715
344	успевать	0.0014767449745411027
345	труд	0.0014718912926282518
346	слышать	0.0014699043342701892
347	звук	0.0014615362763662175
348	иной	0.0014604104349594366
349	сказка	0.001455969734546063
350	строить	0.0014557253467698047
351	победа	0.0014489451257868968
352	миг	0.0014487964417918958
353	подумать	0.0014477344924260767
354	птица	0.0014473218511428505
355	свобода	0.0014421855619684693
356	злой	0.0014360275719876602
357	стих	0.0014356205421845365
358	сегодня	0.0014344273108868833
359	змея	0.0014324901114547992
360	сталин	0.0014239567133143675
361	создавать	0.0014233366444363314
362	музыкант	0.0014214685264709987
363	девица	0.0014209871938510156
364	сложный	0.0014194385129144647
365	конечно	0.0014189825131605105
366	зло	0.0014175838764177663
367	девочка	0.0014172942119742248
368	видать	0.001416978760421585
369	идея	0.0014099964329562147
370	столица	0.0014094811348143448
371	помогать	0.0014090329254668802
372	водопад	0.0014054407917414426
373	немец	0.001405409700521871
374	Катя	0.0014037217307845654
375	коль	0.0014004183182648442
376	попадать	0.001398386423760137
377	самый	0.0013980147650071665
378	вера	0.0013959985821111764
379	грудь	0.0013953888535775802
380	молиться	0.0013949128660058127
381	морской	0.0013931528995336532
382	мое	0.0013862627027924545
383	немного	0.0013843436830776198
384	радость	0.0013787593201667633
385	хозяин	0.0013760683524511878
386	глубина	0.0013748296330975882
387	христос	0.0013729084222276584
388	медведь	0.0013728377392592432
389	фильм	0.001372675932688893
390	тысяча	0.0013714858300952124
391	боль	0.0013691976685410137
392	страсть	0.0013678373023234118
393	оживать	0.0013645776576441226
394	д	0.0013637088324398858
395	известный	0.0013628883587583395
396	образ	0.0013626051161252394
397	история	0.00136109985683189
398	многое	0.001360799720830285
399	гулять	0.001357698429527039
400	село	0.0013525379342363372
401	воин	0.001351515345813914
402	учиться	0.0013447744756108363
403	необычный	0.001344202616744928
404	чёрный	0.0013439162476671525
405	***	0.001343415887217042
406	побеждать	0.0013422437081124143
407	ах	0.001338992731344154
408	иван	0.0013379093016542812
409	решать	0.0013375807136494836
410	крест	0.00133655134601865
411	называть	0.0013363126532596132
412	хлеб	0.0013352228923931852
413	поднимать	0.0013351581024711975
414	счастливый	0.0013340846604913432
415	вниз	0.0013334718098685998
416	солнце	0.001330258038773537
417	взгляд	0.00132883317514031
418	второй	0.001326527157021416
419	любой	0.0013262550669000275
420	собираться	0.00132440425401076
421	честь	0.0013203932125744374
422	пять	0.0013187506110964343
423	ведьма	0.001318280893396332
424	умирать	0.0013162143444457382
425	добрый	0.0013141587790501143
426	ясный	0.0013137134931522883
427	святой	0.0013124387433673093
428	мальчик	0.0013106515379782858
429	гений	0.001310086452499411
430	Иван	0.0013059848637581913
431	степь	0.0013058355199523839
432	чаша	0.0013046275328059465
433	красный	0.0013027843122646193
434	замок	0.001302654834453208
435	грех	0.0013020726850671322
436	древний	0.0013019355021166774
437	получать	0.001301465598586003
438	деревня	0.0012999464142410767
439	холодный	0.00129599488370851
440	озеро	0.0012940602668956198
441	сиять	0.001292626295418546
442	сталь	0.0012922594191892623
443	указывать	0.0012894609226732647
444	флот	0.001288023860669997
445	смысл	0.0012843698477284882
446	рот	0.0012839337157528525
447	порог	0.00128255708794891
448	после	0.0012772924867156816
449	вино	0.0012767475250653176
450	туда	0.001273985736146845
451	ребята	0.0012735020814750508
452	2015	0.0012733828605956325
453	облако	0.0012724621428990977
454	биться	0.0012717699719876454
455	тайна	0.0012714851775352783
456	цветок	0.0012697939727656345
457	шестой	0.0012678661209470736
458	вокруг	0.0012665258171377879
459	гор	0.0012645615469416079
460	стрелять	0.0012636927176772684
461	мечта	0.0012612114873803333
462	солдат	0.0012611673519847383
463	часто	0.001260595838126103
464	красота	0.0012605513106479134
465	улица	0.0012602118893694629
466	бежать	0.001259303195920512
467	любимый	0.001258601582343537
468	собака	0.0012563535390391484
469	зверь	0.0012556247850178809
470	входить	0.0012549855050099238
471	обычный	0.0012531833931151758
472	плыть	0.0012492195940167312
473	рыба	0.001249200227538049
474	евгений	0.0012460083044520296
475	ангел	0.0012431231690334338
476	иметь	0.0012431224073840754
477	больной	0.0012419044854590612
478	горе	0.0012416328045613573
479	ожидать	0.0012400027745266586
480	шаг	0.001238749242646684
481	важный	0.001238290572443208
