	feature	tfidf
0	перевод	0.04482408994272949
1	the	0.04279822615700572
2	,	0.0413530037144116
3	and	0.033292037779518585
4	in	0.029496638825471388
5	a	0.029056238212603256
6	of	0.02680837846006825
7	i	0.02253265960754702
8	to	0.021622304835607595
9	й	0.01694765026090565
10	я	0.016944087127776775
11	die	0.01670612398782209
12	der	0.016657570563158478
13	und	0.01596889596922656
14	!	0.01579035949079071
15	de	0.015332213363024755
16	12	0.014812305377478336
17	*	0.014736404909116763
18	is	0.014197767287449464
19	ты	0.01369759747067147
20	la	0.013556832623504928
21	with	0.013100824164046489
22	s	0.012997844094955304
23	немецкий	0.012339883601859208
24	my	0.011531905043137884
25	он	0.01136231695182685
26	с	0.01123891746895042
27	me	0.010995951641530714
28	that	0.010916808241008935
29	з	0.01078112391702123
30	by	0.010596770981093247
31	you	0.010326554462974705
32	http	0.010190206122606817
33	stihi	0.01015543336682788
34	www	0.010026176615525347
35	ru	0.010004226576237668
36	on	0.009951417185631056
37	for	0.00980506403236279
38	що	0.009601624413622568
39	мой	0.0095062060310837
40	not	0.009219655145218572
41	it	0.00910493202777133
42	so	0.009076360897294397
43	ть	0.009033146518984484
44	ich	0.00902083875279287
45	твой	0.00876746940308891
46	be	0.008753553783406628
47	она	0.008520772206631838
48	ist	0.008410029749860094
49	all	0.008394293619314985
50	тот	0.008205836047747092
51	was	0.00808622312944918
52	из	0.008077747153866523
53	2017	0.0077468825895571315
54	15	0.007723173132151744
55	as	0.007540324563252367
56	они	0.0075215998515888215
57	о	0.0074366931956656515
58	на	0.007429141683672171
59	2015	0.00729375810731555
60	мы	0.007017761338014334
61	no	0.006966903208986465
62	ще	0.006857430832991994
63	язык	0.006707257214035227
64	an	0.006632936806166427
65	и	0.006625441492261761
66	як	0.006604052602779566
67	his	0.006574586672458119
68	да	0.006566405245400256
69	у	0.006413351902744645
70	are	0.006370854898370888
71	над	0.006345871125706202
72	в	0.006273427772996305
73	o	0.0062466001981618694
74	не	0.00613982180956585
75	To	0.006111266082245001
76	d	0.00610966523836183
77	But	0.006017749440470649
78	ночь	0.005909383654720703
79	will	0.005813014574382996
80	от	0.005785973526383471
81	украинский	0.005779432506943428
82	сь	0.00571856014528477
83	have	0.005716411616700943
84	за	0.005709639712099158
85	ни	0.005646351492420009
86	то	0.005613715874717547
87	n	0.005574835153288877
88	вы	0.0054882532786172415
89	год	0.005470475935612169
90	небо	0.0054618978777304285
91	что	0.005342664397252648
92	love	0.00532942200276426
93	день	0.005305650513683011
94	from	0.005299661999951609
95	бы	0.005256974554805754
96	когда	0.005216680453602189
97	бог	0.005212804431228884
98	your	0.005181168013989165
99	but	0.00517494711508035
100	l	0.005170568210722595
101	ли	0.005166913259788442
102	at	0.005150297714110271
103	or	0.005129587493798869
104	этот	0.005103195241077331
105	смерть	0.005102390861474898
106	like	0.00499408133976127
107	без	0.00496460438631401
108	как	0.0049641948601121064
109	там	0.004932455929648162
110	2016	0.004914878083008407
111	а	0.004776972142249516
112	стихотворение	0.004774035398332074
113	се	0.004770613601548647
114	кто	0.004722153274243678
115	так	0.004719556397704398
116	мен	0.004711219707453797
117	де	0.004705499149696107
118	сердце	0.004687531373516645
119	друг	0.004679802736761636
120	can	0.004646784881954145
121	***	0.004633046096974836
122	The	0.0046087660322332216
123	до	0.004590344102514414
124	слово	0.004567166821201529
125	e	0.004527583246051583
126	he	0.004467826833486359
127	тень	0.004467475172022536
128	же	0.004464772913048921
129	свет	0.004453250477087065
130	what	0.004346571696839563
131	мена	0.0043341953190720135
132	t	0.004320296794990793
133	быть	0.004314403400978691
134	один	0.004313796625480858
135	английский	0.004308353211010932
136	солнце	0.004299175677307412
137	one	0.004292328373230745
138	е	0.004235126150232587
139	где	0.004233124929901834
140	автор	0.0042330532917023355
141	this	0.004225286259294384
142	нет	0.004224053196108597
143	для	0.004211904502192275
144	11	0.004209924808996932
145	любовь	0.004190061511349944
146	час	0.004178520300640983
147	земля	0.004152595378174467
148	we	0.0041467154917007015
149	16	0.004119343485253422
150	по	0.004082051389973178
151	все	0.004063845640149356
152	тишина	0.0040191459615478604
153	любить	0.003971765095122776
154	поле	0.0039675488984096344
155	сам	0.003926556606455778
156	17	0.0039035689653689524
157	словно	0.003897343012507174
158	який	0.003886855330794539
159	чтобы	0.0038852017004545702
160	мочь	0.0038560792624411683
161	ма	0.003855858577424417
162	но	0.0038533768154280835
163	лишь	0.003848276828563126
164	здесь	0.0038409413513351203
165	вже	0.0037764782102717703
166	весь	0.003730361220787002
167	песня	0.003728996972460478
168	птица	0.0036821359143187965
169	сон	0.0036776538750849064
170	ца	0.0036762670057156675
171	ветер	0.0036715023203457674
172	к	0.003664231964263573
173	наш	0.0036578809847939804
174	море	0.0035474509135670278
175	вот	0.0035418750852202843
176	который	0.003537377403736631
177	опять	0.003526986271084082
178	2	0.0035252097615081114
179	вода	0.003517439854435485
180	поэт	0.0035074576754791412
181	свой	0.003488656171420067
182	снег	0.003488171407993732
183	человек	0.003461426163071003
184	мир	0.0034590617712086085
185	себя	0.003443263344641529
186	старый	0.00344011908307583
187	видеть	0.0034300751968711694
188	стих	0.0034203962586912408
189	пока	0.003414574983828562
190	m	0.003406566618563214
191	My	0.0033784640386023625
192	это	0.003370343244191885
193	весна	0.0033392602826168884
194	глаз	0.0033371112532945774
195	**	0.0032963879062997783
196	давать	0.0032750506537903563
197	рука	0.003252060987303258
198	знать	0.0032514655101824005
199	время	0.003246984218241867
200	пусть	0.0032437793431693467
201	душа	0.0032356699574813685
202	буть	0.0031981896667010157
203	сад	0.0031967605506014493
204	гора	0.0031633480061111206
205	голос	0.003129572997490367
206	если	0.0031084900692876466
207	край	0.003108283459845706
208	бо	0.0030949411725582176
209	It	0.00308147279866626
210	огонь	0.0030325613908231868
211	сила	0.0030193802333368784
212	дерево	0.003017531906225594
213	дом	0.0030170565247879784
214	под	0.003017025773200239
215	10	0.0030099011354658913
216	вольный	0.0030030076618004454
217	лес	0.0029941004814216608
218	среди	0.002980843993189832
219	тут	0.0029795474016964785
220	другой	0.0029705379443031783
221	только	0.0029673343459522515
222	говорить	0.002960128297025164
223	снова	0.0029548894475169797
224	ль	0.0029327348407919528
225	падать	0.002924814352969098
226	луна	0.00291596318956778
227	даль	0.002904738419485357
228	еще	0.002896089887637327
229	поэзия	0.0028823797747764847
230	грудь	0.0028790331795166446
231	лист	0.0028692636988984386
232	He	0.002866662537164317
233	дождь	0.0028622876833568826
234	белый	0.0028348637443156863
235	вд	0.002830162375919374
236	up	0.0028244910195376425
237	ничто	0.0028162697865506893
238	жить	0.0028148196285151055
239	в1	0.0028096221725652563
240	путь	0.002790320103337552
241	печаль	0.002766806178811466
242	умирать	0.0027649083695325412
243	3	0.0027634002189598785
244	два	0.002758070846351791
245	жизнь	0.002755336876840815
246	какой	0.0027480195369506332
247	иль	0.0027375809559849534
248	коли	0.0027308134268054824
249	владимир	0.002722656172346633
250	мать	0.0027215045966416662
251	звезда	0.0027141207460937176
252	становиться	0.002710233954053275
253	волна	0.0027046511535260788
254	сказать	0.002702579419262779
255	кровь	0.0026943617716281283
256	красота	0.0026800430610559593
257	world	0.0026735384911306696
258	боль	0.002665201355491935
259	каждый	0.0026636034015302492
260	приходить	0.0026564784030872635
261	спать	0.002610925277732162
262	оно	0.0026066625764106922
263	плакать	0.002605659436017011
264	дорога	0.002595722324516249
265	глядеть	0.002582032046141229
266	взгляд	0.0025789938213210883
267	цветы	0.0025776927320102236
268	идти	0.0025632781198004825
269	мо	0.002562805275878094
270	м	0.0025580009612382664
271	будто	0.0025554718331150254
272	последний	0.0025442720117005097
273	вариант	0.002541378444180809
274	хотеть	0.0025396976034284635
275	раз	0.00253254921984178
276	цвет	0.002526463271596303
277	город	0.0025056334487408675
278	звук	0.002504741454067052
279	сквозь	0.002500301064247503
280	книга	0.0024965114556663895
281	туман	0.00248830965697492
282	вн	0.0024789421357710333
283	тихо	0.002471780078432418
284	соновиться	0.002464043807935125
285	теперь	0.002459991506810235
286	очь	0.0024511245554043855
287	след	0.0024477627814564803
288	потом	0.0024438952117553604
289	1	0.002441896223353222
290	вдруг	0.0024356603594802434
291	окно	0.0024299603814769174
292	или	0.002427635459119919
293	зима	0.0024261738372053066
294	покой	0.00238856584566245
295	No	0.00238337996767136
296	н	0.0023772001937858644
297	ваш	0.0023700976001657503
298	тело	0.0023693491431864572
299	петь	0.0023688549512029602
300	оставаться	0.002368075925148592
301	женщина	0.002359903993955103
302	луч	0.0023595384513927
303	перед	0.0023548810165966165
304	осень	0.002350491409077603
305	хоть	0.0023456748812023046
306	трава	0.002332937559083696
307	вечный	0.0023246601119509477
308	чем	0.002322287323532795
309	миг	0.002320601520185665
310	свт	0.0023094821815960675
311	уже	0.0022981999055379527
