	feature	tfidf
0	,	0.025357041730944444
1	!	0.024639059994520898
2	он	0.015679285560657022
3	она	0.01385505970679801
4	это	0.013205124965197393
5	я	0.011585025154730973
6	*	0.010549986392360036
7	вы	0.009952746162203192
8	то	0.009246281541838802
9	они	0.008997538015685815
10	ты	0.00899692564786314
11	который	0.00855160700837943
12	человек	0.008342360414166068
13	у	0.008106945463153454
14	быть	0.0076696258904029035
15	не	0.007536696434710714
16	а	0.007396967874409622
17	женщина	0.006848384549005829
18	что	0.006804278686609442
19	или	0.006345226011810075
20	и	0.006336774529869088
21	такой	0.006074274330607469
22	да	0.005978705492115284
23	из	0.005892217120136823
24	этот	0.005786006612136468
25	какой	0.005534275488632034
26	год	0.005487027234956073
27	говорить	0.0053957846343523075
28	когда	0.005378918074828999
29	мама	0.005272538954361632
30	о	0.00524709113206342
31	еще	0.0052272941551149915
32	самый	0.005128201162300647
33	мы	0.005073835064833252
34	девушка	0.004997364707876505
35	ну	0.004954870320562171
36	можно	0.004917399708808958
37	делать	0.004859852060192691
38	кто	0.004856849580318774
39	один	0.004836918354491278
40	если	0.00479882134861831
41	на	0.004757670505904903
42	новый	0.004687708086865054
43	уже	0.004674231276542008
44	свой	0.004640114329649259
45	вот	0.004637961094783143
46	сказать	0.0046156118909216805
47	в	0.004565658205930661
48	бы	0.004550217876464444
49	время	0.004535257096226656
50	так	0.004489056704821099
51	мочь	0.00433677116929112
52	спрашивать	0.004281103191679149
53	потому	0.004240434748918097
54	себя	0.0042138623881820166
55	друг	0.004208290611359401
56	ни	0.0041940884921450785
57	к	0.004167024561162554
58	за	0.00405765468366496
59	с	0.0040455281684758536
60	по	0.004024877372996081
61	просто	0.004024380642430712
62	только	0.004023148562749646
63	даже	0.004005453007557848
64	для	0.003994012021736062
65	почему	0.00394571977606328
66	девочка	0.003920075615860478
67	но	0.003900285663748942
68	все	0.0038543671351051567
69	же	0.0038257638962627626
70	маленький	0.003822976590153796
71	очень	0.0038138536497520307
72	другой	0.0037485365249152838
73	бабушка	0.0037443253207649473
74	ли	0.003741766270192375
75	потом	0.0037160990201094146
76	думать	0.0037134011841353275
77	хороший	0.0037084945420777686
78	тут	0.0037074737233095973
79	сам	0.003664017658903707
80	надо	0.003649051327517087
81	смотреть	0.0036427645444912005
82	нет	0.0036275498496671447
83	бог	0.0036252324268616297
84	ребенок	0.0035816601712078426
85	тот	0.0034535685835423353
86	первый	0.003452794975833114
87	несколько	0.003450890266080909
88	от	0.0034442911155204326
89	мой	0.0034430937940081634
90	каждый	0.0034403887994569177
91	отвечать	0.003425960085779769
92	начинать	0.003406379875524067
93	наш	0.003406122666437874
94	много	0.0033720697110337042
95	два	0.0033546179047387044
96	мир	0.0033511712854409265
97	жизнь	0.003326148199642784
98	ничто	0.0032941091632453377
99	комната	0.003291851502649966
100	через	0.0032859445067047357
101	как	0.003243564062434955
102	вообще	0.0032420205349087245
103	хотеть	0.0032344266166563634
104	после	0.0032263299424348433
105	муж	0.0032156841329078426
106	день	0.0031970195617867735
107	оно	0.003180423722047653
108	http	0.0031802559110554753
109	работать	0.00317023032535287
110	видеть	0.0031640992026651183
111	становиться	0.0031319607809218255
112	деньги	0.0031009505184267307
113	любовь	0.003076458133258686
114	работа	0.0030719264073469643
115	писать	0.002975892918914915
116	мужчина	0.0029751233055876954
117	весь	0.0029570332911431217
118	твой	0.002954124480374867
119	приходить	0.0029482197670209443
120	тоже	0.002947434126188547
121	знать	0.0029383437350275787
122	про	0.002920386035967764
123	во	0.0028841597299389863
124	мужик	0.0028756974300844945
125	понимать	0.002872115420953385
126	жена	0.0028716479578413806
127	ru	0.002870585559403109
128	до	0.0028579895014712534
129	раз	0.002839608591352918
130	любить	0.0028395163119907638
131	всегда	0.0028380935207341982
132	история	0.0028376824565139484
133	идти	0.0028313600861492147
134	дело	0.0028204581507927625
135	никто	0.0027979017009751367
136	сеть	0.002797328054552964
137	решать	0.0027836863611209388
138	иметь	0.0027831208305476606
139	должен	0.002780306196127228
140	нужный	0.00276949374558298
141	сторона	0.0027653832931264282
142	машина	0.0027235351892726
143	именно	0.002706063021575512
144	выходить	0.0026980454573488325
145	покупать	0.002694363305478851
146	дед	0.0026715763411176347
147	тогда	0.002671360892740761
148	сын	0.0026573197645177312
149	рука	0.0026555258892628814
150	стать	0.002633284925337917
151	родитель	0.0026302543445322784
152	голова	0.002622556299333074
153	декабрь	0.002613809972186465
154	www	0.002611472403538364
155	внутренний	0.002608382749806165
156	отец	0.0026073434904015135
157	ваш	0.002590380074943619
158	сейчас	0.002578524915282975
159	большой	0.002577837736887914
160	пойти	0.0025604928388677987
161	12	0.0025458515215474324
162	папа	0.0025429518226251255
163	иногда	0.0025381633376332117
164	без	0.0025275651518332576
165	читать	0.0025218618581116107
166	три	0.0025216339169800285
167	русский	0.0025195423095025573
168	россия	0.002499572297734873
169	давать	0.0024919989625953563
170	оказываться	0.0024903602261585884
171	там	0.0024881414763944488
172	появляться	0.0024791789230012916
173	слово	0.002471688366351854
174	чтобы	0.0024708119729198535
175	более	0.0024705192519410015
176	магазин	0.002465646104072002
177	2015	0.0024568556014240117
178	многие	0.0024511204595212403
179	некоторый	0.0024492952637795258
180	никогда	0.0024456250863114063
181	интересный	0.0024449781139099153
182	при	0.0024421740586304764
183	народ	0.0024315807602436883
184	хотя	0.002422509896647417
185	автор	0.0024142839297216197
186	второй	0.002413793743402581
187	город	0.002411500824954782
188	хоть	0.0024100376060946374
189	место	0.0023984405543897402
190	отношение	0.0023967917319478956
191	либо	0.0023803536906421116
192	лицо	0.0023782447215272987
193	счастье	0.0023729508360687667
194	книга	0.0023554571087407617
195	радость	0.002338654641177095
196	е	0.0023319598877729565
197	дом	0.0023308409208329267
198	случай	0.0023146309219037567
199	2017	0.0022979830053628707
200	вода	0.002294293109132921
201	ведь	0.0022797770784633437
202	дверь	0.0022723354742778972
203	сидеть	0.002271087579110068
204	й	0.002246218939744136
205	теперь	0.002224935035358012
206	вопрос	0.00221512739985584
207	сегодня	0.0022086797102098136
208	оценка	0.0021978542475642373
209	тело	0.0021848738690389653
210	где	0.0021645992902913887
211	квартира	0.002133435257047847
212	брать	0.002132171887102843
213	подумать	0.002130989105678256
214	нибудь	0.002127863740072582
215	улица	0.0021054940650473922
216	больше	0.002103423685615414
217	страна	0.0021030678032332396
218	хорошо	0.0020988052750746324
219	глаз	0.0020811127667549213
220	мальчик	0.002059067865833587
221	любой	0.002057926156791808
222	поэтому	0.002051998704705707
223	получаться	0.0020454971872505244
224	красивый	0.002035850508866167
225	море	0.0020136999715172736
226	стол	0.0020081101723268715
227	сила	0.00198958187145961
228	внутри	0.001981311876913568
229	часть	0.001976410282208338
230	мороз	0.0019620394028591966
231	язык	0.001960265269547172
232	душа	0.001955451543880241
233	умирать	0.0019472462153077683
234	пытаться	0.001932232017073281
235	мысль	0.001932001831785679
236	берег	0.0019234102971246725
237	казаться	0.0019117871415281278
238	советский	0.0019093522836907686
239	будущее	0.0019077419634921076
240	главный	0.001904003743496114
241	чем	0.0019021793583944887
242	школа	0.0019017397132943669
243	сразу	0.0018931475595308665
244	лишь	0.0018931344215180124
245	чувство	0.001890520964344296
246	фильм	0.0018796799290219652
247	важный	0.0018788397555966267
248	спать	0.0018763137366113096
249	следующий	0.0018755454961759436
250	хозяин	0.001874973733336049
251	старый	0.001872643863263331
252	собака	0.0018681175195635535
253	ехать	0.0018640315880369324
254	желать	0.0018640013374917857
255	слишком	0.0018590393320773938
256	под	0.0018568571492958144
257	нельзя	0.0018519907850785998
258	земля	0.0018519642355870464
259	автобус	0.0018509020919594236
260	хотеться	0.001848942781104335
261	конечно	0.0018472692356050252
262	молодой	0.0018470097679302014
263	з	0.0018447239151838846
264	семья	0.0018404111181232728
265	stihi	0.0018316501208714404
266	добрый	0.0018298108807792456
267	смысл	0.0018181568483525115
268	домой	0.0018164879283390893
269	находить	0.0018154327881010044
270	рассказывать	0.0018132052000203686
271	нога	0.0018129253819494848
272	чувствовать	0.0018084462890420481
273	совершенно	0.0018080885815572702
274	нравиться	0.00180715826387142
275	жить	0.0018057863936907022
276	происходить	0.0018030887800003957
277	утро	0.0017961986344826727
278	внимание	0.001792848843340282
279	пусть	0.0017903094655540733
280	пока	0.001789956752989918
281	ходить	0.0017874956856257238
282	вселенная	0.0017818729969805494
283	счастливый	0.0017795126814109715
284	уровень	0.0017757784642910778
285	минута	0.0017732862321343792
286	огромный	0.0017717497238348302
287	почти	0.0017596889960949515
