	feature	tfidf
0	!	0.023303073321344354
1	,	0.019534327684146424
2	вы	0.014061211790083798
3	он	0.011121049150983258
4	сцена	0.010745779792803388
5	дед	0.009369752110552227
6	я	0.009335676535151285
7	й	0.009041684532254646
8	ты	0.007167535723186165
9	мы	0.007006304000490905
10	о	0.006921710623474025
11	е	0.006618990341473883
12	какой	0.005756766108208666
13	далее	0.005581914171340535
14	э	0.005453859505490155
15	2	0.005453445238207786
16	1	0.005436466504218211
17	3	0.005394891781926617
18	время	0.005379726156741044
19	ваш	0.005315303736514091
20	боться	0.005291824271344783
21	2013	0.005258144568220893
22	отец	0.0052534265453200195
23	действие	0.005238273721095912
24	король	0.005123253662313834
25	ну	0.005016114293783468
26	карта	0.004921119230606646
27	п	0.0049019785614873015
28	мороз	0.004810894193741845
29	она	0.00479723751473711
30	выходить	0.0047699446356139225
31	средний	0.004757155444433575
32	друг	0.004704366400505688
33	они	0.004656309799424868
34	Я	0.004542554292136619
35	06	0.004464308498776009
36	все	0.004416271622705837
37	*	0.004411049395031466
38	с	0.004406074085026929
39	а	0.004396524342249853
40	волк	0.004341507590055979
41	Снегурочка	0.0043251650664979085
42	снегурочка	0.004285286014605982
43	рождение	0.004243276112405735
44	в	0.00417707041939427
45	бы	0.004142412947724076
46	под	0.004105485591424455
47	три	0.004070001334555045
48	сестра	0.004038699861955175
49	книга	0.004012649924580059
50	наш	0.004007080608831574
51	комната	0.0040057269730442895
52	то	0.004000986356308396
53	ха	0.003958467328488006
54	тут	0.003951507047408953
55	кошка	0.003921998349094917
56	ивановна	0.0039180763174410755
57	появляться	0.003907649699910567
58	у	0.0038752765242663317
59	4	0.003864734078420392
60	как	0.003847279800942022
61	the	0.0037176446285693693
62	генерал	0.0037031245370532876
63	ад	0.003663589781307351
64	метр	0.003559981359494663
65	делать	0.003553970436958032
66	муж	0.0035488607000553813
67	www	0.003548443154529351
68	песенка	0.0035369227612030945
69	2017	0.003530012969883344
70	сюда	0.003492699510562296
71	бабушка	0.0034897760545606307
72	автор	0.0034740883408355275
73	век	0.0034591788351674194
74	татьяна	0.0034059261124302314
75	ка	0.0033890665294572333
76	хор	0.0033796989941631056
77	не	0.003374074802201041
78	a	0.0033220758895129913
79	сидеть	0.003319704490297438
80	ть	0.003294336680113521
81	вот	0.003284380752668332
82	петух	0.003262338108258284
83	ужас	0.0032542609045581386
84	президент	0.0032488731176948033
85	билет	0.0032426536527415195
86	старуха	0.0032203941601314343
87	андрей	0.003219073814180157
88	девушка	0.003187993926975155
89	деньги	0.0031588447715877135
