	feature	tfidf
0	,	0.05614113886705852
1	бог	0.043326324947330734
2	!	0.033191650339543875
3	он	0.027405077826987506
4	я	0.026274518187434814
5	господь	0.02566760855803939
6	ты	0.025247341679906745
7	мы	0.02390654754506101
8	христос	0.01973500661149559
9	грех	0.018785494515146793
10	душа	0.016685761945627764
11	святой	0.01634462285064767
12	и	0.014506584492274889
13	молитва	0.013985079742822749
14	вера	0.013949538720771872
15	мой	0.013502826062444122
16	храм	0.011969453046242312
17	Иисус	0.01194987959271459
18	чтобы	0.01185227241465439
19	к	0.011735122024590055
20	мир	0.011660263326825312
21	Божий	0.011498034238091977
22	кто	0.011460554165375648
23	сердце	0.011329075418721095
24	любовь	0.011305215919867644
25	давать	0.011217269795682753
26	жизнь	0.01109841929103218
27	путь	0.011055112241513043
28	человек	0.011028858374859207
29	крест	0.010707226804709424
30	твой	0.010652111881830378
31	о	0.010573883458858577
32	вы	0.010515704022316458
33	от	0.010405296121450582
34	быть	0.010219287056598246
35	они	0.010108238519198868
36	не	0.01006693367175117
37	дух	0.010045413257117346
38	молиться	0.009952743940647909
39	за	0.009952493080644047
40	Христос	0.009878449472449822
41	земля	0.00983281429532126
42	свой	0.009583236540136262
43	наш	0.009496085712983764
44	в	0.009359632809481934
45	свет	0.009192697282678486
46	отец	0.009000307337260057
47	перед	0.008995238314129607
48	весь	0.00896866136605202
49	прощать	0.008950578476037769
50	Господь	0.008950128583290723
51	что	0.008877704279777975
52	она	0.008637164438487286
53	*	0.008339601966723028
54	пусть	0.008305583961955238
55	небо	0.008294054824110253
56	все	0.008281683879554544
57	милость	0.008232260251933339
58	радость	0.0082089536110634
59	для	0.008139075340577022
60	сила	0.008129938102242508
61	Господ	0.008058239052921943
62	просить	0.008040396828066183
63	божий	0.007935051007880995
64	жить	0.007920228962756851
65	благодать	0.007917932356075586
66	небесный	0.007388049644258636
67	иисус	0.007327416556703565
68	то	0.007265630580337983
69	тот	0.007135679217083692
70	каждый	0.00696931206343495
71	зло	0.006876960991097315
72	ангел	0.006863811596626143
73	знать	0.00685451604378476
74	себя	0.006822472574933924
75	день	0.006767331201960996
76	с	0.006757362592676196
77	2016	0.006722048690805786
78	когда	0.006711306984510292
79	как	0.00656701606896858
80	слово	0.006517170882142319
81	дорога	0.006512620198186956
82	земной	0.006491061188109947
83	сын	0.00648511078966658
84	12	0.006470367470122565
85	смерть	0.006380315726295917
86	приходить	0.006377058596710215
87	верить	0.006321262766204535
88	вечный	0.006294624685680893
89	грешный	0.006224378993909004
90	это	0.006140608726146626
91	год	0.006043651507499401
92	друг	0.00603446355846342
93	мочь	0.0059935641865268485
94	всегда	0.005988357678800774
95	идти	0.005963876823210255
96	лишь	0.0059231726214431695
97	ни	0.005893049811091363
98	ведь	0.005886084113060715
99	если	0.0058598766330622545
100	помогать	0.0057500413438047
101	нет	0.005727779680574907
102	но	0.005712227165359242
103	бого	0.005678748568206914
104	видеть	0.005638686697194133
105	надежда	0.005605891691021344
106	где	0.005541592424900984
107	спасать	0.00553587378165265
108	творец	0.005535814933257718
109	без	0.005446172150332865
110	у	0.005439593383275745
111	на	0.005437814097640094
112	истина	0.005424119342723248
113	этот	0.005412767217745621
114	принимать	0.005406113302384282
115	церковь	0.005394270728940988
116	бы	0.005302514104601334
117	декабрь	0.005246385389078905
118	Спаситель	0.005242230409959517
119	только	0.005230991509635788
120	здесь	0.005216627002350267
121	рай	0.00521639680981486
122	небес	0.005192126328486379
123	там	0.005185018720477618
124	плоть	0.005153668085914781
125	любить	0.005133962965040197
126	спасение	0.005119184244512916
127	добро	0.005081852864473823
128	2017	0.005031289444450504
129	из	0.00501873388636252
130	же	0.004970471000914383
131	по	0.00495935027439976
132	2015	0.004944622278792807
133	во	0.004921314528427499
134	боль	0.004905526832323239
135	покой	0.004894158034811619
136	дело	0.004889025947248744
137	открывать	0.004865905478206224
138	над	0.0048633595602358085
139	народ	0.0048489658489017885
140	Ты	0.004844098531010215
141	светлый	0.004840912593115953
142	свеча	0.004837458049381164
143	ребенок	0.004836859362765054
144	богу	0.004827491230392948
145	слава	0.004817720766963599
146	Христ	0.0048080708844107
147	живой	0.004792558210868331
148	кровь	0.004783970138615944
149	тьма	0.004759323549413846
150	вновь	0.004700537565392553
151	великий	0.004688815562248385
152	а	0.004676097017579794
153	говорить	0.004639599486667336
154	который	0.004639223958194342
155	так	0.004577273914197682
156	ад	0.004574530766501784
157	счастье	0.004568968533310966
158	слышать	0.004552765966348563
159	беда	0.004549013285603339
160	рука	0.00451248746322008
161	много	0.004506822182842779
162	да	0.004497216358381844
163	молитво	0.004482790118783212
164	вечность	0.004447847363260359
165	враг	0.004439229138986765
166	один	0.004429009021632519
167	имя	0.004421342492189602
168	ли	0.004417825260686463
169	сам	0.004415482790861257
170	сказать	0.0043826675350384335
171	время	0.004279108079172547
172	дар	0.004275620721762253
173	хотеть	0.004255509909590976
174	Святый	0.004236639148887492
175	час	0.004115287694172742
176	мысль	0.004087554434314991
177	тогда	0.0040691189406316915
178	духовный	0.004050489372069352
179	дом	0.0040401886772686545
180	прощение	0.004027715826346999
181	святый	0.003999886018968379
