	feature	tfidf
0	я	0.0327785358183203
1	ты	0.030868102524820976
2	,	0.02591277702116847
3	!	0.02402968264747986
4	мы	0.02189223579691141
5	Припевать	0.021286508234027286
6	пр	0.015488674637724874
7	твой	0.01521857538810868
8	кто	0.0150471078567215
9	1	0.014862167923397314
10	он	0.013581711366147733
11	мой	0.01259382449966358
12	то	0.01087246628033441
13	не	0.010145207479739913
14	Припев	0.010109190207075227
15	она	0.009845680871582836
16	песня	0.009648847914901627
17	мир	0.009616079810271296
18	быть	0.00937560857444698
19	небо	0.009317509565776198
20	это	0.00931378796087587
21	по	0.009172182912843729
22	нет	0.00906740290489961
23	2	0.008965528711741394
24	свой	0.008922676631972257
25	война	0.008764875742008583
26	рок	0.008680660800906879
27	сон	0.008586143650294168
28	где	0.008313577271542808
29	и	0.008250481330689747
30	свет	0.008197673391909088
31	ночь	0.008102344316570146
32	все	0.008093064597669406
33	там	0.008055373806017745
34	любовь	0.007991169820913009
35	они	0.007945381293674303
36	наш	0.007913694776427135
37	один	0.007910414105250407
38	что	0.007848909526525661
39	смерть	0.007773142204153121
40	за	0.007771164653223501
41	ветер	0.007728740020943099
42	этот	0.0077135725631896825
43	стена	0.0076915561241252305
44	но	0.00767035783246388
45	глаз	0.007634630248767326
46	в	0.007599146975391294
47	так	0.007587504586200567
48	жизнь	0.007545483875839726
49	с	0.007395869305328073
50	а	0.007384886809811917
51	дождь	0.007244783417477123
52	день	0.007238374597632066
53	здесь	0.007219403619241143
54	о	0.007147416657464505
55	мочь	0.007095946751410398
56	уходить	0.007084584287887031
57	весь	0.00696104643131367
58	как	0.00689997198682362
59	человек	0.006830649425292141
60	путь	0.006749200695622141
61	кровь	0.006730634419380724
62	смотреть	0.006672729602129991
63	на	0.0066028477069662375
64	знать	0.0065501652669744245
65	себя	0.0065491920415331846
66	солнце	0.006533210708747324
67	верить	0.006525425366921707
68	да	0.006497775802690865
69	город	0.0064833011110894305
70	тень	0.00636676487851593
71	бы	0.006318331025287231
72	из	0.0062909375489134545
73	время	0.006253064735106844
74	тот	0.006230700573910517
75	дорога	0.0062237019729402725
76	слышать	0.0062220590890508
77	идти	0.00621912336684295
78	под	0.006194348412203095
79	судьба	0.0061884382743403535
80	оставаться	0.0061713257169987755
81	луна	0.006127539458696684
82	хотеть	0.006120789478333601
83	звезда	0.0060831968742750195
84	год	0.005968901211243464
85	снова	0.005962688720595995
86	ни	0.005952821002634252
87	новый	0.005901465342343435
88	шаг	0.005900403649055988
89	если	0.005867951577388543
90	у	0.005864023079445193
91	огонь	0.005841054065297808
92	от	0.0058375854436072926
93	*	0.005795704767840358
94	уже	0.005787458591437635
95	друг	0.005782617249267837
96	мечта	0.005693673449011165
97	для	0.0056603153731025705
98	без	0.0056582461422388305
99	тьма	0.005544230966723116
100	убивать	0.0055408139389637205
101	голова	0.005501386561670739
102	никто	0.005480006359213475
103	вы	0.005457515406986507
104	душа	0.005446773467505651
105	ждать	0.005389964234632921
106	нужный	0.005383535958051735
107	вот	0.005371097405848176
108	последний	0.005328109912143666
109	вода	0.005327768013396939
110	любить	0.005327448091668832
111	еще	0.005313450330426418
112	когда	0.005304851929190205
113	до	0.005249060911914897
114	ангел	0.005229557849281211
115	сердце	0.005215252653882267
116	окно	0.005179548097678813
117	искать	0.0051150247269847685
118	к	0.005063305516961545
119	просто	0.0050627187301464345
120	свобода	0.005061514822351161
121	вновь	0.005030574221343287
122	дно	0.004903850192291445
123	жить	0.0048923510355730815
124	лететь	0.004888280566695187
125	мечт	0.004882756458781279
126	ад	0.004880993528221912
127	опять	0.00485346674355069
128	каждый	0.004839671381927777
129	видеть	0.004834701345171944
130	или	0.0047852975474122214
131	дым	0.0047745443767041205
132	над	0.004726722918265354
133	только	0.004699324625551126
134	слово	0.004686518161293669
135	чтобы	0.004664913611770359
136	черный	0.004633583789614876
137	лишь	0.00461889421487151
138	сколько	0.004528274660167487
139	боль	0.004521898356109916
140	бог	0.004474970842756545
141	больше	0.004451966681717693
142	взгляд	0.004402158952413759
143	птица	0.0043981552179394034
144	же	0.00437061971534729
145	река	0.004341330837738742
146	падать	0.004339060619387415
147	крик	0.004326572959114444
148	чужой	0.004319404261843952
149	становиться	0.004302495105649581
150	земля	0.004293237281922218
151	пустота	0.004290628730184733
152	давать	0.004290093276268378
153	небес	0.004277871207579269
154	дом	0.004229187268767129
155	ложь	0.004228722099205943
156	место	0.004224277587132549
157	рука	0.004223842048351226
158	сегодня	0.0042234034707193
159	раз	0.004181838013941149
160	дверь	0.004167165641730534
161	надо	0.00412817150627855
162	забывать	0.0040756138793566045
163	всегда	0.0040633515414993755
164	снег	0.004058712678599367
165	тело	0.004023255783665471
166	живой	0.004021270261468097
167	который	0.003984589624888462
168	com	0.003953192036328262
169	много	0.003937543735736281
170	https	0.0039297185029882825
171	гореть	0.003924205920358258
172	сквозь	0.0038921774202163306
173	спать	0.003889231744625461
174	навсегда	0.00388089722567766
175	ли	0.0038787480411559875
176	враг	0.003875338590764761
177	играть	0.0038574816283397633
178	пытаться	0.0038508975488528714
179	приходить	0.0038252588794007885
180	лицо	0.003785873003569909
181	след	0.0037722913393782725
182	голос	0.00377078936264398
183	теперь	0.0037702645312540756
184	облако	0.003752025235562264
185	камень	0.003741229502631409
186	первый	0.0037229558396954412
187	брать	0.0037187208956290857
188	утро	0.003714054262225736
189	музыка	0.0037124095614928768
190	губа	0.0037076277819395524
191	ночной	0.003700645609473508
192	давно	0.0036817574946462054
193	терять	0.0036776368373223536
194	вперед	0.0036722999943856116
195	пить	0.0036709699613196173
196	группа	0.003657474005438816
197	ничто	0.0036518087557222403
198	счастье	0.0036376976483456685
199	белый	0.0036332921808783568
200	ум	0.003624057278523675
201	страх	0.0036217172693500167
202	словно	0.0036182595244842195
203	ведь	0.0036131605202185217
204	мысль	0.0035750849358108707
205	миг	0.0035634505834024844
206	вечный	0.003557880826367876
207	вставать	0.0035441317467012723
208	тишина	0.0035366487944520544
209	говорить	0.003534509452426242
210	пламя	0.0035321625884148764
211	во	0.0035119225844503234
212	сказать	0.0035061110775482765
213	пусть	0.0034803707126643416
214	слушать	0.0034770853773643685
215	капля	0.00347098443790367
216	проходить	0.003458265932385192
217	ответ	0.0034368494368702614
218	среди	0.0034176473401077642
219	край	0.00340688480410896
220	умирать	0.003405739166110233
221	тысяча	0.0034031674416048745
222	зоть	0.0033921547610085436
223	море	0.003386506799537108
224	петь	0.0033751953252978725
225	корабль	0.003374302955675151
226	пыль	0.003371243977694428
227	круг	0.0033659432707234924
228	другой	0.0033634980698715386
229	весна	0.0033623451664777817
230	два	0.003358962324283271
231	понимать	0.0033563525130587235
232	куплет	0.0033463801538531953
233	улыбка	0.003335673123713962
234	гитара	0.0033296266533792006
235	нога	0.0033095500980533797
236	3	0.003303861521849593
237	скоро	0.0032967616979860774
238	игра	0.00329545760770079
239	в1	0.0032919498696524206
240	вместе	0.00327410336669309
241	можно	0.003265619609506723
242	рай	0.0032405865934183003
243	хороший	0.0032336754956484998
244	власть	0.003225609154868701
245	молчать	0.0032217531963139407
246	поле	0.003214124494530458
247	тут	0.003206373279023171
248	мост	0.0031870954914910597
249	холодный	0.0031808693518835217
250	долго	0.0031695107041973033
251	победа	0.0031653362158273286
252	чудо	0.00315875922393604
253	страна	0.003136893048827974
254	сила	0.0031313468595309114
255	вечность	0.003121291969263049
256	утопать	0.0031201870368320196
257	бояться	0.0031196704105435746
258	цель	0.0031192804034166736
259	d	0.003118356306036938
260	покой	0.0031176086914993925
261	флаг	0.0031126555801010993
262	готовый	0.0030959817884549027
263	мрак	0.0030906951549066236
