	feature	tfidf
0	,	0.057154466258509
1	!	0.04479452794263083
2	он	0.024640364688632448
3	вы	0.020349575204594707
4	я	0.016062989983218784
5	они	0.015486109116215906
6	мы	0.015307255403850532
7	не	0.01476479429985978
8	*	0.014566961444236873
9	народ	0.012177428270225322
10	же	0.011888292320776294
11	кто	0.011870100345854045
12	а	0.011543783858730935
13	ты	0.01139505864917777
14	у	0.011282709911425902
15	в	0.011129723193804859
16	и	0.010924451143102205
17	то	0.010884343408668251
18	что	0.01001915661671565
19	на	0.009969980494787343
20	бы	0.009924205127024419
21	страна	0.009789357945138258
22	весь	0.009600369966707031
23	быть	0.00959012512709593
24	вот	0.009441203893696262
25	россия	0.00940665278539537
26	все	0.008985396429330389
27	по	0.008936340572065998
28	с	0.008827297936082086
29	за	0.008724140813988373
30	это	0.008521129206453083
31	как	0.008343983722732444
32	она	0.00832411494720617
33	такой	0.008314909105150838
34	для	0.008194462995541154
35	да	0.008176237195630669
36	но	0.008154219386910293
37	ни	0.008139112297462359
38	без	0.007997091264477037
39	деньги	0.007911374285603012
40	12	0.007761278310682841
41	власть	0.007709648448485499
42	нет	0.007655228317587928
43	ну	0.007613359847001724
44	из	0.0075909068937271215
45	от	0.007535885868588513
46	год	0.007320912712881045
47	тот	0.0072745414154344965
48	человек	0.007235629539508429
49	наш	0.007022454453551564
50	поэт	0.006624962733530091
51	надо	0.006585049883992283
52	давать	0.0065379838526365705
53	так	0.006514181566784642
54	мочь	0.006495576937075352
55	если	0.006490759988995751
56	к	0.00646024893319775
57	чтобы	0.006338009579187259
58	тут	0.0063209473604190535
59	ведь	0.006075317241213651
60	о	0.006068801571760026
61	там	0.005990550086411536
62	один	0.005988666086571472
63	брать	0.00596618870112919
64	до	0.005915572138609245
65	этот	0.005709011880797979
66	дело	0.005703667809327469
67	русский	0.005676264100854918
68	писать	0.0056395237466883
69	только	0.005601459110182622
70	под	0.005596489326395156
71	хоть	0.005473913768842886
72	теперь	0.00544361717299238
73	президент	0.005347560805997776
74	сам	0.005347347574997223
75	2017	0.005317755063817301
76	какой	0.005294813516254089
77	друг	0.005289051804287012
78	себя	0.005277244483049926
79	ваш	0.005264099922395469
80	декабрь	0.0052125352389299886
81	сказать	0.0051989677486526074
82	про	0.005178251299982851
83	даже	0.005126028189330694
84	свой	0.005123993940434432
85	очень	0.005043421890694067
86	путин	0.005042250930196205
87	мужик	0.005023630086668018
88	жить	0.005011865736273661
89	хотеть	0.004966204133433753
90	мозг	0.004955013061333802
91	2015	0.004941437625621816
92	любить	0.004875411002712084
93	ум	0.0048670871615266245
94	член	0.004845552157719791
95	новый	0.004802639360892972
96	где	0.00477302479003858
97	ли	0.0047593143648838685
98	можно	0.0047553042488647805
99	когда	0.004750887962103371
100	уж	0.004712847398114642
101	два	0.00471175905460083
102	говорить	0.004635164750630519
103	сидеть	0.004584634453582398
104	много	0.004524687474096491
105	другой	0.004436769848460688
106	закон	0.004404267662553296
107	знать	0.004340864672286382
108	раз	0.004288504234270276
109	европа	0.004277272377367797
110	становиться	0.004270678667740905
111	мой	0.004233906578119135
112	нужный	0.0042222180449935365
113	просто	0.004185060242689275
114	хороший	0.0041602798913966425
115	здесь	0.004147941041518235
116	пить	0.004135316692049566
117	ru	0.0040764158533861585
118	всегда	0.004071544160653353
119	лишь	0.00406308580769927
120	2016	0.004047140562058381
121	конечно	0.004003572539524634
122	рубль	0.003985838266721794
123	зарплата	0.003961154318436432
