	feature	tfidf
0	,	0.061617267835881645
1	!	0.05486785698399858
2	он	0.030455994707321396
3	я	0.025430337578531595
4	мама	0.02284993333614713
5	мы	0.01858378064331038
6	мороз	0.0176180767318688
7	дед	0.017189302618279285
8	у	0.015420512267574802
9	она	0.015002394698531932
10	на	0.014108025838482058
11	спать	0.013613756865777005
12	очень	0.012568869206208665
13	они	0.012543603373172844
14	снег	0.012216239773742964
15	папа	0.012047709066282379
16	с	0.012003075582202632
17	новый	0.011751378077749097
18	кот	0.01162776814974825
19	год	0.011116447004830842
20	и	0.011015017428934721
21	вот	0.010677673031031627
22	ребенок	0.010670367074666232
23	лес	0.010662184436178663
24	маленький	0.010585704324477812
25	подарок	0.010352022176408838
26	в	0.01024292222975298
27	а	0.010147841863250453
28	ты	0.01013242060856546
29	играть	0.009967771256355461
30	ёлка	0.009838015918966644
31	вы	0.009833691114718648
32	дом	0.009831666895124708
33	зима	0.009461891295288356
34	игрушка	0.009396654853345862
35	белый	0.00900854837752565
36	кошка	0.008853540251371627
37	из	0.00876835994020019
38	праздник	0.008718577202360458
39	весь	0.008702553622947511
40	под	0.008525764026418577
41	друг	0.008497847768131082
42	не	0.008495400332537806
43	нос	0.008465387102179327
44	12	0.00831044120499877
45	*	0.008294566569905003
46	к	0.008243123567752735
47	ну	0.008065948055496628
48	по	0.007988044172445247
49	наш	0.007970249950181975
50	быть	0.007935624695182055
51	же	0.0078735148857533
52	двор	0.0078070583505229765
53	за	0.007803847818191314
54	сказка	0.007784838521185644
55	скоро	0.0076619266439619665
56	кто	0.0076496365065583105
57	два	0.0075875088124855595
58	для	0.0075420204271146865
59	все	0.0073532346961570376
60	приходить	0.007293880469914022
61	гулять	0.007276882258103612
62	смотреть	0.007201465940236695
63	это	0.007117636965468542
64	большой	0.007104346840383264
65	сказать	0.007060725239810355
66	ребята	0.007035144921892418
67	мой	0.00699844327282972
68	утро	0.006940889122140016
69	там	0.0068093515199447174
70	чтобы	0.006808836279543786
71	гость	0.006792811631761393
72	сидеть	0.006660429746047451
73	снежинка	0.006646542350329721
74	дедушка	0.006599283655240723
75	тут	0.006596207352628847
76	хотеть	0.00630220068855671
77	приносить	0.006276815853825807
78	бабушка	0.006273636679398252
79	как	0.006255735157238141
80	то	0.0061915593009535955
81	целый	0.00617517934540492
82	бы	0.006126387909781936
83	солнце	0.006095497653381683
84	ходить	0.006051384994531473
85	брать	0.005975162782204927
86	любить	0.00596350409249173
87	если	0.005901888328378264
88	хоровод	0.005880463559984677
89	мочь	0.005871682815489877
90	идти	0.0057365486478015825
91	день	0.005732393140009062
92	что	0.00572231033632509
93	небо	0.005663192106704913
94	да	0.005655144804639763
95	быстро	0.005602974475054518
96	интернет	0.005587714582766085
97	хвост	0.0055796561403477826
98	веселый	0.005535791981326989
99	нет	0.0054923615245683665
100	говорить	0.0054742117053624235
101	такой	0.005436929467053365
102	про	0.0054083980645625385
103	ка	0.005382596499638433
104	окно	0.005357933911688386
105	становиться	0.005310000586890792
106	теперь	0.00530229724832609
107	ёлочка	0.005301226459333258
108	рад	0.005291233310895764
109	сегодня	0.005271698608431055
110	вместе	0.005190281267604841
111	три	0.005186316113066689
112	потом	0.005183857036493956
113	знать	0.005142520358319272
114	добрый	0.005140909988927486
115	пусть	0.005140045466892566
116	вдруг	0.005093524864967548
117	горка	0.005080383408928794
118	без	0.0050702138446031934
119	сон	0.005064865494833004
120	немножко	0.005053575886071939
121	ночь	0.005047169187733806
122	чудо	0.0050334814669491185
123	вода	0.004954467278463631
124	красный	0.004948235919454105
125	домой	0.004892424386869834
126	надо	0.004876404796539578
127	хороший	0.004851318116322664
128	до	0.004849276282583548
129	детский	0.004845400982925045
130	где	0.004843472305344736
131	еще	0.0048198564008928
132	сам	0.004799015767140433
133	так	0.004778426681624567
134	малыш	0.004764201407236811
135	ведь	0.004752536198448356
136	книжка	0.004722476126016625
137	тоже	0.00469984065137457
138	красивый	0.004681384584057717
139	много	0.00466738106322812
140	от	0.004648227441038101
141	даже	0.00464447464310593
142	нога	0.004626893755069935
143	жить	0.004615858036245076
144	только	0.004592588525728207
145	совсем	0.0045809920650108854
146	птица	0.004568503634319589
147	ни	0.004558736830234517
148	давать	0.004527382961769869
149	елка	0.004494857915351746
150	словно	0.004484488628758313
151	дорожка	0.004459554046920248
152	помогать	0.00444897042663607
153	ждать	0.004447721805792539
154	мышка	0.004440486003867061
155	нужный	0.004429545363988322
156	выходить	0.00442444218198847
157	ветер	0.00441013063357595
158	2015	0.004408376598520938
159	этот	0.004408334735835047
160	ветка	0.0044021841242565165
161	пушистый	0.004401617031236032
162	снежок	0.004397884357603326
163	чуть	0.004369973390568593
164	бежать	0.004363173111052733
165	самый	0.0043496025845084305
166	здесь	0.004329279650609004
167	ru	0.004327642243028965
168	стать	0.004314891132654717
169	видеть	0.004311001383067579
170	вкусный	0.004309126698370075
171	снежный	0.004295224569926307
172	школа	0.004289662906101668
173	лапка	0.0042563473336628506
174	2017	0.004256050380639285
175	рука	0.004250316457477881
176	свой	0.0042341377460324734
177	http	0.004227510889375835
178	дарить	0.0042072753923968935
179	зверь	0.004205655275982285
180	лететь	0.00417173782957066
181	встречать	0.004163049225342148
182	ножка	0.004144024954070222
183	пора	0.004141898296346289
184	слон	0.004117311627067237
185	сладкий	0.00410929857758224
186	www	0.004099390921408673
187	яркий	0.004095542656972184
188	пять	0.004087903268506185
189	дружно	0.004035029291765627
190	стол	0.004020787071831274
191	радость	0.004018621126975255
192	окошко	0.00401142719210716
193	находить	0.004006763728744976
