	feature	tfidf
0	,	0.08637349278479482
1	з	0.08274058796262984
2	що	0.06652483720068128
3	й	0.06259492721334038
4	i	0.0529920363379424
5	the	0.045487718991271686
6	and	0.04343784578080535
7	ть	0.0397047619630444
8	як	0.03960110153307636
9	you	0.03920369637085304
10	у	0.03786963588724511
11	in	0.03649433943485136
12	to	0.03333673896606869
13	a	0.033322981030568785
14	!	0.03301765331375976
15	тот	0.030625321669205223
16	який	0.02974235878733979
17	of	0.028125730932139936
18	ще	0.02743781301565392
19	my	0.026950478272290006
20	вже	0.024507926315344635
21	де	0.02382235264099488
22	вд	0.023727303548939063
23	is	0.02351086930782361
24	me	0.022557783159067982
25	мена	0.020949623672869355
26	я	0.020688170119421152
27	it	0.019976218836900976
28	не	0.019477292760942875
29	ца	0.019291826327441867
30	мен	0.0183952798510647
31	your	0.017680296836280706
32	бо	0.017485481945130138
33	на	0.01747982778489471
34	буть	0.017478258038317967
35	s	0.017450854282706294
36	t	0.01722394261347742
37	вн	0.01658958495456445
38	да	0.016559222082015237
39	за	0.016504906336886012
40	а	0.016317364298108497
41	до	0.01622098033273993
42	be	0.01584543674166092
43	м	0.015681953403350934
44	for	0.015666395935592145
45	коли	0.015603995427520457
46	Як	0.015236079333266149
47	will	0.015230958417890456
48	with	0.014768266992792071
49	are	0.014660147416787936
50	люб	0.014241942412815425
51	вс	0.014226772283816637
52	But	0.013895495406478747
53	свт	0.013875715510469538
54	йый	0.01361314053232495
55	мо	0.01280176501485986
56	all	0.01272611489845251
57	х	0.012722882716037696
58	on	0.012696068888816836
59	not	0.012530124397046915
60	ч	0.012493624609771506
61	love	0.012285333735856057
62	I	0.011848881860627276
63	m	0.01179892014101451
64	that	0.011738747379883188
65	про	0.011705859291881214
66	час	0.011505222815807936
67	de	0.01130110443990827
68	la	0.010980535707581873
69	so	0.010935066982738793
70	мы	0.010768344474771796
71	п	0.010352407610610386
72	this	0.010344949841812095
73	там	0.010263669679352263
74	н	0.010251372391593072
75	12	0.010176577941324568
76	се	0.01000017360897788
77	то	0.009937483919055724
78	was	0.009889682224779156
79	die	0.009822158416454065
80	так	0.009743932300614362
81	ча	0.009740008785966982
82	can	0.0097309561087364
83	в	0.009508826208526827
84	like	0.009319869899758873
85	no	0.009275454916603467
86	оч	0.009261730969220915
87	ц	0.00922804243560497
88	ты	0.009183278513484138
89	what	0.009147047868398065
90	ус	0.009085083001140642
91	над	0.009019140927914447
92	My	0.008833073238406952
93	сь	0.008754943179183947
94	und	0.008724043136715017
95	душ	0.008571361673608363
96	we	0.008469569747808239
97	небо	0.008306898258111987
98	д	0.00817678203222915
99	have	0.007849911527512243
100	life	0.007810022959426709
101	же	0.007547000915590326
102	We	0.007488500928852351
103	ала	0.00742630326922745
104	one	0.0074135168501275545
105	*	0.007372902615817731
106	from	0.007269165846252983
107	To	0.0072501016860154225
108	but	0.007161048582350778
109	для	0.007133608186541548
110	мый	0.007080409282989962
111	без	0.006989803494398968
112	мный	0.006943135496163135
113	ось	0.006841961889378463
114	чый	0.0067203475666315245
115	ма	0.006496399673580944
116	2015	0.00642682245699536
117	бль	0.006301682497964266
118	мать	0.0062622406243913985
119	n	0.00625759688599626
120	as	0.006248228879582014
121	It	0.00622667187870024
122	ist	0.006110782599045667
123	сам	0.006096353307547424
124	кр	0.006015576801285766
125	ich	0.006010310174179953
126	d	0.00598517235279854
127	world	0.005912872744482311
128	an	0.005912217402177052
129	der	0.005907351823329435
130	вон	0.005890975925832108
131	мой	0.00585471992738275
132	2017	0.005767880053298464
133	слово	0.005702862954784378
134	тут	0.005647074833479552
135	only	0.005645148011534235
136	вы	0.005613524882436326
137	автор	0.005549740059985674
138	лихо	0.005544001063191175
139	at	0.005533958091417307
140	бог	0.005480973102824265
141	е	0.005432668069542207
142	в1	0.005345624237059985
143	by	0.005338496234915822
144	The	0.005323592123465408
145	немый	0.005287688089677458
146	2016	0.005221150819894481
147	ад	0.005117997985547293
148	душа	0.005065447675568819
149	бы	0.00499665258433746
150	Хоч	0.004993584627128676
151	с	0.004955397106774116
152	день	0.004890514569443718
153	б	0.004835495816168963
154	наш	0.0048036743335973095
155	l	0.004747526426453059
156	аж	0.004657305339161083
157	мя	0.00461190838449659
158	доля	0.004499512879363028
159	со	0.0044332092640100755
160	перевод	0.00443043407378579
161	раз	0.00441743831364971
162	e	0.00441236101789684
163	рука	0.0044097534950883425
164	up	0.004275777074427605
165	неб	0.0041629176321790265
