	feature	tfidf
0	,	0.06156674570554369
1	я	0.026976636762954496
2	!	0.022297574901270777
3	мы	0.019723795021129358
4	ты	0.018069987917369038
5	не	0.01742316837987778
6	жизнь	0.015591395397226407
7	и	0.015447925992645167
8	что	0.01387190661356461
9	то	0.01341172587219938
10	он	0.0132193961072595
11	кто	0.01319372519821652
12	в	0.011854615182528574
13	быть	0.011719292095758262
14	они	0.011181450972595295
15	человек	0.01098449731345622
16	она	0.010711907689164796
17	все	0.010705911972111279
18	мир	0.010666906518534363
19	*	0.010561880763418428
20	душа	0.010337547359976284
21	себя	0.010237957211838587
22	вы	0.010121523896121037
23	как	0.009803437876915242
24	мой	0.009212966143706232
25	когда	0.009153519888201211
26	свой	0.00887129003881589
27	где	0.008764897815993046
28	ни	0.00866473040482077
29	жить	0.008535302184141046
30	тот	0.008519873026847855
31	это	0.008424173321207559
32	а	0.008356778573729311
33	весь	0.008331613680231751
34	о	0.008252419479030082
35	бог	0.008225271483479214
36	но	0.008159747752195174
37	мочь	0.00815738035218812
38	бы	0.008111872204753678
39	нет	0.008091163326096468
40	так	0.008065215442182586
41	от	0.007977206917655029
42	время	0.007960319364307284
43	лишь	0.007948830130129996
44	мысль	0.00787000686057528
45	за	0.007840600097459705
46	чтобы	0.007754014093223431
47	год	0.007724257951978557
48	путь	0.007677019199070848
49	на	0.0076018642794875935
50	каждый	0.007583998040643295
51	любовь	0.007460292819842942
52	по	0.00739417093924183
53	свет	0.007296716420391018
54	день	0.007279324134187095
55	с	0.007252249248801945
56	друг	0.007251234545443616
57	судьба	0.007222480785784724
58	если	0.007160956117973176
59	без	0.007118319399831294
60	12	0.006984766833906557
61	же	0.006981381428830369
62	слово	0.00697152905097506
63	для	0.006958630098164752
64	к	0.006896975134859437
65	из	0.00685972376203816
66	знать	0.006824529189284019
67	этот	0.006677548962197656
68	у	0.006457137320269399
69	один	0.0063792533701082345
70	только	0.006306511900663737
71	твой	0.006194052388102651
72	счастье	0.0061765666496336365
73	наш	0.006111764184323012
74	там	0.006089600382716858
75	небо	0.006058432960883335
76	пусть	0.006052094810393823
77	ведь	0.006032443884842547
78	боль	0.005986960894642411
79	давать	0.005982828243569584
80	сердце	0.005982395715973743
81	сам	0.005855710751315833
82	земля	0.005849164441728203
83	нужный	0.005824768701947165
84	хотеть	0.0058190041380277975
85	уходить	0.005818860048722538
86	или	0.005812346015281501
87	просто	0.0057636639541861195
88	ли	0.00567854051688768
89	видеть	0.005673549370245621
90	идти	0.005645415042370564
91	становиться	0.005627771681158535
92	всегда	0.005605392335219327
93	другой	0.00560242810965273
94	понимать	0.0055619004030421915
95	верить	0.00541560443091953
96	любить	0.005407228211383827
97	да	0.005362113097486409
98	здесь	0.005354417372791921
99	дорога	0.005351877398261394
100	новый	0.005345773841407843
101	до	0.005338011977291185
102	много	0.005188601820471826
103	ночь	0.00516485948243152
104	который	0.005126340493442131
105	вот	0.005119393505887611
