	feature	tfidf
0	,	0.04461697623115108
1	!	0.026201232273630647
2	я	0.025550213004823522
3	*	0.02187043200051743
4	ты	0.019458467483359828
5	www	0.01726710998182161
6	stihi	0.017247489967365796
7	ru	0.016860838752378614
8	http	0.01667898621900809
9	мы	0.016018319113726805
10	Высоцкий	0.013748627690526103
11	2017	0.01331582790132298
12	владимир	0.012998282495849028
13	Продолжение	0.012661281209553892
14	Муза	0.012116375618909811
15	он	0.011698007176535206
16	и	0.011549375400147895
17	12	0.01139125226553596
18	вы	0.011231048038637295
19	любить	0.011037663899064203
20	2015г	0.010406626112233764
21	следовать	0.009923338379374995
22	не	0.009795877651364708
23	она	0.009391337043228734
24	жизнь	0.008873417720249716
25	мой	0.00848720531148659
26	быть	0.00818730395393278
27	год	0.008045067508066486
28	они	0.007832134835793206
29	любовь	0.007734592311136069
30	в	0.007655233568912713
31	все	0.0075969744631291134
32	что	0.007452258875084082
33	с	0.007201893084427315
34	то	0.007085439877563345
35	твой	0.00700727687187084
36	мир	0.006996292278720001
37	за	0.006753462797886105
38	кто	0.006751399155811737
39	как	0.006681386554762361
40	пусть	0.006679530510338586
41	ни	0.006518810126616197
42	к	0.0064736965336929485
43	друг	0.006393471563451838
44	душа	0.006378422901260253
45	на	0.00637198258661527
46	новый	0.006342518701565883
47	у	0.006297408518143807
48	весь	0.006203565966784325
49	из	0.006180201422265503
50	по	0.006164575631902129
51	статья	0.0061139781891755875
52	бы	0.006064919078726802
53	наш	0.006010436110765219
54	чтобы	0.005888032305672268
55	о	0.005853867445028261
56	где	0.0057057197388093
57	для	0.005632098898703364
58	же	0.005569517343872237
59	день	0.005524128303994403
60	свой	0.005500600888971772
61	сердце	0.005460853281092531
62	а	0.005460271640973111
63	человек	0.005420829574864625
64	но	0.005380429001069377
65	2016	0.0053461706731758474
66	тот	0.005184924597716126
67	здесь	0.00515231929538356
68	это	0.005131238279742853
69	земля	0.005100021999301387
70	без	0.005091881715787098
71	жить	0.005081999763667816
72	когда	0.005075799689149528
73	так	0.005063369053651992
74	снег	0.005059819508055694
75	себя	0.005031766049424018
76	там	0.005024315893838812
77	нет	0.004930797124867108
78	мочь	0.004899313171313081
79	свет	0.004819386288041099
80	от	0.004773425632259129
81	давать	0.004766290916788805
82	этот	0.004754252964377647
83	время	0.004733465445168434
84	10	0.004730136657325272
85	счастье	0.0046958367968601075
86	один	0.004692456028731764
87	под	0.004661369608545684
88	только	0.004658044276337465
89	1	0.004646482727908543
90	знать	0.004599412768193017
91	лишь	0.004569817441582386
92	каждый	0.004511322583316541
93	стих	0.00445327485961405
94	ночь	0.004437613650471794
95	бог	0.004416223647563115
96	вот	0.004383980179833071
97	до	0.004369660984513768
98	если	0.004368403954547387
99	или	0.004366835339006883
100	всегда	0.004354884757290818
101	ведь	0.004330246018164167
102	2	0.004324961024117701
103	путь	0.004316876165026302
104	ветер	0.004316806591372394
105	хотеть	0.004314949572852725
106	приходить	0.004303700195180595
107	да	0.004298205089094857
108	идти	0.00427374078437543
109	небо	0.004187460700707978
110	дом	0.004161076325759151
111	еще	0.004152314942903226
112	словно	0.004144293430842016
113	война	0.004138904153010542
114	судьба	0.0041388145324236245
115	вновь	0.004114894174242607
116	мысль	0.004112367687499875
117	такой	0.004084182518487775
118	зима	0.004048769771616582
119	белый	0.004013541506090982
120	слово	0.003994794112521665
121	11	0.0039149641175682875
122	сон	0.003906299202739617
123	над	0.003873745401840262
124	2015	0.0038625638392139868
125	писать	0.003836104480152572
126	становиться	0.0038165069488097277
127	нужный	0.003797543809573828
128	другой	0.003776572988540268
129	солнце	0.0037657094236005686
130	страна	0.003742661754509923
131	глаз	0.0037378132265898476
132	народ	0.0037365901988796733
133	сам	0.003735390849432704
134	видеть	0.00371127907902179
135	уходить	0.0036909460438240326
136	песня	0.0036441154569840963
137	родной	0.003634700358715322
138	просто	0.003632340778331038
139	проходить	0.0036122901526528133
140	уж	0.0036058639006241577
141	забывать	0.00360404316714988
142	поэт	0.003603343088580365
143	снова	0.0035817906232228198
144	оставаться	0.0035796472125617204
145	08	0.003537378350805141
146	ждать	0.003511384011794157
147	сегодня	0.0034936991911155655
148	01	0.003489246216390727
149	уже	0.003477200176079179
150	много	0.003455576467600959
151	ну	0.003428407943856333
152	ваш	0.003401140353896211
153	россия	0.003351657268860832
154	смотреть	0.003308756481369908
155	какой	0.0032902761464792514
156	05	0.0032768480849185723
157	боль	0.0032699562429105767
158	09	0.0032675165579898343
159	очень	0.003256345102951506
160	рука	0.0032443588916792323
161	лес	0.003230145092622467
162	радость	0.003219208435106053
163	прекрасный	0.00320515638515248
164	первый	0.0032044518670126328
165	ребенок	0.0031834159488795745
166	будто	0.0031818065250973043
167	теперь	0.003180578159516658
168	мечта	0.0031556281951311918
169	два	0.0031505427226014328
170	дорога	0.003126911721113913
171	окно	0.0031266374933040957
172	говорить	0.00312467094417831
173	сказка	0.0031186120814806835
174	который	0.0031148129098805526
175	смерть	0.0031108214611175913
176	праздник	0.0030925667617842344
177	раз	0.003090262498495277
178	милый	0.003087558966101824
179	век	0.0030752957967952713
180	утро	0.003066148355374784
181	декабрь	0.0030554299826042342
182	надо	0.0030517232637818706
183	понимать	0.0030192321035252337
184	опять	0.0030189187260868974
185	пока	0.0029712725083627
186	вместе	0.0029640740506407352
187	сила	0.002951764615554013
188	осень	0.0029459460075526907
189	дело	0.0029417244461954675
190	вдруг	0.002925365250171974
191	скоро	0.002912202190462198
192	давно	0.0029108833073049965
193	поле	0.002910134883345598
194	про	0.0028994660865136134
195	память	0.002890917443941543
196	сказать	0.002888990873807634
197	ли	0.002866904358524905
198	чудо	0.0028562966117019507
199	враг	0.0028532012452267084
200	красота	0.0028508595541491704
201	чуть	0.0028442899731830327
202	вода	0.0028401162463729587
203	06	0.0028384184799812944
204	море	0.0028342309041905025
205	верить	0.0028261558242089714
206	перед	0.0028161331600287313
207	во	0.0028104858141382106
208	хороший	0.0028021767020789323
209	никто	0.0027970616801704295
