	feature	tfidf
0	я	0.0455194150354071
1	,	0.041339640370202144
2	ты	0.03989082540622289
3	Припевать	0.03783177842054905
4	!	0.027076133929851674
5	мы	0.021870419991533583
6	Припев	0.021282016303650467
7	мой	0.019865698741963114
8	2	0.016217251107756056
9	любовь	0.01588430220156787
10	1	0.015301683565090847
11	не	0.013267077442809565
12	песня	0.013088290984371205
13	твой	0.012225151144461655
14	за	0.011752107811152825
15	жизнь	0.011704928954267951
16	год	0.011636446030710844
17	друг	0.011566517136050773
18	она	0.010929206968739717
19	по	0.010730715225869854
20	судьба	0.01046365357198201
21	где	0.010327594141297131
22	вы	0.010029511115460932
23	он	0.009920908973352734
24	а	0.009899884348182517
25	с	0.009557695652226205
26	на	0.009426806081191952
27	зона	0.009399865610241896
28	https	0.00938982926527001
29	родной	0.009275105665134065
30	тот	0.009023993736924701
31	быть	0.009016699207144317
32	любить	0.008944319246592676
33	да	0.008942277332236868
34	пусть	0.008608843808791258
35	музыка	0.008370628735466295
36	наш	0.008367941763409926
37	теперь	0.00832489028559616
38	душа	0.00831446811615513
39	без	0.008302005238646088
40	кто	0.008291894500171598
41	только	0.008249977606844837
42	ночь	0.008044611110062197
43	сердце	0.008030992404095466
44	знать	0.00801671487247941
45	все	0.007936287738646155
46	что	0.007906793855020487
47	у	0.007900161193097232
48	то	0.00789439653056484
49	и	0.007882568590465608
50	как	0.007803197159983293
51	небо	0.007681847982562636
52	о	0.007662351241262925
53	но	0.00757764496095088
54	слушать	0.007546344568521732
55	к	0.007540627724394373
56	бы	0.007507546280058839
57	жить	0.00733403804610989
58	эх	0.007292141061368923
59	дорога	0.00727472781659109
60	счастье	0.007193294256411262
61	прощать	0.0071334573624760676
62	один	0.00696618297301803
63	ни	0.0068598346802428555
64	вечер	0.006763385207004088
65	мама	0.006746287664951411
66	так	0.006725307619024581
67	свой	0.0066933119440789396
68	be	0.0066633134349597944
69	идти	0.006613418669361081
70	срок	0.006556294310902253
71	в	0.006524647329830236
72	они	0.0065026952497140075
73	про	0.0064493618605448565
74	нет	0.006416259818299462
75	давать	0.006394129521650811
76	мочь	0.006382881659119922
77	здесь	0.006371913267953777
78	ветер	0.006367295952542548
79	лагерь	0.006346995304375958
80	для	0.006331951780376744
81	глаз	0.006283309920109756
82	тоска	0.006195463882122617
83	до	0.00614089627015878
84	же	0.00613399922981943
85	ну	0.006091743731449965
86	исполнение	0.006074129595522004
87	вот	0.006066553483833638
88	от	0.00604920883509185
89	встреча	0.006006809260324546
90	этот	0.005989089385711903
91	весь	0.005911587189384835
92	такой	0.005827875442886936
93	*	0.005790598549421556
94	ах	0.0057868595911562465
95	вернуться	0.005774673272116732
96	сегодня	0.0057397012735103765
97	вновь	0.005727542815814272
98	милый	0.00570428102764847
99	пацан	0.005679307889261718
100	опять	0.005649905297954707
101	словно	0.005615869432820793
102	свобода	0.005580768826924059
103	тюрьма	0.00554840337702399
104	верить	0.005536481818892181
105	день	0.005483635993563362
106	вино	0.00547115070458212
107	зима	0.005470015990641624
108	забывать	0.005452223603786584
109	новый	0.00534945285013493
110	ведь	0.005338486335209787
111	брать	0.005317359784063431
112	3	0.005314397435304347
113	белый	0.005311919314427179
114	снова	0.0053062251486114265
115	лишь	0.005281083410073683
116	уходить	0.005275488793728535
117	тобый	0.005270674289693815
118	разлука	0.005249167109181566
119	лето	0.005216378182922281
120	когда	0.005174877004314714
121	мечта	0.005173377070018229
122	лететь	0.0051626817328691305
123	край	0.005160113320537575
124	еще	0.005148514273638032
125	www	0.00514381073124088
126	сон	0.0051131597529109575
127	становиться	0.005096817508847079
128	раз	0.0050843218046447685
129	весна	0.005047057771675125
130	вспоминать	0.004987996250957103
131	сказать	0.004976067271385016
132	встречать	0.004931907937693758
133	там	0.004847025075264971
134	это	0.00483094801626693
135	всегда	0.004830183981858245
136	оставаться	0.0048062872968724244
137	другой	0.004798715971582702
138	женщина	0.00479842244444935
139	воля	0.004776726907604157
140	много	0.004748213175605778
141	говорить	0.0047457790032383405
142	уже	0.004730506740156012
143	сейчас	0.004720034614750137
144	снег	0.004702772861113061
145	ждать	0.004682434753274624
146	мать	0.004670158616766917
147	любимый	0.004646576482754014
148	чтобы	0.0046385302827948545
149	красивый	0.0046372963925858015
150	под	0.004632227342749235
151	проходить	0.004596411436673385
152	дверь	0.004593447767178746
153	огонь	0.004565122199272028
154	очень	0.004552809839644916
155	удача	0.0045505822300630034
156	слеза	0.004533528794469979
157	звезда	0.004500397266908904
158	навсегда	0.004475298742093845
159	петь	0.0044704436304747715
160	два	0.004458324765516764
161	просить	0.004452274872712507
162	хотеть	0.004383008143242104
163	пр	0.004381367482447702
164	стихи	0.004316892181863704
165	себя	0.004291359793083294
166	грусть	0.004283587730236341
167	http	0.004273976686773468
168	даль	0.0042270637692016465
169	нежный	0.004219839895478513
170	из	0.0042134457942129035
171	просто	0.004198702619731253
172	путь	0.004177352826534031
173	приходить	0.00415890673739517
174	дарить	0.004149485050659059
175	пока	0.004149364108908786
176	вместе	0.00414131105151196
177	девочка	0.004139097759704867
178	пора	0.004134242777923468
179	город	0.004133812149627716
180	дом	0.004126348880202642
181	три	0.0041196887665402035
182	рука	0.004114095478481057
183	ru	0.004099215901381285
184	окно	0.004089202960039905
185	след	0.004085628337052051
186	тобой	0.004072037365747138
187	хотеться	0.004047906155065127
188	гулять	0.004044212572743369
189	метель	0.004021385500886994
190	бокал	0.0039859125999549385
191	мир	0.003976314895643031
192	гитара	0.0039616859605505084
193	дождь	0.003931926394830327
194	свет	0.003931582486613621
195	над	0.003926107422563157
196	равный	0.003923476318919017
197	стол	0.003906351577926985
198	звонок	0.003816988267251656
199	взгляд	0.0037952488999828415
200	пить	0.0037876926665410056
201	шальный	0.003787057721424226
202	скучать	0.0037685354300031355
203	мусор	0.003759836477887087
204	давно	0.003747541077651597
205	если	0.0037423916478042767
206	ответ	0.0037384289133313925
207	цвет	0.0036606075253941147
208	миг	0.0036580214749512368
209	утро	0.003652007613129947
210	беда	0.003621507316267734
211	плечо	0.003616518280125609
212	вольный	0.003612561891166557
213	юность	0.0036111482828584092
214	вор	0.0036044004456716877
215	делать	0.0035824583045736217
216	каждый	0.0035781677443328676
217	быстро	0.003573492455934613
218	играть	0.0035598075727083073
219	сидеть	0.0035487181688610226
220	ли	0.003547484211352238
221	девушка	0.0035443753370813253
222	водка	0.0035425144057835978
223	время	0.0035205529091492734
224	хороший	0.003506675779111707
225	сколько	0.0035012109413515265
226	помнить	0.0034902069446298084
227	домой	0.003479753124280449
228	земля	0.0034711530694465386
229	далеко	0.0034670684492271652
230	прекрасный	0.0034593971444272695
231	боль	0.003453963125671618
232	мечтать	0.0034525287261378225
233	назад	0.00345023948141305
234	прошлое	0.00344911901579156
235	сказка	0.003444701980541452
236	константин	0.003443836917291283
237	свеча	0.0034408975286044554
238	какой	0.0034387733868744496
239	часто	0.0034252034843526556
240	нога	0.0034228577460931413
241	губа	0.0033904308637425543
242	рассвет	0.003368147826370033
243	мужик	0.0033576926657686535
244	после	0.003340801761898628
245	радость	0.003328416720003607
246	А	0.0033268664082852723
247	вагон	0.0033223822444238145
248	дым	0.0033154102586855747
249	дорогой	0.003285441601371846
250	счастливый	0.0032846288715196893
251	зачем	0.003284542483879774
252	стоить	0.0032600397751894744
253	перед	0.0032581718604094913
254	солнце	0.0032542153630660013
255	круг	0.0032463665345463287
256	хватать	0.0032430028416812456
257	человек	0.003221815732934017
258	больше	0.0032144486186636476
259	тут	0.003208564285286058
260	смотреть	0.0032021885361179798
261	бог	0.003185704058666779
262	думать	0.0031854561985067533
263	птица	0.003180656993806823
264	хоть	0.0031784166656781427
