	feature	tfidf
0	,	0.06467233185690366
1	!	0.05723429261211581
2	я	0.034297591858691454
3	он	0.020435266624583073
4	вы	0.016561544536198562
5	ты	0.016494256615545922
6	*	0.014991828827170539
7	не	0.014772218661695943
8	год	0.014448873774368499
9	12	0.014110631394629487
10	она	0.013859372306998494
11	мы	0.013380647528062476
12	а	0.013133120215774707
13	ну	0.013082566582373402
14	на	0.012859264548840517
15	с	0.012672959094104787
16	у	0.012227702898919819
17	то	0.011489182519194365
18	вот	0.011468221000651034
19	и	0.0114584721907984
20	бы	0.011284720398354186
21	быть	0.011230049657490717
22	в	0.0107757417661712
23	что	0.01047799571112905
24	новый	0.010435753608569305
25	же	0.010255321628681468
26	да	0.01002445803404355
27	они	0.009271612390621272
28	как	0.008790038635039797
29	по	0.008667977082662974
30	мой	0.008657442857054783
31	дед	0.008598784273007764
32	из	0.008542751675613323
33	http	0.008454204624033984
34	ru	0.008451749968677388
35	stihi	0.008372341942670183
36	за	0.008343440831525724
37	www	0.008277802357842133
38	к	0.008196320703317038
39	все	0.008011236676418811
40	Л	0.007941578581254254
41	кто	0.007869043971046714
42	это	0.00784574333960096
43	такой	0.007820699485953505
44	тут	0.007772881237615842
45	так	0.007722244237977435
46	сказать	0.007678671448773896
47	жена	0.007678040551654338
48	но	0.007631129088350937
49	автор	0.007576347669728243
50	если	0.007572308179785163
51	весь	0.007561970709951397
52	чтобы	0.007549962354816353
53	без	0.007381980054527524
54	там	0.0073553338343656715
55	2017	0.007299861006644792
56	нет	0.007294097436626109
57	мороз	0.007282570621305254
58	ни	0.007177866184120278
59	мочь	0.006724139346930402
60	от	0.0067084203910792355
61	про	0.006635358563495513
62	под	0.006608512399437925
63	хотеть	0.0065315338287583735
64	друг	0.006521043218550801
65	два	0.0063232305580541775
66	давать	0.00632157783184542
67	для	0.0062155461243938665
68	очень	0.006206873065624509
69	кот	0.006186978166718354
70	один	0.0061250618211689655
71	2015	0.006122099783159159
72	ведь	0.00611631387146483
