	feature	tfidf
0	который	0.011275673764529917
1	человек	0.010352221256942611
2	,	0.010282894913385972
3	это	0.00947593611833129
4	вы	0.009114069535785179
5	!	0.008513502451562575
6	http	0.00821747787132049
7	ru	0.008189193664892526
8	или	0.008075447583916229
9	www	0.007522934403794167
10	stihi	0.007397150981577153
11	книга	0.006780334051213997
12	он	0.006674233620037262
13	россия	0.006300928078993646
14	автор	0.006252740965769179
15	они	0.005822571895507548
16	произведение	0.005337298112498318
17	для	0.005055861774275415
18	конкурс	0.004942868104592782
19	балл	0.0046501828828713595
20	русский	0.004533921377021249
21	она	0.0045026019655110055
22	год	0.004498002390126719
23	поэт	0.004459585093620982
24	я	0.004371096003440114
25	2	0.004367146211707517
26	из	0.004359300222835815
27	ребенок	0.004357143829798378
28	поэзия	0.004350740063681915
29	творчество	0.004344392605133009
30	1	0.004253551232486409
31	самый	0.004108338156393035
32	этот	0.00410480345561977
33	именно	0.00408993515879357
34	писатель	0.004032672253287195
35	що	0.004008940232998621
36	общество	0.003993353323330992
37	*	0.0039892370937486986
38	стихотворение	0.0039664981420375845
39	потому	0.003962397598066196
40	либо	0.003907768175706197
41	ты	0.0039001894271199038
42	российский	0.0038745566645272496
43	ца	0.0038484640108019342
44	такой	0.0038293121623787277
45	что	0.0038218060138623107
46	женщина	0.0037964100423472273
47	если	0.0037644356296780293
48	ваш	0.0036667914293167267
49	более	0.0036491480779647727
50	3	0.0036480706920189957
51	то	0.0036463057163920493
52	2017	0.0036342864551209214
53	мы	0.003613061439320842
54	отношение	0.003600294759033967
55	2016	0.0035935461669533175
56	кто	0.0035470230910400885
57	делать	0.003521062199827197
58	з	0.0035169182427041267
59	вообще	0.003494961380774381
60	свой	0.003491527389020469
61	при	0.00346513821266341
62	себя	0.0034619580386817655
63	й	0.0034601074747501685
64	наш	0.003450945300227542
65	о	0.0034482534991889624
66	ибо	0.00343742827503995
67	~	0.0034341701968389395
68	писать	0.0034087927499143497
69	страна	0.0033993708451629206
70	буть	0.0033966377873987153
71	4	0.003350781687256255
72	12	0.0033421133869446676
73	бог	0.0033324797102011862
74	история	0.003291808584315634
75	можно	0.003266370694293973
76	5	0.003252717218164493
77	сознание	0.003250028731411336
78	развитие	0.003243004590408896
79	литературный	0.003222938240960822
80	сша	0.003211980364989776
81	первый	0.0032002449389285956
82	2015	0.0031984744785083087
83	советский	0.0031345227636486103
84	участник	0.003113061079561123
85	стих	0.0031127429606556873
86	состояние	0.003109444108689515
87	когда	0.0031016223157970305
88	народ	0.003097924552285036
89	як	0.0030867983459469546
90	який	0.0030693961794120415
91	человеческий	0.0030692129488737166
92	быть	0.003053562072464049
93	время	0.003034735794374032
94	процент	0.00299003518441995
95	друг	0.00298788321260395
96	вн	0.0029854563290086338
97	иметь	0.0029808390695814893
98	говорить	0.002975391545750541
99	государство	0.0029674176723848596
100	читатель	0.0029634768665827544
101	другой	0.0029390774141870245
102	место	0.0029227216034062842
103	01	0.002912013574158003
104	творческий	0.0029111885308328736
105	новый	0.0029031774483988582
106	фильм	0.002872230962817215
107	йый	0.002868656220734247
108	энергия	0.0028457374369517405
109	поэтический	0.002833801904632066
110	современный	0.0028135949012770916
111	читать	0.0028124160280334977
112	система	0.0027897873862789426
113	путин	0.002778307745440383
114	уровень	0.0027738459018234593
115	война	0.002754242366572006
116	10	0.0027385344155775432
117	должен	0.002738261285169258
118	являться	0.0027366414408978887
119	например	0.00273548718967193
120	ситуация	0.0027190750827271143
121	начинать	0.0026876039827034826
122	язык	0.0026825673042026885
123	какой	0.002672897336439546
124	мир	0.0026202799151343824
125	просто	0.002615989936757844
126	ни	0.002614426700020863
127	ничто	0.0025900549919487667
128	человечество	0.0025702718972238684
129	вопрос	0.0025685787074163947
130	бы	0.0025588733638108024
131	ала	0.0025576645069402227
132	школа	0.0025408004511288202
133	один	0.0025378271725855404
134	понимать	0.0025303496347044104
135	у	0.002526212046403423
136	а	0.002524524070209058
137	событие	0.0025222799559419893
138	ссср	0.002512798570375522
139	каждый	0.0025027603311728324
140	мужчина	0.0024898019656910625
141	смысл	0.002472830811889668
142	и	0.0024427959849300327
143	сайт	0.002442434689300849
144	6	0.0024409621437577263
145	статья	0.002427020330771193
146	сам	0.0024153674762365375
147	власть	0.0024144827414917225
148	да	0.002402941918229461
149	работа	0.0023991839144758232
150	знак	0.0023974802714020705
