	feature	tfidf
0	Припевать	0.08032323461874398
1	ты	0.05818024858640624
2	я	0.04568132065473047
3	,	0.03663168578949522
4	любовь	0.029899838707323868
5	!	0.028267399698119113
6	2	0.027548358664861775
7	Припев	0.026854739773510834
8	1	0.02683252140694038
9	мы	0.026737935172646544
10	твой	0.02284520122332943
11	мой	0.022738591129299667
12	ночь	0.013601695819857637
13	сердце	0.01327669743131632
14	музыка	0.012860378722011012
15	не	0.01207872013400269
16	любить	0.011494418819140755
17	с	0.011037971557210853
18	звезда	0.010974074524538876
19	быть	0.010779192135793071
20	песня	0.01077356772743171
21	мечта	0.010662497731232767
22	наш	0.010484239591106479
23	счастье	0.010136730139364556
24	дождь	0.009813644448620172
25	так	0.00958413619522227
26	вместе	0.009413125088579699
27	год	0.00931956329176785
28	о	0.009165479441973632
29	новый	0.009103030615894377
30	этот	0.009099768799802524
31	пусть	0.009097701843711517
32	где	0.008905427373784464
33	мочь	0.008730832145168482
34	снова	0.00858113334268097
35	глаз	0.008453502928982297
36	без	0.008396150866592882
37	жизнь	0.008375339340275756
38	друг	0.00836613008681772
39	она	0.008361991012314223
40	это	0.008334508319104426
41	нежный	0.008271339710676392
42	небо	0.008269153778419379
43	к	0.008236960211731129
44	он	0.008123580350825563
45	всегда	0.008040399127634466
46	свет	0.007968952085068358
47	душа	0.007858326830855156
48	знать	0.00775801196144228
49	что	0.00766818054846326
50	вновь	0.007551842594381694
51	сон	0.007549027869879249
52	все	0.007491110198491776
53	ждать	0.0074764212874236305
54	навсегда	0.007410775716176472
55	снег	0.007396358461317235
56	милый	0.007352382045857958
57	верить	0.0073406656477791096
58	за	0.007316406284537479
59	уходить	0.007239866267336277
60	и	0.007222656426254733
61	как	0.007136643916201055
62	тобый	0.0070433160611618004
63	свой	0.006990084028093882
64	мир	0.0069675970078907955
65	тобой	0.006917729178113752
66	зима	0.006879889744652382
67	один	0.006869064710486185
68	куплет	0.006851373246909986
69	взгляд	0.006839619740565285
70	весь	0.006768630285839113
71	судьба	0.006687797801481344
72	хотеть	0.0066604544331296135
73	забывать	0.006639388067867544
74	море	0.006636489969445486
75	день	0.006590675833058077
76	то	0.0065606413709740985
77	раз	0.006496608101130864
78	слово	0.006491086705163437
79	искать	0.006462307126490128
80	путь	0.00646145822566044
81	город	0.006370226212888207
82	солнце	0.006316780787614195
83	лишь	0.006309317941980336
84	там	0.006256694108937762
85	белый	0.006249626569358286
86	для	0.00621960849858181
87	луна	0.006166719488396633
88	же	0.006157326812603551
89	встреча	0.0060895705643720125
90	огонь	0.006048840589974122
91	только	0.006029019365229416
92	прощать	0.006020757154815488
93	птица	0.006019193343513376
94	пр	0.005999247059589926
95	от	0.00595294148042507
96	3	0.00593537941268557
97	рядом	0.005917295612366225
98	опять	0.0059030075961864084
99	но	0.005836457557603834
100	никогда	0.0057945737267360055
101	чтобы	0.005778761548364931
102	час	0.0057157509371274975
103	сказка	0.005711248587166052
104	любимый	0.0057081966676678746
105	край	0.005701544940909482
106	у	0.005673234574380352
107	лето	0.005659713497431229
108	просто	0.005637700698779671
109	по	0.005637284254431173
110	на	0.005632760907059738
111	окно	0.005627085418603092
112	ни	0.00560595886110101
113	встречать	0.005555648708972332
114	в	0.0055530487418176
115	лететь	0.005537054307397994
116	давать	0.005516524334455416
117	нет	0.0055157165782363125
118	кто	0.0055104908906838095
119	теперь	0.005501335961688561
120	счастливый	0.0054931306536470225
121	до	0.005437977440256527
122	надо	0.005346295298184715
123	дарить	0.005297393394508221
124	вот	0.005292031671416283
125	а	0.005269694827296262
126	приходить	0.005268240289634603
