	feature	tfidf
0	,	0.09480446496665387
1	!	0.0633320305906101
2	*	0.035020798299202925
3	я	0.028769642716212136
4	и	0.028670203160370694
5	анекдот	0.02857337248063613
6	в	0.027682986864008254
7	ты	0.02588163174723853
8	не	0.020043620262006182
9	а	0.01924214124686552
10	вы	0.019227355436539344
11	на	0.01916914778008865
12	что	0.014868348416476534
13	он	0.01410430880607456
14	2017	0.01401814537409228
15	жена	0.01258820522053008
16	у	0.012049514130582174
17	муж	0.011749385358653625
18	год	0.011035903577379227
19	с	0.010734235573927763
20	12	0.010475044010362658
21	это	0.00985123123611746
22	россия	0.009360646716243122
23	путин	0.009326226548500162
24	ну	0.009324392504185604
25	быть	0.009081735356057411
26	спрашивать	0.008929786412516882
27	мы	0.008777770631089744
28	про	0.008475113714215646
29	http	0.0084684763767839
30	из	0.008287567888657109
31	она	0.00827820392382397
32	ru	0.008248103480611602
33	да	0.008241344089141324
34	как	0.008158033650295195
35	говорить	0.007920109366145529
36	мужик	0.007823830249678618
37	женщина	0.0075392120247366285
38	кто	0.007435551215593376
39	то	0.007313264916826664
40	один	0.006816066268760774
41	***	0.0065968842568583
42	президент	0.006541210158838115
43	www	0.006533022340591188
44	новый	0.006422583344325143
45	мой	0.00642085309637306
46	если	0.0063936437762112264
47	за	0.006360003203074566
48	так	0.006255857108897299
49	proza	0.006132730174752011
50	два	0.006030718886705167
51	человек	0.005946368235353427
52	11	0.005932512895526527
53	когда	0.0057696191861038165
54	мужчина	0.005716737445919979
55	01	0.005626710768574401
56	отвечать	0.005552632949216646
57	от	0.005461123378674421
58	они	0.0054329734337050265
59	же	0.005388090948482443
60	нет	0.005386117604612374
61	бы	0.005370925553866691
62	девушка	0.0052908505546534375
63	все	0.005242965899526449
64	к	0.0052003801926460026
65	по	0.0050908322135463265
66	почему	0.005050067998260486
67	владимир	0.005021981986045225
68	такой	0.005004110070518094
69	доктор	0.005001480784441171
70	хороший	0.004955291245090807
71	приходить	0.004952744302250126
72	какой	0.004889480573675044
73	наш	0.004886161348429859
74	2012	0.0048631680874176835
75	но	0.004832187391904703
76	26	0.004806480794564859
77	знать	0.004680638598075451
78	сказать	0.004643927357637019
79	вот	0.004626024326659628
80	русский	0.004604167022628763
81	мама	0.004586921344487973
82	уже	0.004547179411305291
83	деньги	0.004538513933744207
84	дед	0.0045262960781038185
85	картинка	0.004519656310837044
86	ваш	0.0044451695899476555
87	там	0.004424431290512728
88	мочь	0.0044129987560411615
89	вчера	0.004392975068093204
90	рубль	0.00434960646527315
91	о	0.004286389141570091
92	этот	0.004273928740594327
93	давать	0.004229987580978133
94	секс	0.004205144832562536
95	хотеть	0.004184346943258278
96	весь	0.004183086980852532
97	делать	0.004138363860579529
98	сосед	0.004137736525679196
99	только	0.004123357254911783
100	надо	0.004107233582449009
101	папа	0.004081325498118724
102	писать	0.0040387244055638954
103	сми	0.004014015302444743
104	день	0.003999872783592692
105	или	0.003979510728435663
106	вопрос	0.003960820907275186
107	первый	0.0039580533137882545
108	раз	0.003899736398616411
109	еврей	0.0038775886150182203
110	декабрь	0.0038613894050966244
111	зачем	0.003856183306758686
112	твой	0.0038007682905825202
113	себя	0.0037886310595727306
114	Н	0.0037859371955544945
115	теперь	0.0037669770966770708
116	российский	0.003753386400744561
117	**	0.0037438327061236907
118	водка	0.0037323461783006044
119	страна	0.0037189639086583465
120	радио	0.0036258325158359593
121	олег	0.003614963332548894
122	можно	0.0036120701356247703
123	молодой	0.003599096587100577
124	народ	0.00357370507219084
125	2013	0.003549432055323148
126	пан	0.0035094701905883487
127	мороз	0.0034860777290679147
128	смотреть	0.0034496706370983504
129	хорошо	0.0034421882387398748
130	покупать	0.003435482229786218
131	работа	0.0034116322074992447
132	жизнь	0.00339309912207112
133	выборы	0.0033899458188016
134	после	0.003386882885031339
135	александрович	0.0033788369435909025
136	2014	0.0033447916562741585
137	брать	0.0033407597551656366
138	свой	0.0033248433682232497
139	голова	0.003320625336102005
140	друг	0.0033199696510632553
141	выходить	0.003270847905040064
142	ответ	0.0032521607896950264
143	без	0.0032506735091507935
144	мальчик	0.0032313050034794622
145	кот	0.0032309260595394726
146	еще	0.003213019536903939
147	магазин	0.003211551330471299
148	тут	0.0032111541544598008
149	три	0.003188590649935391
150	думать	0.0031860640381148114
151	конец	0.0031337389204492802
152	тот	0.003111564705078462
153	тогда	0.003104317177413999
154	1	0.0031026774663079565
155	понимать	0.003078136008878861
156	ходить	0.0030361756837653762
157	баба	0.003034218385562325
158	любить	0.0030142488410114404
159	где	0.00301066413704838
160	2	0.003009986705842052
161	чтобы	0.003009410403099321
162	2015	0.003007748613849674
163	Петька	0.003001050208409429
164	интернет	0.00297742951320347
165	сегодня	0.002976373749284834
166	врач	0.0029763060055423085
167	собака	0.0029726076188635255
168	идти	0.002951922039879151
169	сейчас	0.00294159017109265
170	москва	0.0029405691332630925
171	й	0.0029335200471044647
172	перевод	0.0029107965282973002
173	жить	0.002869964188999074
174	парень	0.0028584680116340985
175	сын	0.002845725278209336
176	учительница	0.002842540226970531
177	украина	0.002825591485645629
178	сидеть	0.002768420707294181
179	падать	0.00276823519293619
180	нибудь	0.0027667695027344223
181	А	0.0027465912887660684
182	другой	0.002745850461616937
183	миллион	0.0027390097801134245
184	слышать	0.0027359568582678525
185	чем	0.0027330455128343253
186	куда	0.0027328293882488914
187	класс	0.002717731593642953
188	цена	0.002684927657839028
189	много	0.0026709499088589826
190	буква	0.0026331280203451568
191	третий	0.002621059463168511
192	телефон	0.002595361102172674
193	товарищ	0.002593412247635007
194	учитель	0.0025887567259284335
195	вставать	0.0025846274417797898
196	писатель	0.0025681188089771226
197	пойти	0.0025619627587600566
198	пить	0.0025473517916405047
199	умный	0.002544346264979277
200	таки	0.0025311504275884363
201	очень	0.0025301024583808005
202	женский	0.0025244369809523937
203	рука	0.002512620344799047
204	дорогой	0.0025023711353681704
205	вон	0.0024982710617793046
206	5	0.0024849574034167335
207	новогодний	0.002479934446389982
208	до	0.0024793828545373285
209	господин	0.0024761676063396023
210	депутат	0.0024636675573772287
211	видеть	0.0024634291458100147
212	последний	0.002459374771944332
213	потом	0.0024585688284945264
214	домой	0.0024563413302130565
215	3	0.002445105684947567
216	дядя	0.0024420113538297125
217	время	0.0024363401784223
218	ленин	0.0024304802659812323
219	при	0.002424591428104126
220	доллар	0.0024235594307943807
221	самый	0.0024231612097998403
222	мать	0.002419917471547604
223	встречаться	0.002413829452442791
224	дарить	0.0024104224333588407
225	слово	0.0024094031001976584
226	знак	0.002405799241367073
227	подходить	0.0023915863793383305
228	бог	0.0023840458868406513
229	заходить	0.002382707199614096
230	василий	0.0023732345274607093
231	выпивать	0.0023729809602911
232	ть	0.0023704379582877135
233	дама	0.002349628467612796
234	пациент	0.0023471521852891307
235	лес	0.002346755824510184
236	работать	0.002339850870757624
237	для	0.0023271877870119214
