	feature	tfidf
0	,	0.09370781698360882
1	!	0.04728711593816016
2	я	0.02697416633929229
3	и	0.026461038734059063
4	конкурс	0.024970715340156314
5	в	0.02045719899289729
6	не	0.019395979145389316
7	на	0.018974241236997914
8	он	0.015458586039195931
9	а	0.013768824493391115
10	ты	0.013480055644221325
11	комментарий	0.012024755650274551
12	вы	0.011025245225588747
13	ru	0.01021637476488305
14	что	0.010208455835712015
15	http	0.010190399800600183
16	с	0.00985621074384038
17	proza	0.009309773354493945
18	www	0.00930108480121805
19	быть	0.008726468630031013
20	мы	0.008684918544204518
21	ваш	0.0077337819786387025
22	у	0.00770422902644207
23	она	0.007599349562001696
24	ну	0.007574803920544762
25	2016	0.006994011367722746
26	12	0.006838466343304356
27	мужик	0.006511141785484977
28	как	0.006288271934322863
29	то	0.0062593503719150685
30	*	0.006232753272291654
31	да	0.005873553284325086
32	год	0.0055273631494135245
33	дед	0.005448718641567438
34	все	0.005307617403305259
35	они	0.0052432414458267315
36	это	0.005139483573780035
37	кот	0.0049075115305597635
38	водка	0.0048572417766488685
39	вот	0.0045751283427570375
40	по	0.00450726571612606
41	же	0.004483911732577517
42	покупать	0.004458484521337413
43	говорить	0.004431608883777177
44	бы	0.004400076578223472
45	надо	0.004361080877920319
46	2014	0.004268032329396703
47	жена	0.004267279598818137
48	из	0.0042426420147466115
49	за	0.004210730968122829
50	если	0.004192984596206774
51	кто	0.004115417762234844
52	мороз	0.00398714021334643
53	мой	0.0038265975636236865
54	про	0.0038036908477508866
55	весь	0.0037530289411086557
56	деньги	0.0036557169911255374
57	пить	0.0036475654632447617
58	там	0.003645922993149231
59	такой	0.0035848057923894916
60	ни	0.003584583521093174
61	однажды	0.0035216907917244135
62	хотеть	0.0035069386559421494
63	давать	0.0035008537083490374
64	так	0.003393896484304892
65	мочь	0.0033409848062535843
66	где	0.003312757339931659
67	работать	0.003307252379664277
68	только	0.0032887167909970054
69	новый	0.003249413474581946
70	когда	0.003248991077273899
71	дама	0.0032468662728638055
72	к	0.0032424285251752808
73	мама	0.003231582080751965
74	нет	0.0031446818555332955
75	без	0.003144209513724929
76	спрашивать	0.003128018998178324
77	2013	0.003126887544555575
78	ли	0.0031153139624159687
79	бывать	0.0031105720489039775
80	один	0.0030963002156849107
81	лес	0.0030791786398887276
82	сосед	0.0030629461253986446
83	бабушка	0.003056384538703847
84	россия	0.0030465017238156464
85	но	0.003030551001590575
86	друг	0.0029574063163281946
87	смотреть	0.002929570626540692
88	й	0.002913483022498497
89	муж	0.0029067005854960444
90	начальник	0.002904310943975657
91	интернет	0.0029037356356697145
92	чтобы	0.0029025455494700006
93	два	0.002902405888539594
94	женщина	0.0028854972702445497
95	магазин	0.0028484080219468547
96	машина	0.0028223330542214813
97	мол	0.0028157131824795975
98	кошка	0.002796676454056454
99	пиво	0.002796644210932962
100	утро	0.002783436709116531
101	спирт	0.0027631760115004434
102	вода	0.002760772496147275
103	тот	0.0027527641002186775
104	тут	0.0027521738192545827
105	автобус	0.002741186299720573
106	или	0.0027396934062923024
107	президент	0.0027176252349970943
108	видеть	0.0027174281086797237
109	праздник	0.002689957884586755
110	баба	0.002684761089302124
111	10	0.0026798509423567227
112	чай	0.002654599867898359
113	жить	0.002643426824192753
114	опять	0.0026431362905204358
115	брать	0.0026294287718831182
116	деревня	0.0026246612354579937
117	бутылка	0.0026170647098374047
118	москва	0.002610724838855716
119	наш	0.0026065160181081063
120	еще	0.0025809820017650767
121	сказать	0.0025733221902269447
122	девушка	0.002565230387372024
123	день	0.0025508673949348254
124	рубль	0.0025474068656593774
125	тоже	0.002545420021623768
126	спать	0.0024995335970223816
127	дом	0.002487229379046859
128	работа	0.0024813273634014324
129	курить	0.0024699439368749006
130	человек	0.0024539396873093852
131	з	0.0024368190470286963
132	пойти	0.0024295870954590343
133	народ	0.0024284440013080492
134	уже	0.0024219968771820163
135	для	0.002419323983930021
136	свой	0.002410147718697713
137	сейчас	0.002397514923951791
138	город	0.0023887207175571266
139	новогодний	0.0023813728578444982
140	пусть	0.0023693641194611876
141	какой	0.0023652594239564986
142	ребенок	0.0023534387773978187
143	завод	0.0023193256886332356
144	сидеть	0.002314125490980709
145	сколько	0.0023083553063217455
146	собака	0.0023026929344070477
147	идти	0.002299742956449368
148	вчера	0.002296289148564526
149	хороший	0.0022861198522558077
150	фото	0.0022824858981089534
151	ходить	0.002278153222771802
152	твой	0.0022765148611827947
153	от	0.0022645847663455595
154	знак	0.002264254696263796
155	писать	0.0022497626806481166
156	Все	0.0022451913977321815
157	любить	0.0022446439672121348
158	читать	0.002242149764605026
159	декабрь	0.002228560713530377
160	страна	0.0022152866255296653
161	гость	0.0022152682230197956
162	под	0.0022000158364991365
163	ночь	0.0021865297824203538
164	три	0.0021854809040038987
165	А	0.0021841977993069524
166	уж	0.002168647871648271
167	снег	0.002164327371025655
168	зачем	0.0021587238095275704
169	подарок	0.0021561293215425895
170	можно	0.0021366495005248486
171	приходить	0.0021246746890677443
172	еврей	0.0021184559608035344
173	приезжать	0.002111000203803352
174	становиться	0.0021083213343578737
175	белый	0.002098938884406092
176	о	0.0020987179419797762
177	отвечать	0.002098440746140349
178	рассказывать	0.002090929980418132
179	рыба	0.0020863293244878967
180	раз	0.0020677261757899926
181	02	0.002063078943214752
182	понимать	0.002059766108744061
183	до	0.0020524988899778105
184	зуб	0.0020508828252391873
185	ёлка	0.002045854012319194
186	папа	0.002043078522322915
187	искать	0.002039992529091547
188	находить	0.0020388419126827467
189	яйцо	0.002032570866978024
190	знать	0.002020459618496736
191	цех	0.0020131437007996755
192	сказка	0.0020108376940657815
193	нужный	0.0020082052843813005
194	студент	0.0019886776063564003
195	дорога	0.0019827552946726
196	решать	0.001977187655878476
197	мужчина	0.0019699148029056384
198	30	0.001966017288523946
199	знакомый	0.00196370864975292
200	здоровье	0.0019589745122914858
201	русский	0.0019509728581310695
202	аж	0.0019508987551034164
203	старый	0.0019465190275095004
204	домой	0.0019459187251626518
205	ка	0.001941936201835361
206	сегодня	0.0019390495622661475
207	товарищ	0.001935074652249747
208	дача	0.0019346536202546752
209	врач	0.0019345583987211419
210	этот	0.0019331359275067872
