	feature	tfidf
0	,	0.01252173545094053
1	следователь	0.006444913347491676
2	я	0.005752415324620151
3	детектив	0.004999199432742578
4	инспектор	0.004762146624985434
5	майор	0.004137617171129064
6	девушка	0.0038799371122840392
7	сергей	0.003594819910649162
8	ru	0.0034789691404245276
9	и	0.003460825750107223
10	Полина	0.0033921059262091366
11	убийца	0.0033596102236140056
12	убийство	0.0033482935866897302
13	http	0.003299306772722595
14	пистолет	0.003205551137020779
15	преступление	0.0032013450178015853
16	!	0.003045030460916751
17	мистер	0.002904000817308358
18	Лиза	0.0027309554156940245
19	рубль	0.0027241107540098156
20	он	0.0027213399658108824
21	Надя	0.002701197397666216
22	уголовный	0.00268945075064665
23	нож	0.0026754204129808444
24	ольга	0.0026739663334025853
25	расследование	0.002621153219772068
26	она	0.002575026652042176
27	лейтенант	0.0025486295901051147
28	преступник	0.0025170580728916827
29	милиция	0.002436216522746324
30	полицейский	0.0023981781695729043
31	Алекс	0.002397049923893474
32	Крис	0.002367153845538143
33	*	0.0023473158917251885
34	олег	0.002314900682773938
35	мужчина	0.002301079267580035
36	елена	0.0022988537269212402
37	игорь	0.0022024955095430424
38	полиция	0.0021349411249227505
39	Татьяна	0.002134380838403743
40	алекс	0.0021147443354812934
41	в	0.002111385269234383
42	|	0.0021102478043070272
43	квартира	0.002091233493663733
44	машина	0.002073863610829332
45	виктор	0.0020533711774285905
46	суд	0.0020527005720555914
47	ты	0.0020146746339387645
48	Таня	0.002008675143600452
49	вы	0.0019996083684136333
50	андрей	0.0019889193656450355
51	сэр	0.00198624330389513
52	охранник	0.001980472167078882
53	Нина	0.0019547163183365568
54	Стас	0.0019325894830510683
55	анатолий	0.0019140114739052002
56	Марина	0.0019052137573011708
57	шеф	0.0018994996419844318
58	никита	0.0018735386411833773
59	Ник	0.001873425343548935
60	Катя	0.001849289666417224
61	сотрудник	0.0018479193626926497
62	лена	0.0018265084196029723
63	дмитрий	0.001818390410472127
64	Люба	0.0018129382029086906
65	подросток	0.0017901500782008817
66	Анна	0.0017840127109392673
67	наталья	0.0017735045453024078
68	Кирилл	0.0017645746084599483
69	не	0.0017459575648549968
70	подробно	0.0017454787018899452
71	маньяк	0.00167653515528875
72	часть	0.0016706032458518383
73	священник	0.0016359722869195889
74	приятель	0.0016087997957633703
75	труп	0.0015965643500893672
76	николай	0.0015895766394544903
77	алексей	0.001583247121531349
78	сейф	0.0015821334703469284
79	Алла	0.0015805411185160394
80	Мишка	0.0015681162839063009
81	что	0.001534966129459398
82	конверт	0.0015280498631231204
83	деньги	0.001524076981248364
84	марина	0.0014966577114178927
85	1	0.0014908465345566235
86	путин	0.0014830732726797387
87	Вика	0.0014717244692822211
88	владимир	0.0014659087086916804
89	Алиса	0.001462369473224591
90	телефон	0.0014621498699063818
91	колония	0.0014546087658176684
92	Руслан	0.001454198967019053
93	петрович	0.0014480438733667986
94	юрий	0.001441208426731183
95	максим	0.0014317055240491137
96	антон	0.001430695099998161
97	доктор	0.0014300392358078044
98	павел	0.0014204790787174645
99	французский	0.0014068306611664933
100	михаил	0.00140672396657556
101	сержант	0.0014045995413432416
102	мой	0.0014044146039621254
103	мама	0.001397431248655333
104	светлана	0.0013909534039538611
105	Фёдор	0.0013817556695680776
106	наркотик	0.001376942836599971
107	убивать	0.0013763137507482432
108	паша	0.0013597093848818683
109	Семён	0.0013523435721601227
110	алиса	0.0013504449268361659
111	татьяна	0.0013493809107641094
112	Джек	0.0013491224135124286
113	полковник	0.001346509788023006
114	автор	0.001343765881638157
115	президент	0.0013436249443409412
116	проговаривать	0.0013396188907764458
117	эксперт	0.0013291633604969636
118	гараж	0.001315127770223223
119	джип	0.0013117496189066762
120	николаевич	0.0013093897475687326
121	показание	0.001306968097078195
122	Оксан	0.0013039738262720388
123	начальник	0.0013025284608275019
124	Пашка	0.0013009545061439345
125	стихи	0.0012944893581718112
126	саша	0.0012915578845331746
127	директор	0.0012799277864508323
128	кабинет	0.0012689909270994786
129	Артем	0.0012578450771652554
130	иванович	0.001257425411126672
131	следовать	0.0012554225698497032
132	особняк	0.001249058231737464
133	записка	0.0012452751923477258
134	продолжение	0.0012411864410303366
135	виталий	0.0012371445849056605
136	егор	0.001216886617753494
137	Егор	0.0012141941838508317
138	александр	0.0012072301288656277
139	подруга	0.001206391013763949
140	Максим	0.0012044103581917835
141	леонид	0.0011957248759700532
142	фирма	0.0011932544116626778
143	б	0.0011869097340827786
144	немец	0.001184076737954101
145	кафе	0.0011817747777521002
146	контакт	0.0011742683373863428
147	босс	0.0011646909747732189
148	страница	0.0011611405477789363
149	мад	0.0011576135797414767
150	трубка	0.0011574893081198584
151	на	0.0011551777816952151
152	борис	0.0011548329987137117
153	стих	0.0011548115737260722
154	банк	0.001147140928364324
155	вера	0.00114166307513531
156	художник	0.0011375054873104193
157	сумма	0.0011274085217341876
158	приговор	0.0011150900416795632
159	Витька	0.0011145055038535507
160	Миша	0.0011124653909601093
161	дочь	0.0011062111508839268
162	капитан	0.0011036441500413712
163	супруга	0.0011014512400765258
164	адвокат	0.0011010738969144149
165	пуля	0.0010938562551486774
166	Саш	0.0010893390765697889
167	кофе	0.001088783925496126
168	www	0.0010790773856788317
169	Алексей	0.0010757816087084166
170	мент	0.0010687926455937337
171	папка	0.0010667243874247976
172	девочка	0.0010644719279439504
173	Никита	0.0010642307737279838
174	дядя	0.0010566672278683653
175	агент	0.0010566494337913347
176	е	0.0010500005011621343
177	незнакомец	0.001049092401326677
178	константин	0.0010461124503001933
179	Николаевна	0.0010440101699548533
180	спальня	0.001037071882680244
181	профессор	0.0010340889285451848
182	Валер	0.0010333013290998055
183	валерий	0.001032551332180494
184	здание	0.00102416955918206
185	звонить	0.0010240384344440908
186	вася	0.0010218152501244927
187	лондон	0.0010104536092541848
188	то	0.001009560328283364
189	диск	0.0010094575836074858
190	Василиса	0.0010037035896025938
191	генерал	0.001002655246403493
192	мария	0.0009976973731224605
193	петр	0.00099722088053583
194	=	0.0009933142240690664
195	Инга	0.0009923220663430826
196	роман	0.0009897010906323334
197	кот	0.0009874999475355502
198	бутылка	0.0009873369412970443
199	жертва	0.0009854774850812272
200	Даша	0.0009849432074255278
201	операция	0.0009727078901554439
202	Соня	0.0009702149142309353
203	Артур	0.0009655839692304061
204	быть	0.0009617260060335202
205	россия	0.0009614666833725912
206	василий	0.0009613120675714014
207	камера	0.0009608687029898475
208	хирург	0.0009606814916135095
209	бал	0.0009525083169611491
210	фотография	0.0009466234024457647
211	шаман	0.0009427202639772182
212	автомобиль	0.0009412498561457607
213	Вадим	0.0009411543590808972
214	питер	0.0009358457499297033
215	бомж	0.0009348751539845533
216	юра	0.0009255535640741347
217	плод	0.0009240973673234902
218	джон	0.0009232030462667652
219	Илья	0.0009182816578586396
220	гитара	0.0009138243949424054
221	это	0.0009128765508007285
222	ирина	0.0009114657282499779
223	Даш	0.0009109518626199046
224	комната	0.0009047108932741154
225	клуб	0.0009023999345854144
226	сын	0.0009014659032956382
227	офис	0.0008990390172445013
228	ее	0.0008931847170159266
229	Гриша	0.0008885221612687292
230	бизнесмен	0.0008856502383997054
231	тетя	0.0008837225395198897
232	евгений	0.0008813689709331568
233	вагон	0.0008786888462290727
234	декабрь	0.0008773076822623337
235	Ольга	0.0008756882437766911
236	информация	0.0008694237678042401
237	ть	0.0008626235368581433
238	брат	0.0008584337891910695
239	Джон	0.0008575398869859264
240	вор	0.0008558497608128537
241	банда	0.0008369513225934192
242	номер	0.0008364336537542886
243	режим	0.0008355766618793279
244	иван	0.0008332571717599586
245	прокурор	0.0008330915352807542
246	луна	0.0008327152334837115
247	подъезд	0.0008313964650955329
248	москва	0.0008304167422788541
249	памятник	0.0008296880914787003
250	салон	0.0008281044233914879
251	магазин	0.0008273598732501775
252	задерживать	0.0008267944172856737
253	Денис	0.0008257875772663447
254	отец	0.000824721494655414
255	личность	0.0008236615258714318
256	париж	0.0008233873810687826
257	фонд	0.0008211085429430413
258	проговорять	0.0008197377197475966
259	ресторан	0.0008194105676207028
260	Макс	0.0008182015910746566
261	дверь	0.0008129904536141326
262	править	0.0008098583150875879
263	отдел	0.0008089161193669106
264	дед	0.000795428840299067
265	старик	0.000795134516170454
266	интервью	0.0007949007926217068
267	они	0.000794576582045465
268	читатель	0.000794496874663228
269	ведьма	0.0007941909824864151
270	паспорт	0.0007882013029501974
271	господин	0.0007871379513555082
272	поэзия	0.0007868709194117793
273	Степан	0.0007832183148944915
274	грузовик	0.000783089254394334
275	женщина	0.0007810118520445355
276	патрон	0.0007809051181003083
277	разум	0.0007794633949638057
278	сумка	0.0007776283950476849
279	Толик	0.0007742798231367608
280	подвал	0.000769083088762192
281	золото	0.0007644412106574317
282	водитель	0.0007638377320568668
283	сергеевич	0.0007629619726829548
284	що	0.0007605424041470148
285	водка	0.000757740357063876
286	кто	0.0007562359004486658
287	п	0.0007558328993086868
288	ца	0.000754859690593516
289	отделение	0.0007531086709162833
290	подполковник	0.0007443727976544858
291	доллар	0.0007443270921329436
292	мотоцикл	0.0007436106794059363
293	муха	0.0007423938659109653
294	уважение	0.0007404028133854831
295	квартал	0.0007400182909212377
296	кирилл	0.0007389648305838395
297	том	0.00073888879580332
298	смерть	0.0007358783388446916
299	авторский	0.0007343083476990341
300	дача	0.0007338533531081633
301	наташа	0.0007308501074789164
302	Костя	0.0007305733266078958
303	солнце	0.0007299146921279656
304	муж	0.0007275173078052931
305	планета	0.0007258807253435361
306	человек	0.0007249083451534556
307	хрен	0.0007227227898166064
308	Влад	0.0007217690328331833
309	бар	0.0007217079893231977
310	барак	0.0007216407886460835
311	михайлович	0.0007216205676972089
312	сайт	0.0007209944822344519
313	для	0.0007178625019223256
314	словно	0.0007171437022322979
315	Мария	0.0007157664964313436
316	жизнь	0.0007130840800577752
317	свидетель	0.0007120586665016287
318	бесконечный	0.0007116705390819232
319	Лариса	0.0007101739624971799
320	письмо	0.0007095680009842808
321	старушка	0.0007094200250711314
322	следствие	0.0007084118623547648
323	ребенок	0.0007083963217972851
324	Ира	0.0007067702113696279
325	главное	0.0007056633794156346
326	сестра	0.0007055908389305515
327	офицер	0.0007019420583196677
328	лаборатория	0.0007018146917664017
329	школа	0.0006997625847010386
330	велосипед	0.000698232340553733
331	**	0.000697026347390137
332	метр	0.0006961639192233324
333	книга	0.0006935917206532724
334	че	0.0006922924517907466
335	ивановна	0.0006904102969107267
336	ноутбук	0.0006891112066777033
337	А	0.0006880429995640956
338	дневник	0.0006862085179432634
339	Петя	0.0006859183259960474
340	Жень	0.0006847077639525878
341	5	0.0006843919780097308
342	всё	0.0006840013942460465
343	актер	0.0006828934545529325
344	рыжий	0.0006817426721918157
345	фамилия	0.0006806333653664229
346	судья	0.0006803080779880072
347	предприятие	0.0006793203582534415
348	допрос	0.0006756719278466327
349	фон	0.0006747083872370474
350	сумочка	0.000673826347660249
351	ленин	0.0006727627847223437
352	каждый	0.0006724184755037381
353	кровь	0.0006716112748713997
354	мобильник	0.0006704661155661931
355	надеяться	0.0006691229558331779
356	ключ	0.0006668429753241527
357	петровна	0.0006664562092777973
358	ствол	0.0006633522660572828
359	кровать	0.0006618112246002757
360	говорить	0.0006611315971599285
361	Мартин	0.0006601152646969739
362	торговец	0.0006585821060979928
363	милиционер	0.0006581056321034164
364	а	0.0006577049259908731
365	свет	0.0006571370426185093
366	Пётр	0.0006563735103677596
367	com	0.0006556668328431506
368	яйцо	0.0006498553308776365
369	база	0.0006489579668025715
370	бизнес	0.0006482548647701105
