	feature	tfidf
0	,	0.09401554261982475
1	и	0.03609366425638602
2	!	0.034902449259846306
3	я	0.03382834857803386
4	в	0.023706013333357995
5	мама	0.020563717977437227
6	он	0.018913182595157115
7	ты	0.016730403521803425
8	мы	0.015836913693701583
9	*	0.014920419113823536
10	год	0.014463116416108743
11	с	0.012902364042046812
12	не	0.012435167998759112
13	а	0.011364342357289985
14	на	0.011175640825245322
15	мой	0.010690932731686647
16	быть	0.010356369582772185
17	мороз	0.010047370034544499
18	папа	0.010009782558797697
19	дед	0.009615117675170719
20	ль	0.009423282315300884
21	она	0.0093337342354577
22	сказка	0.009089605188054206
23	они	0.008845190445488971
24	девочка	0.008819004518263944
25	ребенок	0.008134980195530021
26	любить	0.008015874315084786
27	у	0.007907872717404778
28	друг	0.007877611910190721
29	для	0.0070840351795457765
30	новый	0.007018192074235275
31	весь	0.006939097681927099
32	рисунок	0.0069063964507585385
33	детский	0.006856121526700661
34	мальчик	0.006614186992262756
35	это	0.006431814098128951
36	12	0.006401343209955605
37	пусть	0.006313257644061302
38	вот	0.006260663988444978
39	что	0.006057409315478787
40	лес	0.0060473373576581625
41	ось	0.006038756342992926
42	ёлка	0.005896538330746395
43	лапка	0.005728690456422581
44	картинка	0.005719687275649861
45	01	0.005718603309923646
46	снег	0.005623037262103075
47	день	0.005616501726084988
48	из	0.005555528567082404
49	такой	0.005524718117218856
50	схема	0.005522431919540368
51	по	0.005484469625884693
52	кошка	0.0054638929768371465
53	зима	0.005429103932684268
54	ветер	0.005403078371931747
55	маленький	0.00536007588564148
56	к	0.00522610773945843
57	скоро	0.005203489032167188
58	**	0.005121515190635533
59	солнце	0.005064318088382056
60	***	0.005048828281585714
61	бы	0.005048217471510511
62	жить	0.005036899725129614
63	там	0.005013070093871472
64	небо	0.004974076537792623
65	звать	0.004943591640617084
66	гулять	0.004940871175088464
67	лишь	0.004938177734682851
68	передача	0.004912883727718442
69	Миша	0.004824624855741276
70	этот	0.00480413699273117
71	русский	0.004731640021566443
72	играть	0.004727337349697476
73	игрушка	0.004656802178149676
74	новогодний	0.0046445793042473385
75	хороший	0.0046236163029538015
76	давать	0.004623492269697121
77	бабушка	0.004615227382555754
78	дом	0.004613962114054874
79	любой	0.004603191087447908
80	же	0.0045776151156142674
81	еврей	0.004559448412626208
82	твой	0.004527328487920882
83	пример	0.00450892229853934
84	красный	0.004469065052630525
85	механизм	0.00446260694111841
86	мир	0.004395044376888593
87	много	0.004385243632931396
88	шарик	0.004362923949455212
89	свой	0.004362608529130397
90	подарок	0.004362415326723796
91	размер	0.004327281759564831
92	елка	0.004292257168883044
93	сочинять	0.004276313018830701
94	2011	0.004245341596765735
95	читать	0.004239070738306701
96	как	0.004196868838146656
97	когда	0.004192179872496054
98	кот	0.004181235798299608
99	ходить	0.004175176574745941
100	здесь	0.0041741078971302085
101	судьба	0.004164138328570894
102	россия	0.004133716538508902
103	солнышко	0.004106833512921741
104	то	0.004100848986018247
105	всегда	0.004095140532411026
106	11	0.004085417579859278
107	9	0.004074616296615449
108	осень	0.004073336294443961
109	дедушка	0.004058898336214824
110	применение	0.004041112108683981
111	28	0.0040310044927823006
112	нужный	0.004018343017722404
113	все	0.0039886344828358134
114	так	0.003963392587193159
115	прекрасный	0.003939985390281638
116	еще	0.003929255642482615
117	приходить	0.003910771534933679
118	но	0.0039066180288283335
119	свет	0.0039050353228001215
120	вы	0.003878559389589285
121	за	0.003864069948542864
122	рисовать	0.0038351085942476336
123	7	0.0038007880525781153
124	душа	0.0037915371010892296
125	очень	0.0037690543843098634
126	говорить	0.003760680583796776
127	кто	0.0037477987999125035
128	ru	0.0037333152464316685
129	любовь	0.0037308438379935276
130	писать	0.003717455993290352
131	словно	0.0037147692338811156
132	медведь	0.00371166598207265
133	8	0.003689138532696806
134	топор	0.0036876994293577143
135	4	0.0036747105006310725
136	школа	0.003659179339648806
137	бог	0.0036439696508598907
138	шар	0.003620680255438752
139	хотеть	0.0036140991098839413
140	домой	0.0035705592610956473
141	птица	0.0035667037729497724
142	http	0.0035613196168848083
143	тот	0.0034818813735322863
144	игра	0.003449640433791002
145	видеть	0.0034381433914639067
146	радость	0.003433820876133907
147	мелкий	0.0034332624161142367
148	до	0.003432130309381338
149	праздник	0.0033947110255700035
150	класс	0.003388755050411862
151	малыш	0.003373565947040135
152	вода	0.0033550262676993454
153	походить	0.0033524756660216763
154	ждать	0.0033523902064073957
155	один	0.0033410956151231704
156	летать	0.0033240320657202354
157	каждый	0.003321286489526701
158	нарисовать	0.0033120030655140412
159	автор	0.003301952179184703
160	украшение	0.003286261082211468
161	сегодня	0.0032828526075000075
162	окно	0.0032793970929986785
163	о	0.003272933068242681
164	конструкция	0.0032640094386859413
165	поверхность	0.0032387322820726303
166	цветы	0.0032261102089531646
167	большой	0.0032198929233258765
168	туалет	0.0031975019230870276
169	5	0.0031968146742431735
170	падать	0.0031943154045467807
171	идти	0.0031934170039372616
172	от	0.0031916671945860843
173	наш	0.00318369020211203
174	век	0.0031474049350558204
175	потом	0.003130493658851879
176	белый	0.0031271847615909694
177	улыбаться	0.003119872734104617
178	цвет	0.0031171997359475795
179	приносить	0.0030713731876885913
180	интересный	0.0030669811757460344
181	дарить	0.0030627399296405495
182	лететь	0.003052596423297359
183	устройство	0.00305221115822271
184	лунный	0.003051607886568574
185	пора	0.003051192287586638
186	место	0.0030306932674288405
187	счастливый	0.0029995345123110875
188	да	0.002994367866704581
189	спать	0.002984514020663127
190	книжка	0.0029794279297984476
191	семья	0.002970955034552406
192	лежать	0.0029563911858086676
193	если	0.002955407689102204
194	учительница	0.002951983223721423
195	работа	0.0029470429164832933
196	снежинка	0.002934615114215839
197	уж	0.002932745730308569
198	красивый	0.002926752132853131
199	тут	0.002914184944055175
200	наступать	0.002904149198610928
201	взлетать	0.0028966322539330054
202	в1	0.0028806809496988613
203	петь	0.002878271629532886
204	обратный	0.0028764878684741473
205	ли	0.00287619771848448
206	нет	0.0028665866877510184
207	рыжий	0.002834580913609331
208	детка	0.002823857601261974
209	вариант	0.0028205983463325626
210	счастье	0.0028203703541362997
211	х	0.0028191611036983352
212	отверстие	0.0028075981268399874
213	милый	0.0028052209775692137
214	про	0.0028039601303613813
215	весна	0.0027987155737443574
216	пойти	0.0027767179633127765
217	мастерство	0.0027745388985303833
218	верить	0.0027659917785053984
219	иной	0.002754695408259002
220	ну	0.002754678613127746
221	Маша	0.0027521631174855865
222	святой	0.0027491066824700938
223	ть	0.0027458401490532795
224	съедать	0.002744476728214214
225	мечта	0.00273024260952755
226	сказать	0.002729833152918539
227	собачка	0.002724458210509462
228	14	0.002724341769848679
229	более	0.0027208159020871868
230	красота	0.0027171484549662027
231	земля	0.0027142865529451135
232	листва	0.002711087691466765
233	тоже	0.0027107674585689604
234	без	0.0026998878072153785
235	рассказывать	0.0026865523496537704
236	25	0.002686258194711105
237	лист	0.0026822796581949014
238	усилие	0.00268162328846511
239	песенка	0.002675143628738045
240	ручка	0.002659733925439187
241	диск	0.0026578686002899947
242	сбываться	0.0026407592801229486
243	путь	0.00262558040829994
244	жизнь	0.002623460046676371
245	кататься	0.0026222396286060047
246	мышка	0.0026201860799290044
247	подружка	0.002605377883495348
248	кухня	0.002603567527039755
249	бабка	0.0026018289768613492
250	дорога	0.0025980526700858735
251	решать	0.002595304443081224
252	обеспечивать	0.0025945394396476315
253	чудо	0.002583090499097541
254	кружиться	0.002566557921284802
255	головка	0.002556426551522904
256	улица	0.0025524081640448107
257	однажды	0.0025496432889027237
258	бывать	0.0025175773886345378
259	стих	0.002510585572504702
260	рождение	0.0025068102730081334
261	вырастать	0.0025062668603156976
262	курить	0.002505349165437489
263	речка	0.0025015085777042386
264	буква	0.002497838779656203
265	корпус	0.002495802293004205
266	труд	0.002489457920075846
267	пока	0.002488121700105965
268	вдруг	0.0024813038424777415
269	теряться	0.0024749696891692673
270	банка	0.002472858655533913
271	вопрос	0.0024657706105956226
272	осенний	0.00246168915885216
273	2	0.0024516031457708204
274	деталь	0.002448654397380205
275	всюду	0.00244801262936816
276	стандартный	0.0024452100809258877
277	столь	0.0024428459002067532
