	feature	tfidf
0	,	0.03669170934446998
1	я	0.02408317256581255
2	ты	0.02002613423418282
3	Инт	0.019476000723362617
4	!	0.018841156873510737
5	и	0.011333249759776377
6	не	0.009244686059698972
7	1	0.0076017640796249885
8	офицер	0.007076211884614178
9	в	0.006939585659708343
10	вы	0.006918596834360423
11	солдат	0.005946859705960336
12	2	0.005805307452163948
13	он	0.005768288366722402
14	девушка	0.005503447474473011
15	она	0.0054528537155239904
16	что	0.005404116594694935
17	мой	0.005307776191027196
18	твой	0.005138768548271404
19	любовь	0.004902978515273504
20	сцена	0.004534798277317315
21	мы	0.004523473061375913
22	е	0.004516980881685993
23	*	0.004250933131475046
24	н	0.0040225056923581
25	сердце	0.0038433764511281864
26	любить	0.0037958524056719975
27	ть	0.0034339677451434825
28	мама	0.003340218297157785
29	жена	0.0031783510100866367
30	http	0.0031528674398194193
31	дед	0.003113358717548921
32	с	0.003106154535670447
33	быть	0.003089168157693446
34	друг	0.003065450399603002
35	на	0.003056039986274069
36	й	0.0030082112182568087
37	мороз	0.0029885163864404756
38	парень	0.0029671319053300917
39	з	0.00295535373824663
40	боль	0.002951349431642445
41	душа	0.002935050451201314
42	муж	0.002881917144360798
43	рождение	0.002840816869177521
44	кабинет	0.0028071781645242315
45	ru	0.002702666073770218
46	капитан	0.002557890478549153
47	а	0.0025204696604146813
48	счастье	0.002426545074293542
49	мужчина	0.0024021771676869105
50	жизнь	0.0023362960784056395
51	женщина	0.00231895863023736
52	уходить	0.0023059782301765672
53	алексей	0.0022990178744746776
54	человек	0.002291759250487711
55	хотеть	0.0022886781592268996
56	Ольга	0.0022317498173750933
57	мальчик	0.0022136118621905875
58	девочка	0.00217390985369178
59	как	0.002136251863313756
60	король	0.002102732582548085
61	дверь	0.002094105400340123
62	ну	0.0020712532835815683
63	товарищ	0.0020695760060245056
64	ваш	0.002064169583761861
65	мужик	0.0020525796810238308
66	Иван	0.0020372489178642032
67	Катя	0.00201737890790253
68	ведь	0.0020156617462860865
69	р	0.0019907964459533385
70	ь	0.001976807913403997
71	литр	0.0019715390298162797
72	ольга	0.0019688801071434925
73	школа	0.0019167931342908215
74	ребенок	0.0019145748618119114
75	кто	0.0019122270441794945
76	окно	0.0019088787423784156
77	кадр	0.0019088506805907096
78	генерал	0.0018919983776845067
79	андрей	0.0018821143356117474
80	они	0.0018731531582288645
81	прощать	0.0018583887486105892
82	пьеса	0.0018482298651081679
83	**	0.0018306132352446049
84	майор	0.0018257950338117397
85	то	0.001823623806890398
86	ангел	0.0018177452326656673
87	песня	0.0018033481872028337
88	Ваня	0.0017775529875054834
89	за	0.0017675515146051478
90	день	0.0017417101912165995
91	сергей	0.0017417023477935619
92	спасибо	0.00173996828038168
93	все	0.001732706276329719
94	ночь	0.0017214302307507969
95	лишь	0.0017183562803737972
96	***	0.0017118844189493664
97	это	0.0017097781192450519
98	т	0.00169808776448281
99	снег	0.0016933550146533323
100	стол	0.0016933149880144845
101	клетка	0.0016859358456031482
102	всегда	0.0016807276837963756
103	писать	0.0016800668314358213
104	ка	0.0016786376416055094
105	отец	0.0016579870556096773
106	плакать	0.001657668393759824
107	сын	0.0016474152500402075
108	www	0.0016395577065961057
109	комната	0.001638484067190037
110	л	0.0016373149038861974
111	герой	0.0016367062283509858
112	квартира	0.001635836208345449
113	так	0.001632080500105101
114	больно	0.0016235418125544398
115	бабушка	0.0016056377168944733
116	чувство	0.0016043955386572026
117	снова	0.0016023284063401214
118	Маш	0.0016022375447961338
119	глаз	0.0015943926260839096
120	Саш	0.0015859498609217173
121	п	0.0015700910050172416
122	виктор	0.0015674362476528136
123	деньги	0.0015543320022412435
124	доктор	0.0015521246317982532
125	=	0.0015500960609194465
126	о	0.0015499464346285228
127	Джек	0.0015436878186586127
128	ад	0.0015398570630973934
129	дарить	0.0015352328786209192
130	когда	0.0015270687750452163
131	папа	0.0015223738545812563
132	бог	0.0015211224797040562
133	александр	0.0015165885257477833
134	музыка	0.0015156023827057042
135	сигарета	0.001512604303197481
136	дедушка	0.001509140174248585
137	Вика	0.0015001021858770912
138	наш	0.001498980673751562
139	дождь	0.0014956702706454355
140	слеза	0.0014902558951843808
141	Анный	0.0014895510239918005
142	ца	0.0014871141978297867
143	оценка	0.001478736391915789
144	александрович	0.0014785011222312478
145	кровать	0.0014747468121440216
146	год	0.0014730989843504904
147	телефон	0.001467473919413324
148	падать	0.0014663398540393897
149	петровна	0.0014632533452709202
150	елена	0.00145761488475829
151	брат	0.0014420554831968341
152	звонить	0.0014370489934758925
153	што	0.0014275662476620863
154	здесь	0.001426765978858688
155	голос	0.0014155108690282212
156	забывать	0.0014130856183885705
157	начальник	0.0014117317125449179
158	лес	0.0014100181059629527
159	старик	0.0014027895407736015
160	иль	0.0013980392947351163
161	сон	0.001391745122537856
162	у	0.0013809736551399806
163	пусть	0.001378858390771773
164	смотреть	0.0013744636784155414
165	Джон	0.0013723278601836006
166	Я	0.0013711172947475415
167	вера	0.00137053047812482
168	тот	0.0013699590087380604
169	новый	0.0013670872706911964
170	жить	0.0013663114643829022
171	один	0.0013640504266656489
172	кровь	0.001359617167789666
173	сейчас	0.0013595226759673853
174	весь	0.0013571166736802672
175	знать	0.0013517422021200912
176	com	0.0013512763014980496
177	тонна	0.0013495074432706583
178	россия	0.0013485347293306124
179	the	0.0013458136680683877
180	машина	0.0013420826094310398
181	you	0.001340144128521229
182	мочь	0.0013357070856030038
183	соседка	0.0013332366155574058
184	тобой	0.0013293302438958572
185	свет	0.0013232830146918317
186	Анна	0.0013171870431574128
187	ветер	0.001316962221322187
188	баба	0.001316480769751331
189	х	0.001315286861857881
190	камера	0.0013099962533254363
191	звезда	0.0013080504802826533
192	входить	0.0013043516209165597
193	корабль	0.0012969127485427125
194	жду	0.0012956016385135113
195	нет	0.001295236392241923
196	врач	0.0012948206267698959
197	но	0.0012842510208514214
198	фильм	0.0012835743181352321
199	Ник	0.001280961336488563
200	3	0.0012775513774111028
201	никто	0.001276824323784909
202	милый	0.001270209047331222
203	здравствовать	0.0012670822223772875
204	трубка	0.0012669365101353172
205	учительница	0.001262750186776366
206	луна	0.0012592862552785755
207	вать	0.0012514588943629632
208	умирать	0.0012513204906844618
209	труба	0.0012477351066696176
210	теперь	0.0012452612222852598
211	12	0.001243632210443262
212	командир	0.0012348746676492787
213	иван	0.0012340330950200342
214	мир	0.001229665118998362
215	профессор	0.0012260139881321542
216	ха	0.00122340984150921
217	ах	0.0012219047067619638
218	рука	0.0012186638798335728
219	море	0.0012184329852536347
220	Наташ	0.001215826228461453
221	|	0.0012158033624085193
222	вот	0.0012156829028647314
223	да	0.0012126748810373266
224	желание	0.001206383990642788
225	як	0.0012062455715944474
226	И	0.0012016002906695712
227	стих	0.00119929003067424
228	саша	0.0011954667241199347
229	новогодний	0.0011925076235913923
230	ивановна	0.0011882418539844407
231	царь	0.0011785133033063281
232	Лер	0.0011775926102261269
233	вспоминать	0.0011768461562058723
234	мать	0.0011756000238283817
235	рядом	0.0011699533771956602
236	бутылка	0.0011645951517049767
237	собака	0.0011623407699543778
238	небо	0.001159376815398948
239	ль	0.0011518477167166356
240	кофе	0.0011449503290516022
241	любимый	0.0011426435512548127
242	зал	0.0011410022305876227
243	акт	0.0011388327189967842
244	ой	0.0011386908894541066
245	письмо	0.0011384281303903837
246	грусть	0.001138314258887737
247	олег	0.001136479694554583
248	сегодня	0.0011349159873003914
249	играть	0.0011299391348734496
250	Т	0.00112834453270287
251	нужный	0.0011273954929091178
252	зачем	0.0011221014291845767
253	от	0.0011215616557451184
254	пистолет	0.0011170482354257185
255	бы	0.001117038965659829
256	волк	0.0011132640689518348
257	мила	0.0011116079266445117
258	Лера	0.001111172178050139
259	зритель	0.0011092063718843627
260	подходить	0.0011084330453621659
261	часть	0.0011035894598816589
262	людмила	0.0011024585677496838
263	просто	0.0011014012088097205
264	же	0.001095299141272685
265	судьба	0.0010948141764901933
266	думать	0.0010889853449745615
267	к	0.0010873744971052596
268	сестра	0.0010840292304096116
269	курить	0.001081705721052679
270	мысль	0.0010796837600347841
271	нежность	0.0010775975247335732
272	или	0.0010761319598957264
273	лейтенант	0.0010752142748486476
274	книга	0.0010751165177143394
275	i	0.0010744304970079458
276	ш	0.0010725417118669324
277	чёрный	0.0010716058348742093
278	Таня	0.0010679651608137993
279	чтобы	0.0010674862695831445
280	если	0.0010619644650806026
281	сумка	0.0010613337223510206
282	нравиться	0.0010612553251228265
283	ненавидеть	0.0010609144450172687
284	петрович	0.0010608199260864833
285	такой	0.0010601904439858157
286	владимир	0.0010581482782271532
287	антон	0.001057003821626185
288	свой	0.0010567439080461077
289	сказать	0.001055910896539213
290	принц	0.0010555288343055498
291	сценарий	0.001052662853842727
292	Да	0.0010491622947855124
293	Виктор	0.001049072438517544
294	to	0.0010489703477000378
295	подруга	0.0010466201446266367
296	Н	0.0010455557393584186
297	верить	0.0010436115674458464
298	кафе	0.0010430765963641445
299	без	0.0010419975441555629
300	Но	0.0010410258874428513
301	евгений	0.0010406244677306534
302	уставать	0.0010396633008350632
303	метр	0.0010375707844376132
304	мистер	0.0010359192654199828
305	родной	0.0010336069032646318
306	говорить	0.001030273511335265
307	смерть	0.001026797378029868
308	почему	0.0010253617041957486
309	холод	0.0010249958093710534
310	сидеть	0.0010243429735554562
311	магазин	0.001021876229617055
312	автор	0.0010189673516662785
313	который	0.00101882776332188
314	никогда	0.0010169997655002717
315	тело	0.0010158733732285208
316	эпизод	0.001015095326288538
317	Жень	0.0010149441687689505
318	идти	0.0010147945143816459
319	сладкий	0.0010139171320804408
320	наташа	0.0010131374725689184
321	д	0.0010129287217250592
322	пр	0.001010732057150102
323	господь	0.0010098475709722449
324	птица	0.001006971743759104
325	меч	0.000999716695790788
326	чувствовать	0.000998190121187669
327	proza	0.000997820356590857
328	анна	0.000994280434972605
329	спать	0.0009935036941312316
330	навсегда	0.0009914262589549353
331	марина	0.0009907262034176034
332	який	0.000989894020406452
333	жертва	0.0009880542166764037
334	война	0.000987935222233889
335	директор	0.0009860568317611872
336	этот	0.0009856602028718079
337	закон	0.0009856491625266331
338	грудь	0.0009851670161662406
339	ный	0.0009839571704597912
340	далее	0.0009830371240855664
341	2016	0.0009818905667704693
342	Маша	0.0009792315526674356
343	кот	0.0009782862258389973
344	хор	0.0009757121156113203
345	Ты	0.0009757119979339004
346	смеяться	0.0009739298383683335
347	джон	0.0009728446484896573
348	целовать	0.0009714654930844317
349	губа	0.0009710022549792547
350	только	0.0009693321250791439
351	заходить	0.0009688325991780299
352	там	0.0009686598593611684
353	город	0.0009679774003875477
354	помнить	0.0009679317668146921
355	in	0.000967714017331899
356	дочь	0.0009673541716492852
357	слёз	0.0009659952690835354
358	нож	0.0009640449151229854
359	петь	0.000963512564886617
360	аня	0.0009634427655030761
361	видео	0.0009632693163665131
362	че	0.0009623950124064437
363	сказывать	0.0009603867053216797
364	нуть	0.000959610727891033
365	три	0.0009595364374140429
366	ий	0.0009577028729760738
367	нежный	0.0009562899288444972
368	пустота	0.0009542084314638352
369	каждый	0.0009520354210475606
370	ймёть	0.0009515437133662649
371	зима	0.0009499864439151688
372	надеяться	0.0009495733085441131
373	сказка	0.0009487139750845759
374	готовый	0.0009485318146129004
375	убегать	0.0009482847814332314
376	страна	0.0009451997390889508
377	утро	0.000944069643424172
378	ни	0.0009434735924530283
379	либо	0.0009429063903756628
380	г	0.0009428888310308781
381	где	0.0009426029589871837
382	холодный	0.000942432781220611
383	and	0.0009413129375464384
384	экран	0.0009381867245020306
385	б	0.0009374141453108932
386	детский	0.0009372893816829555
387	граф	0.0009366351755302045
388	василий	0.0009360185665342463
389	себя	0.000934433464471697
390	опять	0.000934356880899726
391	кричать	0.0009341801656307334
392	иванович	0.0009328495238057189
393	покой	0.0009321875988804292
394	во	0.0009302879175003391
395	становиться	0.0009299843147790847
396	михаил	0.0009291145315429474
397	a	0.0009261188134590597
398	Алекс	0.0009257716635422906
399	Мария	0.000925414717204779
400	немец	0.0009245380536407698
401	огонь	0.0009239574255775751
402	танцевать	0.0009223769501351887
