	feature	tfidf
0	,	0.03392996750518239
1	и	0.010384740052748982
2	http	0.009846641941393846
3	ru	0.009406249211187127
4	!	0.008640108172291295
5	в	0.007819257639631956
6	энергия	0.007777509703241598
7	www	0.007212557372950757
8	вещество	0.00701812787341508
9	1	0.0066495964931468
10	частица	0.006412712232830803
11	материя	0.006171221089381594
12	вселенная	0.006138459495187817
13	планета	0.006030506717462361
14	теория	0.005789064064169261
15	система	0.005771111119339445
16	организм	0.005725622163621311
17	proza	0.005563950558095496
18	растение	0.005458525693034122
19	=	0.0050688397441964695
20	*	0.005039102199467726
21	человек	0.0049391057948911425
22	2	0.004782392322391997
23	не	0.004774829306583123
24	скорость	0.0047300232622523005
25	12	0.004614491615192617
26	наука	0.004478840934865373
27	рис	0.004294394091754721
28	взаимодействие	0.004219939528537779
29	процесс	0.004178982682742035
30	пространство	0.004153128072224178
31	клетка	0.004109433165047946
32	структура	0.004103860956528907
33	атом	0.004040168864735325
34	вы	0.003961364063175622
35	земля	0.003938286989826375
36	вода	0.0039173834813732225
37	заболевание	0.0039059839344623305
38	я	0.0038581878329855203
39	**	0.0038422312712982696
40	озеро	0.003833618121688973
41	поле	0.0038205772573328346
42	ядро	0.003746853698917905
43	знак	0.0037452817718939637
44	тело	0.003694630976345475
45	ученый	0.0036896304642162507
46	точка	0.00367515304277001
47	частота	0.003671579660741068
48	природа	0.003638214256060182
49	процент	0.0035947063672361204
50	2015	0.0035871174125731743
51	что	0.003586930506738063
52	масса	0.0035298450138509328
53	физический	0.0034981499242730638
54	объект	0.003488072360106648
55	на	0.0034010572011661426
56	температура	0.0033929631601549632
57	информация	0.0033778581255057287
58	свойство	0.0033421688266172126
59	цвет	0.003302396277391178
60	автор	0.0032984573239631253
61	com	0.0032871489056787244
62	мозг	0.003257082518209831
63	мы	0.0032413329054128285
64	закон	0.0032294092382598636
65	сознание	0.003215085377195713
66	излучение	0.003135296979711859
67	физика	0.003122150334618272
68	уровень	0.003092758893226773
69	+	0.0030924673106429916
70	луна	0.0030782506568073882
71	духовный	0.0030708564777469313
72	восприятие	0.003066345779188269
73	мир	0.003029504069023487
74	солнце	0.0029748726784538907
75	научный	0.0029451405221534886
76	цивилизация	0.0029243413264772333
77	ось	0.002920861395958511
78	3	0.0029195413095040434
79	генетический	0.0027995918044823
80	движение	0.002771836522705899
81	0	0.002756968299548429
82	река	0.002750890546172092
83	он	0.002747692717110767
84	исследование	0.0027439463654787243
85	модель	0.002693740198362492
86	континент	0.0026568519227391438
87	элемент	0.0026545453750831723
88	знание	0.0026417199620665526
89	градус	0.002633635906807337
90	то	0.002625010427639873
91	женщина	0.002611548207791655
92	бог	0.002592796810717497
93	гипотеза	0.0025881471594001145
94	быть	0.002559691422073829
95	человечество	0.002556476104669937
96	2016	0.0025340206336817227
97	это	0.0025333196355908517
98	год	0.0024931998053125274
99	среда	0.002493168952150239
100	часть	0.0024818894736535913
101	америка	0.0024586400504049023
102	свет	0.0024579701033181417
103	они	0.0024404971681493523
104	соединение	0.0024367416984351436
105	программа	0.0024366501836136567
106	внешний	0.002428097205197857
107	при	0.0024105782363134905
108	являться	0.002407232793220951
109	космический	0.0024037447560483786
110	конструкция	0.0023997053015344014
111	эффект	0.00239525932138822
112	использовать	0.0023895227339351365
113	биологический	0.002362390288692336
114	величина	0.002324202095212306
115	источник	0.0023161293583850323
116	энергетический	0.002302930479940474
117	земной	0.0023004941506874167
118	ген	0.00230003438118137
119	явление	0.002288997670355505
120	развитие	0.002287898767809884
121	ток	0.0022770839591848314
122	линия	0.002270898535344185
123	животное	0.002259803877621925
124	2013	0.0022597696880661644
125	северный	0.002259050923534126
126	рыба	0.002258805924492536
127	буква	0.0022564891441509034
128	орбита	0.002247828243732231
129	давление	0.002230892881663567
130	|	0.0022298597494595338
131	2014	0.002227223325054558
132	интернет	0.0022077026238920745
133	состояние	0.002195316611677261
134	сайт	0.002191390434359997
135	равно	0.0021877515722704107
136	число	0.002158986891930512
137	ты	0.0021547465868882783
138	результат	0.002146671743661992
139	разум	0.00214443656015017
140	человеческий	0.0021440992261152927
141	сущность	0.002128649163734421
142	с	0.002112928628978603
143	10	0.0021080441278053755
