	feature	tfidf
0	,	0.06148360758462631
1	!	0.025714841084405467
2	и	0.022312018972429182
3	*	0.01713775792835746
4	я	0.016599144612795276
5	не	0.01446450882512481
6	в	0.012026664047461897
7	ты	0.0117009703464996
8	2011	0.009855522100184338
9	игорь	0.009659192412182509
10	вы	0.009012492838943783
11	он	0.008397946937053168
12	книга	0.007841500927268031
13	что	0.006918072889266092
14	а	0.006855567069445322
15	на	0.006392977424915519
16	мы	0.006303036770489258
17	женщина	0.006088147032376671
18	она	0.005912378862549492
19	раз	0.005473940678852835
20	11	0.005459649730476714
21	быть	0.005291402624693189
22	они	0.004859164671235231
23	***	0.004771253766468952
24	из	0.004643384638974259
25	то	0.004528830057952392
26	россия	0.004523173392889579
27	кто	0.004488938004944962
28	страна	0.004477049813298382
29	12	0.004424632950524237
30	с	0.004372007433143205
31	мужчина	0.004066357660349774
32	10	0.004045163967354816
33	как	0.003970797349736526
34	ну	0.00392850968631434
35	год	0.0038395548406867366
36	президент	0.003790399501647044
37	человек	0.0037677396830143066
38	народ	0.0036198269981536565
39	любовь	0.0035536904989507696
40	это	0.0034937659356449897
41	муж	0.0033839081607475122
42	у	0.0033606527703440693
43	деньги	0.003340819112373854
44	если	0.0032918603723776476
45	жена	0.0032909800743318837
46	мой	0.00328446631743942
47	о	0.003284166468264183
48	бы	0.0032269796617152373
49	жизнь	0.0032105480684116983
50	любить	0.003188121896453232
51	да	0.003186375006369366
52	писать	0.0031626319492697587
53	все	0.0031415219518101793
54	http	0.003140689947185806
55	ru	0.0031403889955899326
56	путин	0.0031224627797591044
57	жить	0.0030392195252108307
58	2012	0.0030030720457590895
59	друг	0.002912568286348688
60	дед	0.0028890541356099693
61	русский	0.002876917132790814
62	ваш	0.0028629140235876087
63	писатель	0.0028028004411622476
64	мужик	0.002785854891856124
65	себя	0.002780126302687059
66	член	0.0027689312635754177
67	но	0.0027491931296699077
68	рисунок	0.0026861955020362643
69	твой	0.0026600294484127023
70	мир	0.0026062585480359857
