	feature	tfidf
0	,	0.030367079529921574
1	россия	0.014906043211217633
2	украина	0.010532304443374751
3	и	0.009968660714367255
4	в	0.008458686627720844
5	бог	0.008168561952902314
6	путин	0.007856012780684823
7	страна	0.007427951533788998
8	народ	0.00715303829197958
9	президент	0.0066323667487595975
10	государство	0.00657526442127219
11	война	0.006574233359108248
12	!	0.006350364887090611
13	власть	0.006347400527739573
14	2016	0.006241582942202098
15	русский	0.005994327316517852
16	год	0.005984904807920967
17	ссср	0.005887302064669717
18	12	0.005574246843791512
19	не	0.005275117568351028
20	сша	0.005255561608498128
21	сталин	0.0052541549089653835
22	я	0.0052135490049868135
23	российский	0.005166748115355277
24	украинский	0.00516196327461537
25	политический	0.005069550142069561
26	сообщение	0.004558055641533146
27	политика	0.00425772790046355
28	записывать	0.004248598710417834
29	выборы	0.004196524094842652
30	экономика	0.004060938712072898
31	сообщать	0.003951864567358627
32	*	0.003874225863116132
33	отец	0.003848250950082883
34	й	0.0036536627153879466
35	советский	0.0036445447275920972
36	экономический	0.0036445306456779655
37	http	0.00363767995422633
38	рф	0.0036291762432851355
39	процент	0.003604550270640128
40	армия	0.003599216486386395
41	Ryuntyu	0.003598786366913807
42	войска	0.003597258239021258
43	на	0.003542306003701362
44	человек	0.003531131192820236
45	государственный	0.0034198674914503787
46	партия	0.0033868239452065282
47	революция	0.003385466494001594
48	мы	0.0033626114551834427
49	В	0.0033572571692083862
50	Yuri	0.003319006513201464
51	ru	0.0033140772130354416
52	вы	0.0033114166509288093
53	Australia	0.003307828524540175
54	Matthew	0.0032986597129248878
55	общество	0.003270812354527077
56	russia	0.0032388494383923964
57	демократия	0.0032326869185007007
58	население	0.003208849428059102
59	царь	0.0032033795535895324
60	Book	0.0031953299513492886
61	европа	0.003182190411309867
62	русь	0.0031553035036228742
63	социальный	0.003135025934624809
64	человечество	0.0030767167246269897
65	мировой	0.0030570854486460983
66	1	0.0030291438726630687
67	еврей	0.0029715357817177027
68	принимать	0.0029135222514009925
69	правительство	0.002881314394672853
70	рубль	0.002880709933066086
71	князь	0.0028800929599906906
72	мир	0.00287173657055325
73	военный	0.0028606082120148555
74	century	0.002859866064345722
75	владимир	0.002804720973864811
76	быть	0.002792787355986905
77	www	0.0027791121584916445
78	социализм	0.002766641994064545
79	это	0.002754129597247865
80	крым	0.0027492153182318417
81	1941	0.002730614253960844
82	закон	0.0026926551843227055
83	орден	0.0026902399788283843
84	он	0.0026818645091466046
85	Рюнтя	0.002679150905575826
86	гражданин	0.0026782511182266437
87	что	0.0026688195647490945
88	национальный	0.0026430703642553173
89	развитие	0.0026293775132008924
90	доллар	0.0026062272995470703
