	feature	tfidf
0	,	0.06252192056673041
1	и	0.023964528814057
2	рецензия	0.021615962703570475
3	не	0.020749784216953816
4	я	0.02054445621402988
5	в	0.018671668859563437
6	!	0.017866053478345488
7	на	0.011441037782835445
8	ты	0.011377766740282248
9	р	0.011081366588784784
10	мы	0.008943632955676267
11	Степан	0.00837639796628731
12	а	0.007900159385651133
13	он	0.007722918621367765
14	быть	0.007114786319871076
15	вы	0.006331438815779214
16	душа	0.0060323691646784056
17	с	0.00595472756522346
18	это	0.005930084318410855
19	да	0.005880759085110764
20	же	0.005842287985048905
21	то	0.005771734234826286
22	нет	0.005621279734606023
23	кто	0.005227116488230219
24	она	0.005209873692446393
25	как	0.005163650239816016
26	тут	0.005134345569673617
27	человек	0.0050403288924432245
28	но	0.00481470686357015
29	они	0.004690702892865287
30	что	0.004548240459787233
31	мир	0.004489200211761065
32	*	0.004464219430038781
33	все	0.004288411828860033
34	мозг	0.004159411184064327
35	хотеть	0.0040700065322663275
36	по	0.003947440432090465
37	забывать	0.003930201688401556
38	за	0.0037692512459642524
39	любой	0.0037076160749339913
40	мой	0.0036824317620858787
41	лишь	0.003668113804590376
42	ваш	0.003627824549910633
43	1	0.0034921763471608643
44	себя	0.0034306870024052973
45	для	0.0034109142180713758
46	небо	0.0033765656697956675
47	победа	0.0033633862602836006
48	поэт	0.0033438686421781447
49	2012	0.0033236164533724977
50	дух	0.0032793903277375273
51	или	0.003216391947794125
52	любить	0.0032063241542765204
53	s	0.0031345534526499136
54	суть	0.0030928309260951697
55	ru	0.003079405439283638
56	у	0.003031071515639644
57	робот	0.0029926443123532995
58	без	0.0029836563756480768
59	виртуальный	0.0029370541318427677
60	система	0.002933531686756664
61	бы	0.0028817258240203198
62	солнце	0.0028768876310802673
63	нужный	0.0028745241726920254
64	любовь	0.002852938976755003
65	часть	0.002847475896787288
66	свет	0.0028080552682483626
67	ну	0.0027981424910306584
68	http	0.0027938650727676517
69	бог	0.002785905511344746
70	мочь	0.0027697386737398012
71	планета	0.0027346526468298754
72	мысль	0.002721317890894788
73	й	0.0027154959222301287
74	2	0.002684638666494881
75	от	0.0026819064577775814
76	всегда	0.0026796326754862545
77	пока	0.0026657389124150345
78	идея	0.0026587190272684496
79	мораль	0.002658482963383623
80	так	0.0026549398992038458
81	реальность	0.002622102740470798
82	если	0.0025995339579723336
83	юра	0.0025932070036781183
84	нынче	0.0025836835330827657
85	~	0.00258175852848379
86	из	0.0025749945667844724
87	пустота	0.002552410665867634
88	ничто	0.0025058673615057526
89	заносить	0.0024902810610359987
90	друг	0.002485256028849959
91	о	0.00247825167840059
92	глаз	0.002474294468610889
93	ведь	0.0024680815762664356
94	дед	0.002453957460753275
95	зона	0.0024482848486763846
96	***	0.0024473230928709743
97	жить	0.002447131776369021
98	два	0.0024447757839817326
99	стоить	0.002435523696526988
100	уж	0.002427861179263618
101	уже	0.002395764606176971
102	никто	0.0023883724332769076
103	зря	0.002378454836064711
104	3	0.002377592729596407
105	душ	0.002372999676569357
106	к	0.002372747643458319
107	вот	0.0023639175996050693
108	россия	0.0023368143848527885
109	ли	0.0023223052180019496
110	рамка	0.0023186993324908933
111	ни	0.0023179067822254773
112	понятие	0.0023102487562637235
113	женщина	0.0022803607117965023
114	роман	0.0022763705751569175
115	язык	0.002273563761245891
116	теперь	0.0022546288172933366
117	сообщение	0.0022430889760523647
118	разум	0.002235115408979585
119	твой	0.0022274372814037944
120	снег	0.0022230918745670745
121	закон	0.0022157883348324536
122	который	0.0022045758528669497
123	экран	0.0021989264468994635
124	проза	0.0021912011187700474
125	пуля	0.002188552448463087
126	второй	0.0021825522470578958
127	адам	0.0021661661545934628
128	уважение	0.002157617233582487
129	миг	0.0021560861709115564
130	передача	0.002151560843640527
131	смерть	0.002149514305601733
132	враг	0.002140124030978742
133	народ	0.002097058915704997
134	юрий	0.002096246099111563
135	телевизор	0.0020944331282587354
136	только	0.002093965446495077
137	слон	0.0020930332473653203
138	беда	0.0020918677008354256
139	другой	0.002089135669564548
140	демон	0.002083068821100315
141	этот	0.0020830588211182732
142	уходить	0.002078445838070834
143	кровь	0.0020706986430863105
144	просто	0.00207020094917607
145	наш	0.0020681704034928128
146	нож	0.002067284507290668
147	обманывать	0.002064503206107662
148	вдруг	0.0020585688328017245
149	снова	0.002057792569576773
150	день	0.0020502929846616383
151	виктор	0.0020411730793189462
152	12	0.002039938948216282
153	сказывать	0.002035710285406421
154	Вик	0.002027366373521246
155	где	0.0020026095012626428
156	ходить	0.0020006156125263507
157	новый	0.0019984752487158955
158	удалять	0.0019893162711062647
159	там	0.001984242141621994
160	организм	0.0019832263706315197
161	ад	0.0019814152705411644
162	ум	0.001980467914030964
163	э	0.001978153246216262
164	палец	0.0019718171425182622
165	нто	0.001965758398324155
166	проблема	0.0019578634094292733
167	путь	0.001957692135775407
168	видеть	0.0019568545430601867
169	ждать	0.0019512339645311693
170	век	0.0019490701868678229
171	толк	0.0019419431805113671
172	когда	0.0019417143983940126
173	похожий	0.0019214522737340009
174	рисунок	0.0019134737344713298
175	скоро	0.0019060106455226948
176	тело	0.001893454710038265
177	мечт	0.0018896098042523758
178	право	0.0018894521206333124
179	правда	0.001874164311271068
180	сон	0.0018732284979298532
181	читать	0.0018725213297979353
182	бывать	0.0018663185463008312
183	знать	0.0018650763517658704
184	бес	0.0018599572193382923
185	**	0.0018572702901663582
186	сам	0.0018556942858609005
187	очень	0.001850749347349511
188	брат	0.001837424766675725
189	чистый	0.0018354941919229023
190	х	0.0018317698384549286
191	пр	0.0018196326474478372
192	срывать	0.0018072387364634547
193	раз	0.0018006889469125537
194	смотреть	0.0017994177937697298
195	такой	0.001798434353272902
196	рвать	0.0017956037609673744
197	интернет	0.0017901937480836708
198	музыка	0.001785864090569753
199	смысл	0.0017806849777335576
200	верить	0.0017806355643510583
201	искусство	0.001780188794872713
202	девушка	0.0017781278184658038
203	вселенная	0.0017747461385171192
204	чтобы	0.0017725932948317617
205	пыль	0.0017700153042307769
206	нарушение	0.0017663874165212631
207	2010	0.0017633385870471756
208	брать	0.0017602516628288862
209	жизнь	0.001748706863681673
210	информация	0.0017439308522368385
211	весь	0.0017414170458157068
212	всякий	0.0017347668270077275
213	вирус	0.0017327821047878982
214	будущее	0.0017304546128924234
215	плюс	0.001725940723018239
216	час	0.0017252732764664463
217	советник	0.0017252002966530004
218	2015	0.0017232697606690867
219	забивать	0.0017200237169418373
220	русский	0.0017123448947755277
221	грязь	0.0017105915103884934
222	сеть	0.0017068475733967063
223	Библия	0.001702073578958889
224	деньги	0.001693522636979602
225	тёмный	0.0016888313552085859
226	иметь	0.0016778630127166358
227	иль	0.001664560918105485
228	стих	0.001662009571642961
229	собственный	0.0016483392080989315
230	успех	0.001643877995118558
231	становиться	0.001641889631734547
232	надеяться	0.0016379356973278026
233	объект	0.0016303059672725096
234	герой	0.0016296140601661361
235	рука	0.0016251019632519557
236	один	0.0016246078845014434
237	интеллектуальный	0.0016225773635912709
238	установка	0.0016165281816980987
239	ответ	0.0016147423581251898
240	книга	0.0016141155649408673
241	пора	0.0016114908513449008
242	=	0.001611163548062934
243	подруга	0.0016110234436658537
244	конец	0.0016064479396742334
245	навсегда	0.0016050933840572323
246	обмен	0.0016039898134900155
247	яд	0.0016013973830778143
248	вроде	0.0015957554186175355
249	давно	0.0015957542810901373
250	сладкий	0.0015925633081116046
251	земля	0.0015906152174248575
252	сказать	0.001577875800557382
253	мол	0.001577247275756891
254	труп	0.0015753640445411608
255	плакать	0.0015748345398052556
256	бежать	0.0015708331741919018
257	секрет	0.0015679863862413982
258	фото	0.001567804123821492
259	толпа	0.0015655221581737616
260	Витька	0.001564760839137938
261	гость	0.001563630531572914
262	сигнал	0.0015532400832879013
263	мальчик	0.0015495539792057674
264	восприятие	0.0015450514504862262
265	&	0.001544276587211732
266	сейчас	0.0015425071210016588
267	родина	0.001542182264829445
268	видать	0.0015374049673954483
269	Все	0.001536749047953397
270	нравиться	0.001526618223187497
271	пусть	0.0015243176190253668
272	почему	0.0015143427254800097
273	вопрос	0.0015137560395825447
274	мент	0.0015120354717901583
275	сестра	0.0015119257900526309
276	мнение	0.001510647218445316
277	энергия	0.0015049665062859656
278	эльф	0.0015045937541435185
279	наступать	0.001499848628266026
280	курить	0.0014996193518935315
281	ныне	0.0014994398262334553
282	поле	0.0014961848373637927
283	столько	0.0014958111030322363
284	хоть	0.0014946619233019733
285	существование	0.001489248413656659
286	картина	0.0014847417663292502
287	опять	0.0014845094726847721
288	импульс	0.001482585016689965
289	власть	0.0014825156006291744
290	покупать	0.0014802877680036423
291	надо	0.0014792862848980461
292	вера	0.0014785901392621527
293	летать	0.0014766214022661278
294	граната	0.0014711870406277322
295	мистер	0.001466800511553286
296	дерево	0.0014659991582228506
297	заявлять	0.0014645117739029388
298	стена	0.0014609356657274302
299	внешний	0.0014580492315123034
300	долгий	0.00145534448479214
301	уметь	0.0014512366658032988
302	модель	0.0014496415189005022
303	вагон	0.0014443264019958929
304	война	0.0014399887311751258
305	символ	0.0014371487898144253
306	сила	0.0014366930970605976
307	вид	0.001435495288723444
308	родной	0.0014336612847344699
309	натура	0.0014322223275697865
310	код	0.001431764630842333
311	предок	0.0014237685722638298
312	игрок	0.001423714065040202
313	зверь	0.001409690917387296
314	жаль	0.0014074455294224358
315	дарить	0.0014052619282371817
316	камера	0.0014029536143002916
317	про	0.0014028109043867575
318	ждти	0.001401619682021622
319	взрыв	0.0013969870876347106
320	прав	0.0013951478221542954
321	являться	0.0013948536709560702
322	мясо	0.0013946635221824613
323	зачем	0.0013944596632433064
324	здесь	0.0013935278591039576
325	включать	0.0013888548981942684
326	шеф	0.0013863773201932736
327	например	0.001384622767675942
328	знак	0.0013843574360450032
329	произведение	0.001380267108969066
330	капля	0.0013792306464312913
331	мастер	0.0013777331094122927
332	равный	0.0013763725339293405
333	внутренний	0.0013689927486639649
334	идти	0.001365060902534895
335	побеждать	0.0013641367493391473
336	участник	0.001358224831979282
337	говорить	0.0013572600416719449
338	сердце	0.001356544939824625
339	чувство	0.0013550874819919687
340	трава	0.0013550450865063332
341	дверь	0.0013540813521764508
342	большой	0.0013539712181273188
343	умирать	0.0013536943503979573
344	ухо	0.0013535289600206733
345	вода	0.0013521419614574595
346	взгляд	0.0013493739000109424
347	последний	0.0013472063340915056
348	главный	0.0013452057363680038
349	порог	0.0013450964104673375
350	лампа	0.0013412987704847477
351	выпадать	0.0013371795590338524
352	белый	0.0013331119692396706
353	момент	0.0013314683746148085
354	утро	0.001330924992038176
355	морда	0.00132955225118761
356	след	0.0013284397440041465
357	ощущение	0.0013249145588419603
358	правило	0.0013246918384829582
359	вечно	0.0013218467035577676
360	волос	0.0013190158086461973
361	пустой	0.001315757698582415
362	время	0.001315142845715978
363	свобода	0.001314228954905872
364	телефон	0.0013133372689351616
365	процент	0.0013130139095946067
366	создавать	0.0013121260487840498
367	корень	0.0013098168025208051
368	поезд	0.0013085116698592343
369	бар	0.0013083349502260606
370	товарищ	0.001307947546931016
371	детка	0.0013076112295247343
372	выключать	0.0013072326631650196
373	легкий	0.0013068726188687522
374	сознание	0.0013066022904907632
375	воображать	0.00130637464139738
376	море	0.0013054614480073753
377	казаться	0.0013032324129623272
378	з	0.0013030472229813227
379	находить	0.0013005682429903722
380	функция	0.0012989761725066909
381	нельзя	0.0012930536373857947
382	свой	0.001289857168547415
383	че	0.0012898166943917106
384	чей	0.0012871407945817032
385	возможность	0.0012867074964514763
386	фантазия	0.0012859732853613085
387	секс	0.0012847951125485326
388	кроме	0.0012847613062581056
389	ставить	0.0012801511613880117
390	предел	0.0012791079852063122
391	зуб	0.001278508117882974
392	отсутствие	0.0012781880021187051
393	доктор	0.0012776166591947527
394	б	0.0012756651073623341
395	яйцо	0.001274399528080617
396	очередной	0.0012741346923369876
397	цифра	0.0012715171200630398
398	хаос	0.001270054287783481
399	помогать	0.0012688577869935864
400	под	0.001267369183558787
401	горизонт	0.0012648420818765725
402	год	0.0012623098274704132
403	люк	0.0012616490320546331
404	собака	0.0012582388445911816
405	подниматься	0.0012563808098702647
406	каждый	0.0012562047994802354
407	претензия	0.0012559446614324303
408	провод	0.0012551771307154572
409	выстрел	0.001253826513953898
410	многие	0.00125296586181906
411	Петя	0.0012526732920853057
412	монитор	0.0012508924789107665
413	вампир	0.001248135688014877
414	слово	0.0012429563185568642
415	технология	0.0012425104120456722
416	маска	0.001242432715892255
417	пушка	0.0012398976780746299
418	тот	0.0012386429322226644
419	Эрик	0.0012334072331267542
420	боль	0.0012329791612237478
421	ход	0.0012304515697442564
422	спирт	0.0012298434277324248
423	29	0.0012294266291991384
424	сюжет	0.0012282958257483097
425	2011	0.0012268749672494888
426	ядерный	0.0012241622528069139
427	группа	0.001223044025249397
428	птица	0.0012216704052827785
429	живой	0.0012194923683233132
430	дура	0.0012175507148054526
431	Н	0.0012174678621056259
432	рай	0.0012166847612848524
433	хотеться	0.0012137297451843027
434	толкать	0.0012121720503037337
435	крым	0.0012077192372061275
436	замечать	0.0012063922155332858
437	мелочь	0.0012043105584349364
438	пульт	0.0012032520613256532
439	либо	0.0012014313452601499
440	малый	0.0012009008100883271
441	пс	0.001200607951023035
442	стакан	0.0012003518446417544
443	среда	0.0011995478926303063
444	урод	0.0011982392013408327
445	основание	0.0011965471148027175
446	чувствовать	0.0011947107891078933
447	голова	0.0011918251745089588
448	сколько	0.0011905544959960998
449	агент	0.0011879319353895299
450	стон	0.0011857809147175556
451	кот	0.0011826652483171284
452	минута	0.0011807535339331536
453	сахар	0.0011792739578273864
454	винтовка	0.0011781883681883983
455	добро	0.0011763699332584055
456	красный	0.0011757014371132795
457	куда	0.0011752654386976537
458	третий	0.0011741127535233595
459	противостоять	0.0011736913477760434
460	природа	0.0011717170324300218
461	дорога	0.0011700767783574372
462	реклама	0.0011688775350722329
463	вне	0.0011688251446740332
464	ползать	0.0011657637134981451
465	явление	0.001165247152461888
466	дорогой	0.0011639426751188025
467	Джек	0.0011635318282878172
468	старушка	0.0011626531347577805
469	тень	0.001159128203312539
470	убивать	0.0011588647965286318
471	розовый	0.0011531257408762753
472	коли	0.0011520769334440767
473	миллион	0.0011519225446922398
474	Ведь	0.0011511840009450112
475	письмо	0.0011492882557931543
476	хватать	0.001149019246274638
477	полный	0.0011483455619689237
478	компьютерный	0.001147662624674804
479	погода	0.0011475799486174545
480	перевод	0.0011468775025218001
481	повар	0.001145572522125824
482	раб	0.001144108740326253
483	себе	0.00114379154864692
484	некоторый	0.0011404420933001818
485	топор	0.001137454481061715
486	воин	0.0011366823358081384
487	чёрный	0.0011343945307181386
488	уголок	0.0011307852327204948
489	обычный	0.001130260548197135
490	игра	0.0011274888543263654
491	наркотик	0.0011273291147990967
492	клетка	0.001127026684125556
493	2008	0.0011268894209833752
494	a	0.0011250586763927018
495	пускай	0.001123192941788207
496	звук	0.0011217684898401775
497	ради	0.0011215068459598213
498	тоже	0.0011207118418388898
499	отравлять	0.0011184558283649497
500	автомобиль	0.0011144554018841868
501	человечество	0.0011139150915181976
502	необходимый	0.0011138290868334616
503	потому	0.0011123859716695205
504	вечный	0.0011085515554410022
505	пространство	0.0011082187952488874
506	позволять	0.0011059478917330066
507	команда	0.0011035068561704438
508	хотя	0.0011024799762257343
509	нибудь	0.0011018518030478845
510	сфера	0.0011017082895311038
