	feature	tfidf
0	,	0.06639363194554235
1	!	0.03125941482472599
2	и	0.02351520514233614
3	я	0.01880547750461635
4	мама	0.018633826001565892
5	в	0.014914125118406531
6	мороз	0.014395206896153048
7	он	0.014291107257358146
8	папа	0.012238681358223227
9	дед	0.012050173230933225
10	мы	0.011260139080118303
11	кот	0.01087675196883902
12	снег	0.010641920898844194
13	ты	0.010522662333824862
14	бабушка	0.010058343478266016
15	не	0.009899231442810871
16	дедушка	0.009561181763227651
17	на	0.009445705488169268
18	лес	0.009158857551778218
19	ёлка	0.00856070010081821
20	с	0.00751963394607094
21	девочка	0.007432249861106909
22	*	0.007358270507548765
23	она	0.007357509970161391
24	кошка	0.0072867061959887985
25	зима	0.0071408458926306385
26	подарок	0.006864508169751635
27	игрушка	0.006360172742596406
28	ребенок	0.0062136546983107945
29	сказка	0.006213096142095875
30	снежинка	0.006028675329190932
31	малыш	0.006024215637704915
32	мальчик	0.005976929519881076
33	спать	0.005962112527093108
34	а	0.0058403489824706235
35	играть	0.00577938647259128
36	лапка	0.005718139941129797
37	праздник	0.005610755251671553
38	маленький	0.005462920646853034
39	интернет	0.0053283858726167884
40	птица	0.00527388040630619
41	новый	0.00510012925052099
42	хвост	0.004962005697434562
43	вы	0.004961172896766883
44	год	0.004945589919754626
45	небо	0.004866626045073502
46	дом	0.004799336472246368
47	у	0.004732119023740559
48	они	0.004621853466673043
49	белый	0.0045528296070460345
50	быть	0.004498627636573258
51	кто	0.004485813079990033
52	волк	0.004483116906936584
53	друг	0.0044457401419139625
54	двор	0.0044053801514645835
55	Мишка	0.004356925384802975
56	собака	0.0041986655912212055
57	зверь	0.004176234647009968
58	ветка	0.0041106701319801875
59	елка	0.004038288873643199
60	ну	0.004026375890524966
61	12	0.003912039901742848
62	ветер	0.0038855881463145184
63	пушистый	0.0038707599543690656
64	волшебный	0.0038675603832734754
65	любить	0.0038233780611233057
66	Ваня	0.003801411579593096
67	http	0.0037499059392009995
68	что	0.003748948508244587
69	новогодний	0.0037416855877836024
70	ночь	0.0037320806899585448
71	медведь	0.0037019534518283066
72	лапа	0.003658204942040396
73	дерево	0.003652471250534019
74	очень	0.0036445727979310433
75	книжка	0.0036340959108230194
76	солнце	0.003623014061509131
77	чудо	0.003622414215387304
78	как	0.0036153201337467463
79	мой	0.0036133710259078937
80	нос	0.003586034189795117
81	ребята	0.0035797882172594587
82	школа	0.0035481609921892768
83	трава	0.003540492032166727
