	feature	tfidf
0	,	0.04553707016813895
1	книга	0.029452694945630298
2	автор	0.025452728173899708
3	ru	0.025136082448080906
4	http	0.024793967657491745
5	proza	0.021112804259803226
6	www	0.02033319265731249
7	рецензия	0.015969364350204594
8	произведение	0.014997605367648843
9	роман	0.014610962642229991
10	рассказ	0.014605931838947215
11	и	0.014249923523064827
12	читатель	0.013836887795260683
13	поэт	0.012805634795887493
14	герой	0.011407710268944991
15	писатель	0.011283317514897246
16	я	0.010215127971651541
17	литературный	0.010079839744589784
18	&	0.009817647573758054
19	художник	0.009702574021763518
20	в	0.009472295536351167
21	проза	0.009405857715891619
22	поэзия	0.00903066746741185
23	стих	0.008885939196578162
24	издательство	0.008718947118881036
25	сюжет	0.008518638454062227
26	!	0.007759644464231486
27	сборник	0.007607042315449124
28	текст	0.00747193790694215
29	страница	0.007380422140534097
30	2011	0.007360165534371607
31	стихотворение	0.007292844661370641
32	писать	0.007157952735010255
33	не	0.006994975874369035
34	русский	0.0068662499017504335
35	читать	0.006770355930299779
36	конкурс	0.0065867850295708704
37	повесть	0.0063775463157858675
38	серия	0.006328769857971913
39	публикация	0.006276022378670455
40	литература	0.006102186931071922
41	2016	0.0060235807717808456
42	12	0.005781773790175545
43	журнал	0.005772742696108893
44	2010	0.005702037724741885
45	персонаж	0.005681487461012103
46	2015	0.005506030812280379
47	стихи	0.005438198758211188
48	1	0.005303278461851412
49	книжка	0.005162892770937281
50	ракета	0.005144556752671314
51	история	0.005139445482129185
52	строка	0.005128983154272709
53	з	0.0050531285194208575
54	08	0.005013408688218909
55	поэтический	0.0050078506644238045
56	ты	0.004962502297552834
57	жанр	0.0049559591654076175
58	творчество	0.004924657146992231
59	издание	0.004892101260340308
60	*	0.004881531175280183
61	елена	0.004804852474855207
62	03	0.004670238422755906
63	на	0.004622571940952861
64	она	0.004621492269347396
65	09	0.0045611710470106
66	вы	0.004528138729655688
67	александр	0.004503908539336992
68	чтение	0.004493557593777157
69	що	0.004345652597873084
70	год	0.0043213980265373615
71	сказка	0.004260527754038201
72	сайт	0.0041891855617028914
73	2009	0.004182046266606337
74	2014	0.004154756878270485
75	Х	0.004080100187709009
76	что	0.003977426794543337
77	том	0.003915722079045763
78	наталья	0.003877520036722062
79	алексей	0.0038025102514974195
80	який	0.003748551747898004
81	2017	0.003710028256034787
82	стиль	0.003602479618205706
83	статья	0.0035571283514624396
84	глава	0.0035546592188962184
85	союз	0.0035446668064374395
86	владимир	0.0034690899013331247
87	й	0.00333254926397204
88	у	0.003323716245343578
89	любовь	0.0033188607741835253
90	то	0.0033139805196501543
91	м	0.0032649411817339594
92	газета	0.003255526645547291
93	прочитывать	0.0032540898763531814
94	мы	0.003251584955454257
95	игорь	0.0032368374063660643
96	проект	0.0032365405068818954
97	3	0.003226613209841846
98	01	0.0032014755965000022
99	р	0.003197995586227157
100	10	0.003173506828609606
101	о	0.0031268872867390024
102	выпуск	0.0031110994590931662
103	они	0.0031066615208794985
104	он	0.003104490362171301
105	06	0.0030839842025829484
106	16	0.0030459150352836048
107	формат	0.0030456034472493257
108	участник	0.003043598333706705
109	2013	0.003018237199150595
110	юрий	0.0030139946877470875
111	километр	0.002990381204949264
112	рисунок	0.0029748777164200933
113	премия	0.002974682513194304
114	перевод	0.002970927480577252
115	де	0.0029699191882702728
116	04	0.002959330587000318
117	11	0.0029541955065190257
118	творческий	0.0029533778246312683
119	быть	0.0029201699523163107
120	т	0.0029171003227571983
121	23	0.0029121495766387066
122	2008	0.0029039536279656763
123	михаил	0.002896979721773722
124	юмор	0.0028879837722197302
125	**	0.002873725423995881
126	друг	0.0028266369557991434
127	02	0.002812641433672495
128	самолет	0.0028103907858187914
129	москва	0.0028044766265149625
130	описывать	0.0028004675900965116
131	интернет	0.002800064978684325
132	фильм	0.0027923634686648994
133	библиотека	0.002761677508357694
134	проз	0.0027596306609292817
135	искусство	0.0027569864472011645
136	россия	0.0027355858357393835
137	нет	0.002720432443093401
138	05	0.002703405966068801
139	олег	0.0026869861347072993
140	художественный	0.002685754945092116
141	пушкин	0.0026852765143873664
142	как	0.0026689737739826933
143	мир	0.0026546967022199083
144	современный	0.002648615473457397
145	про	0.002606553647949082
146	исторический	0.002567254683850661
147	2012	0.002560120260472057
148	стр	0.0025599542358534177
149	дмитрий	0.002554100167596428
150	сердце	0.0025249557726737446
151	максим	0.0025057582196940497
152	вд	0.0024946564329047694
153	сергей	0.002466177955181935
154	участие	0.0024379431725415927
155	мой	0.0024006724888386193
156	вид	0.0023984356835155666
157	идея	0.0023967395536698102
158	описание	0.0023926389914190123
159	9	0.0023916277070138415
160	редактор	0.002385811028988234
161	com	0.002377087868868871
162	авторский	0.002366185067889068
163	2	0.002342756050027487
164	ваш	0.002338936733023414
165	человек	0.00232477115045338
166	рукопись	0.00231923274117639
167	тут	0.0023168839161410316
168	слово	0.002315675138698882
169	31	0.0023044662434486616
170	ольга	0.0023021753492554666
171	событие	0.002281549472090617
172	29	0.0022814869385379298
173	любить	0.0022660630290307266
174	клуб	0.0022522469121713912
175	понравиться	0.0022287595253834658
176	ждать	0.0022224034913211873
177	ра	0.0022187851886293943
178	критика	0.0022180877426547646
179	иван	0.002205371634165863
180	а	0.0021793980739619476
181	да	0.0021720276255635406
182	с	0.0021603961251015114
183	повествование	0.002158203269544669
184	советский	0.002155167713282993
185	встреча	0.00215349143083772
186	of	0.002144581868840946
187	людмила	0.002137726959352781
188	часть	0.0021359735658792863
189	диалог	0.0020917258288251
190	интересный	0.0020785820541442414
191	жизнь	0.0020760993400024343
192	ребенок	0.002074464446172269
193	эмоция	0.002064248519659658
194	уважение	0.0020512238201153216
195	лена	0.002049777918952839
196	тот	0.0020445632986615904
197	цель	0.002041262690447738
198	фантастический	0.0020399518857865447
199	список	0.0020274898419656547
200	но	0.0020200815147358793
201	сибирь	0.002012079466247491
202	желание	0.0020078889900448033
203	тема	0.0020043981590423384
204	данный	0.0020039427354508585
205	песня	0.00199227407070419
206	самолёт	0.001991686305483199
207	андрей	0.0019827570319457246
208	григорий	0.0019794431660720914
209	Ваш	0.0019719924064755695
210	война	0.0019716353845310904
211	ца	0.001966768272320447
212	город	0.001960415057697283
213	н	0.001959127501174717
214	смысл	0.001957966329895889
215	октябрь	0.0019508862533965238
216	4	0.0019439543065051473
217	однако	0.0019307661248496126
218	34	0.0019284394732773838
219	17	0.001921334469886325
220	О	0.0019206028254423442
221	the	0.0019151045998976558
222	боевой	0.0019042070758199937
223	п	0.0018978479609409649
224	жизненный	0.0018976558397862631
225	это	0.0018553641254617607
226	все	0.0018537965182967436
227	девочка	0.0018515937927131164
228	вот	0.001849223986505715
229	воспоминание	0.0018342117204620703
230	подарок	0.0018192128842214519
231	многие	0.001806641769974734
232	корабль	0.001805952697782939
233	новогодний	0.0017999251056256313
234	также	0.001791123289789679
235	твой	0.0017907793794884077
236	князь	0.001787587974174067
237	йый	0.0017866643106434058
238	порой	0.0017826877580866087
239	здесь	0.0017749975491832934
240	душевный	0.001769850109937323
241	лес	0.0017649452130587082
242	рисовать	0.0017625374373958858
243	15	0.0017586742673749752
244	область	0.0017560409320188633
245	предназначать	0.0017516836204960258
246	тонна	0.0017510442245409503
247	игра	0.0017497288436602951
248	номер	0.001744581417934132
249	европа	0.001744145510501909
250	6	0.0017403870177766074
251	ссылка	0.0017286604268458175
