	feature	tfidf
0	,	0.06767051799004643
1	the	0.04650290094838172
2	and	0.037171166803723815
3	in	0.029027724036642794
4	of	0.028989856619070522
5	a	0.028951142257164032
6	to	0.024623874482265277
7	я	0.024297570613664
8	перевод	0.021571353973118993
9	you	0.020221197397644223
10	i	0.01976913365729466
11	ты	0.017146211149985036
12	що	0.017025379447080966
13	is	0.016921936434369674
14	*	0.015484093181000405
15	и	0.015286161201456323
16	it	0.014395556131949485
17	з	0.014219084220929733
18	!	0.013746952348102788
19	me	0.013436264289891586
20	that	0.013306329329714794
21	s	0.013036442658349445
22	не	0.013009062575990283
23	on	0.012916085714898535
24	в	0.012878449854325878
25	by	0.012857762367638059
26	with	0.012719063092619795
27	for	0.012624163295758174
28	not	0.01257287591367053
29	from	0.011660214918599943
30	la	0.01165893201274069
31	http	0.01147791644444745
32	all	0.01144378530054832
33	www	0.01128636828189382
34	be	0.011119462366183587
35	ru	0.010895215742505663
36	t	0.010703009729000509
37	was	0.010333044538821303
38	my	0.010257356967085367
39	proza	0.010027814529787765
40	de	0.009882555169214234
41	як	0.009879111122504529
42	are	0.00890876497587448
43	мы	0.008871571662433285
44	2011	0.008622437877315614
45	12	0.0077615044701675765
46	мой	0.007374093399711292
47	й	0.0073524264027684675
48	який	0.007201776840986693
49	he	0.006853312574608487
50	он	0.0067988976377061855
51	на	0.006728002745809702
52	as	0.006695143568671475
53	his	0.006653706169227685
54	любовь	0.006645168744260319
55	ца	0.006632311931656633
56	have	0.006622401462064277
57	m	0.006606153931950914
58	this	0.0065761733926341425
59	что	0.006525272201201883
60	ть	0.00649939859137745
61	твой	0.006476931018000456
62	at	0.006001277819100653
63	буть	0.005898175538907868
64	страница	0.005864861137133212
65	де	0.005770293610318207
66	оригинальный	0.0056676878310018535
67	вы	0.005520312948323411
68	с	0.005476291146655068
69	l	0.005307909738333285
70	украинский	0.005302779919588737
71	йый	0.0052256517101483034
72	сердце	0.005187946227811688
73	вн	0.005186268455608404
74	has	0.005141955578643533
75	она	0.005132650217747299
76	стихотворение	0.004868092839484259
77	мен	0.004738332995803296
78	мена	0.004696423904042958
79	вд	0.00464963623152917
80	у	0.004626355898288557
81	о	0.004462312261038188
82	душа	0.004429956816325942
83	Book	0.004336070930845178
84	тот	0.004321500151642617
85	английский	0.0042889153698689115
86	быть	0.004285629028795284
87	это	0.00423164995913145
88	текст	0.00419814392204293
89	ночь	0.00419101262168017
90	ще	0.0041365084824646434
91	коли	0.004132039857906129
92	а	0.0039934023790108245
93	то	0.003992012643303725
94	world	0.0039743574402038495
95	песня	0.003904503857037988
96	небо	0.0038987316140139928
97	o	0.0038978451688835144
98	н	0.0038796402832464204
99	любить	0.0037045809731633874
100	над	0.003610615622394855
101	но	0.0035406679349299754
102	пусть	0.0034860637153291503
103	автор	0.0034424707694668223
104	так	0.0033673885432481962
105	солнце	0.003301415606284786
106	кто	0.003300640670824928
107	бы	0.003298769310777098
108	снег	0.0032962297423106395
109	бир	0.0032883086683454313
110	когда	0.003251349822744809
111	друг	0.0031997701500959186
112	ал	0.003167058736711899
113	земля	0.0031606864062311813
114	сон	0.003117390906160399
115	бог	0.0031124121416630417
116	n	0.003077212208015957
117	печаль	0.0030416773852546893
118	р	0.0029603122642974803
119	бо	0.002948502407557101
120	поэт	0.002929097631683008
121	дождь	0.0029108966145016367
122	за	0.002897875232575767
123	как	0.002874999101538739
124	они	0.0028449485727932667
125	иль	0.002831930042340168
126	ветер	0.0028012854485079445
127	e	0.0027973166351151933
128	ма	0.0027903879564545836
129	язык	0.002720925635736342
130	***	0.002686943687729241
131	смерть	0.0026736273820520294
132	человек	0.0026677174322061992
133	11	0.0026428592531298287
134	господь	0.0026332930666287087
135	книга	0.0026266799052046845
136	про	0.0026119861947356917
137	все	0.002579409884911408
138	жизнь	0.002512593964773766
139	писать	0.0024496101735871846
140	знать	0.002436183390608895
141	слово	0.002428452035930698
142	или	0.0024219751052472712
143	река	0.0024080246487665135
144	один	0.002386360689317678
145	весна	0.002381443274275609
146	день	0.002378059977348618
147	счастье	0.002359144890027702
148	мир	0.0023393698714420275
149	свой	0.002331710624919169
150	ангел	0.002329268487295016
151	2017	0.0023073382371373435
152	король	0.002307334605122958
153	трава	0.0022969468852722056
154	без	0.002296370434942871
155	сказать	0.0022900083575478924
156	от	0.0022887287312512395
157	осень	0.0022710563260410887
158	тень	0.002263778086064323
159	2013	0.002251209240267747
160	мечта	0.002249376965875295
161	боль	0.00224747181098249
162	вечный	0.002241716816449661
163	себя	0.0022389117989672497
164	луна	0.002236453508642693
165	гора	0.002225907522018139
166	лес	0.002209170850372563
167	лишь	0.0022027592336309122
168	свет	0.002197653043495408
169	тоска	0.0021731258538438924
170	снова	0.0021496009733924237
171	м	0.0021377298101944472
172	сад	0.002133937540703254
173	**	0.0021287441783516305
174	белый	0.0021271040632200853
175	стих	0.0021183005868555785
176	птица	0.0021177822224535503
177	ч	0.0021063595406717686
178	нет	0.0021063186695966093
179	поле	0.0020927935308709517
180	ни	0.002090678770124237
181	брат	0.0020825901230072
182	произведение	0.0020627766654681425
183	дерево	0.0020557118666191393
184	Господ	0.002050753637799425
185	чтобы	0.002048805586709626
186	море	0.002041925832052793
187	рука	0.0020117294723745053
188	мочь	0.0020106907342271165
189	ибо	0.0020014385779461444
190	весь	0.0020012018718299682
191	этот	0.0019918630146339806
192	год	0.0019841748744451803
193	музыка	0.0019821846641397737
194	петь	0.0019733311825486585
195	прощать	0.0019707562296718156
196	рай	0.0019505000155439385
197	где	0.0019437174613568516
198	ваш	0.0019365833621794437
199	великий	0.001931025298110652
200	плакать	0.0019261245184792558
201	иногда	0.0019246714322591662
202	умирать	0.001920188713757182
203	думать	0.001918433309983384
204	com	0.0019178532977875433
205	е	0.0019174161987517751
206	если	0.001888547537590686
207	мать	0.0018714437718555718
208	приходить	0.0018683900488286566
209	поэзия	0.0018658228467593955
210	ать	0.0018588434913694176
211	миг	0.0018559854662885652
212	тобой	0.0018468754035645472
213	au	0.0018321246182800089
214	пламя	0.0018299957180108206
215	п	0.0018287936561306726
216	мечт	0.0018239391219684346
217	огонь	0.0018225202904148816
218	словно	0.0018144535386473359
219	цветы	0.0018127144477159565
220	слишком	0.0017959112589925714
221	прекрасный	0.001789211548322382
222	нужный	0.0017814551237063786
223	душ	0.0017794324994767651
224	грех	0.001777025371543506
225	из	0.001767324504882404
226	14	0.0017553431167930352
227	16	0.0017397550991226707
228	тепло	0.0017277792007181073
229	08	0.0017210729555851496
230	туман	0.0017184056691992328
231	вода	0.0017155953517034666
232	да	0.001714145920420428
233	мерзкий	0.001713717695130469
234	верить	0.0017127727639493116
235	2	0.0016959952262458773
236	немый	0.0016941045443986608
237	мистер	0.0016812373897897874
238	аромат	0.0016788430507771886
239	глаз	0.0016765904656726822
240	смертный	0.0016764242873816282
241	же	0.0016751139756662268
242	страх	0.0016710569563702388
243	фон	0.0016630548115076761
244	небес	0.0016622131768189012
245	здесь	0.0016609929828033188
246	звезда	0.001659467454213986
247	враг	0.001658801181733008
248	рыцарь	0.0016543431435850524
249	к	0.001653916406747242
250	тихо	0.0016416870565012364
251	золотой	0.0016319795109031314
252	красота	0.001629527250291458
253	дорога	0.0016198317916144337
254	отец	0.001618753880444092
255	до	0.001618670738372023
256	по	0.001617796622423985
257	вершина	0.0016112922682746012
258	час	0.0016086721534615054
259	ребенок	0.0016053523661224115
260	06	0.001600632645682275
261	русский	0.0015969436998892609
262	всегда	0.001592896856862529
263	старик	0.0015926883258221864
264	04	0.001588915017265829
265	для	0.0015881285709176578
266	грусть	0.0015879988284927692
267	пока	0.0015879003840979463
268	видеть	0.0015868015912838694
269	хотеть	0.0015835389090695482
270	&	0.0015782952567463364
271	х	0.0015773364384643936
272	M	0.0015561506856694547
273	зима	0.0015491184422574222
274	милый	0.001534705469884224
275	время	0.0015269301218503388
276	только	0.0015249106742670185
277	рок	0.0015214696868099786
278	уходить	0.0015207870542208195
279	говорить	0.001513083886868036
280	разум	0.0015127810321123461
281	каждый	0.001508151149560961
282	никогда	0.001505860327501427
283	там	0.0014978144612291214
284	лист	0.001497465206991366
285	конь	0.0014864681818584778
286	утро	0.0014849880067701747
287	2015	0.0014839251856699743
288	юноша	0.00148297493574494
289	чёрный	0.001482949328295903
290	М	0.0014783692968646988
291	05	0.0014781550987573381
292	край	0.001461310187707299
293	просить	0.0014608664043638865
294	пустой	0.0014589524288072188
295	тут	0.0014578839017360546
296	се	0.0014565095907081464
297	идти	0.0014552757302782793
298	сам	0.0014446979353331022
299	спрашивать	0.001444217845563448
300	наш	0.0014405111558746318
301	группа	0.0014355052203111661
302	меж	0.0014352901410893454
303	понимать	0.0014260399139984336
304	слеза	0.0014246756254563573
305	ад	0.0014227545392935434
306	взгляд	0.0014166067514980738
307	новый	0.0014136686254839208
308	одинокий	0.0014134161503132616
309	уж	0.00141136405175304
310	имя	0.0014097004267065337
311	вновь	0.0014061146310624657
312	ведь	0.0014040704781848534
313	слёз	0.0014000489264021558
314	игра	0.0013986338932629745
315	подарок	0.0013930325063040382
316	вечность	0.001390037540943436
317	племя	0.0013883310838984672
318	среди	0.0013871968258878224
319	холодный	0.0013850822663714828
320	13	0.0013824078181522796
321	который	0.0013815435064209918
322	крыло	0.0013814356410646812
323	противный	0.0013786585793652598
324	остров	0.0013778992467488932
325	вино	0.0013752292291609413
326	тьма	0.0013734796808966044
327	мама	0.001372862035435802
328	немецкий	0.0013710810560658494
329	французский	0.0013690187727822703
330	мост	0.0013593324895210285
331	уставать	0.0013593218442473963
332	радость	0.0013574592945983415
333	ждать	0.0013552256877699925
334	народ	0.0013538939549923446
335	дух	0.0013495149213915466
336	01	0.0013488692357183922
337	3	0.0013481143467127406
338	змея	0.0013472915304731435
339	ну	0.001343727090602646
340	род	0.0013436242626442313
341	19	0.00134162274363462
342	оно	0.0013403426140070679
343	век	0.0013390806278082048
344	мое	0.0013329454495957975
345	беда	0.0013252166658471334
346	мя	0.0013251514115689609
347	письмо	0.0013238157711386053
348	находить	0.0013219750184669118
349	играть	0.001318747918600789
350	след	0.001318166475734268
351	2014	0.0013179064064810792
352	путь	0.0013148706550025892
353	2012	0.001314645868682981
354	царь	0.0013141490735257854
355	29	0.0013112000405555537
356	коль	0.0013094385384924488
357	мрак	0.0013086869692124556
358	4	0.0013059618371895798
359	холод	0.0013058516355269505
360	О	0.001305344383108992
361	океан	0.001305170235363777
362	память	0.001303330937911093
363	лететь	0.001295258248868914
364	проза	0.0012944005597617743
365	сладкий	0.001292902843134989
366	б	0.0012916892334567038
367	дитя	0.0012896956679648852
368	жить	0.001287545091653806
369	цветок	0.0012873666081915799
370	тихий	0.0012862017026871535
371	покой	0.0012858365888878233
372	нести	0.0012777771946419607
373	судьба	0.0012768623816809099
374	чудо	0.001274816413598827
375	сказка	0.0012736375155598255
376	женщина	0.0012653115040738004
377	тишина	0.0012631715774420597
378	хор	0.0012624338575079254
379	степь	0.0012620089486003886
380	есть	0.001260438564958897
381	праздник	0.0012559096732103808
382	вечер	0.001253669923713536
383	Мария	0.0012516172377400193
384	черный	0.00124945782459882
385	ра	0.0012473988810001793
386	раз	0.0012413245273852163
387	голос	0.001241100073716659
388	святой	0.0012380126394829372
389	7	0.0012343510952632494
390	живой	0.0012337888606960535
391	09	0.0012330660033910837
392	много	0.0012297818786434777
393	почему	0.0012253767258616204
394	город	0.0012243705299325852
395	1	0.0012215850952812574
396	другой	0.001220278385283779
397	тайна	0.0012201164937057237
398	вселенная	0.0012175262037866892
399	воля	0.001216167063438087
400	папа	0.0012124106488739523
401	сквозь	0.001209518753632378
402	вечно	0.0012094507177834192
403	звук	0.0012082862623749174
404	губа	0.0012062465585249802
405	холм	0.0012060001998221539
406	давать	0.001201359188453328
407	плохой	0.0011989392080428733
408	чем	0.001198931278880836
409	ритм	0.0011939902869536891
410	дверь	0.0011927245872202666
411	гореть	0.0011923860361934832
412	ветка	0.0011916598082666002
413	6	0.0011899195324182258
414	роза	0.001187123395382293
415	смотреть	0.001185638099272846
416	польский	0.0011849535969475876
417	лед	0.0011841493831949356
418	волна	0.0011814801150137326
419	кролик	0.0011796058005259917
420	наверное	0.0011780738325249526
421	навсегда	0.0011727453514668543
422	читатель	0.0011719720137995083
423	озеро	0.0011712477527865354
424	переводчик	0.0011697227767151221
425	лето	0.00116915405781406
426	ответ	0.0011626656314338971
427	владимир	0.0011586809225715064
428	сегодня	0.0011582558558763437
429	уст	0.0011581515541749024
430	желанный	0.0011577057367816433
431	ли	0.0011551148430853438
432	лошадь	0.001153842625494356
433	потому	0.0011523692804718169
434	искать	0.001152013980118817
435	рыбак	0.0011515995352798514
436	такой	0.0011471818791845738
437	уже	0.0011471390883928745
438	долина	0.0011464652841020767
439	строка	0.0011447076083676093
440	горло	0.0011441720431304122
441	под	0.0011434750694501133
442	ось	0.0011419669071315228
443	меч	0.0011413486616522
444	падать	0.001134495879307206
445	шкура	0.0011333182745797443
446	желать	0.0011329810181637317
447	камень	0.0011319173316901145
448	странный	0.0011309970788641738
449	вон	0.0011303602215415331
450	лунный	0.0011300787724954076
451	5	0.001129110317409195
452	пещера	0.0011266552143137936
453	читать	0.0011240695911220355
454	пан	0.0011159605012897667
455	кричать	0.0011131328252832575
456	зачем	0.0011119309154886188
457	даже	0.0011096476848237152
458	однажды	0.001108560568672893
459	страсть	0.0011052614063640595
460	господин	0.001104373586037033
461	пойму	0.0011032218737128555
462	ничто	0.00110042849134965
463	еще	0.0011003626503649287
464	взор	0.001099931285576738
465	конец	0.001099144615758238
466	жена	0.0010989013050407429
467	ах	0.0010977743948788637
468	рождество	0.0010972393391115776
469	твое	0.001091426720406211
470	никто	0.0010907814289368948
471	дом	0.0010903916288712418
472	07	0.0010899441841763558
473	мужчина	0.001087605342852506
474	луг	0.0010850456660134518
475	мука	0.001084787042781473
476	корабль	0.0010817350554358993
477	два	0.001081352047685919
478	сын	0.00107901181671374
479	св	0.0010787127467132306
480	летать	0.0010786948427307973
481	завтра	0.001077679909518175
482	молитва	0.0010742383299829007
483	мечтать	0.0010735303844756783
484	вокруг	0.001071235423011428
485	терять	0.0010669112331560292
486	23	0.0010665067865756803
487	рассвет	0.0010660184446079778
488	доктор	0.001060566938882983
489	прах	0.0010596381387739258
490	цвет	0.0010592755578023604
491	танец	0.0010585503695107108
492	разве	0.0010565866848069013
493	фото	0.0010558720370942023
494	горький	0.0010481712368283027
495	сэр	0.0010481493849371613
496	кровь	0.001048125438874949
497	03	0.0010457497851010219
498	пора	0.0010448962398810133
499	вместе	0.001043507941736899
500	нежный	0.001042693780994285
501	бль	0.001041029864730193
502	лодка	0.0010397179275153333
503	красивый	0.0010396928953074795
504	9	0.0010364612246963989
505	8	0.0010352056265016524
506	т	0.0010334397958397278
507	v	0.001032649876660636
508	пить	0.0010297069000006628
509	тчк	0.0010274361542144208
510	чужой	0.0010271961331641025
511	через	0.0010264126227842835
512	чистый	0.0010240464559623588
513	роман	0.0010193184003972641
514	снежный	0.00101454935875138
515	принц	0.0010139920998277164
516	любимый	0.0010138660011961874
517	давно	0.0010131123328984777
518	нога	0.00101091249412227
519	лик	0.001010145256533568
520	зло	0.0010081471590712666
521	надежда	0.0010062067837617703
522	закат	0.0010050120515768847
523	ее	0.0010049567098576913
524	10	0.0010036299564568536
525	будто	0.0010009661106324464
526	сн	0.001000723616524647
527	вдруг	0.0009997382221669522
528	красный	0.0009961524023851622
529	бывать	0.0009883924293932155
530	собственный	0.0009861683902442514
531	страна	0.0009824468991708453
532	становиться	0.0009799217867297145
533	ладонь	0.0009760627843749626
534	миллион	0.0009740744757735119
535	страдание	0.0009740581403055036
536	улыбка	0.0009739808137309055
537	начало	0.0009736011269329013
538	дым	0.0009714369949294097
539	вчера	0.0009658596254397279
540	28	0.0009655088973107989
541	скоро	0.0009645244141489466
542	божественный	0.0009643411748805891
543	декабрь	0.0009636739508679053
544	неб	0.0009630416433306846
545	2016	0.0009630251831418692
546	крик	0.0009626785855001883
547	дарить	0.0009606967681736581
548	небесный	0.000959577097031326
549	бытие	0.0009594976529623862
550	даровать	0.0009592444149790309
551	спать	0.0009587522911052203
552	закон	0.0009586775854080616
553	шаг	0.0009582159986728048
554	старый	0.0009574394640274731
555	ночной	0.0009572295671512098
556	интересный	0.0009560588878285436
557	21	0.0009538539325239409
558	вдаль	0.0009533378433790419
559	грязь	0.0009530067292577298
560	разный	0.0009503325571880338
561	призрак	0.000948445137758607
562	пр	0.0009476409914076606
563	грудь	0.0009470398401684815
564	берег	0.0009466798062394594
565	большой	0.0009457676887903414
566	война	0.0009453678246465425
567	невидимый	0.0009429962947090752
568	прочь	0.0009421485528662908
569	сей	0.000940510156425838
570	лицо	0.0009381838592436866
571	слушать	0.000937572188712736
572	кой	0.0009306478218598642
573	туда	0.0009304302582144395
574	интернет	0.0009300340123242233
575	гнев	0.0009280248894370076
576	образ	0.0009265989231970041
577	ль	0.0009238576416827851
578	д	0.0009235820880016589
579	милость	0.0009231784891217759
580	звёзд	0.000922200644726498
581	порой	0.0009221140741718456
582	звать	0.0009200657393881104
583	истина	0.0009189869788388956
584	скрывать	0.0009180570858264515
585	темнота	0.0009173986597906402
586	А	0.0009166499743906375
