	feature	tfidf
0	,	0.04553993020247453
1	литература	0.0270432306001606
2	литературный	0.024648235501876437
3	произведение	0.02340268798431202
4	поэт	0.018983909253551666
5	автор	0.015189517647529722
6	писатель	0.014966881853022099
7	и	0.014271842344360033
8	роман	0.0124155755172416
9	текст	0.011655331922876742
10	стих	0.010676975949541359
11	поэзия	0.010475560974449181
12	стихотворение	0.010431866795796265
13	в	0.010090428515859695
14	книга	0.009686821243775616
15	читатель	0.009272462141272033
16	пушкин	0.008986362890334963
17	сборник	0.008599919466100782
18	http	0.008313122431527303
19	русский	0.0077875708387144605
20	ru	0.007737612592114873
21	творчество	0.007519657237668798
22	www	0.007320026586193666
23	лекция	0.007285639503220018
24	proza	0.006761724587414693
25	рассказ	0.006588964417257153
26	буква	0.006290549257083671
27	он	0.006288031555866466
28	стихи	0.006100087206886663
29	Пушкин	0.006083785945147384
30	поэтический	0.005635990889243163
31	*	0.005619968009878395
32	или	0.005454671583891643
33	герой	0.0054179787060677845
34	жанр	0.005358655694287659
35	я	0.005174789876160695
36	музыкальный	0.00515854283878103
37	проза	0.005062360010716535
38	!	0.004882326265255792
39	повесть	0.0047271101574601175
40	блок	0.004654836643639999
41	слово	0.004631357848595288
42	год	0.004464469265601406
43	12	0.004393853832177722
44	писать	0.004390281802346939
45	1	0.004313368237004441
46	**	0.004141213229215877
47	это	0.004040318577144825
48	не	0.004025554350740398
49	александр	0.003962491905484014
50	08	0.00394636527214704
51	чтение	0.003919154717955211
52	теория	0.0038585493540349743
53	ты	0.00383335383931446
54	интернет	0.0038296846274900476
55	01	0.003774048859955787
56	компьютер	0.003766268233526218
57	строка	0.003723543902393101
58	художественный	0.003705672966331275
59	дмитрий	0.003694891012119886
60	м	0.0036410284837093848
61	персонаж	0.003598867667705651
62	публикация	0.0035543795733118883
63	мастер	0.003538005201600159
64	который	0.0035142631939677725
65	о	0.0034733306045568904
66	03	0.003444234747505119
67	искусство	0.003430618631425049
68	для	0.0033656578651069646
69	сюжет	0.0033523985965161316
70	2	0.003330619183334491
71	значение	0.0033057983252009894
72	цикл	0.003284860165807785
73	язык	0.00327070067395732
74	перевод	0.003228489788156332
75	премия	0.003151759099161588
76	09	0.0031376131573106858
77	читать	0.0031349488506482812
78	редактор	0.002979573850436883
79	3	0.0029420990644095845
80	Л	0.0029191684127218773
81	любовь	0.0028991337935521107
82	что	0.002853814039660206
83	06	0.002838522342846354
84	10	0.002836519914751825
85	образ	0.00283611617813209
86	то	0.0028311559359931646
87	век	0.0028015319521609012
88	талант	0.0027723689165798
89	4	0.0027561550390544807
90	сергей	0.002739164115306719
91	05	0.0027257710677839426
92	сочинение	0.0027080921160897507
93	дневник	0.0026826600803354413
94	издание	0.0026709407241162614
95	журнал	0.0026492671266826473
96	интересный	0.002625011856278345
97	02	0.002624990369962785
98	сказка	0.0026096062998842233
99	2011	0.0025991438845669387
100	04	0.0025982890407630055
101	иванов	0.0025888197826514133
102	князь	0.002546428095259475
103	иван	0.002544841837000535
104	владимир	0.0025056961390391387
105	россия	0.002499544911748661
106	смысл	0.002485663473532359
