	feature	tfidf
0	,	0.03303457321651779
1	я	0.019034158678737645
2	и	0.012510308418312677
3	proza	0.009505861405453531
4	www	0.008399354605135132
5	ты	0.008308708014510544
6	в	0.008079046105387483
7	не	0.00800998979395715
8	дневник	0.007930559436944564
9	письмо	0.007908085516871988
10	http	0.0078098934472963484
11	ru	0.007540191515819917
12	мой	0.006708415336189978
13	!	0.006316196658128922
14	год	0.005923717889507875
15	друг	0.0051617881632123296
16	мама	0.004868053364641577
17	что	0.004766358559497476
18	*	0.004617893632570288
19	он	0.004528337568371832
20	на	0.004418658312690781
21	12	0.0043558222800665816
22	мы	0.004060711679021665
23	2016	0.004040603209419215
24	она	0.0038320656501020563
25	быть	0.003756159442792792
26	фото	0.0037169230435874973
27	институт	0.003336009755584264
28	госпожа	0.0032274066966478812
29	бабушка	0.0032144662461860533
30	ссср	0.0031724943468285243
31	папа	0.003099962124898156
32	2012	0.0030117621095107107
33	09	0.002970476319863416
34	выставка	0.0028733833511822493
35	школа	0.0028580208770828796
36	михаил	0.0027666797290963434
37	здание	0.0027649464242393202
38	твой	0.0027174310829383044
39	писать	0.002702001307760691
40	07	0.0026554587103932276
41	рисунок	0.0026253947917783916
42	корабль	0.0025814377773099727
43	любовь	0.0025520061611955984
44	командир	0.002549291280705162
45	то	0.00251827193132304
46	2011	0.00251631337935573
47	александр	0.002507270174534433
48	интернет	0.0024925643184735943
49	советский	0.0024821003190554397
50	декабрь	0.0024197744571943067
51	а	0.002396739564570038
52	ваш	0.002388584596065785
53	о	0.0023880601543495496
54	с	0.002373002894588786
55	любить	0.002362120784469472
56	книга	0.002353140993955786
57	город	0.0023314061526382157
58	01	0.002308826183305845
59	03	0.002306070742637524
60	война	0.002303799396157431
61	площадь	0.002295449875895805
62	класс	0.0022351758451975034
63	немец	0.0022080658204661
64	2014	0.0022077256796925017
65	В	0.0021731852918532375
66	й	0.002153083520818135
67	москва	0.0021499517599947115
68	2	0.0021474408433898
69	завод	0.0021421836842470928
70	2015	0.0020929319135574646
71	11	0.0020823440020427734
72	жизнь	0.0020822651796917795
73	отец	0.002077151515105942
74	поэт	0.002076226592916282
75	училище	0.0020736902157072554
76	все	0.00203050800770887
77	офицер	0.002020405830282388
78	высший	0.002011537869820473
79	13	0.0020000366605747804
80	театр	0.0019925666307368437
81	дом	0.001972503487802954
82	писатель	0.0019707846250678895
83	они	0.001959029179538743
84	вы	0.0019143429256321522
85	владимир	0.0018952833803107547
86	это	0.0018824197562610574
87	капитан	0.0018398747376709582
88	хотеть	0.0018207139192578734
89	25	0.001811316248020291
90	1938	0.0017859575100605402
91	дед	0.0017692082971407092
92	художник	0.0017687660099088066
93	человек	0.0017660706364666207
94	станция	0.0017318428115885977
95	газета	0.0017193533714931018
96	Артем	0.0017144072067241415
97	море	0.0017142737528653158
98	фотография	0.0017128488857772704
99	экзамен	0.0017104519109453443
100	А	0.0017027227931206879
101	10	0.001693544250016258
102	помнить	0.0016916176281545749
103	студент	0.001687706287932777
104	1	0.0016806723885187417
105	военный	0.0016755396887882315
106	концерт	0.001675009255391197
107	директор	0.0016672594607833816
108	экипаж	0.0016560644288811112
109	2013	0.0016542913573509115
110	поезд	0.0016279564076778126
111	прочий	0.0016275018892993984
112	04	0.0016240588396676586
113	мир	0.001620158753294962
114	искусство	0.0016165466112744167
115	улица	0.0016107365519116713
116	киев	0.0016101981240695237
117	30	0.00160256108080402
118	экспедиция	0.0015970027699360868
119	служба	0.0015907113482548341
120	05	0.0015842093285822327
121	ленинград	0.0015832260607448326
122	моряк	0.0015796316329028395
123	судно	0.0015780077738351945
124	энергия	0.0015679714336789036
125	стих	0.0015658076112500115
126	боевой	0.0015639571401553675
127	май	0.0015602365872133532
128	автобус	0.0015553734711382832
129	как	0.001551970417940952
130	борис	0.0015400278115144928
131	из	0.001537663488512025
132	статья	0.0015251252890841486
133	ребенок	0.0015215952561371876
134	бы	0.0015154008890700373
135	когда	0.001512662967926304
136	январь	0.0015120239388787737
137	машина	0.001498016784659583
138	берег	0.0014962619247700386
139	республика	0.0014950941982455643
140	музей	0.001494230125302599
141	т	0.0014905002734161147
142	песня	0.0014619018388778685
143	сердце	0.0014550697319085481
144	знать	0.0014539392618274946
145	фильм	0.0014508034854199775
146	е	0.001446574933568149
147	но	0.0014443359665329003
148	рейс	0.0014412835248423996
149	деревня	0.0014390479215459567
150	магазин	0.0014386163503465198
151	квартира	0.0014380848937826452
152	лаборатория	0.0014360158263483967
153	работать	0.0014336780436458414
154	порт	0.0014300325683928483
155	рубль	0.0014274407197261336
156	начальник	0.0014259709296211233
157	2010	0.0014237735728835196
158	сегодня	0.0014104353153831615
159	23	0.0014100584460359058
160	спектакль	0.001406132596010967
161	воспоминание	0.0014056749868444783
162	следовать	0.0014040952717736587
163	сестра	0.0013988335032152827
164	володя	0.001393410609295612
165	отделение	0.0013917571237365817
166	ноябрь	0.0013880542715162631
167	учительница	0.0013850273200639728
168	снова	0.001385002449345549
169	**	0.0013833974614877727
170	работа	0.0013813056570539514
171	день	0.0013765433087076506
172	посёлок	0.0013730133703119315
173	жить	0.0013717109837987696
174	стихи	0.0013601109230857707
175	сон	0.0013581249203916308
176	ни	0.0013571834367396892
177	союз	0.0013482566994249465
178	кафедра	0.0013460631087634759
179	тетя	0.0013419535997487252
180	П	0.001340700365915224
181	лекция	0.001340477023719124
182	общежитие	0.0013369441482278567
183	5	0.001336242511194623
184	тетрадь	0.0013340934812204144
185	боль	0.0013297871321371131
186	чувство	0.0013268433858652374
187	больница	0.0013253437059598252
188	пляж	0.0013187452874585616
189	господ	0.0013140141336213764
190	Нина	0.0013113088353364684
191	юрий	0.0013104868988283254
192	ирина	0.0013089093439791325
193	детство	0.001306832890927753
194	вера	0.0013056424406864924
195	каждый	0.001303064249234444
196	матрос	0.0013018806067262808
197	роль	0.0012910690731322467
198	новый	0.0012906339031751122
199	душа	0.0012904121073916805
200	снег	0.001287118215245755
201	немецкий	0.0012862984409215213
202	кто	0.0012768665715501067
203	глава	0.0012756494975618383
204	гостиница	0.001274810536334715
205	наш	0.0012736322166995379
206	вода	0.0012725801973821824
207	17	0.001269131330436345
208	08	0.0012646598253491458
209	дедушка	0.0012632856840155808
210	метро	0.0012609395662825226
211	вселенная	0.0012608396270848226
212	брат	0.0012606617814141508
213	любой	0.001258126235590776
214	2009	0.0012555161674768036
215	март	0.0012549358286201493
216	артист	0.0012544225756099625
217	реальность	0.0012523672771385783
218	вагон	0.0012518207339864164
219	технология	0.0012497922122350212
220	клуб	0.0012489550081817788
221	академик	0.001248649007312181
222	2017	0.0012440647511545188
223	1941	0.0012412350335190142
224	художественный	0.0012367868545795195
225	сайт	0.0012285029357501772
226	строительство	0.0012239302742408627
227	автор	0.0012203560851953832
228	ивановна	0.001218345216172983
229	сентябрь	0.0012173602754672098
230	свет	0.001216139831591915
231	творчество	0.0012140355211025097
232	группа	0.0012124888684833047
233	слишком	0.0012119944364174927
234	26	0.0012104533815721148
235	02	0.0012100283722179478
236	г	0.001209614691422116
237	академия	0.0011984359868652985
238	село	0.0011981497655157677
239	Галина	0.0011949770652946157
240	собор	0.0011936370601741916
241	сотрудник	0.0011909476811884487
242	армия	0.001185829995534149
243	сергей	0.0011822610184783777
244	учиться	0.0011813121876002143
245	юра	0.0011805717400549163
246	читать	0.0011802530018141524
247	лагерь	0.0011713906425042137
248	3	0.001168988325955296
249	комната	0.001167368943792108
250	снимок	0.001162114340504036
251	полк	0.0011610898744783304
252	урок	0.0011610847485078594
253	обман	0.00115974752881361
254	16	0.001153958398936467
255	цивилизация	0.0011482774964547784
256	детский	0.0011423230266562837
257	текст	0.00114171975549478
258	страшный	0.0011388489830736048
259	февраль	0.0011353017402769437
260	звонить	0.0011350536944508996
261	храм	0.0011344806194105985
262	по	0.0011341679771675781
263	еврей	0.0011319700321538086
264	так	0.0011295909505719024
265	сын	0.001126452153369558
266	совет	0.0011264287681619772
267	август	0.001124357284347021
268	палатка	0.0011232436765047725
269	к	0.0011196272092682162
270	университет	0.0011150455347190287
271	the	0.0011141409250147209
272	9	0.0011135109290461103
273	муж	0.0011125431745178317
274	команда	0.0011118677130055909
275	стихотворение	0.0011118547171722907
276	студия	0.0011116909730895656
277	небо	0.001110041964879109
278	семья	0.0011094702788523425
279	просто	0.0011086616080261693
280	который	0.0011076564397183406
281	контроль	0.001106984797094478
282	апрель	0.0011057420701007699
283	цех	0.0011052081601112809
284	или	0.001098104544084985
285	Таня	0.0010969965573711378
286	лейтенант	0.001095973723021004
287	колхоз	0.0010908913700682327
288	часть	0.0010907062416134804
289	вокзал	0.0010906959138584117
290	кпсс	0.0010889889989850472
291	научный	0.0010887303068462912
292	у	0.0010878868042708278
293	район	0.0010871680029051127
294	старшина	0.0010868452299039057
295	сталин	0.0010863253512573116
296	лодка	0.001085736576979677
297	свобода	0.0010833564602789779
298	себя	0.0010816183067235445
299	девушка	0.0010815469785702035
300	сборник	0.0010792286953754415
301	2008	0.0010779806922459612
302	Витя	0.0010773301776040585
303	рассказ	0.0010760815998130493
304	чувствовать	0.0010748381721945204
305	виктор	0.0010729890854652016
306	без	0.0010711600101612675
307	первый	0.0010707310747299552
308	мочь	0.0010683107739497206
309	борт	0.001067518705113735
310	музыка	0.0010670502984112121
311	июнь	0.0010646960974216204
312	этаж	0.0010646454353398552
313	женщина	0.0010625864946283783
314	19	0.0010625317431542216
315	мысль	0.0010605479852170683
316	самолет	0.0010549420416060796
317	уходить	0.0010503298050822674
