	feature	tfidf
0	,	0.09262208654172474
1	я	0.037511923208506215
2	и	0.03484814740978534
3	ты	0.02931976273712819
4	не	0.022721169823647414
5	!	0.022692025149833157
6	в	0.019585706643526997
7	она	0.013895565074782087
8	он	0.013796840539193266
9	что	0.013712879547488468
10	быть	0.010263380091258866
11	твой	0.010222890746369243
12	на	0.009329171532554333
13	мы	0.009192083559407855
14	мой	0.009076842098669423
15	а	0.008710420799245003
16	то	0.008311374388960529
17	любовь	0.008211583392165368
18	вы	0.00805724261904725
19	с	0.007426132520092418
20	это	0.007278768094914528
21	любить	0.006899288730684979
22	они	0.006767480214586429
23	человек	0.0067583038042865005
24	как	0.006198032051724943
25	друг	0.00601590253440113
26	жизнь	0.005934978907512853
27	все	0.005743468497574643
28	год	0.005732428411062998
29	кто	0.0056519048413996775
30	*	0.005481534017969973
31	снег	0.005355976421806596
32	душа	0.005225381864434193
33	мир	0.00518356988382727
34	когда	0.005151061082769162
35	небо	0.004741568474152155
36	о	0.004669430666401318
37	мочь	0.004636885139381788
38	сердце	0.004624918635023568
39	новый	0.004572487150489889
40	дождь	0.004494696195854949
41	так	0.0044743827272814415
42	но	0.004432822258824422
43	свой	0.00442918484088007
44	ветер	0.004260936790705644
45	женщина	0.004185388994879074
46	нет	0.0041119957617713485
47	счастье	0.004108534931878486
48	знать	0.004027677398192597
49	бы	0.003993670124892384
50	у	0.003939931813236924
51	ни	0.003939612044841972
52	каждый	0.003927257927279123
53	жить	0.003832554463277739
54	глаз	0.0038315946265290923
55	просто	0.003755674437272314
56	мама	0.003740407536697797
57	себя	0.0037039903547649807
58	хотеть	0.0036808996081774694
59	боль	0.0036484976831928115
60	всегда	0.0036171802306470234
61	или	0.0036116661609500453
62	окно	0.0035832501409492536
63	ночь	0.003578754839314213
64	который	0.003569991817101515
65	да	0.0035642309380628096
66	писать	0.0035161294504224045
67	слово	0.0035065985094411478
68	этот	0.003495379113565843
69	весь	0.003465292548358085
70	от	0.0034591183476878023
71	бог	0.0034373280019873364
72	12	0.0034121559105593662
73	свет	0.0033908972010367683
74	тот	0.003381524850983341
75	мужчина	0.0033798481267482464
76	мысль	0.003303566480937024
77	хотеться	0.0033009914897000714
78	чувство	0.003273144422506919
79	вот	0.0032683158646396853
80	за	0.003267753637575221
81	видеть	0.003262677367210035
82	из	0.003210089667349926
83	девушка	0.0032068247363108066
84	солнце	0.003202746930130373
85	день	0.0031952455009334655
86	по	0.0031886946602009175
87	ли	0.003186007873914621
88	счастливый	0.0031858231207235826
89	пусть	0.003175990795948153
90	смотреть	0.003163370919606082
91	если	0.003149496256451959
92	потому	0.0031432320439896506
93	ведь	0.0031291719475808775
94	сон	0.003109996194776157
95	нужный	0.0031004758015611557
96	зима	0.0030999019621694725
97	к	0.0030987339627080073
98	наш	0.0030905911503824692
99	никогда	0.0030882478086680988
100	же	0.0030817371412277237
101	лишь	0.003075456750809157
102	декабрь	0.0030713603980520683
103	чтобы	0.0030649398060904
104	хороший	0.0030283831073007945
105	без	0.003005191735564202
106	только	0.0029328637588807265
107	помнить	0.0029163565062072286
108	такой	0.0029107758161808243
109	ну	0.002893072192619182
110	уходить	0.00289254556869939
111	для	0.002889421611213515
