	feature	tfidf
0	,	0.045088950412700876
1	я	0.019965960257709456
2	!	0.016160421158314547
3	и	0.015360540010797744
4	не	0.011908595813542899
5	вы	0.01114506010385216
6	в	0.011004830125154762
7	мой	0.010208158322729198
8	что	0.010077643982699475
9	|	0.009233510480966326
10	планета	0.009052396587688085
11	http	0.008825834213251988
12	человек	0.008323234169645763
13	мы	0.008095567804903295
14	ru	0.008092939216831687
15	авторский	0.007990298852580072
16	*	0.007969956689689252
17	то	0.007604977226480426
18	каждый	0.007584094566578414
19	надеяться	0.007553548443820506
20	ты	0.007275253135952194
21	лаборатория	0.00713424350600372
22	стих	0.007062487856859155
23	дмитрий	0.006971894030354048
24	стихи	0.006876369811397131
25	подробно	0.006727977472207165
26	он	0.0064984358741364346
27	шлем	0.006460476978526319
28	творческий	0.006280638991251597
29	s	0.006277033469395506
30	волновать	0.006096219629986695
31	автор	0.0060451549548966605
32	читатель	0.00601862843068395
33	данные	0.005935399387032131
34	уважение	0.00585298945497322
35	тема	0.005823922967530026
36	энергия	0.005667314266997782
37	выражать	0.005620940731560458
38	свет	0.005569399730079938
39	раскрывать	0.005483492459697287
40	житель	0.005448041636846231
41	сон	0.005328686787528744
42	она	0.005321180066547548
43	12	0.005277985361569568
44	любовь	0.00515076010417854
45	размер	0.005124375558064093
46	большинство	0.005110239599837767
47	значить	0.005061660576772219
48	школа	0.004950364749159223
49	главное	0.004946974533414381
50	мир	0.004890543392699262
51	2017	0.004843547264576075
52	сосуд	0.004833351411449285
53	особый	0.004737035831616773
54	заниматься	0.004715936378032207
55	быть	0.004580425784928335
56	декабрь	0.0044880291067772755
57	язык	0.004434248488803115
58	с	0.004428213991233052
59	на	0.0043795134008864775
60	духовный	0.004334831671691372
61	остальной	0.004301673412662595
62	ваш	0.004136782176281452
63	бог	0.0037859060556141117
64	земля	0.003738046323713417
65	дух	0.003661852452934247
66	душа	0.0036507187000730137
67	это	0.0035657370032769684
68	тело	0.003294523769913176
69	the	0.003287083837339302
70	2016	0.0032194858718751166
71	be	0.003209654354311198
72	www	0.003012776645582202
73	они	0.0029260386106610796
74	сентябрь	0.002907571884161704
75	and	0.002806906094044633
76	to	0.002796602431213569
77	ад	0.0027690219933964827
78	жизнь	0.002762569372519189
