	feature	tfidf
0	фильм	0.08204928378973832
1	,	0.04298660043614438
2	кино	0.02009056592416962
3	зритель	0.016890759338299224
4	режиссер	0.016103455212693102
5	герой	0.015923601497819108
6	роль	0.014608915899049944
7	песня	0.013545001864947484
8	и	0.012970053480231124
9	сюжет	0.012582008501932992
10	!	0.011795268709135895
11	музыка	0.011640967352330138
12	актер	0.011350883458896944
13	персонаж	0.01089622219667387
14	www	0.01025355657881332
15	рецензия	0.009399148243257362
16	the	0.008717537105313866
17	картина	0.008294107580386074
18	http	0.008136686393453461
19	сцена	0.008006020500434228
20	com	0.007954925921122522
21	жанр	0.0079289196418575
22	я	0.007207267688734356
23	концерт	0.006941437411872686
24	музыкальный	0.006753386482849904
25	музыкант	0.006646433207188655
26	рок	0.006546411438826398
27	группа	0.0065022816744479605
28	диск	0.00629297574358848
29	театр	0.006106968852420281
30	советский	0.006085558361592101
31	артист	0.006027763841399985
32	ru	0.005948958730011332
33	в	0.0057883336032364206
34	2	0.005762350473166266
35	сценарий	0.005671594905594604
36	любовь	0.005602232355220436
37	исполнитель	0.005591861572513398
38	игра	0.0055079604996633395
39	лента	0.0053463093712724135
40	ты	0.00532536896686066
41	экран	0.005190976051095108
42	сыграть	0.00517075652443937
43	1	0.005135857574009481
44	фото	0.005015541402570983
45	of	0.00500033508116874
46	серия	0.004993448291069782
47	текст	0.004899170994034448
48	год	0.004891006044203215
49	|	0.004836442178616258
50	2016	0.004574126936564746
51	российский	0.004523745193219765
52	главный	0.004491706809574162
53	s	0.0044789192428274505
54	шахматы	0.004466726740337898
55	10	0.004466418678830774
56	волшебник	0.004292143459862602
57	кадр	0.0042787654289448435
58	история	0.004183701219686588
59	спектакль	0.004102917615098553
60	версия	0.00410227242486949
61	мат	0.004052754395084845
62	финал	0.003986827676412672
63	you	0.003940850039006197
64	атмосфера	0.0039086739367084474
65	автор	0.003880922385174003
66	эпизод	0.0038748001202743897
67	роман	0.003865631633103619
68	не	0.0037596812415539764
69	видео	0.003745773684021342
70	король	0.003725821247547444
71	мы	0.003721533429977718
72	11	0.0036789448059908803
73	джон	0.003656511356598365
74	in	0.0036113578157527955
75	исполнение	0.0035909976810720263
76	шоу	0.0034894713720798726
77	2017	0.0034537505941046637
78	юмор	0.00344688687680827
79	&	0.0034455479740876527
80	он	0.0034439933755895055
81	a	0.0034306116519071755
82	5	0.003418885244806238
83	4	0.003398596532629403
84	2012	0.0033391793804133344
85	произведение	0.003317141362969661
86	интернет	0.0032852868544564246
87	2010	0.003279549910771491
88	петь	0.003195679703455628
89	страница	0.0031932408039842533
90	2015	0.0031902628698622956
91	сергей	0.0031890029568116744
92	певец	0.0031876066048165206
93	талант	0.0031643784321378223
94	й	0.00310540366833279
95	американский	0.0030837722992858945
96	создатель	0.003069654516698685
97	06	0.002989635127816516
98	танец	0.0029344209156821417
99	3	0.0029068332067295577
100	02	0.0029023031351756777
101	оригинальный	0.002883915863846336
102	2013	0.0028814405290862205
103	судьба	0.0028801058510666464
104	искусство	0.002868562522483264
105	играть	0.002837883724926371
106	*	0.0027922219165892985
107	вы	0.00269058182875309
108	8	0.002674387072270694
109	творчество	0.002662240579328653
110	12	0.002634386185297387
111	про	0.002559230115632301
112	dvd	0.002539608419953012
113	15	0.002529218303109501
114	боевик	0.002525679390005907
115	евгений	0.0025181603769964572
116	on	0.0024951272165642615
117	популярный	0.002490939540568025
118	русский	0.0024886169861996297
119	поп	0.0024674983346322454
120	01	0.0024640307173820074
121	03	0.0024378191899345042
122	на	0.00243247231983441
123	2011	0.002415401597948442
124	and	0.0024118016694036353
125	студия	0.002386084102374645
126	гитара	0.0023852951382413376
127	сказка	0.0023664121843412302
128	08	0.0023540644082940872
129	09	0.002314573550707992
130	о	0.0023011736121840674
131	стиль	0.0023004773335943375
132	россия	0.002296011045483853
133	20	0.0022951685367148056
134	премия	0.002280445149155928
135	коллектив	0.0022787244338311192
136	Крис	0.0022676059597058753
137	она	0.002264351060148582
138	смотреться	0.0022413626741641973
139	6	0.002240216718958793
140	творческий	0.0022264851801811585
141	сезон	0.002225438733409739
142	05	0.0022077168706483106
143	великолепный	0.002201681971139305
144	2009	0.002189946865999068
145	война	0.0021866641491899035
146	шедевр	0.002180923287543514
147	питер	0.002145453357730971
148	2014	0.0021410240362901606
149	отечественный	0.002133827903383014
150	понравиться	0.0021197035632800655
151	поклонник	0.002109914392779734
152	классический	0.0021079465460697878
153	быть	0.002090180970679878
154	качественный	0.0020875599803894694
155	аудитория	0.002084373703041722
156	00	0.0020751250971958045
157	мой	0.0020676997888147987
158	мечта	0.002064876280050682
159	27	0.002060981280662702
160	проект	0.002045561323593341
161	со	0.0020399538482258907
162	7	0.002032422388554504
163	новый	0.002026474693218321
164	данный	0.0020140283745886042
165	слушатель	0.001997065713957832
166	все	0.0019921943339660944
167	канал	0.0019916761935431597
168	детектив	0.0019883126184400686
169	тема	0.0019853105120264274
170	мелодия	0.0019787758439460874
171	отличный	0.0019735964469574942
172	18	0.00197155169100782
173	что	0.0019664827094551243
174	конкурс	0.001964674974500611
175	оценка	0.001963206084665205
176	девочка	0.0019606384258254645
177	задача	0.0019415586799786035
178	me	0.0019404110572527795
179	сердце	0.001938534667854769
180	книга	0.0019338200313079538
181	9	0.0019131630924157724
182	балл	0.0019116899133982538
183	париж	0.001908314130629069
184	плюс	0.0019082385664510794
185	реальный	0.0019043081898762432
186	владимир	0.0019018899699950974
187	партия	0.0018971289970542047
188	культура	0.0018728951689124607
189	михаил	0.001871567825156768
190	а	0.0018689892610857103
191	человеческий	0.0018386127134226535
192	мрачный	0.0018385943973324276
193	осень	0.0018247716432702337
194	13	0.0018243021456239164
195	английский	0.0018240771880933795
196	компьютерный	0.0018051492196397576
197	вечный	0.0018029920026309619
198	любить	0.0017932229510477056
199	26	0.0017909079087823842
200	сша	0.001788673445802037
201	александр	0.0017843777815185005
202	это	0.0017831287186945855
203	маньяк	0.001779290722440139
204	снег	0.0017649444291623951
205	белый	0.0017574969198365508
206	эффект	0.0017554798392063213
207	16	0.001746367308877446
208	proza	0.0017457059389692515
209	да	0.0017437083853909523
210	современный	0.0017357919186639422
211	исполнять	0.0017351654720949808
212	0	0.0017343607708814217
213	весьма	0.001728731791632161
214	14	0.0017278271695395444
215	жизнь	0.0017256758916432064
216	тот	0.0017136860389622005
217	ужас	0.001712893199587906
218	фигура	0.0017090280603295493
219	мир	0.0017045811308028498
220	картинка	0.0017042067357983981
221	2005	0.0016944818183615574
222	инструмент	0.0016920166017498721
223	минус	0.001688449360174102
224	пьеса	0.0016843253010771617
225	писать	0.0016712666287942274
226	to	0.0016695291136525896
227	андрей	0.0016693334383348342
228	из	0.001663926775482789
229	диалог	0.0016601099735862397
230	предыдущий	0.0016564864920094917
231	японский	0.0016521986114400187
232	за	0.0016428516012836694
233	театральный	0.0016391285731540293
234	весна	0.0016364806270484436
235	секс	0.0016280258254208046
236	снимать	0.0016244572787891237
237	запись	0.001623074407864048
238	издание	0.0016194750469952504
239	твой	0.0016160667316088484
240	писатель	0.0016146751590809091
241	звучать	0.001614472470070931
242	королева	0.0016138296679192316
243	конь	0.0016125343348413217
244	04	0.0016118925244892836
245	целое	0.0016117522955862499
246	17	0.001608268804832642
247	название	0.0016079646308840563
248	революция	0.0016030157058626129
249	гений	0.0015978363373429318
250	до	0.001585438551743377
251	28	0.001584275163758542
252	удачный	0.001583366380732735
253	смерть	0.0015810818710542075
254	монстр	0.001572155350860741
255	80	0.0015673810688048464
256	германия	0.001555916099781574
257	юрий	0.0015547276964650047
258	страна	0.0015437971329557141
259	07	0.001543067988917154
260	президент	0.0015415592406480294
261	наслаждаться	0.0015393203861966223
262	г	0.0015377039654295944
263	солнце	0.00152819176325018
264	программа	0.0015258179521869955
265	народный	0.0015248921447199785
266	от	0.0015247118685081747
267	for	0.0015201642031444544
268	без	0.0015099519393739864
269	нота	0.0015094802962221138
270	океан	0.0015067253556165549
271	90	0.0015019310689887294
272	31	0.001501732667603597
273	совершенно	0.0014983684045221735
274	голос	0.0014946102662280903
275	художественный	0.0014945957573202456
276	любимый	0.0014899224354383855
277	ход	0.0014752353410075667
278	итог	0.0014721091169780187
279	психологический	0.0014717332437816286
280	миллион	0.0014671722757841283
