	feature	tfidf
0	,	0.03755276461165197
1	я	0.013380275986986392
2	и	0.012160008702974555
3	ты	0.009681109478798385
4	!	0.008918761305654008
5	она	0.007414210322673939
6	он	0.007011867289391591
7	в	0.006412109676067151
8	не	0.006343458501271633
9	http	0.004835652483398964
10	ru	0.004464462259792335
11	что	0.004153699322487118
12	*	0.003911575635755044
13	мы	0.0037375792589651484
14	мама	0.0037048348143170463
15	твой	0.003447698515278016
16	мой	0.0033584673538310456
17	любовь	0.0032450400715215598
18	вы	0.003240544265116456
19	женщина	0.003146590794100849
20	девушка	0.0029972332101970106
21	1	0.002995940334630941
22	любить	0.0028702417470560485
23	быть	0.0028215976863765506
24	бог	0.002670937532519399
25	на	0.002670021264766062
26	море	0.0026312604988001503
27	дождь	0.0024093959720275127
28	бабушка	0.00233394413640958
29	они	0.0022988273199469277
30	ветер	0.0022715017386192803
31	парень	0.00226730378033285
32	друг	0.0022573526334941844
33	муж	0.0022436522415727024
34	человек	0.002224206497291516
35	мир	0.0022138985519010563
36	поезд	0.0022125973610761743
37	снег	0.0021696883572095297
38	дед	0.002133768071789885
39	девочка	0.002114261679125665
40	з	0.002019253281312708
41	лес	0.002009979747578756
42	кот	0.0019940064425596825
43	що	0.001993156954843046
44	старик	0.0019294098217957248
45	собака	0.0018828025803005561
46	кошка	0.0018764734350531203
47	жизнь	0.0018763896115652958
48	солнце	0.001814397119433534
49	жена	0.0018089937330187649
50	душа	0.001808420589708886
51	небо	0.0018082054189516431
52	сергей	0.0017890737939663809
53	машина	0.0017749002207467586
54	***	0.0017482266678515886
55	мать	0.0017469924990115317
56	мужчина	0.0017425213232921454
57	берег	0.0017270207986266114
58	дерево	0.0017080666733008615
59	отец	0.0016917447141184506
60	вагон	0.0016883621890677412
61	с	0.0016881005802799314
62	русский	0.0016823372282605518
63	вода	0.0016717891708466137
64	папа	0.0016694037618236782
65	дом	0.0016625768153077994
66	река	0.0016499053492605618
67	как	0.0016154235079286598
68	писать	0.0016061931988935805
69	ни	0.001599465925737078
70	кофе	0.0015961372208933109
71	мороз	0.001583992967931758
72	ребенок	0.001580895661732973
73	ее	0.0015801215228993554
74	сын	0.0015722879518826364
75	счастье	0.0015620434869327887
76	год	0.0015561257767684107
77	звезда	0.0015506318718541425
78	2012	0.0015444574465526312
79	песня	0.0015404392578913708
80	то	0.0015344905594302605
81	осень	0.0015242422014524572
82	праздник	0.001520885789240913
83	12	0.0015188766740271689
84	да	0.0015051067211738279
85	учитель	0.0015007553140398327
86	город	0.001496961384769118
87	а	0.0014964685960610336
88	это	0.0014960897359304036
89	деньги	0.0014872877749451
90	автобус	0.0014864510905018278
91	цветы	0.0014750707348421346
92	й	0.0014726947201445272
93	про	0.0014719804568026572
94	вера	0.0014718487449128
95	красивый	0.0014711113712160577
96	брат	0.0014645288638895177
97	окно	0.0014403468906265678
98	поэт	0.0014397108064329771
99	все	0.001435504604822267
100	ночь	0.0014322434670314883
101	ангел	0.0014242656271262187
102	хотеть	0.001423300572075424
103	птица	0.0014193783597759504
104	як	0.0014188200527327768
105	квартира	0.0014079452545696033
106	мальчик	0.0014076628426001967
107	снежинка	0.001389271509507659
108	сон	0.0013708619404083906
109	глаз	0.00137056364931508
110	всегда	0.0013652798477779159
111	письмо	0.001351137327939055
112	мечта	0.0013451080696807256
113	белый	0.001342416593905709
114	боль	0.00133850575587691
115	Анна	0.0013382949029394015
116	Катя	0.0013329817859301116
117	каждый	0.0013309739429533762
118	андрей	0.0013184530403201186
119	школа	0.0013119496748969985
120	планета	0.0013057145242447333
121	смерть	0.0012993601187230152
122	новый	0.0012953218114474495
123	музыка	0.0012947327970859064
124	бы	0.001293287003918394
125	прекрасный	0.001286465933413491
126	гора	0.0012814847034923072
127	рыба	0.0012792767189228741
128	дочка	0.0012787967434927411
129	чувство	0.001277691062649761
130	зима	0.0012744922163494678
131	proza	0.0012612010442548
132	буть	0.0012550895468897774
133	стих	0.0012471336923348948
134	чёрный	0.0012468817793599254
135	вн	0.0012412747991359127
136	умирать	0.0012403917826837886
137	мужик	0.0012318455128939162
138	2010	0.001231334209828239
139	читать	0.0012142419710361753
140	книга	0.0012115692786336374
141	дверь	0.001208543289871443
142	дорога	0.0012071962556403813
143	себя	0.0012025959089789421
144	йый	0.0012000248693721605
145	жить	0.0011935420886499027
146	словно	0.0011928404154569869
147	просто	0.001185842127573176
148	никто	0.0011844489205666672
149	магазин	0.0011841787096909613
150	ёлка	0.001183038357653692
151	черный	0.0011775026485097667
152	лист	0.0011758930631451832
153	ца	0.0011717922811895916
154	остановка	0.0011669331333239396
155	сайт	0.0011660116994914743
