	feature	tfidf
0	,	0.015349806801490284
1	я	0.007177751906388571
2	!	0.004512933774676304
3	и	0.004232679812465096
4	она	0.004173115103285304
5	ты	0.0038215071202417263
6	он	0.0033273899165682953
7	мама	0.003262524327342328
8	в	0.002686878554300037
9	Катя	0.0026555582358617747
10	*	0.00250310990353112
11	рисунок	0.0023541892429368764
12	сергей	0.00231272055024724
13	девочка	0.002167563305824994
14	девушка	0.0021146712199671017
15	андрей	0.0020952336772421393
16	не	0.0019784877439425076
17	бабушка	0.001969244298105996
18	школа	0.0019433914352847959
19	папа	0.001936653509647864
20	Таня	0.0018156849557692857
21	олег	0.0017935624566094166
22	василий	0.0017906390370660736
23	мы	0.0017900488191112294
24	класс	0.0017542679055984258
25	сестра	0.0016863433241534108
26	Костя	0.0016734988024042113
27	любовь	0.001657182394126963
28	Мария	0.0016192570165637717
29	лена	0.001603635993113127
30	парень	0.0015913400076562857
31	дед	0.0015793083624052473
32	петровна	0.0015767271218512316
33	Саш	0.0015736057055459266
34	Аня	0.0015722822020148037
35	Вика	0.0015470825850417078
36	Кира	0.0015411611125525175
37	виктор	0.0015391851350691395
38	Маша	0.0015366721554196424
39	мальчик	0.0015333831281806637
40	е	0.001485013337134574
41	Маш	0.001476855846800762
42	муж	0.0014677880555356358
43	алексей	0.0014582057041870743
44	вера	0.001454984886930558
45	Егор	0.0014431943288991933
46	ивановна	0.0014430324951927548
47	продолжение	0.0014419929622254144
48	отец	0.0014399003591906605
49	быть	0.0014368454457733756
50	книга	0.0014365184508364375
51	Жень	0.0014258805507235896
52	что	0.0013963686285519286
53	proza	0.001395741484795627
54	николай	0.0013922667645580248
55	http	0.0013841731546751193
56	палата	0.0013695818779611152
57	Фёдор	0.0013686510332841513
58	мать	0.0013651681693953729
59	ru	0.0013492892907624979
60	Алексей	0.0013428904109734757
61	игорь	0.0013371787887571547
62	настя	0.0013343610467476622
63	саша	0.001331024092398824
64	антон	0.0013288155753523026
65	кот	0.001327648220417448
66	Сашка	0.0013224711103106367
67	Инга	0.0013216576303887316
68	Максим	0.0013215311702668036
69	директор	0.001305075107145627
70	мария	0.0013004860081519496
71	петрович	0.0012763286658954334
72	Михаил	0.0012662742432244215
