	feature	tfidf
0	,	0.019369771134388317
1	!	0.01007825401118235
2	я	0.009806281562213736
3	и	0.007189375320630586
4	в	0.00498384590047776
5	мы	0.004456513675176417
6	капитан	0.00431474477718407
7	ты	0.0038704804088640714
8	он	0.0038397246811090672
9	берег	0.0037783415650574047
10	мотор	0.003421733541093477
11	*	0.0034165204434049275
12	не	0.0033955614108758976
13	остров	0.003163339723259269
14	=	0.002834503040414281
15	палатка	0.002829221592992078
16	сергей	0.002700784354250751
17	она	0.0026436858062936983
18	море	0.0026192653644514564
19	вы	0.0025991850748435775
20	http	0.002567441998042656
21	лодка	0.0025104554087433386
22	корабль	0.002437227963202605
23	ru	0.002387531305528361
24	медведь	0.0023768240802299317
25	тайга	0.0022736514820947645
26	девушка	0.0022660168144750083
27	борт	0.002246027696678669
28	Саш	0.002244458484321469
29	матрос	0.0022080256545274246
30	на	0.002189431351972714
31	кот	0.0021748311728422595
32	Ник	0.0021378667096518455
33	Макс	0.002108711033154221
34	мой	0.002094268655233642
35	король	0.0020363499332760634
36	что	0.002014028226555438
37	полковник	0.0019822099428345144
38	парень	0.0019737794002230038
39	Алекс	0.001968192585710446
40	00	0.001966008422241692
41	саша	0.0019521762828462572
42	ветер	0.0018918058972234404
43	олег	0.0018823875394619776
44	лес	0.0018268196450816115
45	автобус	0.0018190220262433749
46	снег	0.0018145616116700943
47	proza	0.0017737256703035747
48	пещера	0.001742802916360593
49	вода	0.0017394620831289362
50	лагерь	0.001696150858901177
51	отель	0.0016773326153939501
52	де	0.0016679640856971367
53	Витька	0.0016458460277790883
54	год	0.0016324301274654386
55	иван	0.0016230513359122359
56	волк	0.0015981011096175756
57	любовь	0.0015969635155681427
58	й	0.0015969513828569203
59	брат	0.0015947041430182636
60	пляж	0.0015940064224677756
61	быть	0.0015914194587213402
62	рюкзак	0.0015828320070695363
63	антон	0.0015813439981484068
64	книга	0.0015756577548703442
65	приключение	0.0015740869189793856
66	www	0.0015736392943486572
67	знак	0.0015620005119487401
68	машина	0.001543984996234894
69	марина	0.0015358727194369453
70	палуба	0.0015195616047336117
71	Катя	0.0015160729736980948
72	с	0.0015118386364374593
73	река	0.0015041778319833368
74	дед	0.0014966640826685575
75	дмитрий	0.0014936130784540327
76	девочка	0.0014822149855136784
77	рыба	0.0014818210082181394
78	планета	0.0014804112998905172
79	пират	0.0014799362400435155
80	мама	0.0014772390286228662
81	алекс	0.0014426202903693294
82	2015	0.001437632707654427
83	порт	0.0014250814319804318
84	озеро	0.0014189861511921993
85	охотник	0.0014135921261579903
86	автор	0.0014110400492210187
87	ворон	0.0014083009396522097
88	|	0.0013818833197099427
89	Ника	0.001380961853278767
90	01	0.0013772680854497962
91	2017	0.0013707532160004445
92	Полина	0.0013706741204007147
93	мя	0.0013528306706981927
94	света	0.0013487260033298366
95	мысль	0.0013401927972134325
96	рубль	0.0013392634966687075
97	деньги	0.001336326419452643
98	ть	0.001334196979582133
99	ребята	0.0013298269900933976
100	барон	0.0013232307535236143
101	турист	0.0013186212239491184
102	экипаж	0.0013183915700885867
103	они	0.0013085481359445426
104	пилот	0.001297710053185233
105	12	0.0012964187975983625
106	Саша	0.0012850208629052104
107	судно	0.001279008734792458
108	костер	0.0012735768432052535
109	граф	0.0012729749002684029
110	охота	0.0012723062874454936
111	карта	0.0012597247855125383
112	камень	0.001258346548589996
113	родитель	0.00125552940521214
114	макс	0.0012466252226675547
115	юра	0.0012458281235990722
116	князь	0.0012453364245548838
117	Ваня	0.0012452661004918111
118	08	0.0012423875029972083
119	игорь	0.0012365691474984764
120	солдат	0.0012278719727414633
121	россия	0.0012189115371693262
122	отец	0.0012097328387475012
123	самолет	0.0012074281882084776
124	Леша	0.0011926626879034984
125	2013	0.001191019112292041
126	Мишка	0.0011862946224892646
127	Диан	0.0011842558316500968
128	бензин	0.0011839869884052257
129	мужик	0.0011710738424091003
130	офицер	0.0011683710641875323
131	инспектор	0.0011626792322596412
132	з	0.0011614139651688385
133	ваш	0.0011603510910411674
134	гора	0.0011550122906686551
135	храм	0.0011522442370978016
136	волна	0.0011518597318197093
137	рыцарь	0.00114815007353432
138	забор	0.001147659045552717
139	алиса	0.0011473792744248355
140	друг	0.0011417957479573444
141	деревня	0.001139367600024036
142	командир	0.001136098175117825
143	город	0.0011355338305371263
144	поляна	0.0011262401710751397
145	военный	0.0011168852053894218
146	то	0.0011073274877254275
147	зверь	0.0011011946676127138
148	скала	0.001099777869628776
149	отряд	0.00109320510240285
150	моряк	0.0010930552160977756
151	каюта	0.0010875556269147007
152	генерал	0.001084724026109967
153	мир	0.0010839849486719549
154	виктор	0.00107998787081888
155	е	0.0010793349017936297
156	лапа	0.0010788675377192004
157	война	0.0010736460888022036
158	пистолет	0.0010730682518843538
159	велосипед	0.001071182778347007
160	адам	0.001068130811333393
161	пойти	0.0010630639417332467
162	золото	0.0010611455411247903
163	монастырь	0.0010585266666464984
164	сон	0.0010554929582692748
165	сестра	0.0010487670855128172
166	шаман	0.0010435446757720624
167	александр	0.001042249005154082
168	що	0.0010388525361239792
169	100	0.0010380025443688086
170	Руслан	0.001036321257597617
171	сумка	0.0010334051095804723
172	школа	0.0010329331334178638
173	мост	0.0010295666730021434
174	немец	0.0010257720962872443
175	вертолет	0.0010241238042878744
176	сэр	0.0010201029631421634
177	автомат	0.001016386167829201
178	Алиса	0.0010158941943615354
179	зона	0.0010136954673992153
180	Сашка	0.0010129495742120871
181	птица	0.0010053551582906446
182	у	0.0010037389421074321
183	или	0.0010002602134020961
184	ружье	0.0009985809150996365
185	11	0.000982243743276222
186	вагон	0.0009769675589198445
187	шар	0.000976693506151216
188	сержант	0.0009766438023577138
189	василий	0.0009760659493164482
190	собака	0.0009726995879615766
191	любви	0.0009687622511726198
192	Н	0.0009645960757005963
193	избушка	0.0009643413086408216
194	03	0.0009564411171709079
195	майор	0.000951225524393366
196	меч	0.0009485747035456898
197	гриб	0.0009485464889756208
198	Витя	0.000948434901558436
199	вася	0.0009481464221225191
200	человек	0.0009477288469282996
201	жизнь	0.0009452989390721437
202	дорога	0.000944260279979612
203	сосуд	0.0009436789388694834
204	стая	0.0009411644546323089
205	начальник	0.0009386660044923317
206	господин	0.0009385382806436569
207	стоянка	0.0009367910214159833
208	читатель	0.0009351520472472417
209	свет	0.0009312638776981843
210	читать	0.0009288743051194146
211	17	0.0009287389039757584
212	10	0.0009278407671028194
213	зима	0.0009257844971959261
214	о	0.0009242457427533863
215	09	0.0009240855313362438
216	император	0.0009233667261851625
217	равно	0.0009220324715318302
218	кто	0.0009193988487755581
219	лена	0.0009184120320255755
220	андрей	0.0009139945923080575
221	наташа	0.0009114624768394388
222	Мартин	0.0009098203741897744
223	мороз	0.0009047423978403742
224	ночь	0.0009045856979839856
225	герцог	0.0009031940267135324
226	наш	0.0009022287781055925
227	рыбак	0.0009004392997779573
228	константин	0.0008997614971464095
229	Влад	0.0008992435644162892
230	стих	0.0008977813013508037
231	буть	0.0008967729924835164
232	мад	0.0008961419795559196
233	Даша	0.0008946126775107497
234	Аня	0.0008915714955373982
235	**	0.000890033678581259
236	твой	0.0008885642332616983
237	команда	0.0008869629026139221
238	королевский	0.000886898902311605
239	праздник	0.0008858951622347708
240	дедушка	0.0008856859103350646
241	статья	0.000885153909539516
242	процент	0.0008848538476904375
243	ца	0.0008800373037090084
244	километр	0.0008784847875508655
245	полиция	0.0008780077653669349
246	мечта	0.0008777349757990654
247	энергия	0.0008720485686744459
248	ее	0.0008702571030791784
249	дверь	0.0008697535418402789
250	мальчик	0.0008692537341476209
251	аня	0.000868971024096037
252	мистер	0.0008687280087316554
253	кошка	0.000866349053562471
254	Марина	0.0008658319873623555
255	2	0.0008656512116054937
256	граница	0.0008632349904472514
257	дневник	0.0008623939207169294
258	президент	0.0008609630968073324
259	полицейский	0.0008607382153668328
260	сердце	0.0008606230917059342
261	куст	0.0008600288686789858
262	дима	0.0008580013582900765
263	Миша	0.0008546964553317301
264	Анна	0.0008517249485693482
265	крепость	0.0008511454712268814
266	новый	0.0008506363053888134
267	бой	0.0008491664108100931
268	дождь	0.0008471314768128569
269	Антон	0.0008466981218638902
270	водка	0.0008446810080801896
271	олень	0.0008446019605746369
272	трубка	0.0008421650274071855
273	красный	0.0008420923843868999
274	станция	0.0008394806676613495
275	это	0.0008374095176350125
276	поезд	0.0008362710931627271
277	Вадим	0.0008357055246171698
278	1	0.0008302468510996079
279	дьявол	0.0008284887776462528
280	узел	0.0008257448272474974
281	пиво	0.0008254023918899498
282	душа	0.0008240040538424708
283	банк	0.0008213939500535543
284	***	0.0008190713080358538
285	стрела	0.000818987538784247
286	стражник	0.0008161890471314159
287	бандит	0.0008155302447308234
288	конь	0.0008108712770809722
289	морской	0.0008086683323555255
290	ребенок	0.0008039143656356745
291	попадать	0.0008037385221599192
292	иль	0.0008004943463011079
293	водитель	0.0007988041893286999
294	рация	0.0007946071849469269
295	любить	0.0007942170672827226
296	москва	0.0007935608389246497
297	бабушка	0.000792138605704393
298	лук	0.0007921045071491443
299	дерево	0.0007916599578849646
300	самолёт	0.0007908138936991274
301	миссия	0.0007906519853870148
302	бог	0.0007905604315511211
303	дворец	0.0007880024006735606
304	писать	0.0007875622860364261
305	катер	0.0007864576944478195
306	а	0.0007851837625253888
307	пост	0.0007833097732143497
308	урок	0.0007829877984142962
309	Джон	0.0007829288679989839
310	демон	0.0007827724656841109
311	белый	0.0007820664361665448
312	22	0.0007814308220597079
313	творение	0.0007808234191580046
314	интернет	0.0007805527816892746
315	свой	0.0007804804622709414
316	02	0.000779546216557177
317	аэропорт	0.0007790590823269166
318	кинжал	0.0007786032898179158
319	який	0.0007770647703789277
320	долина	0.0007760420666210116
321	Даш	0.0007757963163740809
322	остановка	0.0007744228652795998
323	да	0.0007743135109847893
324	все	0.0007728165589603694
325	Герман	0.0007709471949697002
326	камера	0.0007691992578870773
327	замок	0.0007675534944918814
328	8	0.0007675059964995474
329	сказывать	0.0007651882648479752
330	роман	0.0007616661513590263
331	заяц	0.000758020918802727
332	кафе	0.0007576366355488261
333	ка	0.0007575664340941675
334	разведчик	0.0007547980835326606
335	окно	0.0007526179023536825
336	день	0.0007517480864270119
337	квартира	0.0007488736724424794
338	ток	0.0007477153212151675
339	фильм	0.0007455091758296748
340	класс	0.000744695829250853
341	сайт	0.0007444297205760522
342	водопад	0.0007442414476327087
343	вор	0.0007424665667294307
344	д	0.0007393899177623172
