	feature	tfidf
0	що	0.11364371405932787
1	з	0.1080030679816753
2	,	0.09552189146430158
3	як	0.07311602707313722
4	який	0.06659412373389538
5	ца	0.057351056829528756
6	буть	0.05082856771655514
7	вд	0.0487081254535515
8	йый	0.045671146077367504
9	of	0.044221043108234354
10	a	0.041030128948885455
11	the	0.03913939510763616
12	and	0.038479798821914706
13	to	0.03590735438615709
14	ще	0.03560558006136072
15	in	0.0355536992658072
16	is	0.03537460600440917
17	й	0.033993960355191206
18	вн	0.032844174674317876
19	ть	0.03222403388492272
20	коли	0.030063891873245065
21	ал	0.02990911003937428
22	х	0.028770267991278416
23	i	0.026331760635302646
24	бо	0.02553032847961086
25	you	0.024167658267377594
26	for	0.02382483155876492
27	it	0.023627706642888567
28	on	0.02305737699253574
29	де	0.022466995317554476
30	t	0.022258953169280872
31	мена	0.02220333768225615
32	у	0.021677113356555366
33	мен	0.021228188556773248
34	was	0.020771287705222935
35	п	0.020480209499620518
36	that	0.020442563380426684
37	на	0.02035796107384789
38	as	0.020340275603845357
39	не	0.02019084567831593
40	not	0.020065444842443977
41	тот	0.01976029079873477
42	me	0.019570791940280035
43	s	0.018891316003023143
44	this	0.018660284886301438
45	with	0.017876958786393903
46	в	0.017747380352684018
47	be	0.017515107629245283
48	я	0.017086860007935717
49	have	0.01651842919760737
50	from	0.016172483339808568
51	he	0.015122554378259606
52	*	0.014996749428180184
53	are	0.014782444726771203
54	ч	0.014505749177769511
55	!	0.01412750358449248
56	all	0.014023976021629424
57	што	0.013967705492025136
58	м	0.013934947655136394
59	my	0.013912855333006489
60	m	0.013495896230064778
61	n	0.01315351971177871
62	про	0.012963255229987843
63	his	0.01263463668656396
64	at	0.011790991853975497
65	by	0.011641984851932905
66	ось	0.011621543938969145
67	село	0.011115522339421074
68	бир	0.011023757061565564
69	н	0.00987287953825286
70	l	0.009812473678760047
71	бль	0.009608890019600875
72	лихо	0.009462443483672032
73	до	0.008879283615664217
74	ять	0.008852282201792126
75	de	0.008754538109778243
76	v	0.008698348644027331
77	час	0.008673626421026768
78	а	0.008573840848580323
79	св	0.008569491498433873
80	рок	0.008303709598408529
81	la	0.00801361764780677
82	o	0.007791600820810514
83	ты	0.007648305437262001
84	д	0.007514779631298902
85	вон	0.0073595804451779484
86	ус	0.007102611481395301
87	has	0.00685988096016874
88	и	0.006741571053494708
89	небо	0.006503192959483902
90	мя	0.0064693447806301084
91	мы	0.0060300137452547215
92	за	0.005937713070684524
93	ш	0.005845449340128172
94	e	0.005780967641288628
95	над	0.005731339005718059
96	b	0.005709979042917595
97	12	0.005650107037394168
98	се	0.005380751705900355
99	душ	0.005263493490704508
100	то	0.0051064395252267
101	Б	0.004989808100442882
102	пр	0.0049668368965788525
103	M	0.00492977877430547
104	б	0.004642426614612409
105	добра	0.004626480260179443
106	в1	0.004599147242036259
107	немый	0.004570878886732038
108	да	0.00452696352110662
109	зима	0.00446848352146775
110	так	0.004425474654206573
111	наш	0.004421011744341789
112	аж	0.004413999329853756
113	море	0.004354181583023246
114	без	0.004193963140247647
115	2012	0.004173441286408217
116	для	0.00411078863458689
117	world	0.0041051424776369135
118	ба	0.004102660531740077
119	твой	0.004082455003268922
120	ад	0.004009296193466324
121	там	0.00394957181749089
122	буда	0.00394606780840394
123	быть	0.0037221850048475176
124	14	0.0037060992328530056
125	ж	0.003699770192873433
126	бы	0.0036886803135583552
127	http	0.0036253184126091567
128	метр	0.0036215725713069752
129	00	0.003596491693907452
130	душа	0.003577221361196182
131	мой	0.003511764845058958
132	3	0.0034863056211090074
133	водить	0.003440502053195816
134	2	0.003425814549299558
135	человек	0.0034034114316815333
136	бог	0.0033654611872486894
137	тут	0.0033637104222323634
138	дерев	0.0033487627244512762
139	ма	0.0032672666015514376
140	все	0.0032514597433387395
141	е	0.0032502191092793117
142	com	0.0032438098576336337
143	вода	0.003230385668612164
144	озеро	0.0032174442694578565
145	сн	0.0032153572215749987
146	просто	0.0029578305689053346
147	туман	0.002913342696956071
148	весь	0.002881098099912758
149	вино	0.002866588772088093
150	слово	0.0028568956858268796
151	1	0.0028503018506297394
152	г	0.0028401071131932457
153	по	0.0028304809389078692
154	Яна	0.002823024137556016
155	т	0.0027972455068561272
156	au	0.002784586867403073
157	мать	0.0027791923437230194
158	11	0.002674524765672883
159	трава	0.0026657489793581396
160	2017	0.0026651529489777875
161	разом	0.002660016660547583
162	неб	0.0026562764534533235
163	вы	0.0026288482675621916
164	же	0.0025698436466323124
165	земля	0.0025429075698519023
166	www	0.0025395787280873207
167	книга	0.002534291389587354
168	такий	0.0025317836328324515
169	давать	0.0025226246810069824
170	теплый	0.002500590547308714
171	что	0.002491421526981633
172	05	0.0024624091089470224
173	ru	0.0024345860177552143
174	нитка	0.0024203342714592853
175	добр	0.0023954518464683722
176	любить	0.0023483745875602594
177	2015	0.0023461797130209182
178	В	0.0023358132648045415
179	сад	0.002321471791648727
180	мед	0.0023086103363143783
181	Кать	0.0022895380833712745
182	робот	0.0022749053839768497
183	через	0.0022545960059093357
184	&	0.002248808689905738
185	свобода	0.0022346343975760212
186	автор	0.002225980437585002
187	текст	0.0022214809638595183
188	спать	0.002217677360599892
189	день	0.0022098485732542027
190	мила	0.0022001756041653514
191	2016	0.002198805815067324
192	канал	0.0021857325830724034
193	доля	0.002159406990212408
194	золото	0.0021330210132345035
195	с	0.002129055941919201
196	холод	0.002113660852838412
197	кто	0.0021005479446594656
198	бывать	0.0020664467300006316
199	поле	0.002048037231909617
200	сон	0.00203675577634784
201	знать	0.0020288920229353125
202	зный	0.002018597296798391
203	07	0.002004023885418872
204	мост	0.001981236059197435
205	президент	0.0019774681179475706
206	со	0.0019735424261989047
207	сказать	0.001972564010554334
208	ан	0.0019647322968206517
209	край	0.001960722520426563
210	директор	0.0019530067814055967
211	держава	0.0019464609867204444
212	ха	0.0019363570890165449
213	ради	0.001909645857153827
214	дерево	0.0019046603363804765
215	лука	0.001893336232467609
216	один	0.0018893514723319223
217	2010	0.0018841222121252714
218	рука	0.001872006659103125
219	храм	0.001866045538317868
220	луна	0.0018513922782218333
221	10	0.001850397087068742
222	Библия	0.0018500269459539782
223	сила	0.0018335953290981135
224	народ	0.001825044753266326
225	перевод	0.0018129249020048153
226	великий	0.001810651348268802
227	таки	0.0018007888286755824
228	маг	0.0017967515787389618
229	от	0.0017936155534232154
230	29	0.0017927314546621021
231	меж	0.0017795385349275437
232	2008	0.0017710649881439444
233	5	0.0017621703906410724
234	work	0.0017551562330309126
235	запах	0.0017095274577987902
236	proza	0.0017015274030939657
237	жить	0.0017009818991529627
238	ать	0.0016979025740874421
239	комплекс	0.0016969546679484416
240	дуб	0.001685575201309463
241	при	0.0016720865494896347
242	три	0.0016678569387379772
243	сам	0.0016620705198947745
244	метро	0.0016576540952057265
245	звук	0.0016514035093508138
246	тема	0.0016452240104194392
247	|	0.0016429493661529544
248	знак	0.0016425516963345344
249	мама	0.0016406816864516919
250	гора	0.0016354038225178272
251	М	0.0016309269795759286
252	сантиметр	0.0016264179416214822
253	9	0.0016250240934337415
254	30	0.0016226723083019423
255	они	0.001620741935770764
256	нет	0.0016202637904179165
257	это	0.001617892359132405
258	23	0.001612075986328193
259	6	0.0016113725195018068
260	свой	0.0016032541508904047
261	дорога	0.0016010604780248338
262	бар	0.0015908051948355483
263	завтра	0.001585239009925744
264	тихо	0.0015805471417981015
265	пан	0.0015795644891834608
266	грудь	0.0015786035990376093
267	о	0.001577988730363559
268	давно	0.0015729419816849547
269	суд	0.001571084188645203
270	рождение	0.0015635714213416032
271	смерть	0.0015590433273282387
272	Russian	0.001558889997207929
273	тепло	0.0015057904763644049
274	голова	0.0015007025721678268
275	как	0.0014915216094789764
276	x	0.0014793147574079372
277	во	0.001458347127803667
278	тобой	0.001455093690758687
279	писать	0.0014527750221087505
280	господь	0.0014466201334913682
281	russia	0.0014448016491971538
282	яма	0.0014446739398908072
283	конь	0.0014445812480682783
284	чем	0.0014428984117468787
285	закон	0.0014424521862111356
286	гор	0.001441633139817374
287	добро	0.00144100294767935
288	природа	0.0014342198660009364
289	4	0.0014278999193831625
290	Л	0.0014212493449744887
291	7	0.0014171964466746921
292	он	0.0014033832082612511
293	чай	0.0014002325206993712
294	2014	0.0013999455427948894
295	рад	0.0013987012774106307
296	зеленый	0.0013948530928451892
