	feature	tfidf
0	,	0.03552219300263396
1	россия	0.01369006321336652
2	и	0.013064822039428126
3	=	0.008374218845089043
4	!	0.007820856902200744
5	путин	0.007496301178439233
6	страна	0.007428717177659245
7	украина	0.007427340328595874
8	в	0.007198259910914854
9	я	0.006733076079283307
10	не	0.00661273858228931
11	президент	0.006466185970356007
12	власть	0.005873075534919748
13	российский	0.0052946052372722825
14	http	0.005251168552693731
15	народ	0.0050867538636606814
16	русский	0.005037180659952818
17	вы	0.004822211872712579
18	сша	0.004605634221901835
19	ru	0.004522250262771148
20	гражданин	0.004522130286709235
21	государство	0.004506061083772801
22	человек	0.004426610356277515
23	что	0.00428355450853898
24	рф	0.004032101072335158
25	выборы	0.003956898652337907
26	мы	0.00395091853473641
27	12	0.003948228746134819
28	www	0.003923113866167677
29	ты	0.003907231626087468
30	декабрь	0.003869426919144998
31	общество	0.003703251919480949
32	война	0.003677629689814549
33	экономика	0.0036663840574849777
34	закон	0.0036348201912107373
35	1	0.0035738110587593495
36	автор	0.003573143069502844
37	год	0.003531145987537507
38	знак	0.003521095063100063
39	это	0.003482675333508859
40	украинский	0.0034485129208206198
41	суд	0.003433281627237149
42	быть	0.003397727227044548
43	процент	0.00335206264878434
44	фильм	0.0033120342727595144
45	политический	0.0031680573132928424
46	статья	0.0031467933369777427
47	на	0.003114873421518653
48	com	0.0030952045957141406
49	мир	0.0030772291408391285
50	экономический	0.003063937598333658
51	2	0.003052238676487682
52	нарушение	0.0030059491666447123
53	демократия	0.002982599367389096
54	культура	0.002957327070170543
55	израиль	0.0029264064880113717
56	социальный	0.0028886658900518793
57	советский	0.0028415319942568236
58	кто	0.0028363493084040724
59	произведение	0.0028326706584052342
60	сайт	0.002808802467146063
61	удалять	0.002789870779636095
62	книга	0.0027856094322925217
63	депутат	0.002785312463708149
64	они	0.002773853827877668
65	ребенок	0.002769690253024399
66	*	0.002753783369742068
67	рубль	0.0026843198457910593
68	ссср	0.0026842882247290114
69	деньги	0.0025548836350149933
70	доллар	0.0025504671048548876
71	то	0.0025216751550423376
72	еврей	0.002518161843440449
73	система	0.002505598452786978
74	партия	0.0024744811379511173
75	государственный	0.002455022268858561
