	feature	tfidf
0	,	0.04948002033613794
1	мама	0.04448054017135855
2	бабушка	0.02534897617722334
3	папа	0.022727332205882123
4	!	0.02150307487044688
5	я	0.01830628602293544
6	дед	0.015781853800381
7	девочка	0.01435077981546869
8	и	0.012879465471091856
9	дедушка	0.012839858528221622
10	ты	0.011553115397993457
11	ребенок	0.010312791863185978
12	рисунок	0.010065377228428282
13	мальчик	0.009357254850723105
14	мороз	0.009020469614691214
15	фрагмент	0.008929260793617944
16	внучка	0.00889122765988597
17	он	0.008437265890645496
18	она	0.008371273486592433
19	дочка	0.00824068878029558
20	внук	0.007538542690171982
21	малыш	0.007178886550682403
22	подарок	0.007077247846407629
23	саша	0.007002726158669211
24	детский	0.0068883914394471755
25	а	0.00686517088761246
26	школа	0.006596926382730344
27	год	0.0065300314384605885
28	Вика	0.006375302761572391
29	Илья	0.006326677640468054
30	класс	0.006159230596187432
31	мы	0.006104807642359605
32	в	0.006100840185845442
33	илья	0.005910605837470314
34	ёлка	0.005897566489224128
35	баба	0.005742279529221919
36	*	0.0057127897153439085
37	родитель	0.0054197117514609905
38	не	0.005379420121176562
39	сын	0.005364588601723578
40	игрушка	0.0053487202608021285
41	публикация	0.005296258185065019
42	спрашивать	0.0052248325980235955
43	взрослый	0.005223542230047197
44	учительница	0.005105369422994977
45	л	0.005024553924325165
46	сказка	0.0049603265496998864
47	комната	0.0049256000373658045
48	покупать	0.004903240125179347
49	урок	0.0049017829192901435
50	играть	0.004810196238541544
51	Катя	0.004802885195850719
52	ребята	0.0047813304138248774
53	Маша	0.004747983458877946
54	месяц	0.004676784687947896
55	у	0.004568196205576401
56	кукла	0.0045626579037657935
57	говорить	0.004427164716557101
58	с	0.004423743081993007
59	Ника	0.004388692377932012
60	Саш	0.004363165279337669
61	мальчишка	0.004318536824866736
62	мам	0.0042648229201751025
63	снег	0.004202048968774525
64	старший	0.00418036145216945
65	кошка	0.004170486045882363
66	дядя	0.004165823693418693
67	дочь	0.004159160172436892
68	младший	0.004139151215954152
69	потому	0.004049096009262975
70	мать	0.004017122927006328
71	ребёнок	0.003955022778214234
72	рисовать	0.00393105552345709
73	кот	0.003911224864725323
74	Соня	0.0038982533800303583
75	на	0.003867504893145898
76	сайт	0.0038658751959083715
77	елка	0.0037740980209303976
78	каша	0.003744281191363642
79	Лиза	0.003743343944097446
80	кровать	0.003728240535808522
81	4	0.003644643364265143
82	Женя	0.0036222826586784535
83	магазин	0.003611266825041545
84	ru	0.003562373385792114
85	Даш	0.0035314451297487936
86	Жень	0.0035081238288886874
87	маленький	0.0034682532983933358
88	почему	0.003466270902501495
89	парта	0.0034323378669860742
90	Юля	0.0033962434768240613
91	сестра	0.0033822592369983765
92	разбивать	0.0033481503780426244
93	брат	0.003316896394811173
94	быть	0.0033042640535111247
95	двор	0.0032786759793231508
96	праздник	0.0032677613922395318
97	что	0.0032423221942179635
98	они	0.003226848199779646
99	Маш	0.003220453948626802
100	велосипед	0.0032088615403512606
101	сборник	0.0031766089972499758
102	ну	0.0031610178232417633
103	мой	0.003152145126092326
104	новогодний	0.0031512339383098892
105	Кира	0.0031325512903055994
106	Витька	0.003130541363875013
107	коробка	0.0031271332853629666
108	гулять	0.0031110334453303278
109	подружка	0.0030580018240732596
110	тётя	0.0030397782865403734
111	Коля	0.0030355317224629234
112	игра	0.003020046253136482
113	друг	0.0029350119921854865
114	улица	0.0029187220009538137
115	наташа	0.002898116418847091
116	уважение	0.0028961526602724443
117	марина	0.0028911740996145994
118	машина	0.0028791445530964295
119	Мишка	0.002855559745194636
120	Сашка	0.0028450602432727222
121	спать	0.0028379623050342065
122	ручка	0.0028361613842576307
123	детство	0.0028344104359626704
124	текст	0.0028209804010468132
125	Петька	0.002816954637393897
126	гость	0.0028013750064910413
127	бабочка	0.0027926923347514052
128	книга	0.0027911313008155397
129	дача	0.0027879614373732538
130	буква	0.00278505581272386
131	юля	0.0027692409358064988
132	диван	0.0027674102259846105
133	мяч	0.002751088296603003
134	ходить	0.002743414703003252
135	Денис	0.00272753352409996
136	сад	0.0027156584057855832
137	отвечать	0.0026873074594639407
138	Ваня	0.002677328891711933
139	Вовка	0.002656478881002246
140	стол	0.002629410090941547
141	Витя	0.002621665561653929
142	Нина	0.002607423568286955
143	Настя	0.0025923638179776998
144	любовь	0.0025810931912318043
145	11	0.0025535896469502375
146	отец	0.0025487896633314823
147	чай	0.002523806913828038
148	мамочка	0.0025225713656634265
149	компьютер	0.0024814164764777554
150	плакать	0.0024812754235416503
151	Миша	0.002471938210789199
152	подушка	0.002450820016060332
153	кушать	0.0024486482488544226
154	юра	0.0024484636726458124
155	очень	0.0024419861155140716
156	торт	0.002434101125976601
157	собачка	0.002430850611449026
158	ложка	0.002422674078229003
159	Васька	0.002420227381864326
160	Даша	0.002413681530639128
161	это	0.0024105611139051044
162	тетя	0.0023860571900767243
163	собака	0.0023849619955362837
164	любить	0.002371372395112991
165	белый	0.002368625955353808
166	допускать	0.0023639696976063213
167	денис	0.0023581078334986836
168	ребёнка	0.00233683956323687
169	девчонка	0.0023183032013671884
170	ивановна	0.002309102979487601
171	книжка	0.0023068782557145676
172	лето	0.0022972617745565752
173	птичка	0.0022708926851235504
174	красивый	0.0022640629382693605
175	тарелка	0.0022625347237244754
176	учитель	0.0022620218628195553
177	писать	0.00225699821767477
178	вода	0.0022546061130275497
179	сказочный	0.0022541732692130697
180	ножка	0.0022431309677277225
181	суп	0.0022398604093888564
182	2013	0.002222443519541358
183	деньги	0.0022080338882785227
184	дом	0.00220447136376467
185	http	0.0021930258058188586
186	коля	0.002187838250786748
187	малышка	0.00216825720250233
188	машинка	0.0021558177878884814
189	вася	0.002153811660350671
190	хвост	0.002152885835887664
191	Аня	0.0021473611156613065
192	деревня	0.0021113270042198043
193	снежный	0.002108229558410274
194	слёз	0.002105078777030199
195	автобус	0.002099722651698109
196	вкусный	0.0020930478713613414
197	детка	0.002085185407072273
198	врач	0.002083296630725915
199	число	0.0020697936213952247
200	домой	0.002067787690915732
201	5	0.0020665058811989183
202	пакет	0.0020535737511293683
203	вечер	0.0020506662709727664
204	телевизор	0.0020442957526751525
205	хотеть	0.0020433729427754496
206	песня	0.0020420685118852336
207	читатель	0.0020343735057801677
208	окно	0.0020214056387986273
209	обед	0.002009955635969965
210	скамейка	0.002001990866361233
211	кухня	0.0019935214702159823
212	Николаевна	0.00198126206284715
213	приключение	0.0019761544677941874
214	нет	0.0019744771276892343
215	ученик	0.0019716037142877827
216	то	0.001969016298041716
217	лена	0.001960537036914803
218	лес	0.0019596375886399204
219	шарик	0.001958901467264854
220	молоко	0.001958226852282081
221	3	0.001950718658911815
222	читать	0.0019466308229301827
223	море	0.001946161576852611
224	Петя	0.0019432245111185237
225	зима	0.001940313310464703
226	сожаление	0.0019391949447093535
227	уже	0.0019337748991198707
228	2010	0.0019328645522276064
229	2014	0.0019325509891161977
230	рыбка	0.0019255508712999457
231	пальчик	0.0019016013392108885
232	дерево	0.001893165000169102
233	поехать	0.001887386179101232
234	2	0.0018869817433571658
235	надо	0.0018868027454863067
236	солнышко	0.0018808874470990424
237	дома	0.001874602600138286
238	вместе	0.0018616156926152708
239	Н	0.0018604815721160347
240	ой	0.0018594317073094466
241	рождение	0.0018483343123673855
242	стих	0.0018472409291895784
243	объяснять	0.0018453300355364332
244	большой	0.0018451515796105104
245	пол	0.0018235427616681763
246	учиться	0.0018151230916018963
247	ругать	0.0018132151173554964
248	оля	0.0018113468260160684
249	Алекс	0.0018097046091869627
250	знать	0.001809216524365238
