	feature	tfidf
0	,	0.023635173208917937
1	я	0.014438129586384152
2	ты	0.008319243965697998
3	она	0.0076602693129090476
4	и	0.007029785527899715
5	!	0.005997912825792042
6	он	0.005685577726886476
7	мама	0.004833571110910203
8	девушка	0.004465119359334358
9	не	0.00439281794194525
10	бабушка	0.0032963081567824936
11	в	0.0032697600751539152
12	девочка	0.0031997376159787656
13	дед	0.002897155722699537
14	*	0.0028862999952982485
15	твой	0.0027646400623525073
16	василий	0.002702455077644664
17	снег	0.0026254143741859647
18	мой	0.0024840589026996853
19	папа	0.002465342693854643
20	кот	0.0024242395821320257
21	собака	0.002363841270412722
22	вы	0.0022875847622222225
23	мы	0.0022863235340244378
24	что	0.0021413582939419874
25	любовь	0.002118955108156894
26	быть	0.0020645271332036122
27	андрей	0.0020635610844132587
28	любить	0.0020478302691200856
29	автобус	0.0019564525286306553
30	муж	0.0019442447979844668
31	дождь	0.0019440701438199462
32	танцевать	0.0019437418284937637
33	мальчик	0.0019047825535153428
34	тайна	0.0018999643516540029
35	парень	0.0018895755187596235
36	сергей	0.0018893718824934454
37	кошка	0.0018723154067352263
38	друг	0.0018377508933276087
39	Катя	0.0017541058868683276
40	отец	0.0017325612380491692
41	мороз	0.0017323659435217608
42	машина	0.0017040603231592954
43	лес	0.0016974352871139294
44	окно	0.0016405277124464123
45	бал	0.001638064971330284
46	поезд	0.0016325109159697339
47	ребенок	0.0015885554350125151
48	вагон	0.0015835652374466896
49	ангел	0.0015579050572902579
50	музыка	0.0015472521269090976
51	мужчина	0.0015439195384765235
52	з	0.0015099920679292245
53	сигарета	0.0015053983977225437
54	старик	0.0014972483341713215
55	деревня	0.0014934090117194672
56	писать	0.0014646381176632649
57	вода	0.0014600158363656279
58	на	0.001452067361368422
59	школа	0.0014450186493860958
60	фамилия	0.0014434798921759634
61	море	0.0014431558769777298
62	квартира	0.0014424929357772093
63	що	0.0014383681510944473
64	человек	0.0014231285308152113
65	палата	0.0014140252541647573
66	они	0.0014121802921423104
67	женщина	0.001374906483268543
68	комната	0.0013733152631969334
69	предок	0.0013607751394339215
70	дедушка	0.0013561587626228172
71	берег	0.001355418744277332
72	мужик	0.0013164097582107626
73	иван	0.0013151646502537182
74	письмо	0.001306782125453942
75	плакать	0.0013034061847025443
76	кофе	0.0013026165461170183
77	сын	0.001300905148680409
78	ветер	0.0012820203437302494
79	боль	0.0012748430704686993
80	дверь	0.0012693546297749816
81	небо	0.0012685766903258538
82	врач	0.0012652049441211897
83	телефон	0.0012636246186345246
84	класс	0.0012560407590719717
85	лена	0.0012474500160208075
86	сестра	0.0012396483936676114
87	реальный	0.0012374398442199356
88	сон	0.0012330419579088144
89	художник	0.0012313916126494137
90	естественный	0.001229687019627241
91	ольга	0.0012263297553988099
92	книга	0.0012201960609450578
93	дерево	0.001218540396088441
94	птица	0.0012176461641264034
95	хотеть	0.001212864301775969
96	Таня	0.0012105567674671406
97	жена	0.00120382251423889
98	счастье	0.0012033150727236855
99	олег	0.0011955717890620512
100	метро	0.001190667506079077
101	парк	0.001184602376107692
102	город	0.0011827637738069878
103	снежинка	0.001182183436855268
104	больница	0.0011807481068651017
105	петрович	0.0011743255198189972
106	а	0.0011696114358789626
107	елка	0.0011681009560818448
108	капитан	0.0011639297953128377
109	водитель	0.0011603851191944617
110	потому	0.0011550483903188461
111	курить	0.001146428244544503
112	сердце	0.0011461979594010823
113	кровать	0.001137198652498775
114	Сашка	0.0011369438115268289
115	Саш	0.0011354361575313038
116	виктор	0.0011333117947093002
117	помнить	0.0011254432384270778
118	Нина	0.001122698844238093
119	то	0.0011215879362746805
120	мир	0.0011199921867170873
121	это	0.0011192748521174879
122	дядя	0.0011164513153733963
123	Миша	0.0011147243173356412
124	Мишка	0.0011146694835352145
125	пример	0.0011137922397501023
126	подруга	0.001106198681206724
127	николай	0.0011023890840092304
128	важный	0.001093698142968812
129	антон	0.0010917923855669912
130	улица	0.0010885430036503827
131	ее	0.0010879172061437977
132	мост	0.0010829119023817724
133	чай	0.0010825878365214113
134	балкон	0.001080972756490185
135	дом	0.0010803188603661692
136	новогодний	0.0010779331443188786
137	Маша	0.0010709270561122608
