	feature	tfidf
0	,	0.06043304709708684
1	бог	0.03384799120013422
2	и	0.025795261168144488
3	христос	0.01903673442233607
4	!	0.016337911827207577
5	молитва	0.015550911381711408
6	я	0.015166392528498749
7	господь	0.015063052072012934
8	вы	0.013444506484104952
9	духовный	0.013044953064335778
10	в	0.0124113476931391
11	иисус	0.012035288727943778
12	святой	0.0120230935755478
13	церковь	0.011246074557430003
14	грех	0.010901408701004102
15	он	0.010516466326523291
16	ибо	0.010156455868192306
17	Иисус	0.01003968533589732
18	ты	0.009998322176391261
19	не	0.009849865607033804
20	вера	0.009651593848443276
21	душа	0.009471071691968518
22	любовь	0.009398126826184601
23	|	0.009307951623741515
24	человек	0.009063988610262794
25	Христос	0.008697982704027364
26	дух	0.008181866846163377
27	храм	0.008034323422099513
28	православный	0.007980270175624367
29	Господ	0.007957102865097132
30	быть	0.0076742493319689594
31	религия	0.007628275806237483
32	молиться	0.007589674167753823
33	Божий	0.0071058055937860635
34	ru	0.0070769813611205115
35	мой	0.0070444472376679675
36	сердце	0.007033772019131077
37	мир	0.006797446817510189
38	мы	0.006783821549472472
39	ваш	0.006465991091370475
40	свет	0.006403207247071587
41	http	0.00633840985093287
42	религиозный	0.006330361233950319
43	истина	0.00611511564723222
44	жизнь	0.005958352018701294
45	де	0.005796370126412667
46	твой	0.005760027613010768
47	христианин	0.0055097920520269916
48	земля	0.005430450446016022
49	Библия	0.005273121711687472
50	благодать	0.005164066824901628
51	спасение	0.005150164727140761
52	путь	0.005099988675349385
53	Господь	0.005071013088824341
54	служение	0.00504787591085784
55	зло	0.005013897172337744
56	божественный	0.005003057537671288
57	2	0.004915401219182768
58	крест	0.004881201757715115
59	радость	0.004750628119679578
60	материальный	0.004700784377891439
61	добро	0.004686717528144915
62	сын	0.004679091838085165
63	что	0.0046726083716110405
64	творец	0.004660121576561226
65	ангел	0.004658126930070058
66	небесный	0.0046491641366919415
67	1	0.0046475376311365295
68	*	0.004550473878351567
69	отец	0.004542947785409801
70	3	0.004501357599730535
71	учение	0.004467659978171313
72	верующий	0.004420446013452816
73	христианство	0.004390693107138965
74	12	0.004383134852863792
75	царство	0.00438233648333372
76	еврей	0.004361510130694769
77	7	0.004323761367023953
78	пророк	0.004285359039038821
79	от	0.004236730336412418
80	земной	0.004209584794382569
81	вечный	0.004195638507537724
82	это	0.004113881062859586
83	они	0.004028619183310976
84	ад	0.004022374971854558
85	да	0.004017616594464168
86	8	0.003986612349976993
87	человечество	0.003961953965478165
88	закон	0.003952790190990611
89	царь	0.003912787294357211
90	11	0.00391231040782483
91	сосуд	0.00384798789972472
92	знание	0.00384339778659703
93	ступень	0.0038239582128507268
94	6	0.003813827058540054
95	ближний	0.003812236911629818
96	священник	0.003799995252933804
97	бес	0.003776959968238719
98	милость	0.0037259386976836954
99	к	0.0037182654738860616
100	сила	0.003611619324090395
101	Святый	0.0036032985982403227
102	она	0.0035941653352278896
103	божий	0.003540285474567462
104	10	0.00352981446545662
105	народ	0.0035285219206130872
106	благословение	0.003521616979758692
107	христианский	0.0035156870649383104
108	Иоанн	0.0035148415748673463
109	свой	0.003508181539321442
110	слово	0.0034935027198497283
111	творение	0.0034910393152520177
112	апостол	0.0034814664287870652
113	com	0.003460518187654202
114	13	0.003439987399202386
115	все	0.0034381333519960117
116	мудрость	0.0034346540441270784
117	страдание	0.0034260987751100224
118	Бог	0.00338573603060235
119	5	0.0033710084429070916
120	наш	0.003367900627874156
121	4	0.003366400779036532
122	юрий	0.003352454416435403
123	9	0.0033214925779862267
124	желать	0.003291541302669798
125	19	0.003268711719368275
126	тело	0.003265323479218907
127	тьма	0.003243251746727143
128	с	0.0032367413151047114
129	вселенная	0.003225644576474059
130	благ	0.003212829827181534
131	мен	0.0031881491815110223
132	икона	0.003178520942550204
133	верить	0.0031386315709752205
134	рай	0.0031377307271757762
135	стих	0.003108165169063735
136	послание	0.003103548696346369
137	о	0.0031034582214216192
138	плод	0.003093440956859332
139	то	0.0030884770164460998
140	14	0.0030823953818597525
141	чтобы	0.00308187148936619
142	смерть	0.003024100186143322
143	Моисей	0.003021685599466414
144	плоть	0.0029967482590619247
145	на	0.00296411103477369
146	писание	0.0029637617567365433
147	письмо	0.0029189375098615097
148	монастырь	0.0029137664258633363
149	воля	0.0029034579086258416
150	ссылка	0.002899264675175753
151	друг	0.0028860803518176046
152	ребенок	0.0028741155763221705
153	книга	0.002856909710601195
154	18	0.0028547671610132837
155	помог	0.0028496193055040004
156	пусть	0.00284236598816929
157	декабрь	0.0028193048264130325
158	добрый	0.002817602233441062
159	деятельность	0.0028104842500496466
160	энергия	0.0027968119023996157
161	17	0.0027837465023300644
162	святый	0.0027723567922093135
163	слава	0.0027683242521750737
164	для	0.0027426594923648687
165	небо	0.0027341996727763985
166	если	0.0027280931691794617
167	2016	0.0027035081066190563
168	весь	0.0027016863954013198
169	26	0.0027011993294085205
170	счастье	0.0026727892053439693
171	желание	0.002662939907350651
172	светлый	0.002656798684983071
173	непременно	0.0026385913840658998
174	великий	0.0026334632752144376
175	враг	0.002627630930122648
176	текст	0.0026268572989380733
177	церковный	0.0026267483467328832
178	22	0.0026260249855709493
179	имя	0.0026215711310953157
180	человеческий	0.002611591570603072
181	ал	0.002607005196870918
182	даровать	0.002606933980555909
183	16	0.002604281069197818
184	мысль	0.002579498041572908
185	внутренний	0.0025771597111430376
186	познание	0.0025759395472275417
187	собор	0.002574729620924701
188	высший	0.0025616191397286395
189	кто	0.0025548121321064977
190	еврейский	0.0025443821277232473
191	2005	0.002529163080418444
192	жертва	0.0025191238106382265
193	29	0.002496459535775347
194	21	0.0024887016688358633
195	истинный	0.002488274198869156
196	прощать	0.002465595560714758
197	любить	0.0024644996961772736
198	бытие	0.002449033192683485
199	дар	0.002442888055039146
200	каждый	0.0024421033576682216
201	Пресвятый	0.0024408389038134233
202	праздник	0.002439777085614674
203	28	0.0024313758562187595
204	себя	0.0024290763960515393
205	23	0.002424200036175021
206	любви	0.002422803984376168
207	www	0.0023806873903245247
208	праведный	0.002376040177670336
209	вечность	0.0023640516641579307
210	болезнь	0.0023564401896764373
211	израиль	0.0023497819454709446
212	много	0.0023414279101713594
213	как	0.002339090258137672
214	уровень	0.00232267652661346
215	русский	0.002291550131241548
216	русь	0.002287058228257087
217	15	0.0022840855436180468
218	=	0.002283859935694364
219	природа	0.002280123865442929
220	разум	0.0022714788406579096
221	иметь	0.0022705239641583335
222	27	0.002267968192230594
223	жить	0.002267217882011156
224	евгений	0.0022646731309293126
225	рождество	0.002258850713897583
226	развитие	0.0022560048150072538
227	единство	0.002255952843542859
228	помощь	0.002245515139834098
229	источник	0.00224076639769114
230	ложь	0.002230251738920722
231	ученик	0.002225309283497739
232	рисунок	0.0022107315228324146
233	мое	0.002207836870004103
234	страсть	0.002201493194582998
235	бар	0.0021971013490824803
236	рождение	0.002159792658184785
237	покой	0.002159365555455447
238	творить	0.0021543445330907385
239	без	0.0021541336018169894
240	за	0.0021513433675686157
241	брат	0.002144218227507306
242	страх	0.0021379806285753505
243	ради	0.002132406820813379
244	мироздание	0.0021257396591252654
245	спаситель	0.0021115409266467345
246	создавать	0.002108758593343856
247	суд	0.002105965038660873
248	20	0.0020974925746413083
249	понимание	0.0020946906790151017
250	а	0.0020836442479645763
251	также	0.0020613658118177813
252	ни	0.002058207798644753
253	священный	0.002056578367890237
254	24	0.002051442492377238
255	информация	0.002046437277713641
256	очень	0.0020456309711258066
257	Ты	0.002038208635580295
258	раб	0.0020323292265483775
259	но	0.0020300278909710246
260	всякий	0.0020284241219379754
261	адам	0.0020234163436980424
262	2010	0.002021164721104773
263	общественный	0.002018202972011772
264	грешный	0.0020137607366384268
265	чистота	0.0020101707255066603
266	25	0.0020029017613557693
267	приходить	0.001972691464079347
268	у	0.001968998311940449
269	богу	0.001967517935705078
270	икон	0.001965182945813506
271	внешний	0.0019466956921285865
272	россия	0.001942261302215717
273	мочь	0.0019393251764698593
274	век	0.0019273343903676455
275	01	0.0019194649942646325
276	или	0.0019028239710644494
277	ли	0.0018995322128836027
278	монах	0.0018943712633183681
279	34	0.0018910021988234698
280	дьявол	0.0018891858741494495
281	этот	0.001884907313695917
282	поток	0.001878792512781743
283	образ	0.0018685632353679562
284	31	0.0018661647709475745
285	день	0.0018635559823304863
286	огонь	0.0018633971237979761
287	суть	0.0018597386463603527
288	чистый	0.0018586455071854843
289	являться	0.0018583343345986681
290	потому	0.0018567997636623433
291	когда	0.0018523926257619546
292	епископ	0.001841296353979602
293	подобие	0.0018304885061785933
294	ныне	0.0018270062241129985
295	который	0.0018230948374654368
296	Б	0.0018225303960292118
297	нто	0.0018215594570034545
298	живой	0.0018191743030535896
299	2004	0.0018174746076391546
300	старец	0.0018107867046940876
301	личность	0.001787863638628049
302	власть	0.001786303451849986
303	чувство	0.001782140961581342
304	обитель	0.0017799587570318618
305	во	0.0017790069394806433
306	род	0.001768553296858394
307	небес	0.0017682628178330724
308	иной	0.00176489629372967
309	получать	0.0017647413015452885
310	символ	0.0017613435042191775
311	планета	0.001760404448463959
312	давать	0.0017598925316134534
313	статья	0.001746041295974573
