	feature	tfidf
0	,	0.04327487646929536
1	и	0.016649053094324715
2	!	0.014459515375590964
3	в	0.010695034209925307
4	я	0.009743406667629918
5	россия	0.009477449718663374
6	http	0.009323673510936306
7	ru	0.008248754162537826
8	вы	0.007897287603259074
9	12	0.007599716625090025
10	не	0.007425085414490735
11	www	0.00708807708718457
12	украина	0.006788203961669499
13	мы	0.00604661359087775
14	декабрь	0.0057819568528523334
15	com	0.005692038281400552
16	*	0.0053655885754958195
17	что	0.005345869864482125
18	2017	0.005123672576370055
19	русский	0.005123496838703834
20	proza	0.005025508238677631
21	на	0.004936570942256655
22	страна	0.00492315012879783
23	1	0.004819073194191626
24	год	0.004663122208066118
25	президент	0.0046517843444296774
26	он	0.00444114129037953
27	2	0.004243158130034058
28	народ	0.004218548950204266
29	автор	0.004148997297621829
30	российский	0.004107788906163292
31	сша	0.004056590519010764
32	2016	0.004041898499547155
33	ваш	0.003923094007079637
34	то	0.0038725979959897917
35	ты	0.0038673800110307016
36	мир	0.003718993309292479
37	сайт	0.0036825954066854196
38	они	0.0036516502007301536
39	с	0.003599129925626765
40	быть	0.0035838632002632175
41	это	0.003538299830810691
42	конкурс	0.0034823572480870424
43	книга	0.00346466811156269
44	все	0.0033349584926094344
45	фильм	0.0033233068192544822
46	украинский	0.00328424665821238
47	александр	0.0032814475744336897
48	власть	0.0032538666999650393
49	2014	0.0032232195707068132
50	ребенок	0.0032176441907274546
51	2015	0.003190417765963477
52	человек	0.0031709833655349873
53	она	0.003168466442767177
54	путин	0.003136936241483392
55	а	0.003111774895212111
56	город	0.0031102621951937803
57	программа	0.003076761250711728
58	фото	0.003028661729437004
59	2013	0.0030073369518442174
60	москва	0.0029948526874017706
61	страница	0.002971374345488531
62	произведение	0.002968578472433713
63	владимир	0.0028759323272552666
64	процент	0.0028523898722387243
65	3	0.002837430920834771
66	стих	0.0028304889801800746
67	концерт	0.00282957569918507
68	знак	0.00282615517960026
69	новый	0.002774647111847209
70	мой	0.0027559002779348296
71	писатель	0.002747171387032256
72	поэт	0.0027400122561605077
73	государство	0.0027382057185343467
74	читатель	0.002709924456403834
75	музей	0.0026995063595998373
76	как	0.002678083284317382
77	песня	0.0026558711562325275
78	2011	0.002634813995034296
79	кто	0.0026153673409754223
80	бог	0.002595886535283952
81	о	0.0025916078339329896
82	дорога	0.002571733554448019
83	рф	0.00255200245787704
84	выборы	0.002546361651973043
85	война	0.0025261975591238015
86	***	0.0025180980760981997
87	любовь	0.0025034068029841454
88	художник	0.0025018303848325764
89	рубль	0.0024969832264969986
90	проект	0.0024730870672192316
91	выставка	0.002453090392335703
92	наш	0.002447831820194215
93	2012	0.0024211570505780233
94	11	0.002418584671489852
95	стихи	0.0024021557585220473
96	игра	0.0023889930809825014
97	бы	0.0023747386332012292
98	земля	0.0023717596872719184
99	2010	0.002357491323849864
100	4	0.0023544738514093256
101	творчество	0.002346148038856162
102	интернет	0.002330792385910459
103	вот	0.002323284531966863
104	израиль	0.0022910115206102493
105	10	0.002276328484423781
106	храм	0.0022517268988478142
107	сергей	0.002225425594335459
108	михаил	0.0022191869735872123
109	видео	0.0022059800539793056
110	система	0.002190007682335413
111	00	0.0021203067695820888
112	21	0.00209140983591686
113	группа	0.002089085278670587
114	россиянин	0.0020883583209864963
115	5	0.002074900352757742
116	культура	0.002054312395143839
117	европа	0.0020441666454712117
118	писать	0.00200810445523995
119	виктор	0.0020026606191125783
120	23	0.0020014666185696273
121	у	0.0019994868291017833
122	если	0.0019964168246968395
123	андрей	0.001990772911382386
124	час	0.001984343952537559
125	этот	0.001980837917340552
126	8	0.0019690354891601833
127	ссср	0.001954203153105863
128	жизнь	0.0019346401387792499
129	20	0.0019311266863841433
130	ссылка	0.0019273962951764428
131	доллар	0.0019199954468144841
132	за	0.0018989170278487226
133	деньги	0.0018985372065431537
134	мороз	0.001888524080935525
135	02	0.0018787898235786188
136	05	0.0018722124434141154
137	организация	0.0018691614460301716
138	08	0.001865644611398141
139	друг	0.0018611867514030111
140	церковь	0.0018609858871901515
141	7	0.001839367998440341
142	матч	0.001837522912028796
143	2009	0.00183723423238049
144	16	0.0018273038664934364
145	рецензия	0.001826009232233629
146	0	0.0018256635729162775
147	николай	0.0018216719470981484
148	09	0.0018079752971466832
149	22	0.0018078906292015454
150	нет	0.001807435900055379
151	военный	0.0018054218600761477
152	журналист	0.0018003464255185676
153	население	0.0017991907276025429
154	но	0.0017936627787715034
155	читать	0.0017903786685442536
156	крым	0.0017892881091165953
157	район	0.0017886950288432742
158	союз	0.001784187339088395
159	участник	0.0017817619283288586
160	там	0.0017814194113095771
161	да	0.001781172588863121
