	feature	tfidf
0	,	0.013049511417865053
1	я	0.010130982184144415
2	ты	0.0063449858636130075
3	девушка	0.004613527806143126
4	она	0.004263282151864978
5	!	0.004126833872965816
6	Катя	0.003682353955236443
7	андрей	0.0035773767521564324
8	и	0.003099194917410742
9	Кира	0.0028781104061804635
10	*	0.0026395018905447237
11	он	0.0026070112962599695
12	не	0.0025478536709860897
13	антон	0.0024183895076397253
14	роман	0.0024098322885556006
15	Макс	0.0022515191444972553
16	в	0.0022511011286032103
17	генерал	0.0022244943530485874
18	сергей	0.0021676009772190826
19	александр	0.0021454410371866293
20	Егор	0.0021346994192878465
21	парень	0.0021006782864804795
22	дивизия	0.0020504690569528717
23	Марк	0.0020469231404765496
24	глава	0.0019667610956840384
25	Илья	0.0019479617931509178
26	на	0.0019324336946207963
27	егор	0.0019215241936447922
28	Вика	0.0018898847543942462
29	олег	0.0018659964857166056
30	аня	0.0018652641044339183
31	Алекс	0.0018542016905533473
32	мама	0.0018541663166657231
33	Анна	0.0018467402912690767
34	http	0.001824901632170085
35	вы	0.0018152461122002855
36	www	0.001789155266685058
37	Алексей	0.001750477061175891
38	саша	0.0017424011179055
39	ru	0.001735572799690125
40	proza	0.0017328599746719345
41	Нина	0.0017264308208333606
42	Дэн	0.001724944067004909
43	николай	0.0017016286425901115
44	девочка	0.0016735610818824208
45	Ник	0.0016601883065381511
46	Аня	0.0015837952646801231
47	игорь	0.0015828547984623037
48	Кирилл	0.0015787957410029782
49	Антон	0.001560185436831371
50	Саш	0.0015452741070288744
51	денис	0.001531222264843153
52	один	0.001528535046548633
53	фронт	0.0015216497032750213
54	алексей	0.0015091523088762528
55	Денис	0.001496375001224778
56	дима	0.0014758179383510526
57	наташа	0.0014658693731058692
58	отец	0.0014653199254378879
59	быть	0.001454121891512253
60	танк	0.0014319503130446527
61	палата	0.0014111025328597878
62	Жень	0.0013964799125136364
63	мистер	0.0013807054344715964
64	машина	0.0013766526885910942
65	что	0.0013761879064234667
66	марина	0.0013616631347564243
67	Артем	0.001349690821807676
68	Глеб	0.0013430849486019219
69	илья	0.0013376055884255118
70	кофе	0.0013315272900581232
71	армия	0.0013286876423572577
72	капитан	0.0013254596532308355
73	мой	0.0013228214851640655
74	класс	0.0012982566677000754
75	юноша	0.0012890045520085795
76	Максим	0.0012707733181247182
77	Т	0.0012689534152174145
78	Настя	0.0012624817713222931
79	рита	0.0012409401547207324
80	й	0.0012369697884378643
81	Лиза	0.0012366659616461022
82	герцог	0.0012360753587628832
83	лена	0.0012347712074266967
84	сказывать	0.0012313791565435525
